epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.7507134,0.11754312,0.1749233,0.080579475,20.0,-3.2396264,0.0,100.0,0.0019999999552965165
1,0.7511795,0.11928274,0.17462437,0.07832547,40.0,-5.192271,0.0,200.0,0.004999999888241291
2,0.7513828,0.1215025,0.17458512,0.08057124,60.0,-7.155153,0.015000000223517418,300.0,0.0029999999329447745
3,0.7522123,0.123677514,0.17471157,0.08486691,80.0,-9.122097,0.010000000149011612,400.0,0.003999999910593033
4,0.7531581,0.12783317,0.17477596,0.09171928,100.0,-10.635121,0.015000000223517418,500.0,0.005999999865889549
5,0.7544933,0.13245472,0.17541832,0.09918718,120.0,-11.875475,0.045000001043081286,600.0,0.010999999754130841
6,0.75613254,0.13800374,0.17608412,0.10779109,140.0,-13.134816,0.03500000014901161,700.0,0.026999999
7,0.75823754,0.14386128,0.17641154,0.11662879,160.0,-13.683317,0.05000000111758709,800.0,0.02599999960511923
8,0.76220495,0.1495261,0.17763558,0.12660883,180.0,-13.2893505,0.06999999769032002,900.0,0.07
9,0.7673231,0.15434892,0.17927052,0.1366398,200.0,-11.448212,0.18,1000.0,0.063999996
10,0.7726021,0.15799926,0.18075791,0.14671938,220.0,-12.819392,0.12000000365078449,1100.0,0.106000006
11,0.777499,0.16034903,0.182228,0.15475775,240.0,-11.55316,0.275,1200.0,0.12799999
12,0.7805946,0.16091758,0.18300797,0.16006918,260.0,-11.229853,0.35,1300.0,0.13899998
13,0.7822394,0.16114444,0.18342043,0.16335186,280.0,-12.075758,0.33499998,1400.0,0.124
14,0.78380346,0.1611109,0.18390583,0.16577838,300.0,-11.780348,0.35999998,1500.0,0.159
15,0.785073,0.16188659,0.18411903,0.16812068,320.0,-12.252103,0.385,1600.0,0.152
16,0.7871166,0.16321199,0.18460561,0.17127666,340.0,-10.842688,0.46000004,1700.0,0.14400001
17,0.7893577,0.16376905,0.18517052,0.17447916,360.0,-10.704039,0.5200001,1800.0,0.17600001
18,0.7919645,0.1639362,0.18572582,0.1778753,380.0,-11.380545,0.465,1900.0,0.16999999
19,0.79444796,0.16445209,0.18605813,0.18120438,400.0,-9.937159,0.535,2000.0,0.19000001
20,0.7966915,0.1644126,0.18649647,0.18410306,420.0,-9.811644,0.605,2100.0,0.19299999
21,0.79849404,0.16442166,0.18712254,0.18667331,440.0,-10.205371,0.595,2200.0,0.178
22,0.80043334,0.16418175,0.18764277,0.18912861,460.0,-9.507832,0.66,2300.0,0.17899999
23,0.8020161,0.16415423,0.18806787,0.19125992,480.0,-10.8640995,0.59499997,2400.0,0.18999998
24,0.80340147,0.16407236,0.18835151,0.19310707,500.0,-11.863322,0.555,2500.0,0.17300001
25,0.8046093,0.163855,0.18874352,0.19445606,520.0,-11.759885,0.585,2600.0,0.19
26,0.80579394,0.16363296,0.18900223,0.19570792,540.0,-11.430727,0.57000005,2700.0,0.191
27,0.80685127,0.16343105,0.18915586,0.19692467,560.0,-10.748942,0.685,2800.0,0.184
28,0.8078679,0.16323419,0.18944736,0.19796923,580.0,-10.732217,0.695,2900.0,0.199
29,0.80899704,0.16321968,0.18965973,0.19901663,600.0,-12.435125,0.57,3000.0,0.19100001
30,0.8097869,0.16309793,0.18991917,0.200026,620.0,-11.532151,0.6,3100.0,0.194
31,0.8106743,0.16316578,0.19023834,0.2009501,640.0,-9.641554,0.75000006,3200.0,0.196
32,0.8117453,0.1627879,0.19060719,0.20173427,660.0,-9.740759,0.70500004,3300.0,0.23400001
33,0.8124995,0.16249682,0.19083695,0.20248142,680.0,-10.915743,0.645,3400.0,0.198
34,0.81317365,0.16217768,0.19110787,0.20323558,700.0,-11.272365,0.64,3500.0,0.22800002
35,0.8139054,0.1618961,0.19142552,0.20393224,720.0,-12.092908,0.615,3600.0,0.18399999
36,0.81462973,0.16165555,0.19165972,0.20458193,740.0,-8.555934,0.755,3700.0,0.20899999
37,0.815235,0.16155933,0.1918281,0.20534353,760.0,-8.509852,0.75,3800.0,0.21200001
38,0.8157652,0.16143867,0.19196536,0.20608382,780.0,-9.961213,0.72999996,3900.0,0.21300001
39,0.81637394,0.16150649,0.19208808,0.20688662,800.0,-8.627802,0.765,4000.0,0.188
40,0.81696576,0.16143484,0.1922469,0.20767167,820.0,-9.801741,0.68999994,4100.0,0.20899999
41,0.8174316,0.16155158,0.19250298,0.20844178,840.0,-7.1190324,0.895,4200.0,0.20799999
42,0.81803095,0.16136901,0.19261055,0.20915028,860.0,-7.183389,0.81000006,4300.0,0.204
43,0.81845856,0.16138406,0.1927691,0.20982823,880.0,-7.538005,0.825,4400.0,0.248
44,0.8190532,0.16126813,0.19297056,0.21043353,900.0,-8.057998,0.82,4500.0,0.23699999
45,0.8195875,0.16118787,0.19312683,0.2109749,920.0,-7.975375,0.78000003,4600.0,0.20199999
46,0.8199232,0.16113259,0.19323218,0.21137127,940.0,-8.71031,0.69500005,4700.0,0.18800001
47,0.820227,0.16133855,0.1932392,0.21181378,960.0,-9.518948,0.685,4800.0,0.188
48,0.8207348,0.16138925,0.19337557,0.21228313,980.0,-8.7384405,0.68999994,4900.0,0.17300001
49,0.82114637,0.16161479,0.19348437,0.21271896,1000.0,-9.860797,0.64500004,5000.0,0.183
