# {"env_id": "FetchSlideball-v2", "t_start": 1576834337.3300686} 
r,l,t
-50.0,50,10.380502
-50.0,50,13.739911
-50.0,50,18.710534
-50.0,50,21.346341
-50.0,50,23.917402
-50.0,50,26.580251
-50.0,50,30.448523
-50.0,50,34.290217
-50.0,50,36.876936
-50.0,50,39.518616
-50.0,50,43.172523
-50.0,50,46.228155
-50.0,50,50.149861
-50.0,50,52.768239
-50.0,50,55.365903
-50.0,50,59.737804
-50.0,50,63.11462
-50.0,50,65.724694
-50.0,50,69.567786
-50.0,50,72.272762
-50.0,50,74.8713
-50.0,50,77.490568
-50.0,50,80.152212
-50.0,50,83.181031
-50.0,50,87.811377
-50.0,50,90.483118
-50.0,50,93.161703
-50.0,50,95.774774
-50.0,50,102.029624
-50.0,50,104.645546
-50.0,50,107.231462
-50.0,50,111.603347
-50.0,50,114.20603
-50.0,50,119.16777
-50.0,50,121.712981
-50.0,50,126.196217
-50.0,50,129.477799
-50.0,50,132.097752
-50.0,50,134.744556
-50.0,50,137.352905
-50.0,50,142.330858
-50.0,50,145.184772
-50.0,50,149.678005
-50.0,50,152.965211
-50.0,50,156.675611
-50.0,50,159.429429
-50.0,50,164.450921
-50.0,50,167.091028
-50.0,50,172.022328
-50.0,50,174.842657
-50.0,50,178.717231
-50.0,50,179.214311
-50.0,50,179.650042
-50.0,50,180.06427
-50.0,50,180.486955
-50.0,50,180.921219
-50.0,50,181.354836
-50.0,50,181.828155
-50.0,50,182.3157
-50.0,50,182.734054
-50.0,50,183.266261
-50.0,50,188.242031
-50.0,50,190.821252
-50.0,50,193.432703
-50.0,50,198.466491
-50.0,50,201.132919
-50.0,50,203.768584
-50.0,50,206.375574
-50.0,50,209.000602
-50.0,50,212.863476
-50.0,50,216.780082
-50.0,50,219.399005
-50.0,50,223.560558
-50.0,50,227.159208
-50.0,50,231.930306
-50.0,50,234.947391
-50.0,50,238.844215
-50.0,50,241.454309
-50.0,50,246.267967
-50.0,50,249.256582
-50.0,50,251.874098
-50.0,50,256.896176
-50.0,50,259.509808
-50.0,50,262.107863
-50.0,50,265.968846
-50.0,50,268.628585
-50.0,50,271.200244
-50.0,50,276.178429
-50.0,50,278.741493
-50.0,50,281.323403
-50.0,50,283.909415
-50.0,50,289.494616
-50.0,50,292.839456
-50.0,50,295.500239
-50.0,50,298.117573
-50.0,50,300.754984
-50.0,50,305.894705
-50.0,50,308.541227
-50.0,50,311.212383
-50.0,50,313.738281
-50.0,50,318.741477
-50.0,50,321.356781
-50.0,50,323.997326
-50.0,50,327.008064
-50.0,50,330.49575
-50.0,50,333.142737
-50.0,50,335.759459
-50.0,50,339.667774
-50.0,50,343.500088
-50.0,50,346.151789
-50.0,50,350.035215
-50.0,50,350.496472
-50.0,50,350.941532
-50.0,50,351.419124
-50.0,50,351.882508
-50.0,50,352.31257
-50.0,50,352.775716
-50.0,50,353.181827
-50.0,50,353.601274
-50.0,50,354.028651
-50.0,50,354.605617
-50.0,50,359.589648
-50.0,50,362.231446
-50.0,50,364.878404
-50.0,50,367.512362
-50.0,50,371.46651
-50.0,50,374.087917
-50.0,50,377.067721
-50.0,50,381.703716
-50.0,50,384.31656
-50.0,50,386.926962
-50.0,50,390.922512
-50.0,50,393.533902
-50.0,50,396.990658
-50.0,50,402.5276
-50.0,50,405.236329
-50.0,50,407.853623
-50.0,50,411.201559
-50.0,50,414.452189
-50.0,50,417.075373
-50.0,50,420.531741
-50.0,50,424.863942
-50.0,50,427.410275
-50.0,50,432.388605
-50.0,50,435.010787
-50.0,50,437.627861
-50.0,50,442.615779
-50.0,50,445.412759
-50.0,50,448.003031
-50.0,50,451.802357
-50.0,50,454.443035
-50.0,50,456.99399
-50.0,50,461.983979
-50.0,50,465.340812
-50.0,50,469.70985
-50.0,50,472.425659
-50.0,50,476.287591
-50.0,50,479.835655
-50.0,50,484.092687
-50.0,50,488.419391
-50.0,50,492.017627
-50.0,50,495.992569
-50.0,50,498.61921
-50.0,50,503.431059
-50.0,50,506.429352
-50.0,50,511.527488
-50.0,50,514.143454
-50.0,50,518.626183
-50.0,50,521.281151
-50.0,50,523.875033
-50.0,50,526.482987
-50.0,50,527.816659
-50.0,50,529.275854
-50.0,50,530.683702
-50.0,50,531.131424
-50.0,50,531.559837
-50.0,50,532.000657
-50.0,50,532.433815
-50.0,50,532.866776
-50.0,50,533.321869
-50.0,50,533.86052
-50.0,50,538.953918
-50.0,50,541.534208
-50.0,50,546.464223
-50.0,50,549.404433
-50.0,50,554.447353
-50.0,50,557.093379
-50.0,50,559.665214
-50.0,50,562.237245
-50.0,50,566.03389
-50.0,50,568.643168
-50.0,50,571.300033
-50.0,50,574.922968
-50.0,50,579.070485
-50.0,50,581.847326
-50.0,50,585.508835
-50.0,50,588.219606
-50.0,50,591.067555
-50.0,50,595.943639
-50.0,50,598.545435
-50.0,50,603.576644
-50.0,50,606.14166
-50.0,50,611.282412
-50.0,50,613.909359
-50.0,50,617.040916
-50.0,50,621.614682
-50.0,50,624.212007
-50.0,50,628.062807
-50.0,50,630.617331
-50.0,50,635.990046
-50.0,50,639.575734
-50.0,50,642.15809
-50.0,50,644.851435
-50.0,50,647.409067
-50.0,50,650.048368
-50.0,50,653.942462
-50.0,50,657.877382
-50.0,50,660.430615
-50.0,50,665.491421
-50.0,50,668.090205
-50.0,50,670.72348
-50.0,50,673.391152
-50.0,50,676.007311
-50.0,50,679.047464
-50.0,50,683.762479
-50.0,50,686.373112
-50.0,50,688.957021
-50.0,50,692.893423
-50.0,50,695.4491
-50.0,50,698.737312
-50.0,50,703.178668
-50.0,50,703.599106
-50.0,50,704.044166
-50.0,50,704.501357
-50.0,50,704.943865
-50.0,50,705.409363
-50.0,50,705.845576
-50.0,50,706.908149
-50.0,50,708.110569
-50.0,50,708.544806
-50.0,50,709.188218
-50.0,50,711.807622
-50.0,50,714.410189
-50.0,50,717.032191
-50.0,50,723.371794
-50.0,50,725.965833
-50.0,50,728.592014
-50.0,50,731.162693
-50.0,50,733.779289
-50.0,50,737.928538
-50.0,50,741.543983
-50.0,50,746.465604
-50.0,50,749.30167
-50.0,50,753.123759
-50.0,50,755.704154
-50.0,50,760.575578
-50.0,50,763.500523
-50.0,50,766.090538
-50.0,50,771.075982
-50.0,50,773.73956
-50.0,50,777.563412
-50.0,50,780.210867
-50.0,50,785.374604
-50.0,50,788.055002
-50.0,50,792.580313
-50.0,50,795.249107
-50.0,50,798.36892
-50.0,50,801.716397
-50.0,50,804.2719
-50.0,50,809.285913
-50.0,50,811.881051
-50.0,50,814.474847
-50.0,50,817.227006
-50.0,50,820.885169
-50.0,50,823.477088
-50.0,50,826.167635
-50.0,50,831.145374
-50.0,50,833.775125
-50.0,50,836.346392
-50.0,50,840.186138
-50.0,50,843.460029
-50.0,50,847.926841
-50.0,50,850.51557
-50.0,50,854.912806
-50.0,50,857.521694
-50.0,50,861.363163
-50.0,50,863.919057
-50.0,50,866.525297
-50.0,50,871.147747
-50.0,50,874.31439
-50.0,50,876.946096
-50.0,50,877.416811
-50.0,50,877.892991
-50.0,50,878.318844
-50.0,50,878.741721
-50.0,50,879.179103
-50.0,50,880.644145
-50.0,50,881.583421
-50.0,50,882.004115
-50.0,50,882.430188
-50.0,50,882.951769
-50.0,50,886.028471
-50.0,50,890.64511
-50.0,50,894.833326
-50.0,50,898.433395
-50.0,50,901.889751
-50.0,50,905.011917
-50.0,50,909.356488
-50.0,50,912.855509
-50.0,50,915.461023
-50.0,50,918.18548
-50.0,50,923.150883
-50.0,50,925.741977
-50.0,50,928.727293
-50.0,50,933.389776
-50.0,50,937.328744
-50.0,50,941.214124
-50.0,50,944.626426
-50.0,50,947.815535
-50.0,50,951.931541
-50.0,50,955.64062
-50.0,50,958.254774
-50.0,50,961.040794
-50.0,50,965.916098
-50.0,50,968.547438
-50.0,50,971.423837
-50.0,50,976.181241
-50.0,50,980.168883
-50.0,50,983.995052
-50.0,50,987.307124
-50.0,50,991.132832
-50.0,50,996.121109
-50.0,50,998.954863
-50.0,50,1004.010203
-50.0,50,1006.622993
-50.0,50,1009.269034
-50.0,50,1011.848115
-50.0,50,1015.726422
-50.0,50,1018.363231
-50.0,50,1020.9216
-50.0,50,1025.95968
-50.0,50,1028.566389
-50.0,50,1031.152872
-50.0,50,1034.988298
-50.0,50,1037.658805
-50.0,50,1040.292131
-50.0,50,1045.309129
-50.0,50,1047.978818
