# {"t_start": 1576834336.897983, "env_id": "FetchSlideball-v2"} 
r,l,t
-50.0,50,10.835232
-50.0,50,14.172336
-50.0,50,19.153483
-50.0,50,21.747732
-50.0,50,24.395283
-50.0,50,27.029085
-50.0,50,30.956904
-50.0,50,34.73502
-50.0,50,37.322963
-50.0,50,39.943053
-50.0,50,43.716911
-50.0,50,46.71086
-50.0,50,50.575648
-50.0,50,53.207398
-50.0,50,55.80536
-50.0,50,60.144953
-50.0,50,63.536889
-50.0,50,66.151679
-50.0,50,69.981625
-50.0,50,72.671789
-50.0,50,75.301619
-50.0,50,77.894583
-50.0,50,80.58087
-50.0,50,83.625463
-50.0,50,88.29334
-50.0,50,90.893811
-50.0,50,93.558406
-50.0,50,96.218906
-50.0,50,102.479993
-50.0,50,105.077674
-50.0,50,107.645601
-50.0,50,111.969787
-50.0,50,114.633567
-50.0,50,119.563679
-50.0,50,122.180537
-50.0,50,126.538011
-50.0,50,129.909621
-50.0,50,132.574569
-50.0,50,135.213257
-50.0,50,137.760309
-50.0,50,142.743594
-50.0,50,145.601198
-50.0,50,150.110961
-50.0,50,153.380187
-50.0,50,157.126235
-50.0,50,159.901414
-50.0,50,164.895252
-50.0,50,167.532523
-50.0,50,172.465709
-50.0,50,175.263809
-50.0,50,179.142048
-50.0,50,179.577116
-50.0,50,180.037962
-50.0,50,180.484963
-50.0,50,180.903939
-50.0,50,181.367267
-50.0,50,181.813479
-50.0,50,182.257612
-50.0,50,182.70212
-50.0,50,183.158286
-50.0,50,183.699215
-50.0,50,188.638645
-50.0,50,191.269539
-50.0,50,193.894413
-50.0,50,198.888143
-50.0,50,201.576661
-50.0,50,204.137001
-50.0,50,206.776719
-50.0,50,209.419615
-50.0,50,213.242722
-50.0,50,217.200172
-50.0,50,219.816176
-50.0,50,223.98349
-50.0,50,227.596216
-50.0,50,232.385782
-50.0,50,235.41036
-50.0,50,239.302769
-50.0,50,241.926487
-50.0,50,246.719925
-50.0,50,249.71828
-50.0,50,252.376317
-50.0,50,257.333132
-50.0,50,259.947396
-50.0,50,262.780448
-50.0,50,266.425972
-50.0,50,269.029087
-50.0,50,271.636517
-50.0,50,276.62405
-50.0,50,279.19283
-50.0,50,281.746411
-50.0,50,284.310901
-50.0,50,290.065832
-50.0,50,293.265099
-50.0,50,295.926426
-50.0,50,298.549103
-50.0,50,301.188359
-50.0,50,306.146331
-50.0,50,308.947121
-50.0,50,311.621458
-50.0,50,314.174044
-50.0,50,319.137176
-50.0,50,321.770909
-50.0,50,324.410444
-50.0,50,327.436673
-50.0,50,330.96465
-50.0,50,333.582
-50.0,50,336.164369
-50.0,50,340.193611
-50.0,50,343.963017
-50.0,50,346.571171
-50.0,50,350.492757
-50.0,50,350.909216
-50.0,50,351.332762
-50.0,50,351.764533
-50.0,50,352.175796
-50.0,50,352.597542
-50.0,50,353.036416
-50.0,50,353.487915
-50.0,50,353.915272
-50.0,50,354.347008
-50.0,50,355.039001
-50.0,50,360.018446
-50.0,50,362.645741
-50.0,50,365.295637
-50.0,50,367.940395
-50.0,50,371.867471
-50.0,50,374.498092
-50.0,50,377.476247
-50.0,50,382.160291
-50.0,50,384.76506
-50.0,50,387.353241
-50.0,50,391.393625
-50.0,50,394.012818
-50.0,50,397.395385
-50.0,50,403.005386
-50.0,50,405.65502
-50.0,50,408.299449
-50.0,50,411.676656
-50.0,50,414.867494
-50.0,50,417.507459
-50.0,50,420.964451
-50.0,50,425.284126
-50.0,50,427.865527
-50.0,50,432.828664
-50.0,50,435.500948
-50.0,50,438.06256
-50.0,50,443.077606
-50.0,50,445.872854
-50.0,50,448.422992
-50.0,50,452.261268
-50.0,50,454.841813
-50.0,50,457.46578
-50.0,50,462.436432
-50.0,50,465.645879
-50.0,50,470.16623
