# {"env_id": "FetchSlideball-v3", "t_start": 1580485717.0651388} 
r,l,t
-50.0,50,8.91553
-50.0,50,14.265487
-50.0,50,16.831882
-50.0,50,19.46605
-50.0,50,21.995207
-50.0,50,24.588932
-50.0,50,27.178487
-50.0,50,29.822692
-50.0,50,32.474884
-50.0,50,35.018723
-50.0,50,37.630039
-50.0,50,40.264205
-50.0,50,42.812666
-50.0,50,45.449862
-50.0,50,48.011368
-50.0,50,50.653023
-50.0,50,53.440994
-50.0,50,56.118279
-50.0,50,58.788802
-50.0,50,61.367923
-50.0,50,66.198655
-50.0,50,69.139243
-50.0,50,71.68977
-50.0,50,74.32327
-50.0,50,76.889656
-50.0,50,80.838999
-50.0,50,84.641823
-50.0,50,87.260918
-50.0,50,91.147924
-50.0,50,93.765492
-50.0,50,96.332889
-50.0,50,98.940446
-50.0,50,101.53475
-50.0,50,104.185234
-50.0,50,106.809799
-50.0,50,109.430852
-50.0,50,112.009874
-50.0,50,114.692187
-50.0,50,119.020527
-50.0,50,122.420834
-50.0,50,125.039635
-50.0,50,127.62301
-50.0,50,130.255808
-50.0,50,132.890567
-50.0,50,135.495553
-50.0,50,140.535354
-50.0,50,144.459518
-50.0,50,147.514258
-50.0,50,152.076976
-50.0,50,154.625607
-50.0,50,158.429239
-50.0,50,158.869219
-50.0,50,159.283306
-50.0,50,159.738656
-50.0,50,160.189115
-50.0,50,160.632102
-50.0,50,161.061156
-50.0,50,161.490383
-50.0,50,161.935566
-50.0,50,163.241781
-50.0,50,164.961261
-50.0,50,168.237385
-50.0,50,170.908455
-50.0,50,173.511334
-50.0,50,176.148885
-50.0,50,178.796848
-50.0,50,181.419855
-50.0,50,184.054244
-50.0,50,186.689494
-50.0,50,189.237827
-50.0,50,194.195669
-50.0,50,196.821295
-50.0,50,199.419051
-50.0,50,202.021837
-50.0,50,204.671048
-50.0,50,207.26497
-50.0,50,209.876655
-50.0,50,212.500599
-50.0,50,215.136408
-50.0,50,217.733012
-50.0,50,220.334988
-50.0,50,222.906024
-50.0,50,225.520949
-50.0,50,228.695522
-50.0,50,233.260525
-50.0,50,235.959325
-50.0,50,238.637497
-50.0,50,241.349182
-50.0,50,243.999516
-50.0,50,246.636208
-50.0,50,249.240893
-50.0,50,254.256078
-50.0,50,256.933796
-50.0,50,259.590083
-50.0,50,263.585272
-50.0,50,266.273712
-50.0,50,269.686011
-50.0,50,274.312878
-50.0,50,277.236492
-50.0,50,281.250371
-50.0,50,284.092087
-50.0,50,287.323205
-50.0,50,290.689153
-50.0,50,293.829453
-50.0,50,299.112145
-50.0,50,301.800105
-50.0,50,305.100025
-50.0,50,308.405528
-50.0,50,313.389963
-50.0,50,319.167513
-50.0,50,325.703966
-50.0,50,326.281781
-50.0,50,326.875423
-50.0,50,327.444123
-50.0,50,328.097132
-50.0,50,328.705472
-50.0,50,329.269834
-50.0,50,330.659304
-50.0,50,332.692567
-50.0,50,334.034005
-50.0,50,334.882966
-50.0,50,341.352579
-50.0,50,345.490032
-50.0,50,349.641989
-50.0,50,355.258534
-50.0,50,359.742081
-50.0,50,364.525307
-50.0,50,369.100673
-50.0,50,372.593269
-50.0,50,378.297583
-50.0,50,381.42395
-50.0,50,387.060485
-50.0,50,389.800066
-50.0,50,392.715134
-50.0,50,399.239724
-50.0,50,402.015968
-50.0,50,404.660046
-50.0,50,408.046966
-50.0,50,411.397671
-50.0,50,415.414004
-50.0,50,418.850918
-50.0,50,424.720564
-50.0,50,427.455723
-50.0,50,430.27176
-50.0,50,435.510252
-50.0,50,438.537727
-50.0,50,441.665673
-50.0,50,446.841467
-50.0,50,449.58588
-50.0,50,452.454988
