# {"t_start": 1580485717.341281, "env_id": "FetchSlideball-v3"} 
r,l,t
-50.0,50,8.64651
-50.0,50,14.031907
-50.0,50,16.572277
-50.0,50,19.153737
-50.0,50,21.755712
-50.0,50,24.285528
-50.0,50,26.927746
-50.0,50,29.530188
-50.0,50,32.181927
-50.0,50,34.752111
-50.0,50,37.360664
-50.0,50,39.961285
-50.0,50,42.576253
-50.0,50,45.176199
-50.0,50,47.708013
-50.0,50,50.393907
-50.0,50,53.147184
-50.0,50,55.850004
-50.0,50,58.519833
-50.0,50,61.120553
-50.0,50,65.986549
-50.0,50,68.835274
-50.0,50,71.415963
-50.0,50,74.007283
-50.0,50,76.592529
-50.0,50,80.434738
-50.0,50,84.376153
-50.0,50,86.962686
-50.0,50,90.8832
-50.0,50,93.483074
-50.0,50,96.040562
-50.0,50,98.645461
-50.0,50,101.234319
-50.0,50,103.926799
-50.0,50,106.555889
-50.0,50,109.149871
-50.0,50,111.78964
-50.0,50,114.396494
-50.0,50,118.670436
-50.0,50,122.1379
-50.0,50,124.746211
-50.0,50,127.346111
-50.0,50,130.000854
-50.0,50,132.623535
-50.0,50,135.230359
-50.0,50,140.24667
-50.0,50,144.158289
-50.0,50,147.330011
-50.0,50,151.777525
-50.0,50,154.34572
-50.0,50,158.182782
-50.0,50,158.600945
-50.0,50,159.026373
-50.0,50,159.439112
-50.0,50,159.860799
-50.0,50,160.287536
-50.0,50,160.743618
-50.0,50,161.159439
-50.0,50,161.604138
-50.0,50,162.737889
-50.0,50,164.776256
-50.0,50,167.99209
-50.0,50,170.599161
-50.0,50,173.245506
-50.0,50,175.898717
-50.0,50,178.489133
-50.0,50,181.114421
-50.0,50,183.760696
-50.0,50,186.381612
-50.0,50,188.924076
-50.0,50,193.892283
-50.0,50,196.517095
-50.0,50,199.141051
-50.0,50,201.741418
-50.0,50,204.365989
-50.0,50,207.016358
-50.0,50,209.61143
-50.0,50,212.264904
-50.0,50,214.864446
-50.0,50,217.437084
-50.0,50,220.058864
-50.0,50,222.636643
-50.0,50,225.253394
-50.0,50,228.237726
-50.0,50,232.964193
-50.0,50,235.66748
-50.0,50,238.379363
-50.0,50,241.053119
-50.0,50,243.668814
-50.0,50,246.34636
-50.0,50,248.963539
-50.0,50,253.987316
-50.0,50,256.639998
-50.0,50,259.302856
-50.0,50,263.32363
-50.0,50,266.004749
-50.0,50,269.349493
-50.0,50,274.070752
-50.0,50,276.9439
-50.0,50,280.969464
-50.0,50,283.857046
-50.0,50,287.030674
-50.0,50,290.441963
-50.0,50,293.566548
-50.0,50,298.85814
-50.0,50,301.57312
-50.0,50,304.72328
-50.0,50,308.111118
-50.0,50,313.022649
-50.0,50,318.811129
-50.0,50,325.361567
-50.0,50,325.979842
-50.0,50,326.615415
-50.0,50,327.197625
-50.0,50,327.839098
-50.0,50,328.521267
-50.0,50,329.103416
-50.0,50,330.936186
-50.0,50,333.16122
-50.0,50,333.933378
-50.0,50,334.706979
-50.0,50,341.071853
-50.0,50,345.20478
-50.0,50,349.382242
-50.0,50,354.990203
-50.0,50,359.509859
-50.0,50,364.253631
-50.0,50,368.798127
-50.0,50,372.344792
-50.0,50,378.090576
-50.0,50,381.182429
-50.0,50,386.778114
-50.0,50,389.506447
-50.0,50,392.594666
-50.0,50,398.979508
-50.0,50,401.737848
-50.0,50,404.366227
-50.0,50,408.006063
-50.0,50,411.106954
-50.0,50,415.122053
-50.0,50,418.532394
-50.0,50,424.439801
-50.0,50,427.190193
-50.0,50,430.029164
-50.0,50,435.207568
-50.0,50,438.268928
-50.0,50,441.43665
-50.0,50,446.584259
-50.0,50,449.305344
-50.0,50,452.184047
-50.0,50,456.150445
-50.0,50,458.798271
-50.0,50,461.40114
-50.0,50,464.062598
-50.0,50,466.705825
-50.0,50,471.446554
-50.0,50,475.533895
-50.0,50,479.689821
-50.0,50,482.476906
-50.0,50,487.455816
-50.0,50,490.602491
-50.0,50,493.932177
-50.0,50,498.596564
-50.0,50,501.296362
-50.0,50,504.037185
-50.0,50,506.682539
-50.0,50,509.383583
-50.0,50,514.920822
-50.0,50,517.98201
-50.0,50,521.609794
-50.0,50,524.409301
-50.0,50,524.852411
-50.0,50,525.327896
-50.0,50,525.812939
-50.0,50,526.308569
-50.0,50,526.817567
-50.0,50,528.236485
-50.0,50,529.848971
-50.0,50,531.111495
-50.0,50,531.53527
-50.0,50,532.063315
-50.0,50,534.749112
-50.0,50,537.521487
-50.0,50,540.403233
-50.0,50,543.153115
-50.0,50,545.973114
-50.0,50,550.018709
-50.0,50,554.170322
-50.0,50,558.610223
-50.0,50,562.448333
-50.0,50,565.116333
-50.0,50,567.708445
-50.0,50,571.531335
-50.0,50,575.68863
-50.0,50,579.333621
-50.0,50,582.372446
-50.0,50,585.108206
-50.0,50,587.755095
-50.0,50,590.411249
-50.0,50,592.978223
-50.0,50,597.941731
-50.0,50,600.576458
-50.0,50,603.225568
-50.0,50,605.866637
-50.0,50,610.361571
-50.0,50,613.657131
-50.0,50,616.28066
-50.0,50,618.871668
-50.0,50,622.849249
-50.0,50,625.502388
-50.0,50,629.345383
-50.0,50,631.977431
-50.0,50,634.654214
-50.0,50,637.211853
-50.0,50,639.82135
-50.0,50,643.415985
-50.0,50,647.663604
-50.0,50,650.288524
-50.0,50,652.958704
-50.0,50,655.568455
-50.0,50,658.149729
-50.0,50,660.735439
-50.0,50,663.36323
-50.0,50,668.440292
-50.0,50,671.192417
-50.0,50,676.167003
-50.0,50,678.767939
-50.0,50,682.540557
-50.0,50,686.531521
-50.0,50,689.192477
-50.0,50,691.703856
-50.0,50,692.146913
-50.0,50,692.597099
-50.0,50,693.048287
-50.0,50,694.471483
-50.0,50,695.897369
-50.0,50,697.223212
-50.0,50,697.663621
-50.0,50,698.108469
-50.0,50,698.54006
-50.0,50,699.08845
-50.0,50,704.320623
-50.0,50,706.927704
-50.0,50,709.583965
-50.0,50,712.201115
-50.0,50,714.807745
-50.0,50,717.397481
-50.0,50,723.761995
-50.0,50,726.374735
-50.0,50,730.197198
-50.0,50,732.875093
-50.0,50,735.541134
-50.0,50,738.101525
-50.0,50,740.773623
-50.0,50,744.189237
-50.0,50,748.505132
-50.0,50,751.117908
-50.0,50,753.835898
-50.0,50,756.438864
-50.0,50,759.088205
-50.0,50,761.771359
-50.0,50,764.373849
-50.0,50,766.990697
-50.0,50,769.666484
-50.0,50,772.235129
-50.0,50,774.920138
-50.0,50,780.030718
-50.0,50,782.631621
-50.0,50,785.284751
-50.0,50,787.92897
-50.0,50,792.952413
-50.0,50,795.644974
-50.0,50,798.264765
-50.0,50,800.862669
-50.0,50,803.944796
-50.0,50,808.571655
-50.0,50,811.188318
-50.0,50,813.888571
-50.0,50,819.986078
-50.0,50,826.4447
-50.0,50,830.94505
-50.0,50,835.51251
-50.0,50,839.769201
-50.0,50,842.988078
-50.0,50,848.322119
-50.0,50,852.473884
-50.0,50,856.207773
-50.0,50,858.803792
-50.0,50,861.402343
-50.0,50,865.251721
-50.0,50,867.87717
-50.0,50,868.338235
-50.0,50,868.766571
-50.0,50,869.210751
-50.0,50,869.910584
-50.0,50,871.498408
-50.0,50,872.968493
-50.0,50,874.781656
-50.0,50,876.02158
-50.0,50,876.530559
-50.0,50,877.083359
-50.0,50,881.137006
-50.0,50,884.525576
-50.0,50,887.279121
-50.0,50,893.074405
-50.0,50,897.51592
-50.0,50,902.918979
-50.0,50,905.905188
-50.0,50,911.45005
-50.0,50,914.360368
-50.0,50,919.433198
-50.0,50,922.192624
-50.0,50,925.207306
-50.0,50,929.528926
-50.0,50,933.392812
-50.0,50,937.660405
-50.0,50,940.387191
-50.0,50,943.135738
-50.0,50,946.052655
-50.0,50,950.045497
-50.0,50,952.764666
-50.0,50,955.96674
-50.0,50,960.795129
-50.0,50,963.568995
-50.0,50,967.5508
-50.0,50,970.201756
-50.0,50,972.841841
-50.0,50,975.825968
-50.0,50,978.696695
-50.0,50,984.08143
-50.0,50,987.700107
-50.0,50,991.184511
-50.0,50,993.94018
-50.0,50,998.975475
-50.0,50,1002.917285
-50.0,50,1008.571533
-50.0,50,1011.532531
-50.0,50,1016.088572
-50.0,50,1020.650573
-50.0,50,1026.151062
-50.0,50,1029.214659
-50.0,50,1033.029752
-50.0,50,1035.971987
-50.0,50,1038.899691
-50.0,50,1043.151562
-50.0,50,1047.267637
-50.0,50,1053.278596
-50.0,50,1056.061433
-50.0,50,1061.398842
-50.0,50,1067.480503
-50.0,50,1072.422543
-50.0,50,1074.470928
-50.0,50,1075.921883
-50.0,50,1076.533908
-50.0,50,1077.210086
-50.0,50,1077.7294
-50.0,50,1078.270076
-50.0,50,1079.298541
-50.0,50,1081.292801
-50.0,50,1082.739245
-50.0,50,1083.32137
-50.0,50,1087.034943
-50.0,50,1091.425112
-50.0,50,1094.099215
-50.0,50,1098.072038
-50.0,50,1100.677778
-50.0,50,1103.865761
-50.0,50,1108.47308
-50.0,50,1111.143792
-50.0,50,1116.171243
-50.0,50,1118.875187
-50.0,50,1121.504108
-50.0,50,1124.077183
-50.0,50,1127.412024
-50.0,50,1131.972243
-50.0,50,1134.639331
-50.0,50,1137.320748
-50.0,50,1141.121296
-50.0,50,1143.753149
-50.0,50,1147.569276
-50.0,50,1151.642291
-50.0,50,1155.182337
-50.0,50,1158.294783
-50.0,50,1162.250671
-50.0,50,1164.946985
-50.0,50,1167.606995
-50.0,50,1170.218333
-50.0,50,1172.843537
-50.0,50,1175.615896
-50.0,50,1180.536964
-50.0,50,1183.154624
-50.0,50,1186.994728
-50.0,50,1189.574041
-50.0,50,1192.292923
-50.0,50,1195.398915
-50.0,50,1200.077024
-50.0,50,1202.753417
-50.0,50,1205.333925
-50.0,50,1209.855621
-50.0,50,1213.154519
-50.0,50,1218.331024
-50.0,50,1220.983916
-50.0,50,1223.605142
-50.0,50,1226.303112
-50.0,50,1230.260327
-50.0,50,1234.173681
-50.0,50,1236.897565
-50.0,50,1239.511497
-50.0,50,1244.709146
-50.0,50,1247.341523
-50.0,50,1249.968413
-50.0,50,1250.449051
-50.0,50,1250.934156
-50.0,50,1251.406144
-50.0,50,1251.874491
-50.0,50,1252.366096
-50.0,50,1252.834228
-50.0,50,1254.330306
-50.0,50,1255.893783
-50.0,50,1257.093518
-50.0,50,1257.618722
-50.0,50,1260.269209
-50.0,50,1262.875368
-50.0,50,1266.498972
-50.0,50,1269.530795
-50.0,50,1272.231083
-50.0,50,1276.523823
-50.0,50,1280.682028
-50.0,50,1285.631437
-50.0,50,1288.948653
-50.0,50,1291.674923
-50.0,50,1296.87709
-50.0,50,1299.627086
-50.0,50,1305.01652
-50.0,50,1307.689657
-50.0,50,1311.562706
-50.0,50,1314.604906
-50.0,50,1320.026143
-50.0,50,1322.884371
-50.0,50,1327.416902
-50.0,50,1331.335255
-50.0,50,1335.42072
-50.0,50,1338.127434
-50.0,50,1342.262811
-50.0,50,1346.515657
-50.0,50,1350.426432
-50.0,50,1353.275141
-50.0,50,1357.16455
-50.0,50,1359.882809
-50.0,50,1366.202649
-50.0,50,1368.960236
-50.0,50,1371.637234
-50.0,50,1374.339805
-50.0,50,1378.39439
-50.0,50,1381.084091
-50.0,50,1384.847916
-50.0,50,1389.169181
-50.0,50,1392.453206
-50.0,50,1397.162578
-50.0,50,1399.986428
-50.0,50,1402.813473
-50.0,50,1408.047123
-50.0,50,1410.707083
-50.0,50,1415.230106
-50.0,50,1417.920493
-50.0,50,1422.298172
-50.0,50,1424.986532
-50.0,50,1427.638593
-50.0,50,1432.078662
-50.0,50,1434.937253
-50.0,50,1437.604075
-50.0,50,1438.762175
-50.0,50,1440.325036
-50.0,50,1440.916506
-50.0,50,1441.377504
-50.0,50,1442.218128
-50.0,50,1443.625623
-50.0,50,1445.173675
-50.0,50,1446.658851
-50.0,50,1447.128419
-50.0,50,1447.598372
-50.0,50,1452.023667
-50.0,50,1454.693678
-50.0,50,1457.364176
-50.0,50,1460.030809
-50.0,50,1462.751719
-50.0,50,1468.41618
-50.0,50,1472.45604
-50.0,50,1475.558794
-50.0,50,1479.898345
-50.0,50,1482.556067
-50.0,50,1486.306193
-50.0,50,1490.925606
-50.0,50,1493.621419
-50.0,50,1496.881108
-50.0,50,1500.176456
-50.0,50,1504.297351
-50.0,50,1507.122839
-50.0,50,1511.401037
-50.0,50,1515.808027
-50.0,50,1518.556724
-50.0,50,1522.912653
-50.0,50,1525.886962
-50.0,50,1530.033321
-50.0,50,1532.692461
-50.0,50,1536.779705
-50.0,50,1539.959961
-50.0,50,1544.485081
-50.0,50,1547.240294
-50.0,50,1549.931216
-50.0,50,1552.604762
-50.0,50,1557.198066
-50.0,50,1559.906501
-50.0,50,1564.469274
-50.0,50,1569.207879
-50.0,50,1571.937071
-50.0,50,1576.52395
-50.0,50,1579.258098
-50.0,50,1583.003542
-50.0,50,1587.387892
-50.0,50,1590.773306
-50.0,50,1594.604003
-50.0,50,1597.30339
-50.0,50,1601.846035
-50.0,50,1604.491647
-50.0,50,1608.819517
-50.0,50,1611.447576
-50.0,50,1614.101244
-50.0,50,1616.761609
-50.0,50,1621.333999
-50.0,50,1624.025833
-50.0,50,1624.475115
-50.0,50,1624.962513
-50.0,50,1625.396018
-50.0,50,1625.879805
-50.0,50,1626.333429
-50.0,50,1627.369923
-50.0,50,1628.993821
-50.0,50,1629.777262
-50.0,50,1630.240747
-50.0,50,1630.733603
-50.0,50,1633.422339
-50.0,50,1636.065675
-50.0,50,1638.679403
-50.0,50,1643.112383
-50.0,50,1645.7357
-50.0,50,1648.34466
-50.0,50,1652.797576
-50.0,50,1655.682507
-50.0,50,1661.391385
-50.0,50,1666.3467
-50.0,50,1669.546637
-50.0,50,1673.843071
-50.0,50,1676.52871
-50.0,50,1680.545269
-50.0,50,1683.876089
-50.0,50,1686.586957
-50.0,50,1691.159926
-50.0,50,1693.87551
-50.0,50,1698.356985
-50.0,50,1701.049929
-50.0,50,1705.644922
-50.0,50,1708.278965
-50.0,50,1710.89669
-50.0,50,1713.554762
-50.0,50,1718.089093
-50.0,50,1720.827277
-50.0,50,1723.533434
-50.0,50,1726.192435
-50.0,50,1728.806132
-50.0,50,1733.136208
-50.0,50,1735.799184
-50.0,50,1738.377493
-50.0,50,1741.264675
-50.0,50,1744.054434
-50.0,50,1746.637426
-50.0,50,1749.337636
-50.0,50,1752.003164
-50.0,50,1754.637297
-50.0,50,1757.323262
-50.0,50,1759.979085
-50.0,50,1762.591534
-50.0,50,1765.25474
-50.0,50,1767.895002
-50.0,50,1770.542439
-50.0,50,1773.184726
-50.0,50,1775.801621
-50.0,50,1778.49456
-50.0,50,1781.140955
-50.0,50,1783.826533
-50.0,50,1786.434859
-50.0,50,1786.91115
-50.0,50,1787.363817
-50.0,50,1787.819223
-50.0,50,1788.27485
-50.0,50,1788.792977
-50.0,50,1789.231577
-50.0,50,1789.710589
-50.0,50,1790.187381
-50.0,50,1790.628808
-50.0,50,1791.329279
-50.0,50,1793.999641
-50.0,50,1796.651767
-50.0,50,1799.280952
-50.0,50,1801.940034
-50.0,50,1804.592457
-50.0,50,1807.200651
-50.0,50,1809.83874
-50.0,50,1812.498706
-50.0,50,1815.200908
-50.0,50,1817.835304
-50.0,50,1820.58728
-50.0,50,1823.313433
-50.0,50,1825.937055
-50.0,50,1828.572679
-50.0,50,1831.25012
-50.0,50,1833.957178
-50.0,50,1836.725849
-50.0,50,1839.553002
-50.0,50,1842.399946
-50.0,50,1845.347324
-50.0,50,1848.120592
-50.0,50,1850.838566
-50.0,50,1853.770457
-50.0,50,1856.741162
-50.0,50,1859.50878
-50.0,50,1862.254695
-50.0,50,1864.964793
-50.0,50,1867.728857
-50.0,50,1870.456119
-50.0,50,1873.122792
-50.0,50,1875.793467
-50.0,50,1878.417129
-50.0,50,1881.192985
-50.0,50,1884.072143
-50.0,50,1886.81474
-50.0,50,1889.454458
-50.0,50,1892.076429
-50.0,50,1894.84819
-50.0,50,1897.561868
-50.0,50,1900.326226
-50.0,50,1903.151859
-50.0,50,1906.055866
-50.0,50,1908.683998
-50.0,50,1911.429096
-50.0,50,1914.216074
-50.0,50,1916.928304
-50.0,50,1919.553907
-50.0,50,1922.308841
-50.0,50,1924.966876
-50.0,50,1927.745168
-50.0,50,1928.231972
-50.0,50,1928.736979
-50.0,50,1929.268766
-50.0,50,1929.779253
-50.0,50,1930.276224
