epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.81568706,0.26470652,0.17426205,0.092821054,20.0,-3.3135128,0.0,100.0,0.0
1,0.8160243,0.27036607,0.17338341,0.09386937,40.0,-5.473027,0.0,200.0,0.0
2,0.8167702,0.2717707,0.17355849,0.09563167,60.0,-7.698851,0.0,300.0,0.0
3,0.81660616,0.27080688,0.17337456,0.094647825,80.0,-9.870668,0.0,400.0,0.0
4,0.8162481,0.27002925,0.17329007,0.0945503,100.0,-12.054743,0.0,500.0,0.0
5,0.81563246,0.27142075,0.17317718,0.09481826,120.0,-14.150454,0.0,600.0,0.0
6,0.81512105,0.27107486,0.1731553,0.094100274,140.0,-16.19216,0.0,700.0,0.0
7,0.81570613,0.26964596,0.17330734,0.0932853,160.0,-18.241709,0.0,800.0,0.0
8,0.8158442,0.2694351,0.17332937,0.0927895,180.0,-20.245687,0.0,900.0,0.0
9,0.8164285,0.26988307,0.17343138,0.0928297,200.0,-22.174473,0.0,1000.0,0.0
10,0.81695354,0.27009836,0.17344044,0.09347085,220.0,-24.062977,0.0,1100.0,0.0
11,0.81702536,0.26982903,0.17336519,0.09396829,240.0,-25.815704,0.0,1200.0,0.0
12,0.8170968,0.26998016,0.17341076,0.09488105,260.0,-26.968307,0.0,1300.0,0.0
13,0.8168432,0.26992792,0.17324372,0.096288055,280.0,-27.832464,0.0,1400.0,0.0
14,0.8160446,0.27076754,0.17302096,0.097995065,300.0,-29.19151,0.0,1500.0,0.0
15,0.8158239,0.27137792,0.17299618,0.09951673,320.0,-30.510723,0.0,1600.0,0.0
16,0.8149521,0.27223217,0.1729279,0.10131099,340.0,-31.955969,0.0,1700.0,0.0
17,0.814648,0.27271947,0.1729936,0.10275458,360.0,-33.988953,0.0,1800.0,0.0
18,0.8143169,0.27250877,0.17301245,0.10370424,380.0,-35.2504,0.0,1900.0,0.0
19,0.8141314,0.2725698,0.1729838,0.10456755,400.0,-37.003334,0.0,2000.0,0.0
20,0.8141794,0.2731028,0.17297411,0.105589375,420.0,-38.131115,0.0,2100.0,0.0
21,0.81401217,0.27392235,0.17297894,0.1069061,440.0,-39.202423,0.0,2200.0,0.0
22,0.8139737,0.27475512,0.1729058,0.10810946,460.0,-41.052456,0.0,2300.0,0.0
23,0.81420106,0.27689114,0.17289402,0.10954219,480.0,-42.170578,0.0,2400.0,0.0
24,0.8142187,0.2784271,0.17283528,0.111102745,500.0,-44.202988,0.0,2500.0,0.0
25,0.81445915,0.28114873,0.17286204,0.11365958,520.0,-45.15136,0.0,2600.0,0.0
26,0.8147518,0.28393534,0.17292003,0.11626055,540.0,-46.284412,0.0,2700.0,0.0
27,0.815059,0.2865058,0.17308971,0.11917458,560.0,-47.26782,0.0,2800.0,0.0009999999776482583
28,0.8151005,0.28987813,0.1733014,0.12226993,580.0,-48.830242,0.0,2900.0,0.0
29,0.8151801,0.29428536,0.17344373,0.12596758,600.0,-49.847202,0.0,3000.0,0.0
30,0.815005,0.29830095,0.17354107,0.12932406,620.0,-48.816242,0.0,3100.0,0.0009999999776482583
31,0.81579083,0.3019764,0.17387669,0.13292815,640.0,-49.783016,0.005000000074505806,3200.0,0.0009999999776482583
32,0.8168893,0.30392307,0.17425188,0.13569307,660.0,-50.152687,0.0,3300.0,0.0009999999776482583
33,0.8183921,0.30574366,0.1746754,0.13839069,680.0,-51.656883,0.0,3400.0,0.0009999999776482583
34,0.8201073,0.3079191,0.17508057,0.14131527,700.0,-51.449585,0.0,3500.0,0.0009999999776482583
35,0.8219469,0.31065533,0.17544527,0.14454643,720.0,-51.9636,0.0,3600.0,0.0
36,0.8238562,0.31315297,0.17584224,0.14794655,740.0,-52.714184,0.0,3700.0,0.0
37,0.82628745,0.3165814,0.17626987,0.15117466,760.0,-53.40285,0.0,3800.0,0.0
38,0.8284751,0.31888053,0.17667986,0.15399833,780.0,-54.43685,0.0,3900.0,0.0019999999552965165
39,0.83085203,0.32281038,0.17716263,0.15732236,800.0,-53.55549,0.0,4000.0,0.0
40,0.8327273,0.3253179,0.17749754,0.15980072,820.0,-54.77364,0.0,4100.0,0.0019999999552965165
41,0.8343585,0.32805005,0.17775394,0.16187507,840.0,-56.397087,0.0,4200.0,0.0
42,0.83551776,0.33046448,0.17782013,0.16364518,860.0,-55.43801,0.0,4300.0,0.0009999999776482583
43,0.83645123,0.33211383,0.17790216,0.16493833,880.0,-57.451454,0.0,4400.0,0.0019999999552965165
44,0.8370134,0.3329912,0.17793041,0.16563761,900.0,-56.633293,0.0,4500.0,0.0009999999776482583
45,0.8369767,0.33293602,0.17787543,0.16546883,920.0,-56.122864,0.0,4600.0,0.0
46,0.8367876,0.3325811,0.17785141,0.16514103,940.0,-56.173634,0.0,4700.0,0.0
47,0.8366318,0.332167,0.17783344,0.16493471,960.0,-56.56649,0.0,4800.0,0.0
48,0.83654517,0.33203614,0.17779541,0.16474389,980.0,-57.741394,0.0,4900.0,0.0
49,0.8363674,0.33193147,0.17772736,0.16461329,1000.0,-57.867817,0.0,5000.0,0.0
