# {"t_start": 1580854070.5927758, "env_id": "FetchSlideball-v6"} 
r,l,t
-75.0,75,11.325522
-75.0,75,17.143386
-75.0,75,22.665583
-75.0,75,25.669927
-75.0,75,29.791847
-75.0,75,32.946462
-75.0,75,38.612924
-75.0,75,43.536272
-75.0,75,48.898704
-75.0,75,53.362061
-75.0,75,58.803758
-75.0,75,64.396545
-75.0,75,69.263773
-75.0,75,73.292222
-75.0,75,79.242195
-75.0,75,83.18655
-75.0,75,88.637288
-75.0,75,93.191781
-75.0,75,96.159199
-75.0,75,100.470566
-75.0,75,106.836783
-75.0,75,110.397236
-75.0,75,115.423295
-75.0,75,121.138016
-75.0,75,124.654502
-75.0,75,130.077367
-75.0,75,133.351423
-75.0,75,138.140588
-75.0,75,141.709457
-75.0,75,148.79466
-75.0,75,151.930279
-75.0,75,158.261945
-75.0,75,163.184214
-75.0,75,167.105349
-75.0,75,170.958612
-75.0,75,176.369342
-75.0,75,181.610161
-75.0,75,190.108599
-75.0,75,195.175295
-75.0,75,200.746505
-75.0,75,203.939963
-75.0,75,208.296456
-75.0,75,212.865476
-75.0,75,218.91775
-75.0,75,222.350311
-75.0,75,226.790068
-75.0,75,234.217537
-75.0,75,237.603079
-75.0,75,243.561431
-75.0,75,247.230342
-75.0,75,253.117071
-75.0,75,253.915842
-75.0,75,254.711123
-75.0,75,255.457029
-75.0,75,257.848402
-75.0,75,259.845643
-75.0,75,260.56793
-75.0,75,261.297395
-75.0,75,262.096141
-75.0,75,262.772734
-75.0,75,263.660185
-75.0,75,268.129635
-75.0,75,272.58093
-75.0,75,278.45425
-75.0,75,282.253125
-75.0,75,287.160308
-75.0,75,292.723407
-75.0,75,296.25632
-75.0,75,301.789417
-75.0,75,306.37461
-75.0,75,310.832116
-75.0,75,314.682369
-75.0,75,320.329512
-75.0,75,326.342317
-75.0,75,329.748526
-75.0,75,334.126263
-75.0,75,340.452915
-75.0,75,344.115967
-75.0,75,349.718562
-75.0,75,352.634406
-75.0,75,358.213318
-75.0,75,362.185463
-75.0,75,366.802875
-75.0,75,371.23445
-75.0,75,374.173817
-75.0,75,379.573029
-75.0,75,382.758708
-75.0,75,388.051597
-75.0,75,390.900681
-75.0,75,395.068894
-75.0,75,400.935395
-75.0,75,404.078684
-75.0,75,409.514127
-75.0,75,412.724192
-75.0,75,418.080298
-75.0,75,421.238141
-75.0,75,426.989322
-75.0,75,433.302742
-75.0,75,437.207541
-75.0,75,442.306753
-75.0,75,449.952516
-75.0,75,456.674833
-75.0,75,460.864656
-75.0,75,467.347985
-75.0,75,474.566944
-75.0,75,479.807589
-75.0,75,486.427805
-75.0,75,493.526493
-75.0,75,497.667167
-75.0,75,504.460901
-75.0,75,510.904472
-75.0,75,513.385757
-75.0,75,515.597098
-75.0,75,516.469938
-75.0,75,517.372034
-75.0,75,518.277555
-75.0,75,519.164325
-75.0,75,521.76281
-75.0,75,523.869042
-75.0,75,524.711823
-75.0,75,525.592652
-75.0,75,532.177608
-75.0,75,536.451964
-75.0,75,542.924292
-75.0,75,548.180806
-75.0,75,556.344338
-75.0,75,560.87089
-75.0,75,566.899852
-75.0,75,574.092165
-75.0,75,579.871542
-75.0,75,585.61621
-75.0,75,591.414903
-75.0,75,597.264117
-75.0,75,603.14575
-75.0,75,610.230575
-75.0,75,617.02941
-75.0,75,623.040618
-75.0,75,629.184446
-75.0,75,635.375988
-75.0,75,642.435931
-75.0,75,648.589632
-75.0,75,654.659604
-75.0,75,660.364276
-75.0,75,666.256052
-75.0,75,672.296066
-75.0,75,679.587056
-75.0,75,685.814955
-75.0,75,688.951723
-75.0,75,693.728374
-75.0,75,696.806428
-75.0,75,699.714952
-75.0,75,702.558265
-75.0,75,705.547092
-75.0,75,708.429014
-75.0,75,711.344375
-75.0,75,714.206449
-75.0,75,717.120677
-75.0,75,719.975986
-75.0,75,722.89492
-75.0,75,725.775913
-75.0,75,728.622761
-75.0,75,731.523715
-75.0,75,734.701614
-75.0,75,737.730111
-75.0,75,740.725815
-75.0,75,743.755236
-75.0,75,746.720159
-75.0,75,749.788185
-75.0,75,752.805126
-75.0,75,755.892136
-75.0,75,758.972565
-75.0,75,759.749589
-75.0,75,760.504249
-75.0,75,761.267247
-75.0,75,762.049204
-75.0,75,762.792645
-75.0,75,763.592536
-75.0,75,764.386288
-75.0,75,765.150146
-75.0,75,765.899714
-75.0,75,766.693963
-75.0,75,769.604661
-75.0,75,772.597937
-75.0,75,775.597369
-75.0,75,778.541496
-75.0,75,781.58165
-75.0,75,784.54221
-75.0,75,787.739393
-75.0,75,790.736763
-75.0,75,793.677574
-75.0,75,796.967053
-75.0,75,800.743149
-75.0,75,803.789857
-75.0,75,806.717599
-75.0,75,809.707058
-75.0,75,813.371831
-75.0,75,816.890688
-75.0,75,820.441916
-75.0,75,823.699689
-75.0,75,827.082797
-75.0,75,830.778922
-75.0,75,834.73637
-75.0,75,838.231867
-75.0,75,842.259777
-75.0,75,846.279953
-75.0,75,850.344774
-75.0,75,854.404766
-75.0,75,858.394004
-75.0,75,862.383526
-75.0,75,866.340231
-75.0,75,870.417253
-75.0,75,874.42103
-75.0,75,878.536192
-75.0,75,882.472381
-75.0,75,886.459653
-75.0,75,890.482283
-75.0,75,894.569693
-75.0,75,898.537543
-75.0,75,902.528362
-75.0,75,906.77983
-75.0,75,910.638469
-75.0,75,914.704125
-75.0,75,918.838695
-75.0,75,922.796271
-75.0,75,926.830853
-75.0,75,930.878712
-75.0,75,934.917121
-75.0,75,938.984783
-75.0,75,943.047662
-75.0,75,947.098241
-75.0,75,951.240804
-75.0,75,952.222755
-75.0,75,953.212751
-75.0,75,954.204064
-75.0,75,955.176536
-75.0,75,956.103622
-75.0,75,957.075049
-75.0,75,958.053856
