# {"env_id": "FetchSlideball-v6", "t_start": 1580854071.892527} 
r,l,t
-75.0,75,9.951468
-75.0,75,15.879611
-75.0,75,21.351743
-75.0,75,24.390975
-75.0,75,28.505856
-75.0,75,31.686416
-75.0,75,37.190832
-75.0,75,42.292669
-75.0,75,47.609739
-75.0,75,52.099816
-75.0,75,57.469993
-75.0,75,63.147306
-75.0,75,68.023656
-75.0,75,72.031586
-75.0,75,77.840731
-75.0,75,81.968774
-75.0,75,87.341825
-75.0,75,91.905705
-75.0,75,94.894465
-75.0,75,99.2778
-75.0,75,105.559375
-75.0,75,109.161009
-75.0,75,114.082026
-75.0,75,119.937014
-75.0,75,123.358191
-75.0,75,128.800635
-75.0,75,132.111581
-75.0,75,136.897972
-75.0,75,140.420837
-75.0,75,147.532566
-75.0,75,150.577224
-75.0,75,156.993356
-75.0,75,161.762358
-75.0,75,165.78957
-75.0,75,169.788797
-75.0,75,175.029871
-75.0,75,180.331253
-75.0,75,189.150363
-75.0,75,193.839575
-75.0,75,199.446431
-75.0,75,202.692814
-75.0,75,207.098962
-75.0,75,211.572216
-75.0,75,217.611134
-75.0,75,221.080412
-75.0,75,225.459976
-75.0,75,232.91076
-75.0,75,236.245875
-75.0,75,242.552285
-75.0,75,245.93916
-75.0,75,251.838618
-75.0,75,252.603142
-75.0,75,253.424751
-75.0,75,254.235899
-75.0,75,256.791192
-75.0,75,258.651682
-75.0,75,259.330607
-75.0,75,260.040857
-75.0,75,260.787522
-75.0,75,261.489334
-75.0,75,262.370451
-75.0,75,266.843975
-75.0,75,271.172202
-75.0,75,277.171697
-75.0,75,280.975548
-75.0,75,285.869482
-75.0,75,291.313141
-75.0,75,295.010545
-75.0,75,300.539572
-75.0,75,305.217828
-75.0,75,309.496459
-75.0,75,313.586627
-75.0,75,319.025781
-75.0,75,325.019432
-75.0,75,328.442291
-75.0,75,332.826897
-75.0,75,339.222683
-75.0,75,342.782016
-75.0,75,348.407369
-75.0,75,351.353878
-75.0,75,356.903556
-75.0,75,360.750628
-75.0,75,365.496743
-75.0,75,369.92209
-75.0,75,372.84221
-75.0,75,378.276386
-75.0,75,381.623626
-75.0,75,386.735301
-75.0,75,389.651961
-75.0,75,393.831564
-75.0,75,399.651892
-75.0,75,402.600641
-75.0,75,408.192399
-75.0,75,411.41536
-75.0,75,416.804504
-75.0,75,419.821978
-75.0,75,425.589871
-75.0,75,432.071387
-75.0,75,435.915227
-75.0,75,440.987919
-75.0,75,448.78517
-75.0,75,455.394116
