# {"env_id": "FetchToss-v11", "t_start": 1585239965.179829} 
r,l,t
-50.0,50,6.134643
-50.0,50,8.934503
-50.0,50,11.539383
-50.0,50,14.150136
-50.0,50,16.702305
-50.0,50,19.301553
-50.0,50,21.902365
-50.0,50,24.506593
-50.0,50,27.102461
-50.0,50,29.695521
-50.0,50,32.302097
-50.0,50,34.87326
-50.0,50,37.484646
-50.0,50,40.110722
-50.0,50,42.751819
-50.0,50,45.311655
-50.0,50,47.937802
-50.0,50,50.528502
-50.0,50,53.104099
-50.0,50,55.736403
-50.0,50,58.321308
-50.0,50,60.886567
-50.0,50,63.46351
-50.0,50,66.071136
-50.0,50,68.631432
-50.0,50,71.2167
-50.0,50,73.80815
-50.0,50,76.425974
-50.0,50,79.039782
-50.0,50,81.601609
-50.0,50,84.237455
-50.0,50,86.825748
-50.0,50,89.394961
-50.0,50,92.015234
-50.0,50,94.586886
-50.0,50,97.192413
-50.0,50,99.76803
-50.0,50,102.364798
-50.0,50,105.024747
-50.0,50,107.628994
-50.0,50,110.190768
-50.0,50,112.798711
-50.0,50,115.428679
-50.0,50,118.002436
-50.0,50,120.600739
-50.0,50,123.185375
-50.0,50,125.800196
-50.0,50,128.401623
-50.0,50,131.003311
0.0,50,133.658969
-50.0,50,136.290632
-50.0,50,136.708699
-50.0,50,137.145787
-50.0,50,137.584018
-50.0,50,138.026873
-50.0,50,138.466069
-50.0,50,138.887132
-50.0,50,139.339481
-50.0,50,139.787186
-50.0,50,140.238259
-50.0,50,140.764377
-50.0,50,143.378707
-50.0,50,145.973251
-50.0,50,148.57307
-50.0,50,151.17127
-50.0,50,153.743224
-50.0,50,156.304322
-50.0,50,158.960667
-50.0,50,161.508302
-50.0,50,164.113198
-50.0,50,166.770538
-50.0,50,169.362298
-50.0,50,171.956036
-50.0,50,174.56316
-50.0,50,177.188018
-50.0,50,179.789077
-50.0,50,182.416393
-50.0,50,185.012334
-50.0,50,187.627752
-50.0,50,190.225838
-50.0,50,192.798833
-50.0,50,195.43548
-50.0,50,198.017864
-49.0,50,200.614787
-50.0,50,203.20095
-50.0,50,205.756835
-50.0,50,208.44285
-50.0,50,210.784042
-50.0,50,213.107557
-50.0,50,215.372537
-50.0,50,217.636224
-50.0,50,219.892241
-50.0,50,222.165501
-50.0,50,224.412395
-50.0,50,226.731975
-50.0,50,228.991346
-50.0,50,231.314655
-50.0,50,233.564058
-50.0,50,235.831854
-50.0,50,238.100955
-50.0,50,240.369156
-50.0,50,242.677754
-50.0,50,244.956201
-50.0,50,247.211468
-50.0,50,249.461378
-50.0,50,251.757865
-50.0,50,254.006761
-50.0,50,256.254552
-50.0,50,258.577393
-50.0,50,260.842759
-50.0,50,263.180103
-50.0,50,263.557254
-50.0,50,263.938233
-50.0,50,264.313115
-50.0,50,264.701173
-50.0,50,265.095649
-50.0,50,265.490916
-50.0,50,265.879187
-50.0,50,266.25748
-50.0,50,266.64335
-50.0,50,267.046913
-50.0,50,269.324983
-50.0,50,271.574646
-50.0,50,273.851054
-50.0,50,276.111721
-50.0,50,278.360659
-50.0,50,280.67147
-50.0,50,282.926876
-50.0,50,285.202775
-50.0,50,287.467195
-50.0,50,289.737212
-50.0,50,291.996724
-50.0,50,294.284483
-50.0,50,296.587651
-50.0,50,298.845205
-50.0,50,301.117567
-50.0,50,303.398376
-50.0,50,305.645423
-50.0,50,307.92282
-50.0,50,310.205139
-50.0,50,312.497932
-50.0,50,314.755384
-50.0,50,317.011829
-50.0,50,319.320487
-50.0,50,321.587459
-50.0,50,323.823374
-50.0,50,326.125933
-50.0,50,328.390481
-50.0,50,330.701902
-50.0,50,332.955821
-50.0,50,335.239588
-50.0,50,337.475977
-50.0,50,339.763657
-50.0,50,342.012484
-50.0,50,344.306143
-50.0,50,346.563917
-50.0,50,348.85121
-50.0,50,351.113922
-50.0,50,353.402761
-50.0,50,355.688198
-50.0,50,357.941564
-50.0,50,360.227957
-50.0,50,362.491142
-50.0,50,364.742161
-50.0,50,367.024871
-50.0,50,369.313791
-50.0,50,371.577881
-50.0,50,373.823188
-50.0,50,376.097376
-50.0,50,378.343936
-50.0,50,380.618951
-50.0,50,381.00591
-50.0,50,381.373946
-50.0,50,381.775311
-50.0,50,382.164098
-50.0,50,382.533939
-50.0,50,382.907951
-50.0,50,383.307565
-50.0,50,383.671371
-50.0,50,384.061138
0.0,50,384.519756
-50.0,50,386.776205
-50.0,50,389.061526
-50.0,50,391.324976
-50.0,50,393.593712
0.0,50,395.875032
-50.0,50,398.125503
-50.0,50,400.429729
-50.0,50,402.667506
-50.0,50,404.99292
-50.0,50,407.230543
-50.0,50,409.490917
-50.0,50,411.759596
-50.0,50,414.023414
-50.0,50,416.278565
-50.0,50,418.531294
-50.0,50,420.762924
-50.0,50,423.009507
-50.0,50,425.223433
-50.0,50,427.496965
-50.0,50,429.716572
-50.0,50,431.984489
-50.0,50,434.217725
-50.0,50,436.493502
-50.0,50,438.689834
-50.0,50,440.942726
-50.0,50,443.204266
-50.0,50,445.425094
-50.0,50,447.670399
-50.0,50,449.934374
-50.0,50,452.17571
-50.0,50,454.436229
-50.0,50,456.703905
-50.0,50,458.951743
-50.0,50,461.180711
-50.0,50,463.42097
-50.0,50,465.675911
-50.0,50,467.948558
-50.0,50,470.151479
-50.0,50,472.406831
-50.0,50,474.707748
-50.0,50,476.95548
-49.0,50,479.199901
-50.0,50,481.45121
-50.0,50,483.671145
-50.0,50,485.92219
-50.0,50,488.160351
-50.0,50,490.441341
-50.0,50,492.669158
-50.0,50,494.934896
-50.0,50,497.16563
-50.0,50,497.550863
-50.0,50,497.932045
-50.0,50,498.299949
-50.0,50,498.710818
-50.0,50,499.092994
-50.0,50,499.515942
-50.0,50,499.927575
-50.0,50,500.310761
-50.0,50,500.715798
-50.0,50,501.120254
-50.0,50,503.429393
-50.0,50,505.674705
-50.0,50,507.96069
-50.0,50,510.217145
-50.0,50,512.447516
-50.0,50,514.679386
-50.0,50,516.960436
-50.0,50,519.212433
-50.0,50,521.438658
-48.0,50,523.722425
-50.0,50,525.940394
-50.0,50,528.211194
-50.0,50,530.485148
-50.0,50,532.686023
-50.0,50,534.97598
-50.0,50,537.214104
-50.0,50,539.465899
-47.0,50,541.739382
-50.0,50,543.995124
-50.0,50,546.240574
-50.0,50,548.457098
-50.0,50,550.696126
-50.0,50,552.967451
-50.0,50,555.256707
-50.0,50,557.484588
-50.0,50,559.745467
-50.0,50,562.021063
-50.0,50,564.302059
-50.0,50,566.524869
-50.0,50,568.765645
-50.0,50,571.006957
-24.0,50,573.257496
-28.0,50,575.52076
-50.0,50,577.786582
-50.0,50,580.017076
-50.0,50,582.280789
-50.0,50,584.503363
-50.0,50,586.792508
-49.0,50,589.05103
-50.0,50,591.303426
-50.0,50,593.571642
-50.0,50,595.788463
-50.0,50,598.022615
-50.0,50,600.297472
-50.0,50,602.54345
-50.0,50,604.842812
-50.0,50,607.089552
-50.0,50,609.389864
-50.0,50,611.625976
-48.0,50,613.857465
-50.0,50,614.281553
-50.0,50,614.663788
-50.0,50,615.029978
-50.0,50,615.409568
-20.0,50,615.786201
-50.0,50,616.197463
-50.0,50,616.543416
-50.0,50,616.913995
-50.0,50,617.323948
-50.0,50,617.859944
-50.0,50,620.120406
-50.0,50,622.326049
-50.0,50,624.61904
-50.0,50,626.916391
-50.0,50,629.148805
-50.0,50,631.417259
-50.0,50,633.658373
-50.0,50,635.900566
-50.0,50,638.127259
-50.0,50,640.387205
-50.0,50,642.634541
-50.0,50,644.927537
-50.0,50,647.155054
-50.0,50,649.432042
-49.0,50,651.714582
-50.0,50,653.976875
-50.0,50,656.193262
-50.0,50,658.525675
-48.0,50,660.75574
-50.0,50,662.976066
-45.0,50,665.246139
-50.0,50,667.506424
-50.0,50,669.764848
-50.0,50,671.991799
-49.0,50,674.24342
-50.0,50,676.451713
-50.0,50,678.743896
-38.0,50,681.005483
-50.0,50,683.270299
-50.0,50,685.505419
-48.0,50,687.752206
-50.0,50,690.03494
-50.0,50,692.26966
-50.0,50,694.519278
