# {"t_start": 1585593207.6460056, "env_id": "FetchToss-v12"} 
r,l,t
-50.0,50,8.957584
-50.0,50,12.285429
-50.0,50,15.931991
-50.0,50,19.214963
-50.0,50,22.955036
0.0,50,26.688727
-50.0,50,30.341831
-50.0,50,34.08034
-50.0,50,37.743018
-50.0,50,41.371182
-50.0,50,44.999842
-50.0,50,48.652104
-50.0,50,52.363545
-50.0,50,56.004272
-50.0,50,59.653124
-50.0,50,63.322834
-50.0,50,66.984719
-50.0,50,70.664074
-50.0,50,74.305152
-50.0,50,77.962318
-50.0,50,81.734862
-50.0,50,85.44227
-50.0,50,89.15161
-50.0,50,92.821962
-50.0,50,96.545686
-50.0,50,100.251818
-50.0,50,103.960355
-50.0,50,107.595359
-50.0,50,111.233883
-50.0,50,114.880728
-50.0,50,118.617576
-50.0,50,122.360496
-50.0,50,126.109223
-50.0,50,129.817533
-50.0,50,133.547375
-50.0,50,137.172757
-50.0,50,140.627005
-50.0,50,143.670681
-50.0,50,146.397516
-50.0,50,149.111853
-50.0,50,151.815745
-50.0,50,154.438884
-50.0,50,157.097851
-50.0,50,159.703669
-50.0,50,162.355772
-50.0,50,165.087105
-50.0,50,167.965074
-50.0,50,170.639412
-50.0,50,173.302864
-50.0,50,175.999069
-50.0,50,178.682827
0.0,50,179.144413
-50.0,50,179.595812
-50.0,50,180.075022
-50.0,50,180.501175
-50.0,50,180.987237
-50.0,50,181.42706
-50.0,50,181.899538
-50.0,50,182.362392
-50.0,50,182.796533
-50.0,50,183.425805
0.0,50,186.111892
-50.0,50,189.591535
-50.0,50,192.920097
-50.0,50,196.310219
-50.0,50,199.857704
-50.0,50,203.350646
-50.0,50,206.524858
-50.0,50,209.457763
-50.0,50,212.13272
-50.0,50,214.812578
-50.0,50,217.519841
-50.0,50,220.262875
-50.0,50,222.970386
-50.0,50,225.676946
-50.0,50,228.363196
-50.0,50,231.136511
-50.0,50,233.864168
-50.0,50,237.069952
-50.0,50,239.940696
-50.0,50,242.747953
-50.0,50,245.96079
-50.0,50,249.002861
-50.0,50,252.241067
-50.0,50,255.392775
-50.0,50,258.303109
-50.0,50,261.211848
-50.0,50,264.075439
-50.0,50,266.887918
-50.0,50,269.525001
-50.0,50,272.190677
-50.0,50,275.020632
-50.0,50,277.711423
-50.0,50,280.426904
-50.0,50,283.102197
-50.0,50,285.897081
0.0,50,288.587517
-50.0,50,291.476694
-50.0,50,294.167293
-50.0,50,296.933842
-50.0,50,299.779386
-50.0,50,302.43088
-50.0,50,305.24156
-50.0,50,308.20999
-50.0,50,311.059323
-50.0,50,314.219207
-50.0,50,317.398569
-50.0,50,320.691324
-50.0,50,324.565209
-50.0,50,328.0357
-50.0,50,331.054113
-50.0,50,331.540551
-50.0,50,332.021228
-50.0,50,332.533865
-50.0,50,332.992009
-50.0,50,333.443844
-50.0,50,333.906417
-50.0,50,334.39503
-50.0,50,334.860303
-50.0,50,335.314178
-50.0,50,335.874667
-50.0,50,339.023995
-50.0,50,341.763056
-50.0,50,344.469493
-50.0,50,347.102643
-50.0,50,349.724404
-50.0,50,352.329685
-50.0,50,355.026315
-50.0,50,358.152528
-50.0,50,361.009549
-50.0,50,363.89249
-50.0,50,367.176488
-50.0,50,370.119804
-16.0,50,373.013604
-50.0,50,376.829298
-50.0,50,379.913655
-50.0,50,383.405344
-50.0,50,386.71684
-50.0,50,389.604192
-50.0,50,392.553326
-50.0,50,395.388803
-50.0,50,398.420264
-50.0,50,401.348128
-50.0,50,404.335958
-50.0,50,407.400116
-50.0,50,410.338071
-50.0,50,413.345747
-50.0,50,415.998507
-50.0,50,418.612871
-50.0,50,421.662819
-50.0,50,424.607704
-50.0,50,427.245411
-50.0,50,429.908416
-50.0,50,432.551291
-50.0,50,435.228935
