# {"env_id": "FetchToss-v1", "t_start": 1580777380.7103798} 
r,l,t
-50.0,50,5.719072
-50.0,50,8.536596
-50.0,50,11.10871
-50.0,50,13.674343
-50.0,50,16.234713
-50.0,50,18.780648
-50.0,50,21.359078
-50.0,50,23.921321
-50.0,50,26.518658
-50.0,50,29.027123
-50.0,50,31.609889
-50.0,50,34.122951
-50.0,50,36.634321
-50.0,50,39.195638
-50.0,50,41.766283
-50.0,50,44.30317
-50.0,50,46.883939
-50.0,50,49.436542
-50.0,50,51.992714
-50.0,50,54.576415
-50.0,50,57.117861
-50.0,50,59.683062
-50.0,50,62.217779
-50.0,50,64.783655
-50.0,50,67.37842
-50.0,50,69.915829
-50.0,50,72.492914
-50.0,50,75.04975
-50.0,50,77.628483
-50.0,50,80.160088
-50.0,50,82.745214
-50.0,50,85.284157
-50.0,50,87.900145
-50.0,50,90.481937
-50.0,50,93.017476
-50.0,50,95.593401
-50.0,50,98.169487
-50.0,50,100.728173
-50.0,50,103.250105
-50.0,50,105.817707
-50.0,50,108.351496
-50.0,50,110.934531
-50.0,50,113.524581
-50.0,50,116.122117
-50.0,50,118.700418
-50.0,50,121.225763
-50.0,50,123.799559
-50.0,50,126.36017
-50.0,50,128.895866
-50.0,50,131.460421
-50.0,50,134.108601
-50.0,50,134.530999
-50.0,50,134.955167
-50.0,50,135.333122
-50.0,50,135.722944
-50.0,50,136.112082
-50.0,50,136.507338
-50.0,50,136.906262
-50.0,50,137.293411
-50.0,50,137.677363
-50.0,50,138.193138
-50.0,50,140.777402
-50.0,50,143.338475
-50.0,50,145.924659
-50.0,50,148.492862
-50.0,50,151.092324
-50.0,50,154.327792
-50.0,50,156.968238
-50.0,50,159.610498
-50.0,50,162.268158
-50.0,50,164.848125
-50.0,50,167.378798
-50.0,50,169.969523
-50.0,50,172.527039
-50.0,50,175.099195
-50.0,50,177.622268
-50.0,50,180.223216
-50.0,50,182.742144
-50.0,50,185.323003
-50.0,50,187.858239
-50.0,50,190.440349
-50.0,50,193.016381
-50.0,50,195.572379
-50.0,50,198.118098
-50.0,50,200.689715
-50.0,50,203.197602
-50.0,50,205.800815
-50.0,50,208.320589
-50.0,50,210.866525
-50.0,50,213.367624
-50.0,50,215.907558
-50.0,50,218.449773
-50.0,50,221.032579
-50.0,50,223.57406
-50.0,50,226.132761
-50.0,50,228.671184
-50.0,50,231.230343
-50.0,50,233.801609
-50.0,50,236.367645
-50.0,50,238.906775
-50.0,50,241.41605
-50.0,50,243.99079
-50.0,50,246.550638
-50.0,50,249.072676
-50.0,50,251.608889
-50.0,50,254.181643
-50.0,50,256.702781
-50.0,50,259.23159
-50.0,50,261.844941
-50.0,50,264.379514
-50.0,50,266.938556
-50.0,50,267.328501
-50.0,50,267.721093
-50.0,50,268.120857
-50.0,50,268.534633
-50.0,50,268.941651
-50.0,50,269.327168
-50.0,50,269.731413
-50.0,50,270.119153
-50.0,50,270.514331
-50.0,50,270.940251
-50.0,50,273.494303
-50.0,50,276.024295
-50.0,50,278.594268
-50.0,50,281.170436
-50.0,50,283.699532
-50.0,50,286.280588
-50.0,50,288.779466
-50.0,50,291.32438
-50.0,50,293.869771
-50.0,50,296.459458
-50.0,50,298.968844
-50.0,50,301.54721
-50.0,50,304.097281
-50.0,50,306.614763
-50.0,50,309.151923
-50.0,50,311.692879
-50.0,50,314.251049
-50.0,50,316.77842
-50.0,50,319.351748
-50.0,50,321.906223
-50.0,50,324.459649
-50.0,50,326.983613
-50.0,50,329.529461
-50.0,50,332.059599
-50.0,50,334.647004
-50.0,50,337.197614
-50.0,50,339.741441
-50.0,50,342.293344
-50.0,50,344.849548
-50.0,50,347.407236
-50.0,50,349.95642
-50.0,50,352.520308
-50.0,50,355.051816
-50.0,50,357.59604
-50.0,50,360.175254
-50.0,50,362.705629
-50.0,50,365.25404
-50.0,50,367.827393
-50.0,50,370.359278
-50.0,50,372.877615
-50.0,50,375.451558
-50.0,50,377.948129
-50.0,50,380.510599
-50.0,50,383.082642
-50.0,50,385.636874
-50.0,50,388.180929
-50.0,50,390.719601
-50.0,50,393.283015
-50.0,50,395.794884
-50.0,50,398.383779
-50.0,50,398.791502
-50.0,50,399.181539
-50.0,50,399.588791
-50.0,50,400.011081
-50.0,50,400.406353
-50.0,50,400.784267
-50.0,50,401.17537
-50.0,50,401.573038
-50.0,50,401.985871
-50.0,50,402.360889
-50.0,50,404.93864
-50.0,50,407.468968
-50.0,50,410.077248
-50.0,50,412.591985
-50.0,50,415.155653
-50.0,50,417.708778
-50.0,50,420.238618
-50.0,50,422.82358
-50.0,50,425.361556
-50.0,50,427.91985
-50.0,50,430.486069
-50.0,50,433.008019
-50.0,50,435.590108
-50.0,50,438.125351
-50.0,50,440.652461
-50.0,50,443.266803
-50.0,50,445.799362
-50.0,50,448.336626
-50.0,50,450.912146
-50.0,50,453.417241
-50.0,50,455.963063
-50.0,50,458.52913
-50.0,50,461.05315
-50.0,50,463.601306
-50.0,50,466.163718
-50.0,50,468.685522
-50.0,50,471.298922
-50.0,50,473.87315
-50.0,50,476.4241
-50.0,50,478.973176
-50.0,50,481.53459
-50.0,50,484.092658
-50.0,50,486.622692
-50.0,50,489.16001
-50.0,50,491.74099
-50.0,50,494.286329
-50.0,50,496.858951
-50.0,50,499.388759
-50.0,50,501.91974
-50.0,50,504.558093
-50.0,50,507.235385
-50.0,50,509.801795
-50.0,50,512.334438
-50.0,50,514.898109
-50.0,50,517.43943
-50.0,50,519.975123
-50.0,50,522.505505
-50.0,50,525.057914
-50.0,50,527.65592
-50.0,50,530.195051
-50.0,50,530.591271
-50.0,50,530.967014
-50.0,50,531.351252
-50.0,50,531.768085
-50.0,50,532.16845
-50.0,50,532.545301
-50.0,50,532.935838
-50.0,50,533.303384
