# {"t_start": 1580777380.4859488, "env_id": "FetchToss-v1"} 
r,l,t
-50.0,50,5.903724
-50.0,50,8.763566
-50.0,50,11.332408
-50.0,50,13.920465
-50.0,50,16.41485
-50.0,50,19.020766
-50.0,50,21.55952
-50.0,50,24.154881
-50.0,50,26.718414
-50.0,50,29.244789
-50.0,50,31.801879
-50.0,50,34.34381
-50.0,50,36.862113
-50.0,50,39.420729
-50.0,50,41.995169
-50.0,50,44.541206
-50.0,50,47.096488
-50.0,50,49.66183
-50.0,50,52.207098
-50.0,50,54.787539
-50.0,50,57.352753
-50.0,50,59.884138
-50.0,50,62.438089
-50.0,50,65.020097
-50.0,50,67.582073
-50.0,50,70.165859
-50.0,50,72.728216
-50.0,50,75.279948
-50.0,50,77.861682
-50.0,50,80.392503
-50.0,50,82.980303
-50.0,50,85.536834
-50.0,50,88.126588
-50.0,50,90.687528
-50.0,50,93.263674
-50.0,50,95.823651
-50.0,50,98.356563
-50.0,50,100.951618
-50.0,50,103.516258
-50.0,50,106.038566
-50.0,50,108.596872
-50.0,50,111.177546
-50.0,50,113.739542
-50.0,50,116.342313
-50.0,50,118.91577
-50.0,50,121.475319
-50.0,50,123.992005
-50.0,50,126.547387
-50.0,50,129.124439
-50.0,50,131.695016
-50.0,50,134.320929
-50.0,50,134.731248
-50.0,50,135.124432
-50.0,50,135.527887
-50.0,50,135.912428
-50.0,50,136.318604
-50.0,50,136.722596
-50.0,50,137.139974
-50.0,50,137.540178
-50.0,50,137.925296
-50.0,50,138.403007
-50.0,50,141.005827
-50.0,50,143.57552
-50.0,50,146.151639
-50.0,50,148.682856
-50.0,50,151.342239
-50.0,50,154.56374
-50.0,50,157.208611
-50.0,50,159.855351
-50.0,50,162.489563
-50.0,50,165.050817
-50.0,50,167.621989
-50.0,50,170.207078
-50.0,50,172.757985
-50.0,50,175.326236
-50.0,50,177.837464
-50.0,50,180.443492
-50.0,50,182.942542
-50.0,50,185.527598
-50.0,50,188.081636
-50.0,50,190.668798
-50.0,50,193.265988
-50.0,50,195.77789
-50.0,50,198.337971
-50.0,50,200.89343
-50.0,50,203.456274
-50.0,50,206.002534
-50.0,50,208.529633
-50.0,50,211.078305
-50.0,50,213.624125
-50.0,50,216.127123
-50.0,50,218.684973
-50.0,50,221.224796
-50.0,50,223.806377
-50.0,50,226.355573
-50.0,50,228.919411
-50.0,50,231.460065
-50.0,50,234.04755
-50.0,50,236.571638
-50.0,50,239.133401
-50.0,50,241.69248
-50.0,50,244.200158
-50.0,50,246.792992
-50.0,50,249.310833
-50.0,50,251.818518
-50.0,50,254.399045
-50.0,50,256.94615
-50.0,50,259.509345
-50.0,50,262.053514
-50.0,50,264.621303
-50.0,50,267.143132
-50.0,50,267.568081
-50.0,50,267.977855
-50.0,50,268.390807
-50.0,50,268.773834
-50.0,50,269.2052
-50.0,50,269.585615
-50.0,50,269.964721
-50.0,50,270.355819
-50.0,50,270.752204
-50.0,50,271.159887
-50.0,50,273.732698
-50.0,50,276.243815
-50.0,50,278.802773
-50.0,50,281.375814
-50.0,50,283.895901
-50.0,50,286.493074
-50.0,50,289.018973
-50.0,50,291.560753
-50.0,50,294.087854
-50.0,50,296.680879
-50.0,50,299.207526
-50.0,50,301.710896
-50.0,50,304.272134
-50.0,50,306.844201
-50.0,50,309.393949
-50.0,50,311.930213
-50.0,50,314.486597
-50.0,50,317.016779
-50.0,50,319.586838
-50.0,50,322.144076
-50.0,50,324.669163
-50.0,50,327.187779
-50.0,50,329.746419
-50.0,50,332.263458
-50.0,50,334.837079
-50.0,50,337.391356
-50.0,50,339.94545
