# {"env_id": "FetchToss-v3", "t_start": 1581279042.6332808} 
r,l,t
-100.0,100,5.795746
-100.0,100,8.544281
-100.0,100,11.087217
-100.0,100,13.648778
-100.0,100,16.15597
-100.0,100,18.746912
-100.0,100,21.385833
-100.0,100,24.047322
-100.0,100,26.622071
-100.0,100,29.827771
-100.0,100,33.389502
-100.0,100,37.037269
-100.0,100,40.705298
-100.0,100,44.44234
-100.0,100,48.02386
-100.0,100,51.800731
-100.0,100,55.524084
-100.0,100,59.223754
-100.0,100,62.940484
-100.0,100,66.638255
-100.0,100,70.379086
-100.0,100,74.075034
-100.0,100,77.75937
-100.0,100,81.345987
-100.0,100,84.971157
-100.0,100,88.685463
-100.0,100,92.371984
-100.0,100,96.005105
-100.0,100,99.702939
-100.0,100,103.391923
-100.0,100,107.128905
-100.0,100,110.853318
-100.0,100,114.531464
-100.0,100,118.193568
-100.0,100,121.913472
-100.0,100,125.517524
-100.0,100,129.263197
-100.0,100,132.955808
-100.0,100,136.711132
-100.0,100,140.360931
-100.0,100,144.103441
-100.0,100,147.851388
-100.0,100,151.570697
-100.0,100,155.350278
-100.0,100,159.04065
-100.0,100,162.561278
-100.0,100,165.424816
-100.0,100,168.102624
-100.0,100,170.692116
-100.0,100,173.255742
-100.0,100,175.873261
-100.0,100,176.561112
-100.0,100,177.246339
-100.0,100,177.952887
-100.0,100,178.666197
-100.0,100,179.349184
-100.0,100,180.066544
-100.0,100,180.797647
-100.0,100,181.519529
-100.0,100,182.229529
-100.0,100,183.028759
-100.0,100,185.628608
-100.0,100,188.167304
-100.0,100,190.790638
-100.0,100,193.364274
-100.0,100,195.978053
-100.0,100,198.553665
-100.0,100,201.161165
-100.0,100,203.712075
-100.0,100,206.3432
-100.0,100,208.872119
-100.0,100,211.532419
-100.0,100,214.125209
-100.0,100,216.671131
-100.0,100,219.321007
-100.0,100,221.911353
-100.0,100,224.448071
-100.0,100,227.075902
-100.0,100,229.634708
-100.0,100,232.260255
-100.0,100,234.853844
-100.0,100,237.458241
-100.0,100,240.022218
-100.0,100,242.619107
-100.0,100,245.234762
-100.0,100,247.79099
-100.0,100,250.407468
-100.0,100,252.997392
-100.0,100,255.612591
-100.0,100,258.202916
-100.0,100,260.780621
-100.0,100,263.37063
-100.0,100,265.948686
-100.0,100,268.544917
-100.0,100,271.180844
-100.0,100,273.7411
-100.0,100,276.324753
-100.0,100,278.905225
-100.0,100,281.463842
-100.0,100,284.121404
-100.0,100,286.701134
-100.0,100,289.233258
-100.0,100,291.874917
-100.0,100,294.42764
-100.0,100,297.025378
-100.0,100,299.773365
-100.0,100,302.499965
-100.0,100,305.114531
