# {"t_start": 1581279041.8113072, "env_id": "FetchToss-v3"} 
r,l,t
-100.0,100,6.630078
-100.0,100,9.32708
-100.0,100,11.92574
-100.0,100,14.493403
-100.0,100,16.988834
-100.0,100,19.59825
-100.0,100,22.190575
-100.0,100,24.89649
-100.0,100,27.481312
-100.0,100,30.678262
-100.0,100,34.145079
-100.0,100,37.842171
-100.0,100,41.556055
-100.0,100,45.252544
-100.0,100,48.896809
-100.0,100,52.590769
-100.0,100,56.330052
-100.0,100,60.073421
-100.0,100,63.736728
-100.0,100,67.396641
-100.0,100,71.177073
-100.0,100,74.958372
-100.0,100,78.55958
-100.0,100,82.221978
-100.0,100,85.861564
-100.0,100,89.546861
-100.0,100,93.161498
-100.0,100,96.795049
-100.0,100,100.545907
-100.0,100,104.253363
-100.0,100,107.938013
-100.0,100,111.676975
-100.0,100,115.348652
-100.0,100,118.980386
-100.0,100,122.751711
-100.0,100,126.32177
-100.0,100,130.071685
-100.0,100,133.834393
-100.0,100,137.531928
-100.0,100,141.25064
-100.0,100,144.919703
-100.0,100,148.74799
-100.0,100,152.399462
-100.0,100,156.1921
-100.0,100,159.975257
-100.0,100,163.297565
-100.0,100,166.300006
-100.0,100,168.92344
-100.0,100,171.545375
-100.0,100,174.104117
-100.0,100,176.684449
-100.0,100,177.363378
-100.0,100,178.054445
-100.0,100,178.74111
-100.0,100,179.425568
-100.0,100,180.140404
-100.0,100,180.832507
-100.0,100,181.506872
-100.0,100,182.206445
-100.0,100,182.893318
-100.0,100,183.838838
-100.0,100,186.437243
-100.0,100,189.042847
-100.0,100,191.610112
-100.0,100,194.24329
-100.0,100,196.792061
-100.0,100,199.354831
-100.0,100,201.998818
-100.0,100,204.596828
-100.0,100,207.173388
-100.0,100,209.755393
-100.0,100,212.333846
-100.0,100,214.920147
-100.0,100,217.54763
-100.0,100,220.115081
-100.0,100,222.70934
-100.0,100,225.28948
-100.0,100,227.877353
-100.0,100,230.471479
-100.0,100,233.060821
