epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.85866755,0.12901147,0.20443246,0.044004094,20.0,-2.8834126,0.02500000037252903,100.0,0.028
1,0.8584379,0.12816475,0.20413506,0.042357747,40.0,-4.903386,0.030000000447034835,200.0,0.025999999418854714
2,0.85981864,0.12906468,0.2043931,0.042063087,60.0,-6.810935,0.02500000037252903,300.0,0.023000000789761544
3,0.85931605,0.12914942,0.20420519,0.042143308,80.0,-8.618902,0.020000000298023225,400.0,0.022999999299645423
4,0.8593828,0.12972796,0.20416956,0.04377094,100.0,-10.478764,0.02500000037252903,500.0,0.025999999
5,0.8597414,0.13144583,0.20420246,0.04625971,120.0,-12.149636,0.02500000037252903,600.0,0.030999998934566973
6,0.86006993,0.13217081,0.20417961,0.047560908,140.0,-13.35233,0.045000001415610315,700.0,0.041
7,0.8601966,0.13283011,0.204114,0.04964335,160.0,-14.515497,0.060000001639127734,800.0,0.044
8,0.8600634,0.13362043,0.20395124,0.05351271,180.0,-16.188278,0.05500000081956387,900.0,0.039
9,0.86012506,0.13423382,0.20385309,0.056928307,200.0,-16.579931,0.055000000074505805,1000.0,0.046000004
10,0.86043537,0.13465117,0.20382884,0.0606066,220.0,-15.385066,0.18,1100.0,0.085999995
11,0.86055267,0.13504516,0.2038562,0.06408979,240.0,-15.34363,0.25000003,1200.0,0.13700001
12,0.8603284,0.13514705,0.20376238,0.06653874,260.0,-16.893986,0.25,1300.0,0.201
13,0.86042583,0.1349812,0.20370464,0.068580136,280.0,-15.098846,0.3300000011920929,1400.0,0.248
14,0.86018753,0.1348347,0.20369986,0.07028815,300.0,-15.674414,0.34500003,1500.0,0.296
15,0.86032027,0.13491614,0.20381208,0.07188824,320.0,-16.972353,0.325,1600.0,0.285
16,0.86021644,0.13472064,0.20375106,0.07327275,340.0,-16.334415,0.395,1700.0,0.319
17,0.8603131,0.13454829,0.20378467,0.07442083,360.0,-18.410755,0.33,1800.0,0.34899998
18,0.8604015,0.1345631,0.20373896,0.075336635,380.0,-17.200329,0.40500003,1900.0,0.333
19,0.86039627,0.13447204,0.20373698,0.07621327,400.0,-18.692526,0.375,2000.0,0.35700002
20,0.86039335,0.13435696,0.20373721,0.07696624,420.0,-18.401531,0.35999998,2100.0,0.35300002
21,0.86042005,0.134535,0.20371929,0.07770807,440.0,-16.556551,0.4,2200.0,0.35099998
22,0.8608136,0.1348011,0.20376499,0.078573555,460.0,-14.230405,0.52,2300.0,0.366
23,0.8609706,0.13500933,0.20378128,0.07951276,480.0,-17.512234,0.41500002,2400.0,0.34499997
24,0.86094016,0.13513923,0.2037582,0.08041516,500.0,-16.282124,0.445,2500.0,0.385
25,0.8610524,0.13530497,0.20374143,0.081003316,520.0,-16.249836,0.45,2600.0,0.377
26,0.8610629,0.13556413,0.2037051,0.08140186,540.0,-16.523756,0.5,2700.0,0.362
27,0.8612288,0.13563192,0.20376591,0.081789665,560.0,-15.638901,0.49499997,2800.0,0.383
28,0.8612982,0.13562241,0.20377696,0.08232925,580.0,-15.206014,0.525,2900.0,0.42400002
29,0.86138135,0.13576533,0.2037152,0.08283982,600.0,-13.9923525,0.53499997,3000.0,0.419
30,0.86143255,0.13589819,0.2036572,0.08322338,620.0,-15.16658,0.515,3100.0,0.38599998
31,0.86147624,0.13608126,0.2036536,0.08369755,640.0,-15.042528,0.52000004,3200.0,0.41800004
32,0.86158735,0.13588351,0.20368254,0.083929926,660.0,-15.706549,0.48499998,3300.0,0.44699997
33,0.86163443,0.13589987,0.20374255,0.084115535,680.0,-14.782908,0.645,3400.0,0.442
34,0.8617856,0.13596141,0.2038258,0.08428714,700.0,-15.486105,0.6,3500.0,0.421
35,0.86182225,0.13589785,0.20382485,0.08443693,720.0,-13.852061,0.63,3600.0,0.446
36,0.86195964,0.13593225,0.2038546,0.08448287,740.0,-15.670934,0.54,3700.0,0.423
37,0.86212176,0.13601638,0.20388505,0.08458183,760.0,-14.835004,0.58000004,3800.0,0.42
38,0.862261,0.13589422,0.20391206,0.084687345,780.0,-13.163721,0.66999996,3900.0,0.42399997
39,0.86249053,0.1358801,0.20397246,0.08472791,800.0,-15.209125,0.53499997,4000.0,0.408
40,0.86268854,0.13581489,0.20401964,0.08479667,820.0,-13.754888,0.61,4100.0,0.45699996
41,0.8629118,0.13576959,0.20409203,0.08492541,840.0,-11.005485,0.66999996,4200.0,0.425
42,0.8631544,0.13577195,0.20417328,0.085041486,860.0,-14.272364,0.58000004,4300.0,0.433
43,0.8633087,0.13576385,0.2042046,0.08521329,880.0,-12.808223,0.645,4400.0,0.432
44,0.86346644,0.13584812,0.20424211,0.08533906,900.0,-9.859182,0.64,4500.0,0.43999997
45,0.8636239,0.13585366,0.20425944,0.085509054,920.0,-11.480857,0.625,4600.0,0.427
46,0.8638296,0.13585234,0.20430633,0.0856317,940.0,-10.663767,0.68999994,4700.0,0.432
47,0.8641097,0.1359234,0.20430294,0.08578593,960.0,-10.085565,0.7,4800.0,0.406
48,0.8643302,0.13589218,0.20429489,0.085865594,980.0,-9.957079,0.665,4900.0,0.396
49,0.8644193,0.13585687,0.20428225,0.08594875,1000.0,-10.367551,0.615,5000.0,0.41499996
