# {"env_id": "FetchTosscube-v1", "t_start": 1580946936.0873206} 
r,l,t
-50.0,50,8.740905
-50.0,50,12.84605
-50.0,50,16.541099
-50.0,50,20.309101
-50.0,50,24.044932
-50.0,50,27.739316
-50.0,50,31.491448
-50.0,50,35.663364
-50.0,50,39.41922
-50.0,50,43.24478
-50.0,50,47.190584
-50.0,50,51.099746
-50.0,50,55.219808
-50.0,50,59.02664
-50.0,50,62.807172
-50.0,50,66.599829
-50.0,50,70.454818
-50.0,50,74.30783
-50.0,50,78.042008
-50.0,50,81.924945
-50.0,50,85.63133
-50.0,50,89.310944
-50.0,50,93.111088
-50.0,50,96.816709
-50.0,50,100.510939
-50.0,50,104.268005
-50.0,50,107.957439
-50.0,50,111.797573
-50.0,50,115.727404
-50.0,50,119.52381
-50.0,50,123.141246
-50.0,50,126.692753
-50.0,50,130.633452
-50.0,50,134.269076
-50.0,50,137.951037
-50.0,50,141.532722
-50.0,50,145.286183
-50.0,50,148.893506
-50.0,50,152.502247
-50.0,50,156.272006
-50.0,50,159.934174
-50.0,50,163.598006
-50.0,50,167.176519
-50.0,50,170.889997
-50.0,50,174.568072
-50.0,50,178.16035
-50.0,50,181.792522
-50.0,50,185.401465
-50.0,50,188.934906
-50.0,50,192.477869
-50.0,50,196.25966
-50.0,50,196.785125
-50.0,50,197.316687
-50.0,50,197.868756
-50.0,50,198.346638
-50.0,50,198.848634
-50.0,50,199.351778
-50.0,50,199.851231
-50.0,50,200.397563
-50.0,50,200.886692
-50.0,50,201.558953
-50.0,50,205.17979
-50.0,50,208.912402
-50.0,50,212.620324
-50.0,50,216.337016
-50.0,50,220.022808
-50.0,50,223.64927
-50.0,50,227.343354
-50.0,50,231.059464
-50.0,50,234.750644
-50.0,50,238.432598
-50.0,50,241.888695
-50.0,50,245.735752
-50.0,50,249.059765
-50.0,50,253.795274
-50.0,50,257.861638
-50.0,50,261.91019
-50.0,50,265.671259
-50.0,50,269.467141
-50.0,50,273.309823
-50.0,50,277.077175
-50.0,50,280.797705
-50.0,50,284.70113
-50.0,50,288.541714
-50.0,50,292.411597
-50.0,50,296.318754
-50.0,50,300.147751
-50.0,50,303.976436
-50.0,50,307.925433
-50.0,50,311.591087
-50.0,50,315.476358
-50.0,50,319.284493
-50.0,50,323.302757
-50.0,50,327.242849
-50.0,50,331.209623
-50.0,50,335.239624
-50.0,50,339.113478
-50.0,50,342.895286
-50.0,50,346.824121
-50.0,50,350.629666
-50.0,50,354.483695
-50.0,50,358.29451
-50.0,50,362.175366
-50.0,50,365.958802
-50.0,50,369.682876
-50.0,50,373.466606
-50.0,50,377.235839
-50.0,50,381.165834
-50.0,50,384.360297
-50.0,50,388.137771
-50.0,50,391.984305
-50.0,50,392.522822
-50.0,50,393.048817
-50.0,50,393.62044
-50.0,50,394.183969
-50.0,50,394.741523
-50.0,50,395.312558
-50.0,50,395.829259
-50.0,50,396.37298
-50.0,50,396.871713
-50.0,50,397.577578
-50.0,50,401.584425
-50.0,50,405.583185
-50.0,50,409.536095
-50.0,50,413.394106
-50.0,50,417.24381
-50.0,50,421.00139
-50.0,50,424.812083
-50.0,50,428.677956
-50.0,50,432.51887
-50.0,50,436.344873
-50.0,50,440.175676
-50.0,50,443.932041
-50.0,50,447.740361
-50.0,50,451.570696
-50.0,50,455.277129
-50.0,50,458.986108
-50.0,50,462.833903
-50.0,50,466.736836
-50.0,50,470.487457
-50.0,50,474.292801
-50.0,50,478.148541
-50.0,50,482.02126
-50.0,50,485.750548
-50.0,50,489.609513
-50.0,50,493.569282
-50.0,50,497.433425
-50.0,50,501.232283
-50.0,50,505.095629
-50.0,50,508.865148
-50.0,50,512.748153
-50.0,50,516.638533
-50.0,50,520.510442
-50.0,50,524.447312
-50.0,50,528.378024
-50.0,50,532.300759
-50.0,50,536.191577
-50.0,50,540.074126
-50.0,50,543.948944
-50.0,50,547.839341
-50.0,50,551.68165
-50.0,50,555.658474
-50.0,50,559.421721
-50.0,50,563.229937
-50.0,50,567.071201
-50.0,50,570.952189
-50.0,50,574.769557
-50.0,50,578.578875
-50.0,50,582.467481
-50.0,50,586.350532
-50.0,50,590.265917
-50.0,50,590.803323
-50.0,50,591.316307
-50.0,50,591.850308
-50.0,50,592.392021
-50.0,50,592.941362
-50.0,50,593.438878
-50.0,50,593.942036
-50.0,50,594.439328
-50.0,50,594.959245
-50.0,50,595.596967
-50.0,50,599.52573
-50.0,50,603.316199
-50.0,50,607.141018
-50.0,50,610.901421
-50.0,50,614.652231
-50.0,50,618.430314
-50.0,50,622.318921
-50.0,50,626.161443
-50.0,50,629.905893
-50.0,50,633.79408
-50.0,50,637.606735
-50.0,50,641.389715
-50.0,50,645.292428
-50.0,50,649.444561
-50.0,50,653.42609
-50.0,50,657.613887
-50.0,50,661.642623
-50.0,50,665.64258
-50.0,50,669.284891
-50.0,50,673.350655
-50.0,50,677.387889
-50.0,50,681.270402
-50.0,50,685.168698
-50.0,50,688.896284
-50.0,50,692.746307
-50.0,50,696.494972
-50.0,50,700.373127
-50.0,50,704.360807
-50.0,50,708.20609
-50.0,50,712.006819
-50.0,50,715.829226
-50.0,50,719.635289
-50.0,50,723.472381
-50.0,50,727.238526
-50.0,50,731.042767
-50.0,50,734.84985
-50.0,50,738.782599
-50.0,50,742.578303
-50.0,50,746.388851
-50.0,50,750.33407
-50.0,50,754.146891
-50.0,50,758.016952
-50.0,50,761.83231
-50.0,50,765.61903
-50.0,50,769.547155
-50.0,50,773.451539
-50.0,50,777.312066
-50.0,50,781.174437
-50.0,50,785.097117
-50.0,50,788.989469
-50.0,50,789.476018
-50.0,50,790.036508
-50.0,50,790.567167
-50.0,50,791.078155
-50.0,50,791.57954
-50.0,50,792.065839
-50.0,50,792.576108
