# {"t_start": 1580946934.2528548, "env_id": "FetchTosscube-v1"} 
r,l,t
-50.0,50,10.570495
-50.0,50,14.666466
-50.0,50,18.412505
-50.0,50,22.13916
-50.0,50,25.872051
-50.0,50,29.591187
-50.0,50,33.340981
-50.0,50,37.468302
-50.0,50,41.326256
-50.0,50,45.112399
-50.0,50,48.981564
-50.0,50,52.936959
-50.0,50,57.059561
-50.0,50,60.834762
-50.0,50,64.684904
-50.0,50,68.447883
-50.0,50,72.32796
-50.0,50,76.134758
-50.0,50,79.843473
-50.0,50,83.655907
-50.0,50,87.433624
-50.0,50,91.149756
-50.0,50,94.918725
-50.0,50,98.637448
-50.0,50,102.352494
-50.0,50,106.113724
-50.0,50,109.825704
-50.0,50,113.596693
-50.0,50,117.57585
-50.0,50,121.328336
-50.0,50,125.00778
-50.0,50,128.513484
-50.0,50,132.452484
-50.0,50,136.13211
-50.0,50,139.759761
-50.0,50,143.373209
-50.0,50,147.078455
-50.0,50,150.707739
-50.0,50,154.392801
-50.0,50,158.084786
-50.0,50,161.750731
-50.0,50,165.425514
-50.0,50,168.979021
-50.0,50,172.758117
-50.0,50,176.370436
-50.0,50,180.009685
-50.0,50,183.601341
-50.0,50,187.246026
-50.0,50,190.784832
-50.0,50,194.288398
-50.0,50,198.09468
-50.0,50,198.600225
-50.0,50,199.101074
-50.0,50,199.613017
-50.0,50,200.118737
-50.0,50,200.612833
-50.0,50,201.141521
-50.0,50,201.639381
-50.0,50,202.173707
-50.0,50,202.665437
-50.0,50,203.368943
-50.0,50,207.038592
-50.0,50,210.733083
-50.0,50,214.423804
-50.0,50,218.144508
-50.0,50,221.838522
-50.0,50,225.53635
-50.0,50,229.177396
-50.0,50,232.916766
-50.0,50,236.595864
-50.0,50,240.281642
-50.0,50,243.702118
-50.0,50,247.553838
-50.0,50,250.924388
-50.0,50,255.603997
-50.0,50,259.715217
-50.0,50,263.74639
-50.0,50,267.522361
-50.0,50,271.317299
-50.0,50,275.122579
-50.0,50,278.926874
-50.0,50,282.690455
-50.0,50,286.55318
-50.0,50,290.284816
-50.0,50,294.251585
-50.0,50,298.167398
-50.0,50,301.970548
