epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8850061,0.12826902,0.2048752,0.04912159,20.0,-3.004554,0.0,100.0,0.0
1,0.88324624,0.12863429,0.20427153,0.04625397,40.0,-5.141833,0.0,200.0,0.0
2,0.88239336,0.12876172,0.20400007,0.045869336,60.0,-7.20469,0.0,300.0,0.0
3,0.88209975,0.12870935,0.20393915,0.045874692,80.0,-9.221684,0.0,400.0,0.0
4,0.8821319,0.12881179,0.20391159,0.04526358,100.0,-11.154197,0.0,500.0,0.0
5,0.88187313,0.12865633,0.2038897,0.045034483,120.0,-12.995091,0.0,600.0,0.0
6,0.8820713,0.1289905,0.20396885,0.045228843,140.0,-14.751749,0.0,700.0,0.0
7,0.8819922,0.12885109,0.2039456,0.04484885,160.0,-16.479067,0.0,800.0,0.0
8,0.8821529,0.12861462,0.20399964,0.04506309,180.0,-18.041172,0.0,900.0,0.0
9,0.8820983,0.12878472,0.20398119,0.045061592,200.0,-19.594921,0.0,1000.0,0.0
10,0.8821758,0.12876405,0.20396736,0.044681143,220.0,-21.026173,0.0,1100.0,0.0
11,0.8823206,0.1286043,0.20398772,0.04445038,240.0,-22.438606,0.0,1200.0,0.0
12,0.8822671,0.12833367,0.20397134,0.044129744,260.0,-23.79292,0.0,1300.0,0.0
13,0.882332,0.1285072,0.20400354,0.044040646,280.0,-25.016188,0.0,1400.0,0.0
14,0.88232183,0.12840514,0.20400682,0.04403706,300.0,-26.205402,0.0,1500.0,0.0
15,0.8822624,0.12858632,0.20399065,0.04412024,320.0,-27.394154,0.0,1600.0,0.0
16,0.88224775,0.12858948,0.20399924,0.0441115,340.0,-28.480362,0.0,1700.0,0.0
17,0.88222325,0.12851854,0.20399526,0.04397053,360.0,-29.49992,0.0,1800.0,0.0
18,0.8822835,0.12840226,0.2040166,0.04410962,380.0,-30.497229,0.0,1900.0,0.0
19,0.8823199,0.1282919,0.20402703,0.044064093,400.0,-31.442211,0.0,2000.0,0.0
20,0.8823479,0.12832329,0.20404541,0.044060405,420.0,-32.422676,0.0,2100.0,0.0
21,0.8823689,0.12816824,0.20406099,0.043958865,440.0,-33.284264,0.0,2200.0,0.0
22,0.88233775,0.12817094,0.20405307,0.04403433,460.0,-34.094116,0.0,2300.0,0.0
23,0.8823043,0.12811916,0.2040368,0.043916468,480.0,-34.868217,0.0,2400.0,0.0
24,0.882242,0.12807216,0.20402487,0.043950234,500.0,-35.560417,0.0,2500.0,0.0
25,0.88224566,0.12802304,0.20402288,0.043834776,520.0,-36.267754,0.0,2600.0,0.0
26,0.8821573,0.12805592,0.20400234,0.043823764,540.0,-36.909893,0.0,2700.0,0.0
27,0.88217086,0.12797228,0.20399933,0.043756414,560.0,-37.573463,0.0,2800.0,0.0
28,0.88214415,0.12796555,0.20399599,0.04370017,580.0,-38.116203,0.0,2900.0,0.0
29,0.88210076,0.12792496,0.20398359,0.043769754,600.0,-38.706028,0.0,3000.0,0.0
30,0.8820855,0.12791802,0.20399168,0.04391844,620.0,-39.157505,0.0,3100.0,0.0
31,0.88212043,0.12801844,0.20400378,0.04398079,640.0,-39.597984,0.0,3200.0,0.0
32,0.88210076,0.12809156,0.20400083,0.04400548,660.0,-40.28251,0.0,3300.0,0.0
33,0.882098,0.12821795,0.20400135,0.04407581,680.0,-40.632744,0.0,3400.0,0.0
34,0.88213253,0.12824506,0.20400624,0.04410768,700.0,-41.089622,0.0,3500.0,0.0
35,0.88213223,0.12834683,0.204002,0.04419489,720.0,-41.526844,0.0,3600.0,0.0
36,0.8821424,0.12841195,0.20400043,0.04431318,740.0,-41.655643,0.0,3700.0,0.0
37,0.882143,0.128585,0.2040106,0.04472244,760.0,-41.897892,0.0,3800.0,0.0
38,0.88218486,0.12858339,0.20403032,0.045153476,780.0,-41.67456,0.0,3900.0,0.0
39,0.8822223,0.12856834,0.20403945,0.045468222,800.0,-41.183895,0.0,4000.0,0.0
40,0.8822042,0.1285144,0.2040366,0.045662273,820.0,-41.458008,0.0,4100.0,0.0
41,0.88221055,0.12844035,0.20404115,0.045856506,840.0,-41.432487,0.0,4200.0,0.0
42,0.8821894,0.12839589,0.20402792,0.04706453,860.0,-31.464727,0.0,4300.0,0.0
43,0.88214,0.1283425,0.20401363,0.047702383,880.0,-32.56262,0.0,4400.0,0.0
44,0.8821949,0.12828033,0.20402487,0.047693267,900.0,-33.436653,0.0,4500.0,0.0
45,0.88219243,0.1282142,0.20401673,0.047724225,920.0,-33.410175,0.0,4600.0,0.0
46,0.8821966,0.12817352,0.20401016,0.04787997,940.0,-34.282562,0.0,4700.0,0.0
47,0.88226444,0.12815093,0.20402102,0.048007455,960.0,-35.080235,0.0,4800.0,0.0
48,0.88228285,0.12812908,0.20401919,0.04835228,980.0,-35.65577,0.0,4900.0,0.0
49,0.8822567,0.12813258,0.20400664,0.048555244,1000.0,-36.40249,0.0,5000.0,0.0
