# {"env_id": "FetchPickAndPlace-v1", "t_start": 1572552318.1355379} 
r,l,t
-50.0,50,1.289478
-50.0,50,2.179724
-50.0,50,3.022324
0.0,50,3.833044
-50.0,50,4.649567
-50.0,50,5.390021
-50.0,50,6.101294
-50.0,50,6.847119
-50.0,50,7.552008
-50.0,50,8.250641
-50.0,50,8.969858
-50.0,50,9.74563
-50.0,50,10.485989
-50.0,50,11.22953
-50.0,50,11.941184
-50.0,50,12.691844
-50.0,50,13.424246
-50.0,50,14.153682
-50.0,50,14.974924
-50.0,50,15.719666
-50.0,50,16.443351
-50.0,50,17.153767
-50.0,50,17.857118
-50.0,50,18.485274
-50.0,50,19.119081
-50.0,50,19.745831
-50.0,50,20.363518
-50.0,50,20.984421
-50.0,50,21.591483
-50.0,50,22.208967
-50.0,50,22.821468
-50.0,50,23.433171
-50.0,50,24.03551
-50.0,50,24.64569
-50.0,50,25.251176
0.0,50,25.863008
-50.0,50,26.478066
-50.0,50,27.094666
-50.0,50,27.717499
-50.0,50,28.335219
-50.0,50,28.950607
-50.0,50,29.567927
-50.0,50,30.180473
-50.0,50,30.830677
-50.0,50,31.444515
-50.0,50,32.058059
-50.0,50,32.699904
-50.0,50,33.334095
-50.0,50,33.959704
-50.0,50,34.577992
-50.0,50,35.214952
-50.0,50,35.324225
-50.0,50,35.421718
-50.0,50,35.519759
-50.0,50,35.624365
-50.0,50,35.731537
-50.0,50,35.833212
-50.0,50,35.940969
-50.0,50,36.052141
-50.0,50,36.152545
0.0,50,36.272694
-50.0,50,36.895364
-50.0,50,37.528153
-50.0,50,38.157974
-50.0,50,38.78386
-50.0,50,39.404114
-50.0,50,40.039903
-50.0,50,40.662766
-50.0,50,41.294551
-50.0,50,41.918801
0.0,50,42.540382
-50.0,50,43.158282
-50.0,50,43.787921
-50.0,50,44.413339
-50.0,50,45.042866
-50.0,50,45.671661
-50.0,50,46.303761
-50.0,50,46.926215
-50.0,50,47.553164
-50.0,50,48.17435
-50.0,50,48.808551
-50.0,50,49.439433
-50.0,50,50.071109
-50.0,50,50.692023
-50.0,50,51.335437
-50.0,50,51.962662
-50.0,50,52.58681
-50.0,50,53.209584
-50.0,50,53.831397
-50.0,50,54.461456
-50.0,50,55.085629
-50.0,50,55.709614
-50.0,50,56.343406
-50.0,50,56.965766
-50.0,50,57.597778
-50.0,50,58.230321
-50.0,50,58.869036
-50.0,50,59.490277
-50.0,50,60.112481
-50.0,50,60.730877
-50.0,50,61.360754
-50.0,50,61.997678
-50.0,50,62.644658
-50.0,50,63.282737
-50.0,50,63.923914
-50.0,50,64.571469
-50.0,50,65.225192
-50.0,50,65.860179
-50.0,50,66.503013
-50.0,50,67.149492
-50.0,50,67.796127
-50.0,50,67.899963
-50.0,50,67.99854
-50.0,50,68.11867
-50.0,50,68.211274
-50.0,50,68.332606
-50.0,50,68.428136
-50.0,50,68.53057
-50.0,50,68.630945
-50.0,50,68.733835
-50.0,50,68.839282
-23.0,50,69.489764
-50.0,50,70.127871
-50.0,50,70.782419
-50.0,50,71.425451
-50.0,50,72.066451
-50.0,50,72.71723
-50.0,50,73.359978
-50.0,50,74.013027
-50.0,50,74.671076
-50.0,50,75.325215
-50.0,50,75.966249
-50.0,50,76.625377
-50.0,50,77.27505
-50.0,50,77.9205
-50.0,50,78.562609
-50.0,50,79.203834
-50.0,50,79.85485
-50.0,50,80.496188
-50.0,50,81.155448
-50.0,50,81.795158
-50.0,50,82.407558
-50.0,50,83.023654
-50.0,50,83.646605
-50.0,50,84.260458
-50.0,50,84.87823
-50.0,50,85.504379
-50.0,50,86.150669
-50.0,50,86.79328
-50.0,50,87.454839
-50.0,50,88.096298
-50.0,50,88.739429
0.0,50,89.379417
-50.0,50,90.028929
-14.0,50,90.683577
-50.0,50,91.340216
-50.0,50,91.987209
-50.0,50,92.631144
-50.0,50,93.275986
-50.0,50,93.919813
-50.0,50,94.568496
-50.0,50,95.213328
-50.0,50,95.862451
-50.0,50,96.508712
-50.0,50,97.153787
-50.0,50,97.79481
-50.0,50,98.441642
-50.0,50,99.092433
0.0,50,99.737109
-50.0,50,100.385735
-50.0,50,101.048284
