epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84541935,0.10161347,0.2041727,0.074551314,10.0,-22.479752,0.0,50.0,0.04
1,0.84574777,0.1013754,0.20426157,0.07476337,20.0,-23.6567,0.0,100.0,0.04
2,0.84573203,0.1022745,0.20383778,0.07696846,30.0,-24.939127,0.0,150.0,0.08
3,0.8455984,0.10193139,0.20377393,0.07679062,40.0,-16.908562,0.0,200.0,0.04
4,0.8459155,0.101702996,0.20372145,0.07731257,50.0,-20.407413,0.0,250.0,0.04
5,0.8457032,0.101466596,0.2036726,0.07814687,60.0,-16.883743,0.2,300.0,0.04
6,0.84583217,0.10116776,0.20376112,0.078727275,70.0,-19.808952,0.0,350.0,0.04
7,0.8457045,0.10215339,0.20380335,0.07929629,80.0,-26.999813,0.0,400.0,0.04
8,0.84561974,0.10232126,0.20383506,0.079420514,90.0,-23.969248,0.0,450.0,0.04
9,0.8456909,0.10319639,0.2039794,0.08080887,100.0,-28.99873,0.0,500.0,0.02
10,0.84582824,0.10356558,0.20405774,0.08122584,110.0,-23.620811,0.0,550.0,0.02
11,0.8459189,0.103917725,0.20405039,0.081988975,120.0,-23.004055,0.0,600.0,0.02
12,0.84606165,0.10372657,0.20407072,0.08184576,130.0,-24.967962,0.1,650.0,0.06
13,0.84632903,0.10353138,0.20398608,0.08258652,140.0,-18.044455,0.0,700.0,0.04
14,0.84611535,0.10366405,0.20406929,0.082722574,150.0,-23.000675,0.2,750.0,0.02
15,0.84634846,0.10377171,0.20413299,0.08266838,160.0,-24.843512,0.0,800.0,0.08
16,0.8461241,0.10381329,0.20420149,0.08294084,170.0,-20.793682,0.0,850.0,0.04
17,0.84597325,0.10402155,0.20412467,0.08380218,180.0,-20.126696,0.1,900.0,0.04
18,0.8458403,0.10474891,0.20412137,0.08456946,190.0,-21.343204,0.0,950.0,0.08
19,0.84601706,0.10448009,0.20429653,0.08535719,200.0,-23.70939,0.0,1000.0,0.06
