# {"t_start": 1580305579.806863, "env_id": "FetchPickAndPlace-v1"} 
r,l,t
-50.0,50,6.649555
-50.0,50,9.490631
-50.0,50,12.160216
-50.0,50,14.841049
-50.0,50,17.448222
-50.0,50,20.048464
-50.0,50,22.667159
-50.0,50,25.261956
-50.0,50,27.892308
-50.0,50,30.617176
-50.0,50,33.397476
-50.0,50,36.052732
-50.0,50,39.085144
-50.0,50,42.041553
-50.0,50,44.815386
-50.0,50,47.400731
-50.0,50,49.97386
-50.0,50,52.546973
-50.0,50,55.160494
-50.0,50,57.738543
-50.0,50,60.316309
-50.0,50,62.904517
-50.0,50,65.451183
-50.0,50,68.026392
-50.0,50,70.575814
-50.0,50,73.172409
-50.0,50,75.755719
-50.0,50,78.304657
-50.0,50,80.852459
-50.0,50,83.400017
0.0,50,85.985472
-50.0,50,88.558658
-50.0,50,91.134954
-50.0,50,93.653513
-50.0,50,96.24229
-50.0,50,98.789795
-50.0,50,101.409508
-50.0,50,103.932885
-50.0,50,106.512796
0.0,50,109.082907
-50.0,50,111.657612
-50.0,50,114.225504
-50.0,50,116.825894
-50.0,50,119.368666
-50.0,50,121.95173
-32.0,50,124.478131
0.0,50,127.044099
-50.0,50,129.62206
-50.0,50,132.219174
-50.0,50,134.766187
-50.0,50,137.347161
-50.0,50,137.758862
-50.0,50,138.152982
-50.0,50,138.580332
-50.0,50,138.973672
-50.0,50,139.381544
-50.0,50,139.753983
-50.0,50,140.166842
-50.0,50,140.587738
-50.0,50,140.998003
-50.0,50,141.523744
-50.0,50,144.055622
-50.0,50,146.609758
-50.0,50,149.210293
-50.0,50,151.726005
-50.0,50,154.303129
-50.0,50,156.864042
-50.0,50,159.464028
-50.0,50,162.021366
-50.0,50,164.56281
-50.0,50,167.155471
-50.0,50,169.668227
-50.0,50,172.278542
0.0,50,174.814526
-50.0,50,177.376652
-50.0,50,179.948201
-50.0,50,182.523026
-50.0,50,185.057432
-50.0,50,187.6306
-50.0,50,190.219569
-50.0,50,192.787711
-50.0,50,195.357272
-50.0,50,197.922052
-50.0,50,200.465263
-50.0,50,203.033311
-50.0,50,205.602142
-50.0,50,208.180377
-50.0,50,210.744869
-50.0,50,213.295945
-50.0,50,215.883341
-50.0,50,218.466291
-50.0,50,221.014293
-50.0,50,223.565054
-50.0,50,226.146169
-50.0,50,228.683313
-50.0,50,231.223424
-50.0,50,233.808089
-50.0,50,236.363472
-50.0,50,238.91085
-50.0,50,241.492397
-50.0,50,244.018334
-50.0,50,246.611609
-50.0,50,249.17982
-50.0,50,251.700428
-50.0,50,254.299522
-50.0,50,256.871181
-50.0,50,259.384585
-50.0,50,261.983536
-50.0,50,264.543576
-50.0,50,267.098394
-50.0,50,269.658089
-50.0,50,270.069338
-50.0,50,270.460283
-50.0,50,270.87765
-50.0,50,271.270384
-50.0,50,271.696009
-50.0,50,272.171254
-50.0,50,272.590896
-50.0,50,273.028591
-50.0,50,273.418453
-50.0,50,273.884814
-50.0,50,276.441185
-50.0,50,278.985765
-50.0,50,281.580323
0.0,50,284.14421
-50.0,50,286.717797
-50.0,50,289.27291
-50.0,50,291.828133
-50.0,50,294.376148
-50.0,50,296.948059
-50.0,50,299.503515
-50.0,50,302.054937
0.0,50,304.648467
-50.0,50,307.216085
-50.0,50,309.762737
-50.0,50,312.307249
-50.0,50,314.826825
-50.0,50,317.41843
-50.0,50,319.965147
-50.0,50,322.500432
-50.0,50,325.091689
-50.0,50,327.638175
-50.0,50,330.215504
-50.0,50,332.720281
-50.0,50,335.322191
-50.0,50,337.881571
-50.0,50,340.457244
-50.0,50,343.060929
-50.0,50,345.647577
-50.0,50,348.187485
-50.0,50,350.825922
-50.0,50,353.436349
-50.0,50,356.019703
-50.0,50,358.604657
-50.0,50,361.145581
-50.0,50,363.778595
-50.0,50,366.354743
-50.0,50,368.932134
-50.0,50,371.512036
-50.0,50,374.044777
-50.0,50,376.658097
-50.0,50,379.270575
-50.0,50,381.812242
-50.0,50,384.387355
-50.0,50,386.917104
-50.0,50,389.523174
-50.0,50,392.057286
-50.0,50,394.613755
-50.0,50,397.171923
-50.0,50,399.772393
0.0,50,402.329122
-50.0,50,402.743251
-50.0,50,403.134649
-50.0,50,403.558045
0.0,50,403.953767
-50.0,50,404.344209
-50.0,50,404.751685
-50.0,50,405.132633
-50.0,50,405.543549
-50.0,50,406.014504
-50.0,50,406.489733
-50.0,50,409.096906
-50.0,50,411.596666
-50.0,50,414.1679
-50.0,50,416.729387
-50.0,50,419.312675
-50.0,50,421.850704
-50.0,50,424.44178
-50.0,50,426.978463
-50.0,50,429.556435
-50.0,50,432.125316
-50.0,50,434.729815
-50.0,50,437.320482
-50.0,50,439.856212
-50.0,50,442.447291
-50.0,50,445.060624
-50.0,50,447.624191
-50.0,50,450.237414
-50.0,50,452.81744
-50.0,50,455.412192
-50.0,50,457.995092
-50.0,50,460.602425
-50.0,50,463.150164
-50.0,50,465.723555
-50.0,50,468.268116
-50.0,50,470.862717
-50.0,50,473.474666
-50.0,50,476.028605
-50.0,50,478.629253
-50.0,50,481.159803
-50.0,50,483.788531
-50.0,50,486.375852
-50.0,50,488.932359
-50.0,50,491.505388
-50.0,50,494.073799
-50.0,50,496.657595
-50.0,50,499.236866
-50.0,50,501.868116
-50.0,50,504.427579
-50.0,50,507.047114
-50.0,50,509.64163
-50.0,50,512.175777
-50.0,50,514.731878
-50.0,50,517.318432
-50.0,50,519.897723
-50.0,50,522.5105
-50.0,50,525.05412
-50.0,50,527.691822
-50.0,50,530.25778
-50.0,50,532.797935
-50.0,50,535.341243
-50.0,50,535.729866
-50.0,50,536.138745
-50.0,50,536.528912
-50.0,50,536.937455
-50.0,50,537.332512
-50.0,50,537.736351
-50.0,50,538.143101
-50.0,50,538.538026
-50.0,50,538.993073
-50.0,50,539.541209
-50.0,50,542.114299
-50.0,50,544.729281
-50.0,50,547.278565
-50.0,50,549.888589
-50.0,50,552.45234
-50.0,50,555.027163
-50.0,50,557.601197
-50.0,50,560.183941
-50.0,50,562.764556
0.0,50,565.330929
-50.0,50,567.924364
-50.0,50,570.529796
-50.0,50,573.089512
-50.0,50,575.677493
-14.0,50,578.240348
-50.0,50,580.777529
-50.0,50,583.379142
-50.0,50,585.949095
-6.0,50,588.574655
-50.0,50,591.167491
-50.0,50,593.705779
-50.0,50,596.319814
-50.0,50,598.885301
-50.0,50,601.47301
-50.0,50,604.023069
0.0,50,606.568636
-50.0,50,609.114108
-50.0,50,611.711704
-50.0,50,614.335213
-50.0,50,616.876107
-50.0,50,619.452129
-50.0,50,621.96629
-50.0,50,624.586063
-50.0,50,627.175294
-50.0,50,629.709288
-50.0,50,632.31744
