epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.84719217,0.09411491,0.20388088,0.04630642,20.0,-2.9429922,0.04999999962747097,100.0,0.02500000037252903
1,0.84565055,0.09425958,0.20350096,0.046272375,40.0,-4.974452,0.03500000052154064,200.0,0.01900000050663948
2,0.84583104,0.09376925,0.20358875,0.04674222,60.0,-6.9632125,0.04000000059604645,300.0,0.042000003
3,0.84633607,0.093765356,0.20383029,0.047794633,80.0,-8.825537,0.06000000089406967,400.0,0.033999998
4,0.84616965,0.09415155,0.20364156,0.050663732,100.0,-10.671253,0.03500000052154064,500.0,0.047
5,0.84624034,0.09510374,0.2037606,0.05414682,120.0,-11.514172,0.06500000208616256,600.0,0.049999997
6,0.8458668,0.09632716,0.20370503,0.058526516,140.0,-12.614491,0.125,700.0,0.049
7,0.84542674,0.096823834,0.20374897,0.06130609,160.0,-14.423254,0.08,800.0,0.073
8,0.84534407,0.09714504,0.2037745,0.066578194,180.0,-13.995847,0.1600000023841858,900.0,0.13100001
9,0.8454119,0.09836158,0.20398071,0.0722296,200.0,-12.604254,0.32000002,1000.0,0.165
10,0.8454984,0.098971665,0.20407888,0.07667782,220.0,-11.132993,0.42000002,1100.0,0.26999998
11,0.84563553,0.09915791,0.20422213,0.08200233,240.0,-13.159988,0.4,1200.0,0.34
12,0.84556407,0.09973214,0.20425001,0.0859783,260.0,-9.804364,0.58500004,1300.0,0.36200002
13,0.8454154,0.100442134,0.20425706,0.0891976,280.0,-10.42272,0.605,1400.0,0.42
14,0.84536016,0.10096786,0.20426321,0.09091046,300.0,-8.637072,0.625,1500.0,0.43800002
15,0.8454507,0.101397954,0.20434773,0.09289073,320.0,-9.180214,0.66499996,1600.0,0.49899998
16,0.8455164,0.10158618,0.20451748,0.09451584,340.0,-7.843601,0.755,1700.0,0.46999997
17,0.84558094,0.1017606,0.20473221,0.095766775,360.0,-8.878103,0.74000007,1800.0,0.54499996
18,0.8457367,0.10189931,0.2049902,0.09673625,380.0,-5.8297205,0.855,1900.0,0.562
19,0.84603435,0.10219365,0.20518856,0.097977206,400.0,-5.9845543,0.83500004,2000.0,0.547
20,0.8462294,0.10264542,0.205475,0.098880015,420.0,-6.4020185,0.81000006,2100.0,0.562
21,0.8463462,0.10277295,0.20554945,0.09931257,440.0,-6.182277,0.825,2200.0,0.575
22,0.8465916,0.10294755,0.20561305,0.09976044,460.0,-5.4011827,0.88,2300.0,0.547
23,0.84676665,0.10311612,0.2057362,0.10016594,480.0,-5.7284927,0.85,2400.0,0.574
24,0.84693515,0.10320244,0.20584977,0.10069431,500.0,-4.4132285,0.95,2500.0,0.57699996
25,0.8471966,0.10344777,0.2059844,0.101231754,520.0,-4.3037505,0.93499994,2600.0,0.578
26,0.8475626,0.10368997,0.20607546,0.10186622,540.0,-3.8466237,0.93,2700.0,0.551
27,0.8478025,0.103815235,0.20613976,0.102171674,560.0,-4.2024765,0.965,2800.0,0.53
28,0.8481021,0.10391847,0.20620462,0.10265185,580.0,-2.9438272,0.9549999,2900.0,0.561
29,0.8483278,0.10397005,0.20624271,0.10300913,600.0,-2.893176,0.9599999,3000.0,0.54899997
30,0.8485797,0.104064986,0.20634024,0.10340114,620.0,-2.8469164,0.91999996,3100.0,0.56299996
31,0.8487995,0.10412393,0.20636483,0.10371886,640.0,-2.5998433,0.945,3200.0,0.53699994
32,0.84898746,0.104154244,0.20639972,0.10390995,660.0,-2.309968,0.95500004,3300.0,0.56000006
33,0.84905386,0.10418153,0.20638184,0.10420003,680.0,-2.089332,0.98,3400.0,0.548
34,0.84918386,0.104321145,0.20637663,0.10448434,700.0,-1.9229145,0.93999994,3500.0,0.56299996
35,0.8492708,0.10444657,0.20636041,0.104871,720.0,-1.7284828,0.95,3600.0,0.549
36,0.84939784,0.104412936,0.20636313,0.105049394,740.0,-1.6773632,0.945,3700.0,0.542
37,0.8494713,0.10441742,0.20634809,0.10519304,760.0,-1.2172751,0.9599999,3800.0,0.553
38,0.8495329,0.10448934,0.20636693,0.1054919,780.0,-1.1481946,0.96999997,3900.0,0.56000006
39,0.84955823,0.104485914,0.20635998,0.10566367,800.0,-1.1485021,0.95500004,4000.0,0.548
40,0.84970266,0.104604915,0.2063793,0.10588424,820.0,-1.2576221,0.92999995,4100.0,0.51199996
41,0.8498341,0.10461868,0.2063529,0.10611604,840.0,-1.1790459,0.93500006,4200.0,0.547
42,0.84997845,0.10457722,0.20637152,0.10626918,860.0,-1.1915853,0.96000004,4300.0,0.5059999
43,0.8501175,0.104520105,0.20639797,0.10640802,880.0,-1.0171374,0.975,4400.0,0.515
44,0.85024273,0.10455024,0.20641914,0.10657103,900.0,-1.1198056,0.96999997,4500.0,0.538
45,0.85025406,0.10452032,0.20642586,0.106792666,920.0,-0.9220678,0.945,4600.0,0.52599996
46,0.8503507,0.10450101,0.20644405,0.10699286,940.0,-0.9482768,0.965,4700.0,0.508
47,0.8503987,0.104458295,0.20644598,0.10713498,960.0,-1.0412174,0.9549999,4800.0,0.515
48,0.85048676,0.10439684,0.20645519,0.1072066,980.0,-1.0142107,0.9599999,4900.0,0.51199996
49,0.8506049,0.10429281,0.20643711,0.107297584,1000.0,-1.0770266,0.98,5000.0,0.559
