# {"t_start": 1582283641.898883, "env_id": "FetchPickAndPlaceAir-v1"} 
r,l,t
-50.0,50,8.190524
-50.0,50,11.075237
-50.0,50,13.725123
-50.0,50,16.408521
-50.0,50,18.98053
-50.0,50,21.630612
-50.0,50,24.216872
-50.0,50,26.901567
-50.0,50,29.509083
-50.0,50,32.138988
-50.0,50,34.761584
-50.0,50,37.348378
-50.0,50,39.965769
-50.0,50,42.628147
-50.0,50,45.281005
-50.0,50,47.892827
-50.0,50,50.560585
-50.0,50,53.157246
-50.0,50,55.790288
-50.0,50,58.409561
-50.0,50,60.975221
-50.0,50,63.591523
-50.0,50,66.234546
-50.0,50,68.938259
-50.0,50,71.545419
-50.0,50,74.145422
-50.0,50,76.792187
-50.0,50,79.448783
-50.0,50,82.060079
-50.0,50,84.652747
-50.0,50,87.270497
-50.0,50,89.870939
-50.0,50,92.490031
-50.0,50,95.089899
-50.0,50,97.738868
-50.0,50,100.364721
-50.0,50,102.996696
-50.0,50,105.628258
-50.0,50,108.239124
-50.0,50,110.888494
-50.0,50,113.486658
-50.0,50,116.091332
-50.0,50,118.727608
-50.0,50,121.339873
-50.0,50,123.944319
-50.0,50,126.581949
-50.0,50,129.210933
-50.0,50,131.820657
-50.0,50,134.439169
-50.0,50,137.109152
-50.0,50,139.77012
-50.0,50,140.211162
-50.0,50,140.63546
-50.0,50,141.082433
-50.0,50,141.533197
-50.0,50,141.948348
-50.0,50,142.379364
-50.0,50,142.809101
-50.0,50,143.252054
-50.0,50,143.641374
-50.0,50,144.138649
-50.0,50,146.750386
-50.0,50,149.402906
-50.0,50,152.015018
-50.0,50,154.644822
-50.0,50,157.280869
-50.0,50,159.905123
-50.0,50,162.540771
-50.0,50,165.146249
-50.0,50,167.734169
-50.0,50,170.386545
-50.0,50,173.061303
-50.0,50,175.635281
-50.0,50,178.282497
-50.0,50,180.922704
-50.0,50,183.557599
-50.0,50,186.17443
-50.0,50,188.877226
-50.0,50,191.448804
-50.0,50,194.075515
-50.0,50,196.685068
-50.0,50,199.31131
-50.0,50,201.946508
-50.0,50,204.57953
-50.0,50,207.233218
-50.0,50,209.846428
-50.0,50,212.441193
-50.0,50,215.045374
-50.0,50,217.645353
-50.0,50,220.271449
-50.0,50,222.891543
-50.0,50,225.550458
-50.0,50,228.134778
-50.0,50,230.772303
-50.0,50,233.394325
-50.0,50,236.007626
-50.0,50,238.607699
-50.0,50,241.247205
-50.0,50,243.848327
-50.0,50,246.505415
-50.0,50,249.136804
-50.0,50,251.765749
-50.0,50,254.405833
-50.0,50,257.060526
-50.0,50,259.677409
-50.0,50,262.259835
-50.0,50,264.881789
-50.0,50,267.516041
-50.0,50,270.143088
-50.0,50,272.777635
-50.0,50,275.368158
-50.0,50,275.768827
-50.0,50,276.196653
-50.0,50,276.656912
-50.0,50,277.090998
-50.0,50,277.48852
-50.0,50,277.888288
-50.0,50,278.323196
-50.0,50,278.729131
-50.0,50,279.166852
-50.0,50,279.681235
-50.0,50,282.342251
-50.0,50,284.966697
-50.0,50,287.595915
-50.0,50,290.20282
-50.0,50,292.838079
-50.0,50,295.440692
-50.0,50,298.064917
-50.0,50,300.707878
-50.0,50,303.295001
-50.0,50,305.95138
-50.0,50,308.585136
-50.0,50,311.238475
-50.0,50,313.829361
-50.0,50,316.500658
-50.0,50,319.135952
-50.0,50,321.760773
-50.0,50,324.375374
-50.0,50,327.043056
-50.0,50,329.686811
-50.0,50,332.31301
-50.0,50,334.914643
-50.0,50,337.517989
-50.0,50,340.149671
-50.0,50,342.800493
-50.0,50,345.427629
-50.0,50,348.06074
-50.0,50,350.705603
-50.0,50,353.307783
-50.0,50,355.916276
-50.0,50,358.550717
-50.0,50,361.190185
-50.0,50,363.76972
-50.0,50,366.379174
-50.0,50,368.982452
-50.0,50,371.613331
-50.0,50,374.218457
-50.0,50,376.855601
-50.0,50,379.443409
-50.0,50,382.236189
-50.0,50,385.045386
-50.0,50,387.819741
-50.0,50,390.52393
-50.0,50,393.350997
-50.0,50,396.16498
-50.0,50,398.903033
-50.0,50,401.627151
-50.0,50,404.373541
-50.0,50,407.003603
-50.0,50,409.593783
-50.0,50,412.289791
-50.0,50,412.762448
-50.0,50,413.186651
