# {"env_id": "FetchPickAndPlaceAir-v1", "t_start": 1582283642.0744095} 
r,l,t
-50.0,50,8.059602
-50.0,50,10.90863
-50.0,50,13.558851
-50.0,50,16.20392
-50.0,50,18.790488
-50.0,50,21.43688
-50.0,50,24.085598
-50.0,50,26.725737
-50.0,50,29.336146
-50.0,50,31.961854
-50.0,50,34.581136
-50.0,50,37.176289
-50.0,50,39.814764
-50.0,50,42.452032
-50.0,50,45.070113
-50.0,50,47.755558
-50.0,50,50.349586
-50.0,50,52.990402
-50.0,50,55.577955
-50.0,50,58.21283
-50.0,50,60.819708
-50.0,50,63.452657
-50.0,50,66.082436
-50.0,50,68.745859
-50.0,50,71.367337
-50.0,50,73.994006
-50.0,50,76.617445
-50.0,50,79.213436
-50.0,50,81.849613
-50.0,50,84.486474
-50.0,50,87.066102
-50.0,50,89.696214
-50.0,50,92.309242
-50.0,50,94.915026
-50.0,50,97.564562
-50.0,50,100.223092
-50.0,50,102.825718
-50.0,50,105.454056
-50.0,50,108.048567
-50.0,50,110.697522
-50.0,50,113.295553
-50.0,50,115.909251
-50.0,50,118.553733
-50.0,50,121.180212
-50.0,50,123.769369
-50.0,50,126.413266
-50.0,50,129.06908
-50.0,50,131.674913
-50.0,50,134.279346
-50.0,50,136.937535
-50.0,50,139.580425
-50.0,50,139.986306
-50.0,50,140.40141
-50.0,50,140.821045
-50.0,50,141.255481
-50.0,50,141.645962
-50.0,50,142.071213
-50.0,50,142.474723
-50.0,50,142.871157
-50.0,50,143.295279
-50.0,50,143.932632
-50.0,50,146.547795
-50.0,50,149.204043
-50.0,50,151.855318
-50.0,50,154.490317
-50.0,50,157.099055
-50.0,50,159.715888
-50.0,50,162.319733
-50.0,50,164.9589
-50.0,50,167.533389
-50.0,50,170.237257
-50.0,50,172.875807
-50.0,50,175.518535
-50.0,50,178.141012
-50.0,50,180.758955
-50.0,50,183.403557
-50.0,50,186.059436
-50.0,50,188.677066
-50.0,50,191.294989
-50.0,50,193.905968
-50.0,50,196.504942
-50.0,50,199.150506
-50.0,50,201.793574
-50.0,50,204.401316
-50.0,50,207.059484
-50.0,50,209.659412
-50.0,50,212.241763
-50.0,50,214.879268
-50.0,50,217.495589
-50.0,50,220.098206
-50.0,50,222.723658
-50.0,50,225.37447
-50.0,50,227.970223
-50.0,50,230.582664
-50.0,50,233.206607
-50.0,50,235.820925
-50.0,50,238.472319
-50.0,50,241.049954
-50.0,50,243.692812
-50.0,50,246.318378
-50.0,50,248.940508
-50.0,50,251.583143
-50.0,50,254.238632
-50.0,50,256.842557
-50.0,50,259.47925
-50.0,50,262.104341
-50.0,50,264.692009
-50.0,50,267.343205
-50.0,50,270.00572
-50.0,50,272.621316
-50.0,50,275.186559
-50.0,50,275.619136
-50.0,50,276.013415
-50.0,50,276.392787
-50.0,50,276.824708
-50.0,50,277.239022
-50.0,50,277.628719
-50.0,50,278.046855
-50.0,50,278.47089
-50.0,50,278.905902
-50.0,50,279.484947
-50.0,50,282.151596
-50.0,50,284.779374
-50.0,50,287.389421
-50.0,50,290.008569
-50.0,50,292.618373
-50.0,50,295.255916
-50.0,50,297.899145
-50.0,50,300.504663
-50.0,50,303.13712
-50.0,50,305.772188
-50.0,50,308.436895
-50.0,50,311.050553
-50.0,50,313.637399
-50.0,50,316.340657
-50.0,50,318.913365
-50.0,50,321.561571
-50.0,50,324.236316
-50.0,50,326.852695
-50.0,50,329.482448
-50.0,50,332.101051
-50.0,50,334.727312
-50.0,50,337.314736
-50.0,50,339.957718
-50.0,50,342.620539
-50.0,50,345.246599
-50.0,50,347.910142
-50.0,50,350.492613
-50.0,50,353.092739
-50.0,50,355.754988
-50.0,50,358.360932
-50.0,50,361.039905
-50.0,50,363.624311
-50.0,50,366.210285
-50.0,50,368.808775
-50.0,50,371.43546
-50.0,50,374.093997
-50.0,50,376.683734
-50.0,50,379.273433
-50.0,50,382.054784
-50.0,50,384.835593
-50.0,50,387.628303
-50.0,50,390.333602
-50.0,50,393.165081
-50.0,50,395.981109
-50.0,50,398.715914
-50.0,50,401.412301
-50.0,50,404.161271
-50.0,50,406.825112
-50.0,50,409.439953
-50.0,50,412.102946
-50.0,50,412.505744
-50.0,50,412.916737
-50.0,50,413.31885
-50.0,50,413.799957
-50.0,50,414.181648
-50.0,50,414.609153
-50.0,50,415.010175
-50.0,50,415.424438
-50.0,50,415.844381
-50.0,50,416.341858
-50.0,50,419.038557
-50.0,50,421.644943
-50.0,50,424.266063
-50.0,50,426.885472
-50.0,50,429.512254
-50.0,50,432.110034
-50.0,50,434.727353
-50.0,50,437.306869
-50.0,50,439.932618
-50.0,50,442.534314
