# {"env_id": "FetchPickAndPlaceball-v1", "t_start": 1580822449.2471428} 
r,l,t
-50.0,50,7.903599
-50.0,50,10.623678
-50.0,50,13.175763
-50.0,50,15.687616
-50.0,50,18.179555
-50.0,50,20.718236
-50.0,50,23.221098
-50.0,50,25.749494
-50.0,50,28.277907
-50.0,50,30.778718
-50.0,50,33.284333
-50.0,50,35.814739
-50.0,50,38.374527
-50.0,50,40.921228
-50.0,50,43.431948
-50.0,50,45.937712
-50.0,50,48.476671
-50.0,50,50.990999
-50.0,50,53.583192
-50.0,50,56.16232
-50.0,50,58.717597
-50.0,50,61.206628
-50.0,50,63.773287
-50.0,50,66.31807
-50.0,50,68.834454
-50.0,50,71.359014
-50.0,50,73.887058
-50.0,50,76.425127
-50.0,50,78.927478
-50.0,50,81.498636
-50.0,50,84.001433
-50.0,50,86.565393
-50.0,50,89.096345
-50.0,50,91.615002
-50.0,50,94.141225
-50.0,50,96.632197
-50.0,50,99.180678
-50.0,50,101.712806
-50.0,50,104.240353
-50.0,50,106.800652
-50.0,50,109.348157
-50.0,50,111.891965
-50.0,50,114.474
-50.0,50,117.013306
-50.0,50,119.536902
-50.0,50,122.023206
-50.0,50,124.572178
-50.0,50,127.101123
-50.0,50,129.612506
-50.0,50,132.190217
-50.0,50,134.736078
-50.0,50,135.104969
-50.0,50,135.481354
-50.0,50,135.854206
-50.0,50,136.227695
-50.0,50,136.638826
-50.0,50,137.02802
-50.0,50,137.400428
-50.0,50,137.783328
-50.0,50,138.170626
-50.0,50,138.683918
-50.0,50,141.264344
-50.0,50,143.780154
-50.0,50,146.337071
-50.0,50,148.862991
0.0,50,151.381548
-50.0,50,153.977172
-50.0,50,156.459683
-50.0,50,159.009618
-50.0,50,161.525301
-50.0,50,164.114385
-50.0,50,166.683765
-50.0,50,169.223606
-50.0,50,171.75242
-50.0,50,174.264633
-50.0,50,176.807929
-50.0,50,179.354581
-50.0,50,181.922519
-50.0,50,184.422199
-50.0,50,186.988761
-50.0,50,189.596659
-50.0,50,192.11148
-50.0,50,194.65376
-50.0,50,197.199466
-50.0,50,199.739638
-50.0,50,202.262921
-50.0,50,204.830934
-50.0,50,207.340215
-50.0,50,209.919034
-50.0,50,212.43726
-50.0,50,214.996314
-50.0,50,217.547234
-50.0,50,220.095471
-50.0,50,222.645257
-50.0,50,225.175247
-50.0,50,227.720901
-50.0,50,230.282793
-50.0,50,232.809799
-50.0,50,235.356181
-50.0,50,237.845663
-50.0,50,240.442319
-50.0,50,242.96227
0.0,50,245.494258
-50.0,50,248.050648
-50.0,50,250.619955
-50.0,50,253.144649
-50.0,50,255.716834
-50.0,50,258.263303
-50.0,50,260.787703
-50.0,50,263.288383
-50.0,50,265.846333
-50.0,50,266.242621
-50.0,50,266.632613
-50.0,50,267.012
-50.0,50,267.369189
-50.0,50,267.761523
-50.0,50,268.158008
-50.0,50,268.543287
-50.0,50,268.925401
-50.0,50,269.316431
-50.0,50,269.914033
-50.0,50,272.460459
-50.0,50,275.021701
-50.0,50,277.564428
-50.0,50,280.12534
-50.0,50,282.670324
0.0,50,285.193086
-50.0,50,287.739805
-50.0,50,290.292037
-50.0,50,292.864748
-50.0,50,295.417531
-50.0,50,297.954078
-50.0,50,300.518203
-50.0,50,303.08703
-50.0,50,305.643186
-50.0,50,308.134112
-50.0,50,310.674442
-50.0,50,313.245343
-50.0,50,315.804042
-50.0,50,318.324899
-50.0,50,320.885314
-50.0,50,323.407337
-50.0,50,325.915228
-50.0,50,328.48467
-50.0,50,331.036369
-50.0,50,333.566306
-50.0,50,336.107855
-50.0,50,338.700548
-50.0,50,341.208315
-50.0,50,343.82747
-50.0,50,346.352732
-50.0,50,348.847327
-50.0,50,351.439447
-50.0,50,353.986859
0.0,50,356.568801
-50.0,50,359.14624
-50.0,50,361.658489
-50.0,50,364.235429
-50.0,50,366.781494
-50.0,50,369.384379
-50.0,50,371.92409
-50.0,50,374.473711
-50.0,50,377.02181
-50.0,50,379.568402
-50.0,50,382.153275
-50.0,50,384.701584
-50.0,50,387.271775
-50.0,50,389.821103
-50.0,50,392.405457
-50.0,50,394.905823
-50.0,50,397.455414
-50.0,50,397.836477
-50.0,50,398.215301
-50.0,50,398.634529
-50.0,50,399.034762
-50.0,50,399.452545
0.0,50,399.857406
-50.0,50,400.241959
0.0,50,400.617549
-50.0,50,401.024491
-50.0,50,401.440596
-50.0,50,404.028019
-50.0,50,406.535448
-50.0,50,409.090698
-50.0,50,411.64957
-50.0,50,414.213888
-50.0,50,416.80187
-50.0,50,419.318697
-50.0,50,421.861747
0.0,50,424.424408
-50.0,50,426.942588
-50.0,50,429.508367
-50.0,50,432.097409
-50.0,50,434.648109
-50.0,50,437.177849
-50.0,50,439.690479
0.0,50,442.295123
-50.0,50,444.8115
-50.0,50,447.401387
-50.0,50,449.919108
-50.0,50,452.474893
-50.0,50,455.047421
-50.0,50,457.576347
-50.0,50,460.184686
-50.0,50,462.728475
-50.0,50,465.262366
-50.0,50,467.844018
-50.0,50,470.372402
-50.0,50,472.985081
-50.0,50,475.520574
-50.0,50,478.034098
-50.0,50,480.59624
-50.0,50,483.153453
-50.0,50,485.721996
-50.0,50,488.261358
-50.0,50,490.820767
-50.0,50,493.38438
-50.0,50,496.004732
-50.0,50,498.515679
-50.0,50,501.05242
-50.0,50,503.572276
-50.0,50,506.127711
-50.0,50,508.686741
-50.0,50,511.217593
-50.0,50,513.752671
-50.0,50,516.267615
-50.0,50,518.842792
-50.0,50,521.368375
-50.0,50,523.890529
-50.0,50,526.470262
-50.0,50,528.988387
-50.0,50,529.382879
-50.0,50,529.76307
-50.0,50,530.142255
-50.0,50,530.522506
-50.0,50,530.959216
-50.0,50,531.324871
-50.0,50,531.717792
-50.0,50,532.112386
-50.0,50,532.495878
-50.0,50,532.955145
-50.0,50,535.542438
-50.0,50,538.117985
-50.0,50,540.685816
-50.0,50,543.197973
-50.0,50,545.778107
-50.0,50,548.327897
-50.0,50,550.886306
-50.0,50,553.469288
-50.0,50,555.982883
-50.0,50,558.469087
-50.0,50,561.038755
-50.0,50,563.585962
-50.0,50,566.154583
-50.0,50,568.674222
-50.0,50,571.233878
-50.0,50,573.740452
-50.0,50,576.321186
-50.0,50,578.852377
-50.0,50,581.381793
-50.0,50,583.953074
-50.0,50,586.482115
-50.0,50,589.053333
-50.0,50,591.619278
-50.0,50,594.167623
-50.0,50,596.701962
-50.0,50,599.223972
-50.0,50,601.787274
0.0,50,604.335842
-50.0,50,606.879209
-50.0,50,609.421389
-50.0,50,612.006741
-50.0,50,614.550241
-50.0,50,617.087339
-50.0,50,619.688543
-50.0,50,622.228822
-50.0,50,624.762955
-50.0,50,627.267837
-50.0,50,629.841968
-50.0,50,632.372694
-50.0,50,634.90915
-50.0,50,637.462022
-50.0,50,640.0113
-50.0,50,642.575606
-50.0,50,645.121635
-50.0,50,647.691081
-50.0,50,650.239588
-50.0,50,652.751751
-50.0,50,655.31956
-50.0,50,657.842363
-50.0,50,660.397266
-7.0,50,660.801844
-50.0,50,661.190704
-50.0,50,661.591983
-7.0,50,662.011399
-50.0,50,662.419169
-50.0,50,662.819431
-50.0,50,663.208669
-50.0,50,663.616688
-50.0,50,664.01197
-50.0,50,664.419007
-50.0,50,666.948442
-50.0,50,669.521768
-50.0,50,672.080543
-50.0,50,674.625335
-50.0,50,677.147163
-50.0,50,679.721531
0.0,50,682.273084
-50.0,50,684.83769
-50.0,50,687.362854
-50.0,50,689.91826
-50.0,50,692.476099
-50.0,50,695.005823
-50.0,50,697.575945
-50.0,50,700.111049
-50.0,50,702.644744
-50.0,50,705.32492
-50.0,50,707.930902
-50.0,50,710.580789
-50.0,50,713.101616
-50.0,50,715.694007
-50.0,50,718.21524
-50.0,50,720.733265
-50.0,50,723.302838
-50.0,50,725.799275
-50.0,50,728.352875
-50.0,50,730.942676
-50.0,50,733.47516
-50.0,50,736.04472
-50.0,50,738.608004
-50.0,50,741.185292
-50.0,50,743.774069
-50.0,50,746.399097
-50.0,50,749.01364
-50.0,50,751.663085
0.0,50,754.297678
-50.0,50,756.918739
-50.0,50,759.480942
-50.0,50,762.019868
-50.0,50,764.569378
-50.0,50,767.13028
-50.0,50,769.660611
-50.0,50,772.288237
-50.0,50,774.992916
-50.0,50,777.592501
-50.0,50,780.177686
-50.0,50,782.751357
-50.0,50,785.359568
-50.0,50,787.962874
-50.0,50,790.69292
-50.0,50,793.392894
-50.0,50,793.820211
-50.0,50,794.218117
-50.0,50,794.634744
-50.0,50,795.028034
-50.0,50,795.423198
-50.0,50,795.838695
-50.0,50,796.261555
-50.0,50,796.669235
-50.0,50,797.078529
-50.0,50,797.567489
-11.0,50,800.15105
-50.0,50,802.874781
-50.0,50,805.509823
-50.0,50,808.059113
-50.0,50,810.622148
-50.0,50,813.152779
-50.0,50,815.667444
-50.0,50,818.209509
-50.0,50,820.753082
-50.0,50,823.247564
-50.0,50,825.845729
-50.0,50,828.385648
-50.0,50,830.942624
-50.0,50,833.482586
-50.0,50,836.05899
-50.0,50,838.572289
-50.0,50,841.111783
-50.0,50,843.651675
-50.0,50,846.210355
-50.0,50,848.737781
-50.0,50,851.312903
-50.0,50,853.849018
-50.0,50,856.386124
-50.0,50,858.961669
-50.0,50,861.472911
-50.0,50,864.004465
-50.0,50,866.594666
-50.0,50,869.280724
-50.0,50,872.010647
-50.0,50,874.726787
-50.0,50,877.30689
-50.0,50,879.949725
-50.0,50,882.537647
-50.0,50,885.19652
-50.0,50,887.784293
-50.0,50,890.415626
-50.0,50,893.081553
-50.0,50,895.639173
-50.0,50,898.12122
-50.0,50,900.683363
-50.0,50,903.258845
-50.0,50,905.795736
-50.0,50,908.360089
-50.0,50,910.931693
-50.0,50,913.475904
0.0,50,916.00611
-50.0,50,918.565617
-50.0,50,921.118862
-50.0,50,923.672905
-50.0,50,926.214852
-50.0,50,926.610231
-16.0,50,927.024022
-50.0,50,927.442759
-50.0,50,927.805681
-50.0,50,928.207262
-50.0,50,928.591809
-50.0,50,928.952898
-50.0,50,929.325196
-50.0,50,929.722304
-50.0,50,930.234086
-50.0,50,932.816519
-50.0,50,935.424403
-50.0,50,938.178901
-50.0,50,940.774695
-50.0,50,943.395746
-50.0,50,945.990932
-50.0,50,948.622018
-43.0,50,951.366153
-50.0,50,953.970989
-50.0,50,956.603386
-50.0,50,959.268905
-50.0,50,961.916451
-50.0,50,964.606221
-50.0,50,967.227797
-46.0,50,969.893729
-50.0,50,972.481526
-50.0,50,975.097991
-50.0,50,977.684428
-50.0,50,980.280989
-50.0,50,982.837236
-50.0,50,985.404676
-50.0,50,987.973422
-50.0,50,990.514159
-50.0,50,993.082745
-50.0,50,995.649292
-50.0,50,998.252057
-50.0,50,1000.807112
-50.0,50,1003.355345
-50.0,50,1006.016419
-50.0,50,1008.570304
-50.0,50,1011.216631
-50.0,50,1013.901222
-50.0,50,1016.477805
-50.0,50,1019.070803
-50.0,50,1021.61692
-50.0,50,1024.381481
-50.0,50,1026.951091
-50.0,50,1029.524993
-50.0,50,1032.098199
-50.0,50,1034.671743
-42.0,50,1037.227833
-50.0,50,1039.804414
-50.0,50,1042.479389
-50.0,50,1045.06449
-50.0,50,1047.626204
-50.0,50,1050.236661
-50.0,50,1052.829341
-44.0,50,1055.360927
-50.0,50,1057.903205
-50.0,50,1060.473629
-50.0,50,1060.90419
-50.0,50,1061.311147
-46.0,50,1061.694707
-50.0,50,1062.109744
-50.0,50,1062.498468
-8.0,50,1062.90204
-50.0,50,1063.33331
-50.0,50,1063.735982
-50.0,50,1064.170539
-50.0,50,1064.621497
-50.0,50,1067.192287
-50.0,50,1069.707642
-50.0,50,1072.313615
-50.0,50,1074.850189
-50.0,50,1077.391399
-50.0,50,1079.958314
-8.0,50,1082.481834
-50.0,50,1085.072047
-42.0,50,1087.609612
-50.0,50,1090.190835
-50.0,50,1092.711632
-21.0,50,1095.26149
-50.0,50,1097.777323
-50.0,50,1100.396401
-50.0,50,1102.874579
-50.0,50,1105.460078
-50.0,50,1107.994472
-50.0,50,1110.549509
-50.0,50,1113.135484
-50.0,50,1115.635684
-44.0,50,1118.240255
-50.0,50,1120.73925
-50.0,50,1123.259157
-50.0,50,1125.851172
-50.0,50,1128.317591
-50.0,50,1130.91429
-50.0,50,1133.469683
-50.0,50,1136.015892
-50.0,50,1138.608011
-50.0,50,1141.11062
-50.0,50,1143.663752
-50.0,50,1146.209394
-50.0,50,1148.785141
-50.0,50,1151.347208
-50.0,50,1153.911034
-50.0,50,1156.500907
-50.0,50,1159.02643
-50.0,50,1161.582011
-50.0,50,1164.093126
-50.0,50,1166.666137
-43.0,50,1169.204612
-50.0,50,1171.739364
-50.0,50,1174.272988
-50.0,50,1176.8269
-49.0,50,1179.403292
-50.0,50,1181.978179
-50.0,50,1184.516163
-50.0,50,1187.078856
-50.0,50,1189.630673
-50.0,50,1192.214873
-50.0,50,1192.646045
-50.0,50,1193.072887
-50.0,50,1193.462558
-50.0,50,1193.873877
-50.0,50,1194.281705
-50.0,50,1194.694935
-50.0,50,1195.093378
0.0,50,1195.48644
-50.0,50,1195.87539
-50.0,50,1196.339151
-50.0,50,1198.910604
-34.0,50,1201.427103
-50.0,50,1203.976543
-50.0,50,1206.482073
-50.0,50,1209.080825
-47.0,50,1211.646629
-50.0,50,1214.202969
-50.0,50,1216.7126
-50.0,50,1219.311534
-50.0,50,1221.827451
-50.0,50,1224.33101
-50.0,50,1226.899138
-50.0,50,1229.451541
-50.0,50,1232.010154
-48.0,50,1234.578721
-50.0,50,1237.126402
-27.0,50,1239.668899
-50.0,50,1242.250886
-50.0,50,1244.820641
-50.0,50,1247.352755
-50.0,50,1249.913248
-47.0,50,1252.543841
-50.0,50,1255.058834
-50.0,50,1257.608942
-50.0,50,1260.177509
0.0,50,1262.778633
-50.0,50,1265.307891
-50.0,50,1267.857203
-50.0,50,1270.432523
-50.0,50,1273.024055
-43.0,50,1275.512319
-50.0,50,1278.061302
-50.0,50,1280.650876
-49.0,50,1283.204766
-50.0,50,1285.76935
-50.0,50,1288.308213
-50.0,50,1290.876338
-50.0,50,1293.458668
-50.0,50,1296.06487
-50.0,50,1298.583847
0.0,50,1301.129951
-50.0,50,1303.724724
-50.0,50,1306.311149
-50.0,50,1308.853824
-50.0,50,1311.394496
-50.0,50,1313.954261
-50.0,50,1316.528958
-50.0,50,1319.109247
-50.0,50,1321.643844
-46.0,50,1324.18981
-50.0,50,1324.610877
-50.0,50,1325.028782
-50.0,50,1325.450571
-50.0,50,1325.85254
0.0,50,1326.262295
-50.0,50,1326.683643
-50.0,50,1327.068625
-50.0,50,1327.466577
-44.0,50,1327.893101
-50.0,50,1328.384213
-50.0,50,1330.993641
-20.0,50,1333.548986
-33.0,50,1336.095546
-50.0,50,1338.64308
-50.0,50,1341.213684
-50.0,50,1343.805969
-50.0,50,1346.336917
-50.0,50,1348.937371
-50.0,50,1351.496006
-50.0,50,1354.011789
-50.0,50,1356.580487
-49.0,50,1359.131393
-18.0,50,1361.723311
-38.0,50,1364.27199
-50.0,50,1366.791319
-43.0,50,1369.377351
-50.0,50,1371.923817
-50.0,50,1374.48455
-33.0,50,1377.018639
-50.0,50,1379.599363
-50.0,50,1382.154934
-50.0,50,1384.706812
-50.0,50,1387.274861
-50.0,50,1389.804675
-25.0,50,1392.411504
-50.0,50,1394.935686
-50.0,50,1397.503456
-50.0,50,1400.039994
-50.0,50,1402.618533
-50.0,50,1405.206802
-26.0,50,1407.765499
-50.0,50,1410.33743
-49.0,50,1412.872279
-19.0,50,1415.398026
-50.0,50,1417.985878
-50.0,50,1420.512479
-50.0,50,1423.072643
-50.0,50,1425.631253
-46.0,50,1428.211146
-50.0,50,1430.829779
-50.0,50,1433.353508
-50.0,50,1435.911431
-50.0,50,1438.450749
-50.0,50,1441.013391
-50.0,50,1443.590298
-50.0,50,1446.148495
-9.0,50,1448.698815
-50.0,50,1451.268377
-50.0,50,1453.862528
-50.0,50,1456.398594
-50.0,50,1456.834598
-50.0,50,1457.266207
-50.0,50,1457.641897
-50.0,50,1458.026532
-15.0,50,1458.389354
-50.0,50,1458.810834
-50.0,50,1459.207474
-50.0,50,1459.648099
-50.0,50,1460.057375
-50.0,50,1460.625928
-50.0,50,1463.214368
-50.0,50,1465.732208
0.0,50,1468.319899
-50.0,50,1470.843689
-50.0,50,1473.441978
-50.0,50,1475.989326
-49.0,50,1478.554565
-34.0,50,1481.106451
-50.0,50,1483.69837
-21.0,50,1486.228416
-50.0,50,1488.820503
0.0,50,1491.386326
-48.0,50,1493.956548
-50.0,50,1496.493647
-50.0,50,1498.997489
-50.0,50,1501.613162
-50.0,50,1504.176672
-24.0,50,1506.718044
-50.0,50,1509.263969
-41.0,50,1511.788865
-50.0,50,1514.336031
-50.0,50,1516.904836
-50.0,50,1519.505813
-50.0,50,1522.034884
-49.0,50,1524.599843
-50.0,50,1527.1195
-50.0,50,1529.689887
-50.0,50,1532.270055
-50.0,50,1534.842942
-26.0,50,1537.362749
-21.0,50,1539.959346
-15.0,50,1542.544753
-48.0,50,1545.06402
-23.0,50,1547.667174
-50.0,50,1550.220092
-15.0,50,1552.807732
-19.0,50,1555.332165
-27.0,50,1557.926966
-50.0,50,1560.491216
-29.0,50,1563.087585
-50.0,50,1565.641716
-37.0,50,1568.202808
-9.0,50,1570.763032
-50.0,50,1573.381869
-33.0,50,1575.956873
-44.0,50,1578.512594
-50.0,50,1581.09179
-50.0,50,1583.68488
-50.0,50,1586.216739
-50.0,50,1588.790277
-9.0,50,1589.219085
-25.0,50,1589.604525
0.0,50,1590.014651
-7.0,50,1590.408926
-50.0,50,1590.798424
-15.0,50,1591.198388
-50.0,50,1591.629161
-50.0,50,1592.06304
-48.0,50,1592.468646
-34.0,50,1592.916958
-45.0,50,1595.488623
-50.0,50,1598.052177
-50.0,50,1600.631138
-50.0,50,1603.215811
-50.0,50,1605.759726
-45.0,50,1608.35952
-50.0,50,1610.938638
-48.0,50,1613.507443
-19.0,50,1616.045295
-50.0,50,1618.600098
-50.0,50,1621.166494
-50.0,50,1623.758689
-50.0,50,1626.290605
-20.0,50,1628.839789
-50.0,50,1631.390762
-10.0,50,1633.929677
-50.0,50,1636.515911
-22.0,50,1639.089438
-50.0,50,1641.651026
-47.0,50,1644.239317
-50.0,50,1646.800811
-46.0,50,1649.355166
-37.0,50,1651.89094
-50.0,50,1654.472012
-38.0,50,1657.020501
-50.0,50,1659.562497
-48.0,50,1662.132395
-50.0,50,1664.730452
-11.0,50,1667.254436
-7.0,50,1669.804912
