# {"env_id": "FetchPush-v1", "t_start": 1572730314.0092127} 
r,l,t
-50.0,50,1.185711
-50.0,50,1.930414
-50.0,50,2.704204
0.0,50,3.424135
-50.0,50,4.083938
-50.0,50,4.751806
-50.0,50,5.465268
-50.0,50,6.183645
-50.0,50,6.849105
-50.0,50,7.519892
-50.0,50,8.209412
-50.0,50,8.896264
-50.0,50,9.565589
-50.0,50,10.219974
-50.0,50,10.908395
-50.0,50,11.634839
0.0,50,12.268358
0.0,50,12.943245
0.0,50,13.632291
-50.0,50,14.368541
-50.0,50,15.107435
-50.0,50,15.848574
-50.0,50,16.546591
-50.0,50,17.218411
-50.0,50,17.862875
-50.0,50,18.494157
0.0,50,19.157163
-50.0,50,19.799997
0.0,50,20.429178
-50.0,50,21.189162
-50.0,50,22.026394
-50.0,50,22.8357
-50.0,50,23.570696
-50.0,50,24.254616
-50.0,50,24.976133
-50.0,50,25.645164
-50.0,50,26.298275
-50.0,50,26.964035
-50.0,50,27.655116
-50.0,50,28.377995
-50.0,50,29.045142
-50.0,50,29.712392
-50.0,50,30.407588
-50.0,50,31.140347
-50.0,50,31.829801
-50.0,50,32.519158
-50.0,50,33.250936
-50.0,50,33.959929
0.0,50,34.764204
-50.0,50,35.506609
-50.0,50,36.242504
0.0,50,36.37929
-50.0,50,36.515604
-50.0,50,36.643836
-50.0,50,36.791873
-50.0,50,36.960299
-50.0,50,37.092708
-50.0,50,37.249825
-50.0,50,37.395247
-50.0,50,37.542154
-50.0,50,37.705489
-50.0,50,38.548028
-50.0,50,39.433163
-3.0,50,40.261791
-50.0,50,41.045413
-50.0,50,41.821863
-50.0,50,42.5563
-50.0,50,43.307179
-50.0,50,44.078876
-50.0,50,44.890468
-50.0,50,45.639998
-50.0,50,46.380381
-50.0,50,47.104261
-50.0,50,47.847216
-50.0,50,48.599236
0.0,50,49.29152
-50.0,50,50.029269
0.0,50,50.685629
-50.0,50,51.400519
-50.0,50,52.14888
-50.0,50,52.885511
-50.0,50,53.676572
-50.0,50,54.483436
-50.0,50,55.39991
-50.0,50,56.228191
-50.0,50,56.955724
-50.0,50,57.741798
-50.0,50,58.455856
-50.0,50,59.221311
-50.0,50,59.946795
-50.0,50,60.643812
-50.0,50,61.32437
-50.0,50,61.987463
-50.0,50,62.652264
-50.0,50,63.320713
-50.0,50,63.993715
-50.0,50,64.67367
-50.0,50,65.462916
-50.0,50,66.245621
-50.0,50,66.974761
-50.0,50,67.700539
-50.0,50,68.4301
-50.0,50,69.198488
-50.0,50,69.941037
-50.0,50,70.694668
-50.0,50,71.462484
-50.0,50,72.236242
-50.0,50,73.008631
-50.0,50,73.82517
-50.0,50,74.601449
-50.0,50,75.353731
-50.0,50,75.473855
-50.0,50,75.591911
-50.0,50,75.727362
-50.0,50,75.843665
-50.0,50,75.95674
-50.0,50,76.066159
-50.0,50,76.187596
-50.0,50,76.310736
-50.0,50,76.442846
-50.0,50,76.55495
-50.0,50,77.234789
-50.0,50,77.916889
-50.0,50,78.631347
-50.0,50,79.340949
-50.0,50,80.057319
-50.0,50,80.783964
-50.0,50,81.499689
-50.0,50,82.260811
-50.0,50,83.008149
-50.0,50,83.758401
-50.0,50,84.506435
-50.0,50,85.28253
-50.0,50,86.017873
-50.0,50,86.751038
-50.0,50,87.498291
-50.0,50,88.247906
-50.0,50,89.036588
-50.0,50,89.838724
-50.0,50,90.63468
-50.0,50,91.419995
-50.0,50,92.193128
-50.0,50,92.986444
-50.0,50,93.728614
-50.0,50,94.457194
-50.0,50,95.272468
-50.0,50,96.138655
-50.0,50,96.95214
-50.0,50,97.750961
-50.0,50,98.507717
-50.0,50,99.248186
-50.0,50,99.934148
-50.0,50,100.672919
-50.0,50,101.429738
-50.0,50,102.145759
-50.0,50,102.850683
-50.0,50,103.604351
-50.0,50,104.368371
-50.0,50,105.131609
-50.0,50,105.912163
0.0,50,106.672903
-50.0,50,107.428786
-50.0,50,108.208078
-50.0,50,109.013233
-50.0,50,109.81008
-50.0,50,110.593854
-50.0,50,111.364629
-50.0,50,112.115447
-50.0,50,112.885561
-50.0,50,113.678111
-50.0,50,114.439244
-50.0,50,114.55752
-50.0,50,114.687701
-50.0,50,114.819873
-50.0,50,114.943002
-50.0,50,115.063673
-50.0,50,115.193122
-50.0,50,115.312458
-50.0,50,115.41565
-50.0,50,115.539271
-50.0,50,115.656303
-50.0,50,116.366889
0.0,50,117.098843
-50.0,50,117.823476
0.0,50,118.584784
-50.0,50,119.387023
-50.0,50,120.197464
-50.0,50,120.973324
-50.0,50,121.73131
-50.0,50,122.474366
0.0,50,123.219851
-50.0,50,123.971464
-50.0,50,124.746749
-50.0,50,125.503226
-17.0,50,126.276264
0.0,50,127.013504
-50.0,50,127.763787
-50.0,50,128.517452
-50.0,50,129.292217
-3.0,50,130.06627
-50.0,50,130.865818
-50.0,50,131.677819
-50.0,50,132.453536
0.0,50,133.231919
-50.0,50,133.989515
-50.0,50,134.772505
0.0,50,135.552305
-50.0,50,136.332445
-50.0,50,137.142458
-50.0,50,137.929998
-50.0,50,138.706451
-50.0,50,139.47207
-50.0,50,140.226116
-50.0,50,140.983511
-50.0,50,141.749964
-50.0,50,142.519521
-50.0,50,143.269447
0.0,50,144.027276
-50.0,50,144.794213
-50.0,50,145.542069
-50.0,50,146.327847
-50.0,50,147.002393
-50.0,50,147.664015
-50.0,50,148.326416
-50.0,50,148.982172
-50.0,50,149.654418
-50.0,50,150.332768
-50.0,50,151.003437
-50.0,50,151.659458
-50.0,50,152.310153
-50.0,50,152.979836
-50.0,50,153.097177
-50.0,50,153.207301
0.0,50,153.326081
-50.0,50,153.426575
-50.0,50,153.525642
0.0,50,153.633532
-50.0,50,153.772008
-50.0,50,153.870556
-50.0,50,153.971504
-50.0,50,154.074285
-50.0,50,154.730864
-50.0,50,155.387527
0.0,50,156.047508
-50.0,50,156.706039
0.0,50,157.36732
-50.0,50,158.024818
-50.0,50,158.675883
-50.0,50,159.328819
-50.0,50,159.998712
-50.0,50,160.656877
-50.0,50,161.300643
-50.0,50,161.942707
0.0,50,162.590789
-50.0,50,163.24123
