# {"env_id": "FetchPush-v1", "t_start": 1581447373.5483394} 
r,l,t
-50.0,50,8.599479
-50.0,50,12.571151
-50.0,50,16.187128
-50.0,50,19.753677
-50.0,50,23.377402
-50.0,50,26.941248
-50.0,50,30.519151
-50.0,50,34.139363
-50.0,50,37.731845
-50.0,50,41.246444
-50.0,50,44.952875
-50.0,50,48.568417
-50.0,50,52.163915
-50.0,50,55.753752
-50.0,50,59.311372
-50.0,50,62.95741
-50.0,50,66.619876
-50.0,50,70.153114
-50.0,50,73.798302
0.0,50,77.344125
-50.0,50,81.070418
-50.0,50,84.685821
-50.0,50,88.270453
-50.0,50,91.960646
-50.0,50,95.498814
-50.0,50,99.193789
-50.0,50,102.884277
-50.0,50,106.409429
-50.0,50,109.928583
-50.0,50,113.580062
-50.0,50,117.234913
-50.0,50,120.242485
-50.0,50,123.097398
-50.0,50,125.944838
-50.0,50,128.637652
-50.0,50,131.28842
-50.0,50,133.899758
-50.0,50,136.523518
0.0,50,139.074955
-50.0,50,141.701917
-50.0,50,144.299331
-50.0,50,146.914373
-50.0,50,149.518014
-50.0,50,152.087615
-50.0,50,154.672421
-50.0,50,157.282266
-50.0,50,159.869299
-50.0,50,162.455854
-50.0,50,165.080797
-50.0,50,167.748618
-50.0,50,170.434594
-50.0,50,170.89427
-50.0,50,171.35898
-50.0,50,171.791566
-50.0,50,172.271224
-50.0,50,172.714179
-50.0,50,173.171091
-50.0,50,173.585941
-50.0,50,174.025191
-50.0,50,174.47736
-50.0,50,175.010143
-50.0,50,177.714983
-50.0,50,180.325955
-50.0,50,182.931897
-50.0,50,185.564358
-50.0,50,188.154437
-50.0,50,190.715856
-50.0,50,193.350424
-50.0,50,195.930682
-50.0,50,198.551238
-50.0,50,201.171421
-50.0,50,203.781714
-50.0,50,206.348703
-50.0,50,208.977698
-50.0,50,211.560302
-50.0,50,214.158299
-50.0,50,216.752798
-50.0,50,219.357669
-50.0,50,221.998641
-50.0,50,224.606248
-50.0,50,227.226915
-50.0,50,229.872558
-50.0,50,232.505721
-50.0,50,235.141997
-50.0,50,237.695617
-50.0,50,240.341054
-50.0,50,242.958316
-50.0,50,245.590091
-50.0,50,248.18863
-50.0,50,250.806556
-50.0,50,253.449524
-50.0,50,256.046442
-50.0,50,258.678422
-50.0,50,261.253906
-50.0,50,263.853802
-50.0,50,266.508893
-50.0,50,269.093654
-50.0,50,271.725187
-50.0,50,274.358795
-50.0,50,277.009048
-50.0,50,279.822011
-50.0,50,282.702093
-50.0,50,285.473344
-50.0,50,288.117552
-50.0,50,290.787999
-2.0,50,294.024388
-50.0,50,297.043523
-50.0,50,299.947101
-50.0,50,302.902147
-50.0,50,305.906691
0.0,50,308.7995
-50.0,50,309.263281
-50.0,50,309.752321
-50.0,50,310.210468
-50.0,50,310.675004
-50.0,50,311.144286
-50.0,50,311.616826
