# {"t_start": 1581447371.9015899, "env_id": "FetchPush-v1"} 
r,l,t
-50.0,50,10.245822
-50.0,50,14.223241
-50.0,50,17.814267
-50.0,50,21.380425
-50.0,50,24.97696
-50.0,50,28.59687
-50.0,50,32.160308
-50.0,50,35.761559
-50.0,50,39.354567
-50.0,50,42.958572
-50.0,50,46.56235
-50.0,50,50.238497
0.0,50,53.77946
-50.0,50,57.389384
-50.0,50,60.987906
-50.0,50,64.624647
0.0,50,68.294943
-50.0,50,71.78152
-50.0,50,75.470547
-50.0,50,79.07355
-50.0,50,82.706152
-50.0,50,86.349824
-50.0,50,89.903605
-50.0,50,93.6169
-50.0,50,97.176627
-50.0,50,100.85653
-50.0,50,104.50147
-50.0,50,108.056547
-50.0,50,111.598034
-50.0,50,115.18409
-50.0,50,118.873981
-50.0,50,121.864842
-50.0,50,124.728316
-50.0,50,127.62418
-50.0,50,130.295274
-50.0,50,132.92457
-50.0,50,135.526641
-50.0,50,138.152552
-50.0,50,140.770687
-50.0,50,143.362229
-50.0,50,145.986608
-50.0,50,148.57708
-50.0,50,151.14031
-50.0,50,153.738896
-50.0,50,156.369772
0.0,50,158.952682
-50.0,50,161.533161
-50.0,50,164.158437
-50.0,50,166.739251
-50.0,50,169.380586
-50.0,50,172.005621
-50.0,50,172.481655
-50.0,50,172.904839
-50.0,50,173.351085
-50.0,50,173.807473
-50.0,50,174.272973
-50.0,50,174.71374
-50.0,50,175.168019
-50.0,50,175.582824
-50.0,50,176.061189
-50.0,50,176.686136
-50.0,50,179.346724
-50.0,50,181.968224
-50.0,50,184.592311
-50.0,50,187.202661
-50.0,50,189.802659
-50.0,50,192.421026
-50.0,50,195.009307
-50.0,50,197.590363
-50.0,50,200.191617
-50.0,50,202.781339
-50.0,50,205.40448
-50.0,50,208.008236
-50.0,50,210.582846
-50.0,50,213.229277
-50.0,50,215.803039
-50.0,50,218.437266
-50.0,50,221.013175
-50.0,50,223.681851
-50.0,50,226.251059
-50.0,50,228.855394
