# {"env_id": "FetchReach-v1", "t_start": 1581444979.340078} 
r,l,t
-50.0,50,8.878762
-50.0,50,12.892133
-50.0,50,15.540832
-48.0,50,18.781178
-24.0,50,21.988389
-50.0,50,24.576922
-20.0,50,27.491753
-13.0,50,30.698133
-50.0,50,34.176805
-50.0,50,37.469522
-6.0,50,40.546685
-50.0,50,40.98068
-14.0,50,41.432123
-22.0,50,41.840159
0.0,50,42.309241
-50.0,50,42.779443
-50.0,50,43.251791
-50.0,50,43.7143
-50.0,50,44.224845
-27.0,50,44.715835
-24.0,50,45.428299
-13.0,50,48.821571
-50.0,50,51.825878
-50.0,50,55.215323
-24.0,50,58.563329
-50.0,50,61.955326
-50.0,50,65.395914
-50.0,50,68.852758
-50.0,50,72.296015
-41.0,50,75.733424
-50.0,50,79.14978
-2.0,50,79.600501
-4.0,50,80.03716
-50.0,50,80.492694
-12.0,50,80.946222
-50.0,50,81.402522
-35.0,50,81.833276
-50.0,50,82.273109
-12.0,50,82.713496
-32.0,50,83.179022
-27.0,50,83.748545
-50.0,50,87.181686
-50.0,50,90.597661
-16.0,50,94.038618
-23.0,50,97.413705
-5.0,50,100.838756
-9.0,50,104.179569
-50.0,50,107.604044
-7.0,50,110.938113
-3.0,50,114.365646
0.0,50,117.788296
-50.0,50,118.234893
-2.0,50,118.715404
-13.0,50,119.188171
-1.0,50,119.679867
-43.0,50,120.133336
-3.0,50,120.554293
0.0,50,121.060604
-40.0,50,121.525681
-8.0,50,121.963508
-10.0,50,122.486831
-10.0,50,125.916117
-15.0,50,129.329528
-22.0,50,132.782448
-50.0,50,136.15819
-5.0,50,139.608475
-14.0,50,143.105058
-27.0,50,146.517546
-22.0,50,149.879318
-11.0,50,153.339844
-1.0,50,156.873232
-12.0,50,157.327139
-2.0,50,157.79342
-1.0,50,158.243684
0.0,50,158.720425
-3.0,50,159.168732
-7.0,50,159.64409
-4.0,50,160.088758
0.0,50,160.547374
0.0,50,160.998739
-14.0,50,161.488822
-8.0,50,164.914383
-11.0,50,168.275971
-14.0,50,171.70047
-40.0,50,175.170886
-9.0,50,178.552236
-24.0,50,181.937665
-37.0,50,185.361548
-11.0,50,188.777987
-22.0,50,192.177737
-2.0,50,194.807472
-6.0,50,195.254425
-2.0,50,195.742986
-1.0,50,196.113605
-2.0,50,196.561243
0.0,50,196.991542
-2.0,50,197.420444
-39.0,50,197.814391
-7.0,50,198.233706
0.0,50,198.661015
-18.0,50,199.334362
-33.0,50,202.486792
-6.0,50,205.471423
-14.0,50,208.277803
-6.0,50,211.337878
-13.0,50,214.228407
-37.0,50,217.123653
-15.0,50,219.887626
-6.0,50,222.978142
-16.0,50,226.260095
-2.0,50,229.348607
0.0,50,229.766581
-2.0,50,230.199702
-5.0,50,230.633045
-2.0,50,231.059706
-3.0,50,231.532503
-1.0,50,232.064332
-8.0,50,232.575759
-5.0,50,233.000739
-7.0,50,233.453749
-6.0,50,234.041905
-3.0,50,236.596559
-19.0,50,239.287323
-10.0,50,242.012949
-7.0,50,244.63043
-18.0,50,247.375787
-11.0,50,250.258557
-17.0,50,252.941827
-20.0,50,255.466597
-7.0,50,258.051073
0.0,50,260.989247
-1.0,50,261.421023
-4.0,50,261.812847
-3.0,50,262.269107
-2.0,50,262.687769
-2.0,50,263.091773
-3.0,50,263.531336
-2.0,50,263.974579
-2.0,50,264.511866
-2.0,50,264.985125
-9.0,50,265.581206
-11.0,50,269.000163
-15.0,50,272.161366
-10.0,50,275.132121
-9.0,50,278.055936
-14.0,50,281.26251
-11.0,50,284.153769
-18.0,50,286.761898
-22.0,50,289.666536
-25.0,50,292.469994
0.0,50,295.086734
-1.0,50,295.50621
-2.0,50,295.914314
-1.0,50,296.339708
-2.0,50,296.737998
-3.0,50,297.196001
-3.0,50,297.614527
-2.0,50,298.019519
-3.0,50,298.48293
-3.0,50,298.973833
-25.0,50,299.45692
-17.0,50,302.26632
-24.0,50,305.139934
-8.0,50,308.208152
-12.0,50,311.0713
-17.0,50,313.770083
-15.0,50,316.552209
-13.0,50,319.256518
-16.0,50,322.314575
-13.0,50,325.069351
-2.0,50,327.662724
-1.0,50,328.063882
-2.0,50,328.49279
0.0,50,328.913091
-3.0,50,329.299873
-2.0,50,329.77298
-2.0,50,330.197437
0.0,50,330.665102
-2.0,50,331.079218
-1.0,50,331.456901
-19.0,50,332.15092
-13.0,50,334.814239
-21.0,50,337.892856
-23.0,50,340.73057
-12.0,50,343.554486
-22.0,50,346.534631
-18.0,50,349.563572
-25.0,50,352.937696
-15.0,50,355.512585
-15.0,50,358.372541
-3.0,50,361.721183
0.0,50,362.189411
-2.0,50,362.719918
-2.0,50,363.27952
-2.0,50,363.950378
0.0,50,364.472637
-2.0,50,364.995432
-2.0,50,365.510915
0.0,50,365.957523
-1.0,50,366.462512
-19.0,50,367.101433
-26.0,50,370.541737
-13.0,50,374.248084
-14.0,50,378.324723
-18.0,50,381.952517
-18.0,50,385.25624
-15.0,50,389.511461
-23.0,50,393.742534
