# {"t_start": 1581444980.9461575, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,7.257819
-50.0,50,11.30027
-50.0,50,13.909891
-50.0,50,17.15183
-50.0,50,20.336565
-50.0,50,22.999643
-50.0,50,25.874214
-8.0,50,29.190178
-50.0,50,32.572075
-50.0,50,35.866085
-50.0,50,38.981147
-50.0,50,39.40747
-50.0,50,39.857635
-50.0,50,40.30062
-50.0,50,40.736654
-50.0,50,41.201844
-1.0,50,41.662918
-50.0,50,42.117469
0.0,50,42.563046
-50.0,50,43.061664
-50.0,50,43.857683
-37.0,50,47.150293
-50.0,50,50.226673
-18.0,50,53.604452
-12.0,50,56.930688
-50.0,50,60.315322
-30.0,50,63.817412
-3.0,50,67.259671
-3.0,50,70.68898
-50.0,50,74.138376
-30.0,50,77.599106
-5.0,50,78.07241
-19.0,50,78.495514
-15.0,50,78.966288
-14.0,50,79.409611
-50.0,50,79.848625
-8.0,50,80.33226
-50.0,50,80.762099
0.0,50,81.197405
-13.0,50,81.650078
-44.0,50,82.15017
-31.0,50,85.615327
-39.0,50,88.998623
-8.0,50,92.43394
-17.0,50,95.805455
-10.0,50,99.197167
-50.0,50,102.609435
-10.0,50,106.028546
-15.0,50,109.352077
-15.0,50,112.785315
-16.0,50,116.177819
-44.0,50,116.689287
-2.0,50,117.196343
-13.0,50,117.653799
-1.0,50,118.107574
0.0,50,118.552084
-3.0,50,118.984937
-10.0,50,119.43305
-6.0,50,119.860916
-9.0,50,120.301868
-11.0,50,120.852498
-10.0,50,124.303893
-15.0,50,127.683035
-8.0,50,131.158339
-33.0,50,134.609327
-11.0,50,138.073763
-9.0,50,141.528635
-50.0,50,144.876845
-27.0,50,148.281943
-13.0,50,151.749258
-6.0,50,155.227452
-35.0,50,155.648432
-2.0,50,156.113136
-1.0,50,156.558452
-21.0,50,157.026924
-5.0,50,157.464879
-9.0,50,157.915593
-4.0,50,158.373173
-4.0,50,158.875412
-14.0,50,159.30843
-13.0,50,159.867037
-10.0,50,163.293033
-22.0,50,166.669173
-6.0,50,170.089963
-10.0,50,173.537082
-10.0,50,176.951719
-22.0,50,180.366311
-9.0,50,183.744429
-17.0,50,187.195494
-18.0,50,190.548767
0.0,50,193.190974
-2.0,50,193.66335
-1.0,50,194.087556
-1.0,50,194.522091
-3.0,50,194.98114
-2.0,50,195.459038
-3.0,50,195.86681
-2.0,50,196.26505
-1.0,50,196.666827
-4.0,50,197.083343
-13.0,50,197.697134
-12.0,50,200.909524
-11.0,50,203.867345
-10.0,50,206.67714
-2.0,50,209.727608
-18.0,50,212.629829
-15.0,50,215.546252
-11.0,50,218.293587
-9.0,50,221.32595
-19.0,50,224.694565
-2.0,50,227.710143
-2.0,50,228.151835
-2.0,50,228.612226
0.0,50,229.059793
-3.0,50,229.524057
0.0,50,229.993925
-1.0,50,230.486199
-5.0,50,230.95622
-2.0,50,231.442976
