# {"t_start": 1581444980.0763743, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,7.93414
-49.0,50,12.185945
-49.0,50,14.817506
-47.0,50,18.072238
-23.0,50,21.231721
-50.0,50,23.839876
-50.0,50,26.758235
-2.0,50,29.966471
-50.0,50,33.463751
-6.0,50,36.709665
-50.0,50,39.839453
-50.0,50,40.289116
-1.0,50,40.751345
-50.0,50,41.174704
-50.0,50,41.616493
-50.0,50,42.069313
-50.0,50,42.561136
-7.0,50,43.068531
-50.0,50,43.588375
-50.0,50,44.141053
-23.0,50,44.720367
-50.0,50,48.051543
-50.0,50,51.080911
-47.0,50,54.444045
-7.0,50,57.815625
-31.0,50,61.222504
-26.0,50,64.648511
-33.0,50,68.133619
-50.0,50,71.586727
-49.0,50,75.002916
-29.0,50,78.455921
-32.0,50,78.892303
-12.0,50,79.324214
-50.0,50,79.764667
-3.0,50,80.186302
-6.0,50,80.656184
-50.0,50,81.1192
-13.0,50,81.583949
-5.0,50,82.0561
-5.0,50,82.524945
-15.0,50,83.009587
-46.0,50,86.454469
-45.0,50,89.86228
-50.0,50,93.293937
-50.0,50,96.675276
-15.0,50,100.071524
-7.0,50,103.475548
-4.0,50,106.873176
-50.0,50,110.248401
-9.0,50,113.625076
-1.0,50,117.08201
-33.0,50,117.547257
-32.0,50,118.011481
-4.0,50,118.467351
0.0,50,118.918055
-29.0,50,119.384783
-23.0,50,119.870668
-23.0,50,120.347277
-3.0,50,120.783701
0.0,50,121.235344
-12.0,50,121.745207
-6.0,50,125.193384
-7.0,50,128.576795
-16.0,50,132.067083
-8.0,50,135.449867
-12.0,50,138.932542
-13.0,50,142.380245
-50.0,50,145.746406
-3.0,50,149.167378
-17.0,50,152.58437
0.0,50,156.102159
-4.0,50,156.538262
-12.0,50,156.981495
0.0,50,157.429972
-8.0,50,157.891566
-38.0,50,158.341638
-5.0,50,158.821343
-6.0,50,159.240922
-3.0,50,159.710585
0.0,50,160.185519
-13.0,50,160.717334
-34.0,50,164.169692
-3.0,50,167.554286
-5.0,50,170.976934
-50.0,50,174.384652
-20.0,50,177.83947
-12.0,50,181.255769
-7.0,50,184.618003
-22.0,50,188.057309
-13.0,50,191.491894
-7.0,50,194.077416
-2.0,50,194.558205
-1.0,50,195.019757
-1.0,50,195.417678
-10.0,50,195.91276
-1.0,50,196.349307
0.0,50,196.754268
-2.0,50,197.164219
-1.0,50,197.562552
-2.0,50,198.016488
-11.0,50,198.518635
-20.0,50,201.775786
-14.0,50,204.720293
-25.0,50,207.611112
-8.0,50,210.614525
-9.0,50,213.507225
-15.0,50,216.387882
-9.0,50,219.178282
-15.0,50,222.231659
-16.0,50,225.561021
-2.0,50,228.605923
-3.0,50,229.009693
-3.0,50,229.456186
-2.0,50,229.913658
-1.0,50,230.367823
-1.0,50,230.841354
-13.0,50,231.354885
-2.0,50,231.834151
-2.0,50,232.28916
-1.0,50,232.703503
-20.0,50,233.313349
-10.0,50,235.824322
-12.0,50,238.550051
-10.0,50,241.241896
-9.0,50,243.91667
-10.0,50,246.623354
-10.0,50,249.530367
-14.0,50,252.1804
-20.0,50,254.759426
-10.0,50,257.266392
-3.0,50,260.287069
-2.0,50,260.666443
-1.0,50,261.103281
-2.0,50,261.554228
0.0,50,262.037238
0.0,50,262.431543
0.0,50,262.845286
-3.0,50,263.365762
-2.0,50,263.915902
-1.0,50,264.36816
-10.0,50,264.840156
-14.0,50,268.237442
-16.0,50,271.425825
-16.0,50,274.385656
-9.0,50,277.334271
-9.0,50,280.583443
-10.0,50,283.44508
-14.0,50,286.01361
-9.0,50,288.925554
-11.0,50,291.669278
-2.0,50,294.38933
-2.0,50,294.789956
-3.0,50,295.186625
-3.0,50,295.59519
-2.0,50,295.985783
-2.0,50,296.342025
-1.0,50,296.780146
-2.0,50,297.180824
-3.0,50,297.601436
-3.0,50,298.017326
-16.0,50,298.715091
-13.0,50,301.556581
-11.0,50,304.426805
-12.0,50,307.453365
-17.0,50,310.392418
-14.0,50,313.043247
-15.0,50,315.8229
-14.0,50,318.531336
-19.0,50,321.535985
-14.0,50,324.375778
-2.0,50,326.970809
0.0,50,327.373309
-1.0,50,327.777043
-2.0,50,328.160559
0.0,50,328.531128
-2.0,50,328.98155
0.0,50,329.402692
-3.0,50,329.827401
-1.0,50,330.280581
-1.0,50,330.665307
-15.0,50,331.43227
-9.0,50,334.114477
-11.0,50,337.177336
-11.0,50,340.08825
-11.0,50,342.846425
-26.0,50,345.769042
-19.0,50,348.864353
-19.0,50,352.206443
-7.0,50,354.758031
-18.0,50,357.60677
-1.0,50,361.029088
-3.0,50,361.552588
-3.0,50,362.104571
-2.0,50,362.614489
-2.0,50,363.274667
-2.0,50,363.775823
0.0,50,364.267941
-1.0,50,364.749346
-2.0,50,365.291303
-2.0,50,365.788356
-20.0,50,366.384491
-21.0,50,369.814792
-9.0,50,373.467342
-12.0,50,377.637419
-12.0,50,381.214221
-8.0,50,384.554216
-15.0,50,388.762001
-13.0,50,392.973642
-18.0,50,396.272135
-13.0,50,400.07386
-2.0,50,403.844545
-1.0,50,404.299192
-2.0,50,404.776963
-2.0,50,405.225092
-1.0,50,405.707827
-2.0,50,406.197125
-2.0,50,406.689146
0.0,50,407.269827
-1.0,50,407.737038
-2.0,50,408.204354
-17.0,50,408.70444
-10.0,50,412.278206
-14.0,50,416.069336
-21.0,50,419.830812
-29.0,50,423.861814
-20.0,50,427.76804
-16.0,50,431.852069
-17.0,50,435.571865
-17.0,50,439.473838
-24.0,50,443.238021
-1.0,50,447.055526
-3.0,50,447.596576
-3.0,50,448.085223
-3.0,50,448.555275
-2.0,50,449.04352
-1.0,50,449.558022
-2.0,50,450.011038
-3.0,50,450.498843
-1.0,50,450.987631
-2.0,50,451.475455
-14.0,50,452.001598
-25.0,50,455.158451
-21.0,50,458.216848
-16.0,50,462.188991
-15.0,50,466.365796
-10.0,50,470.454611
-17.0,50,474.081362
-14.0,50,477.528743
-18.0,50,480.842422
-19.0,50,484.145731
-3.0,50,487.638685
-1.0,50,488.134083
-2.0,50,488.601699
-2.0,50,489.043262
-4.0,50,489.512884
-2.0,50,489.977723
0.0,50,490.460535
-1.0,50,490.897187
-3.0,50,491.34336
-1.0,50,491.90495
-23.0,50,492.456462
-11.0,50,496.127843
-10.0,50,499.291279
-16.0,50,502.270565
-8.0,50,505.387115
-13.0,50,508.595328
-19.0,50,511.686087
-14.0,50,514.869213
-16.0,50,517.963201
-12.0,50,521.180581
-2.0,50,524.279046
-2.0,50,524.66487
-1.0,50,525.087312
-1.0,50,525.533524
-3.0,50,525.970534
-3.0,50,526.415445
-3.0,50,526.861387
-3.0,50,527.30032
0.0,50,527.710796
-1.0,50,528.189601
-10.0,50,528.762156
-12.0,50,532.036168
-14.0,50,535.18196
-14.0,50,538.299164
-17.0,50,541.48423
-20.0,50,544.653511
-17.0,50,547.819578
-20.0,50,551.019796
-20.0,50,554.184036
-13.0,50,557.323224
-1.0,50,560.482877
-2.0,50,560.91739
-2.0,50,561.342771
-2.0,50,561.773647
-3.0,50,562.209203
-3.0,50,562.712754
-2.0,50,563.16006
-3.0,50,563.585694
-1.0,50,564.020726
-3.0,50,564.449578
-21.0,50,564.981275
-11.0,50,567.928195
-16.0,50,570.844926
-20.0,50,573.778007
-18.0,50,576.638857
-26.0,50,579.48223
-9.0,50,582.350173
-14.0,50,585.209513
-13.0,50,588.071735
-20.0,50,591.099338
-2.0,50,593.825228
-2.0,50,594.246966
-2.0,50,594.645606
-2.0,50,595.044025
-2.0,50,595.434526
-3.0,50,595.834379
-2.0,50,596.221115
-1.0,50,596.615309
-1.0,50,597.006442
-2.0,50,597.395978
-11.0,50,598.000318
-12.0,50,600.568351
-17.0,50,603.146485
-12.0,50,605.677336
-25.0,50,608.258703
-20.0,50,610.764028
-19.0,50,613.40321
-15.0,50,615.912692
-17.0,50,618.552188
-17.0,50,621.791964
-2.0,50,625.105733
0.0,50,625.536749
-2.0,50,625.976116
-2.0,50,626.447891
0.0,50,626.910064
0.0,50,627.399199
-2.0,50,627.87893
-2.0,50,628.361859
-2.0,50,628.798068
0.0,50,629.254762
-22.0,50,630.023841
-17.0,50,633.270047
-19.0,50,636.605933
-12.0,50,639.825291
-19.0,50,642.507463
-23.0,50,645.079664
-21.0,50,647.711599
-21.0,50,650.278572
-33.0,50,652.837343
-26.0,50,655.59719
-2.0,50,658.189307
-2.0,50,658.582166
