# {"env_id": "FetchReach-v1", "t_start": 1581444979.684043} 
r,l,t
-50.0,50,8.576035
-50.0,50,12.549707
-38.0,50,15.215628
-25.0,50,18.481192
-47.0,50,21.622473
-50.0,50,24.246502
-50.0,50,27.189453
-50.0,50,30.367758
-30.0,50,33.86039
-12.0,50,37.085885
-3.0,50,40.228242
-50.0,50,40.669374
-50.0,50,41.091154
-26.0,50,41.561879
-16.0,50,42.007545
-50.0,50,42.463774
-50.0,50,42.920593
-50.0,50,43.403096
-50.0,50,43.96649
-50.0,50,44.517312
-20.0,50,45.11089
-27.0,50,48.444286
-50.0,50,51.535582
-17.0,50,54.87959
-50.0,50,58.229893
-9.0,50,61.642021
-41.0,50,65.093613
-50.0,50,68.512919
-27.0,50,71.978649
-9.0,50,75.380577
-10.0,50,78.835833
-50.0,50,79.309788
0.0,50,79.747274
-9.0,50,80.184211
-2.0,50,80.662068
-28.0,50,81.154867
-8.0,50,81.578261
-50.0,50,82.013801
0.0,50,82.462414
0.0,50,82.930061
-50.0,50,83.433013
-50.0,50,86.828541
-50.0,50,90.277375
-11.0,50,93.71763
-37.0,50,97.072923
-26.0,50,100.462636
-4.0,50,103.891065
-31.0,50,107.269223
-8.0,50,110.628743
-11.0,50,114.028295
-14.0,50,117.465876
-50.0,50,117.914485
-10.0,50,118.357484
-2.0,50,118.791027
-2.0,50,119.228157
-2.0,50,119.700308
-13.0,50,120.193756
-7.0,50,120.616803
-50.0,50,121.031784
-5.0,50,121.481449
-28.0,50,122.156588
-19.0,50,125.557236
-44.0,50,128.988631
-13.0,50,132.394287
-10.0,50,135.832901
-15.0,50,139.29352
-12.0,50,142.774678
-45.0,50,146.134871
-23.0,50,149.543659
-18.0,50,152.971684
-6.0,50,156.502851
-29.0,50,156.980937
-2.0,50,157.446933
-5.0,50,157.913162
-31.0,50,158.35003
-1.0,50,158.796466
-1.0,50,159.263871
0.0,50,159.70559
-1.0,50,160.144322
-10.0,50,160.598577
-10.0,50,161.082671
-50.0,50,164.573855
-11.0,50,167.942077
-15.0,50,171.358271
-13.0,50,174.81227
-9.0,50,178.204027
-41.0,50,181.592833
-4.0,50,185.03548
-18.0,50,188.452889
-17.0,50,191.837607
-4.0,50,194.417573
-2.0,50,194.854927
-2.0,50,195.273446
-5.0,50,195.689103
-5.0,50,196.163358
-2.0,50,196.590136
-15.0,50,197.008042
0.0,50,197.406584
-5.0,50,197.813952
-1.0,50,198.232556
-14.0,50,198.939453
-20.0,50,202.143156
-10.0,50,205.121808
-19.0,50,207.941038
-9.0,50,210.985977
-14.0,50,213.91361
-6.0,50,216.806024
-13.0,50,219.553432
-9.0,50,222.636879
-10.0,50,225.963219
-5.0,50,228.974115
-1.0,50,229.399004
-1.0,50,229.802178
0.0,50,230.220275
-2.0,50,230.66634
-1.0,50,231.134165
-3.0,50,231.605662
-50.0,50,232.092989
-2.0,50,232.551563
-2.0,50,233.023907
-13.0,50,233.700401
-12.0,50,236.192645
-7.0,50,238.964516
-15.0,50,241.66788
-5.0,50,244.322775
-7.0,50,247.024377
-18.0,50,249.931226
-17.0,50,252.589218
-6.0,50,255.100413
-22.0,50,257.687858
-3.0,50,260.647082
-1.0,50,261.026837
-4.0,50,261.459775
-1.0,50,261.898115
-2.0,50,262.374941
-2.0,50,262.823469
-2.0,50,263.261048
-2.0,50,263.735249
-1.0,50,264.221786
-1.0,50,264.67297
-29.0,50,265.207673
-15.0,50,268.621049
-20.0,50,271.831236
-12.0,50,274.804798
-23.0,50,277.674343
-10.0,50,280.963645
-16.0,50,283.813695
-18.0,50,286.406064
-20.0,50,289.352432
-15.0,50,292.157007
-2.0,50,294.769411
-1.0,50,295.160027
-2.0,50,295.577075
-1.0,50,295.970375
-3.0,50,296.357019
-3.0,50,296.73818
-1.0,50,297.154362
-1.0,50,297.597313
-3.0,50,298.009674
-1.0,50,298.432049
-17.0,50,299.10457
-19.0,50,301.937401
-20.0,50,304.838249
-13.0,50,307.866001
-12.0,50,310.745638
-20.0,50,313.448711
-7.0,50,316.199279
-21.0,50,318.895647
-11.0,50,321.942498
-19.0,50,324.757564
0.0,50,327.351594
-3.0,50,327.783949
-2.0,50,328.230805
-2.0,50,328.659347
-1.0,50,329.055337
-2.0,50,329.507088
-2.0,50,329.913759
-2.0,50,330.354614
-3.0,50,330.767111
-3.0,50,331.160617
-16.0,50,331.762817
-16.0,50,334.473541
-14.0,50,337.550644
-13.0,50,340.429754
-15.0,50,343.192841
-13.0,50,346.20705
-11.0,50,349.180219
-16.0,50,352.53192
-22.0,50,355.18156
-21.0,50,358.002948
-2.0,50,361.430959
-2.0,50,361.91237
-2.0,50,362.433456
-3.0,50,363.035733
-2.0,50,363.645286
-2.0,50,364.180422
-3.0,50,364.697844
-1.0,50,365.195876
-2.0,50,365.690937
-2.0,50,366.224715
-8.0,50,366.748788
-15.0,50,370.196298
-16.0,50,373.885489
-16.0,50,377.966842
-13.0,50,381.591841
-18.0,50,384.958712
-10.0,50,389.180703
-19.0,50,393.35146
-16.0,50,396.683574
-19.0,50,400.492942
-2.0,50,404.288764
-1.0,50,404.744233
-1.0,50,405.229961
-1.0,50,405.710997
-2.0,50,406.200454
-1.0,50,406.682511
-3.0,50,407.176672
-2.0,50,407.688794
-1.0,50,408.118593
-3.0,50,408.562244
-13.0,50,409.098118
-6.0,50,412.692121
-15.0,50,416.446715
-16.0,50,420.247589
-13.0,50,424.266128
-20.0,50,428.163109
-21.0,50,432.216272
-7.0,50,435.97226
-18.0,50,439.856652
-7.0,50,443.615745
-2.0,50,447.40743
-2.0,50,447.930415
0.0,50,448.415962
-2.0,50,448.980695
-2.0,50,449.433584
-2.0,50,449.930804
0.0,50,450.367774
-2.0,50,450.826621
-3.0,50,451.354964
-3.0,50,451.836142
-17.0,50,452.403261
-11.0,50,455.547224
-20.0,50,458.666434
-14.0,50,462.604716
-19.0,50,466.734905
-9.0,50,470.774215
-6.0,50,474.482151
-31.0,50,477.933116
-18.0,50,481.288616
-10.0,50,484.60172
-3.0,50,488.009177
-1.0,50,488.486807
-3.0,50,488.983146
-2.0,50,489.459782
-1.0,50,489.888259
-2.0,50,490.379893
-2.0,50,490.831743
-2.0,50,491.303518
-2.0,50,491.748214
-3.0,50,492.252325
-18.0,50,492.844968
-20.0,50,496.496819
-20.0,50,499.665034
-9.0,50,502.685435
-13.0,50,505.807328
-16.0,50,508.972356
-14.0,50,512.101532
-22.0,50,515.214031
-14.0,50,518.347228
-25.0,50,521.567371
-2.0,50,524.685966
-2.0,50,525.124128
-1.0,50,525.525634
0.0,50,525.945935
0.0,50,526.365465
-2.0,50,526.781542
0.0,50,527.207205
-1.0,50,527.651688
