epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.86862785,0.10224316,0.26147038,0.03219352,20.0,-1.029912,0.315,20.0,0.29000002
1,0.87221754,0.09283177,0.2624562,0.029724792,40.0,-0.8420795,0.77,40.0,0.49499997
2,0.87082213,0.08979233,0.26202637,0.029057289,60.0,-0.6543371,0.945,60.0,0.65
3,0.87224084,0.08826845,0.26222187,0.02893899,80.0,-0.5925313,0.93999994,80.0,0.765
4,0.87109554,0.08741051,0.26184282,0.02900284,100.0,-0.365064,0.985,100.0,0.78000003
5,0.8710162,0.08700716,0.2617798,0.029206604,120.0,-0.2286766,0.995,120.0,0.735
6,0.8712312,0.08694554,0.2617821,0.029419297,140.0,-0.16523787,1.0,140.0,0.745
7,0.87162083,0.08678154,0.26185274,0.029582828,160.0,-0.13930102,1.0,160.0,0.74
8,0.8713627,0.08652478,0.2617553,0.029706364,180.0,-0.13770021,1.0,180.0,0.75
9,0.8719816,0.08655659,0.2619043,0.029858282,200.0,-0.10572269,1.0,200.0,0.725
10,0.8723642,0.08641382,0.26199195,0.029931197,220.0,-0.12534694,1.0,220.0,0.75
11,0.87160474,0.08599592,0.2617771,0.02991398,240.0,-0.11924215,1.0,240.0,0.755
12,0.8716327,0.08580134,0.26176935,0.02993391,260.0,-0.113551006,1.0,260.0,0.7
13,0.8717642,0.085722096,0.26180553,0.029984389,280.0,-0.1387832,1.0,280.0,0.65999997
14,0.87109995,0.08576783,0.2616181,0.030036246,300.0,-0.13653204,1.0,300.0,0.725
15,0.87136966,0.08566338,0.2616739,0.030052787,320.0,-0.10676007,1.0,320.0,0.69500005
16,0.87108326,0.08553172,0.2615878,0.030049149,340.0,-0.102099106,1.0,340.0,0.7
17,0.8712293,0.08546173,0.2616235,0.030067349,360.0,-0.10805184,1.0,360.0,0.66999996
18,0.87104684,0.08538764,0.26157603,0.030074501,380.0,-0.086831786,1.0,380.0,0.665
19,0.8710718,0.085288666,0.26158577,0.030073807,400.0,-0.060890395,1.0,400.0,0.715
20,0.8711721,0.085084714,0.2615952,0.030037954,420.0,-0.103397705,1.0,420.0,0.65999997
21,0.87114334,0.08506736,0.26158038,0.030064637,440.0,-0.06667651,1.0,440.0,0.67
22,0.8713228,0.08495865,0.2616228,0.030065808,460.0,-0.08284322,1.0,460.0,0.665
23,0.8716178,0.08488514,0.26169926,0.0300681,480.0,-0.07150395,1.0,480.0,0.75
24,0.87177163,0.08487379,0.261733,0.030081829,500.0,-0.047667824,1.0,500.0,0.67
25,0.8718518,0.084887825,0.2617489,0.030097103,520.0,-0.07574965,1.0,520.0,0.67999995
26,0.8721055,0.08483536,0.26182383,0.030098882,540.0,-0.07782014,1.0,540.0,0.715
27,0.87223464,0.08470415,0.26185837,0.030072207,560.0,-0.060992755,1.0,560.0,0.65500003
28,0.8724922,0.0846636,0.26193053,0.03007183,580.0,-0.05633709,1.0,580.0,0.72
29,0.8725308,0.08463753,0.26193842,0.03007555,600.0,-0.06078756,1.0,600.0,0.685
30,0.87276477,0.08467267,0.26199985,0.030099448,620.0,-0.073990606,1.0,620.0,0.7
31,0.8728615,0.08460731,0.26202956,0.030088121,640.0,-0.054229267,1.0,640.0,0.7
32,0.8729636,0.08460096,0.26205856,0.030092206,660.0,-0.074617945,1.0,660.0,0.645
33,0.8730062,0.08456296,0.26206416,0.030090844,680.0,-0.04658795,1.0,680.0,0.68500006
34,0.8732134,0.08456809,0.2621135,0.030096952,700.0,-0.08415236,1.0,700.0,0.76
35,0.873316,0.08456251,0.262144,0.03010214,720.0,-0.06990002,1.0,720.0,0.745
36,0.87346476,0.08456018,0.2621807,0.030107817,740.0,-0.071880355,1.0,740.0,0.64
37,0.873695,0.084599905,0.26224405,0.030122068,760.0,-0.078456625,1.0,760.0,0.73
38,0.8738801,0.08458067,0.26229092,0.030122334,780.0,-0.091983184,1.0,780.0,0.73
39,0.8737982,0.084512174,0.26227024,0.03010669,800.0,-0.044736307,1.0,800.0,0.67999995
40,0.87383044,0.08444426,0.26227963,0.030095628,820.0,-0.032131575,1.0,820.0,0.72
41,0.87387526,0.084433235,0.26228982,0.030097473,840.0,-0.08238413,1.0,840.0,0.68
42,0.87384415,0.08446955,0.26227918,0.03011111,860.0,-0.058471728,1.0,860.0,0.685
43,0.8738332,0.08448876,0.262276,0.030116117,880.0,-0.061383687,1.0,880.0,0.71
44,0.8738961,0.08451209,0.26229203,0.030125728,900.0,-0.06927479,1.0,900.0,0.69
45,0.873831,0.08451748,0.26227504,0.030131733,920.0,-0.062721014,1.0,920.0,0.7
46,0.87388086,0.08450828,0.2622882,0.030129816,940.0,-0.06928636,1.0,940.0,0.66999996
47,0.87394446,0.08453843,0.26230475,0.030134792,960.0,-0.055743705,1.0,960.0,0.735
48,0.8739629,0.08452455,0.26230982,0.030133918,980.0,-0.061713375,1.0,980.0,0.77500004
49,0.8739988,0.084559165,0.2623165,0.030142775,1000.0,-0.06358767,1.0,1000.0,0.73
