# {"t_start": 1572548006.9394634, "env_id": "FetchReach-v1"} 
r,l,t
-50.0,50,0.981933
-50.0,50,1.641457
-49.0,50,2.198421
-50.0,50,2.757019
-49.0,50,3.317694
-29.0,50,3.871763
-9.0,50,4.436323
-33.0,50,4.991226
-17.0,50,5.555701
-41.0,50,6.106936
-9.0,50,6.675376
-4.0,50,6.778558
-3.0,50,6.880165
-2.0,50,6.967074
0.0,50,7.050459
-5.0,50,7.138051
-6.0,50,7.224806
-5.0,50,7.310054
-4.0,50,7.396405
-50.0,50,7.481152
-17.0,50,7.590493
-1.0,50,8.14497
-45.0,50,8.701025
-23.0,50,9.253548
-50.0,50,9.805976
-6.0,50,10.356698
-1.0,50,10.911315
-9.0,50,11.474715
-4.0,50,12.056937
-13.0,50,12.657153
-11.0,50,13.258536
-5.0,50,13.344148
-50.0,50,13.428173
-3.0,50,13.514231
-2.0,50,13.613235
-13.0,50,13.695591
-10.0,50,13.77924
-23.0,50,13.870043
-23.0,50,13.960591
-17.0,50,14.050643
-4.0,50,14.136619
-15.0,50,14.747502
-7.0,50,15.349388
-23.0,50,15.950365
-4.0,50,16.550623
-24.0,50,17.156618
-7.0,50,17.765604
-5.0,50,18.367566
-14.0,50,18.975734
-11.0,50,19.585288
0.0,50,20.193159
-1.0,50,20.2794
-4.0,50,20.368263
-2.0,50,20.455939
0.0,50,20.539042
-35.0,50,20.62138
-2.0,50,20.717179
-16.0,50,20.80051
-6.0,50,20.884322
-2.0,50,20.976303
-50.0,50,21.065485
-12.0,50,21.685764
-8.0,50,22.297895
-14.0,50,22.913468
-18.0,50,23.525583
-5.0,50,24.137099
-14.0,50,24.750216
-17.0,50,25.362993
-8.0,50,25.980116
-9.0,50,26.597738
-5.0,50,27.215018
-2.0,50,27.301
-5.0,50,27.385942
-9.0,50,27.468038
-2.0,50,27.56515
-3.0,50,27.652502
-6.0,50,27.737453
0.0,50,27.822293
-5.0,50,27.913577
-2.0,50,27.998386
-9.0,50,28.087077
-9.0,50,28.715275
-12.0,50,29.333473
-7.0,50,29.954725
-10.0,50,30.571052
-8.0,50,31.188446
-10.0,50,31.816263
-19.0,50,32.437801
-1.0,50,33.061337
-11.0,50,33.693291
-2.0,50,34.318359
-2.0,50,34.405342
-2.0,50,34.489352
-1.0,50,34.572732
-4.0,50,34.671728
-4.0,50,34.76508
-6.0,50,34.848955
-1.0,50,34.931957
-2.0,50,35.025606
0.0,50,35.108721
-9.0,50,35.197378
-10.0,50,35.829885
-16.0,50,36.462343
-15.0,50,37.087785
-4.0,50,37.71055
-6.0,50,38.334076
-10.0,50,38.962808
-9.0,50,39.594061
-13.0,50,40.225876
-7.0,50,40.853061
-1.0,50,41.485555
-2.0,50,41.573195
-2.0,50,41.659744
-3.0,50,41.746191
-4.0,50,41.848868
-1.0,50,41.935376
-4.0,50,42.034019
0.0,50,42.117117
-1.0,50,42.198886
-2.0,50,42.295692
-6.0,50,42.387434
-7.0,50,43.021627
-5.0,50,43.664912
-7.0,50,44.301132
-12.0,50,44.951722
-14.0,50,45.587591
-6.0,50,46.226498
-11.0,50,46.865605
-7.0,50,47.520716
-14.0,50,48.160646
0.0,50,48.804332
0.0,50,48.886788
-3.0,50,48.973478
0.0,50,49.059114
-2.0,50,49.147019
-2.0,50,49.230602
-3.0,50,49.315109
-1.0,50,49.398738
-3.0,50,49.494901
-2.0,50,49.579094
-6.0,50,49.67501
-14.0,50,50.32153
-19.0,50,50.967577
-6.0,50,51.623033
-13.0,50,52.273494
-12.0,50,52.91469
-8.0,50,53.556369
-12.0,50,54.197334
-10.0,50,54.838613
-14.0,50,55.481009
-2.0,50,56.127215
0.0,50,56.209177
-3.0,50,56.291805
-2.0,50,56.379352
-2.0,50,56.474466
-3.0,50,56.560972
-3.0,50,56.642158
-2.0,50,56.72664
-2.0,50,56.813793
0.0,50,56.900142
-12.0,50,56.984353
-8.0,50,57.632082
-10.0,50,58.280337
-8.0,50,58.930119
-13.0,50,59.578144
-7.0,50,60.228835
-10.0,50,60.882061
-19.0,50,61.53142
-17.0,50,62.188813
-8.0,50,62.853464
0.0,50,63.507156
-3.0,50,63.590955
-1.0,50,63.681976
-2.0,50,63.767776
-2.0,50,63.857754
-2.0,50,63.953225
-1.0,50,64.035313
-2.0,50,64.12083
-2.0,50,64.206854
-1.0,50,64.291401
-7.0,50,64.386881
-12.0,50,65.047863
-9.0,50,65.70797
-13.0,50,66.364881
-9.0,50,67.029096
-6.0,50,67.685151
-9.0,50,68.350616
-13.0,50,69.011438
-13.0,50,69.668763
-10.0,50,70.326097
-2.0,50,70.987674
-2.0,50,71.070678
-3.0,50,71.158855
0.0,50,71.24396
-3.0,50,71.332879
-1.0,50,71.422656
-2.0,50,71.515495
-1.0,50,71.59939
-1.0,50,71.682364
-3.0,50,71.783673
