epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8919516,0.11181963,0.2662542,0.036820643,10.0,-0.32279664,0.9,10.0,0.4
1,0.8855505,0.09289459,0.26438886,0.031818815,20.0,-0.78076637,0.9,20.0,0.7
2,0.88649195,0.08805347,0.2650814,0.030833444,30.0,-0.45437732,1.0,30.0,0.7
3,0.8831281,0.08910065,0.2640763,0.031291157,40.0,-0.29651725,1.0,40.0,0.8
4,0.8847391,0.088189036,0.26456907,0.031176874,50.0,-0.1776205,1.0,50.0,0.7
5,0.88303804,0.089335866,0.2642073,0.03164079,60.0,-0.06961711,1.0,60.0,1.0
6,0.88233274,0.08933258,0.26415825,0.03168974,70.0,-0.06440315,1.0,70.0,0.8
7,0.88276887,0.08872104,0.26425996,0.03151001,80.0,-0.11494084,1.0,80.0,0.8
8,0.8818334,0.088401765,0.26406112,0.03145129,90.0,-0.061856247,1.0,90.0,0.8
9,0.87956315,0.08885131,0.26351804,0.031680245,100.0,-0.07785489,1.0,100.0,0.9
