# {"env_id": "FetchSlide-v1", "t_start": 1574543341.750789} 
r,l,t
-50.0,50,5.464979
-50.0,50,8.274473
-50.0,50,10.902205
-50.0,50,13.542905
-50.0,50,16.107033
-11.0,50,18.744652
-35.0,50,21.301744
-48.0,50,23.967941
-44.0,50,26.690115
-50.0,50,29.35547
-47.0,50,32.080361
-46.0,50,34.828397
-50.0,50,37.466655
-32.0,50,40.19625
-44.0,50,42.863634
-50.0,50,45.613291
-50.0,50,48.415715
-46.0,50,51.155805
-50.0,50,53.807934
-46.0,50,56.598804
-38.0,50,59.338193
-35.0,50,62.046674
-45.0,50,64.796077
-50.0,50,67.533073
-42.0,50,70.718765
-42.0,50,73.806839
-50.0,50,76.930929
-50.0,50,80.094093
-47.0,50,83.357975
-50.0,50,86.683083
-46.0,50,90.115727
-37.0,50,93.401406
-41.0,50,96.678737
-45.0,50,99.878026
-45.0,50,103.058504
-38.0,50,106.209818
-30.0,50,109.4744
-30.0,50,112.734777
-50.0,50,116.033606
-47.0,50,119.321078
-25.0,50,122.581615
-50.0,50,125.772391
-50.0,50,128.976933
-50.0,50,132.20572
-50.0,50,135.439475
-20.0,50,138.637647
-50.0,50,141.900163
-50.0,50,145.094142
-33.0,50,148.397341
-40.0,50,151.821294
-28.0,50,155.165698
-26.0,50,155.683082
-43.0,50,156.258146
-25.0,50,156.823862
-24.0,50,157.330097
-34.0,50,157.866501
-17.0,50,158.388778
-40.0,50,158.930959
-43.0,50,159.503514
-50.0,50,159.980305
-50.0,50,160.662453
-50.0,50,163.922354
-50.0,50,167.195152
-50.0,50,170.448474
-46.0,50,173.619788
-38.0,50,176.884265
-50.0,50,180.110754
-50.0,50,183.317944
-50.0,50,186.607227
-50.0,50,189.756154
-44.0,50,193.03792
-27.0,50,196.25173
-50.0,50,199.444769
-33.0,50,202.727751
-50.0,50,205.991668
-50.0,50,209.1764
-50.0,50,212.430701
-50.0,50,215.63845
-46.0,50,218.956788
-30.0,50,222.20213
-50.0,50,225.337065
-50.0,50,228.602634
-29.0,50,231.869607
-30.0,50,235.065413
-45.0,50,238.288188
-50.0,50,241.53744
-50.0,50,244.790969
-50.0,50,247.983385
-40.0,50,251.203416
-43.0,50,254.368771
-42.0,50,257.624387
-50.0,50,260.85632
-17.0,50,264.081963
-46.0,50,267.308041
-50.0,50,270.55881
-50.0,50,273.728487
-50.0,50,276.963251
-43.0,50,280.170145
-47.0,50,283.395526
-47.0,50,286.559334
-39.0,50,290.005116
-50.0,50,293.525189
-46.0,50,297.06089
-47.0,50,300.467912
-16.0,50,303.840116
-50.0,50,307.300161
-33.0,50,310.732225
-44.0,50,314.159816
-50.0,50,317.599722
-47.0,50,321.196439
-30.0,50,324.678171
-30.0,50,325.232501
-50.0,50,325.785502
-10.0,50,326.31496
-28.0,50,326.880404
-41.0,50,327.469819
-24.0,50,327.972404
-19.0,50,328.509147
-25.0,50,329.079709
-39.0,50,329.586741
-50.0,50,330.293631
-50.0,50,333.770797
-50.0,50,337.266636
-33.0,50,340.778929
-15.0,50,344.436795
-50.0,50,348.046972
-50.0,50,351.385941
-46.0,50,355.45014
-41.0,50,359.281106
-50.0,50,362.893825
-50.0,50,366.497411
-50.0,50,369.594654
-50.0,50,374.101517
-37.0,50,381.434978
-50.0,50,388.903918
-40.0,50,396.545348
-50.0,50,403.821108
-50.0,50,411.183208
-45.0,50,418.468176
-31.0,50,426.054052
-50.0,50,433.463059
-38.0,50,440.916246
-43.0,50,444.50825
-41.0,50,447.990133
-50.0,50,451.495534
-50.0,50,455.066657
-50.0,50,458.774726
-50.0,50,462.351254
-46.0,50,465.167672
-37.0,50,468.414457
-44.0,50,471.526868
-50.0,50,475.902892
-50.0,50,479.365111
-50.0,50,482.810646
-45.0,50,486.193808
-28.0,50,489.584353
-46.0,50,492.987566
-50.0,50,496.299324
