# {"t_start": 1574543340.7430203, "env_id": "FetchSlide-v1"} 
r,l,t
-37.0,50,6.305429
-50.0,50,9.320267
-50.0,50,11.908994
-50.0,50,14.530612
-50.0,50,17.148658
-50.0,50,19.754701
-50.0,50,22.301336
-50.0,50,25.017449
-50.0,50,27.674571
-50.0,50,30.407473
-44.0,50,33.175612
-50.0,50,35.840732
-50.0,50,38.488366
-50.0,50,41.218264
-47.0,50,43.896706
-38.0,50,46.59486
-50.0,50,49.425367
-40.0,50,52.176269
-50.0,50,54.83465
-43.0,50,57.636166
-35.0,50,60.355567
-47.0,50,63.044797
-46.0,50,65.82094
-50.0,50,68.533468
-50.0,50,71.693462
-50.0,50,74.773312
-36.0,50,77.921997
-50.0,50,81.123384
-50.0,50,84.34966
-46.0,50,87.703705
-50.0,50,91.091834
-50.0,50,94.438276
-45.0,50,97.691142
-38.0,50,100.871596
-50.0,50,104.096415
-50.0,50,107.260512
-35.0,50,110.460667
-50.0,50,113.745407
-50.0,50,117.084384
-50.0,50,120.338098
-41.0,50,123.550987
-47.0,50,126.791875
-50.0,50,130.016426
-50.0,50,133.194732
-30.0,50,136.482373
-29.0,50,139.696085
-9.0,50,142.932745
-35.0,50,146.179835
-50.0,50,149.428164
-39.0,50,152.779799
-41.0,50,156.200148
-50.0,50,156.725019
-46.0,50,157.255944
-18.0,50,157.775501
-44.0,50,158.30316
-26.0,50,158.829266
-31.0,50,159.418674
-28.0,50,159.9534
-13.0,50,160.468947
-28.0,50,161.013713
-50.0,50,161.717947
-50.0,50,164.957322
-23.0,50,168.20533
-50.0,50,171.446576
-44.0,50,174.700371
-50.0,50,177.881643
-50.0,50,181.113523
-50.0,50,184.310598
-50.0,50,187.586385
-50.0,50,190.767774
-50.0,50,194.011808
-46.0,50,197.2358
-35.0,50,200.462381
-50.0,50,203.699478
-7.0,50,206.996823
-50.0,50,210.215004
-42.0,50,213.476193
-34.0,50,216.698781
-50.0,50,219.973209
-50.0,50,223.216889
-46.0,50,226.402715
-50.0,50,229.617721
-50.0,50,232.862709
-50.0,50,236.067147
-50.0,50,239.227532
-50.0,50,242.567161
-46.0,50,245.756216
-45.0,50,248.973121
-50.0,50,252.211646
-50.0,50,255.378406
-37.0,50,258.606233
-50.0,50,261.871585
-50.0,50,265.083762
-50.0,50,268.297232
-50.0,50,271.553407
-44.0,50,274.719934
-50.0,50,277.982372
-43.0,50,281.184412
-36.0,50,284.441714
-46.0,50,287.643405
-25.0,50,291.035439
-50.0,50,294.489386
-50.0,50,298.033284
-50.0,50,301.488462
-50.0,50,304.89113
-17.0,50,308.355457
-40.0,50,311.772268
-50.0,50,315.210019
-50.0,50,318.653649
-50.0,50,322.191705
-29.0,50,325.683339
-37.0,50,326.239333
-50.0,50,326.784003
-17.0,50,327.296266
-23.0,50,327.841349
-21.0,50,328.373372
-41.0,50,328.935537
-10.0,50,329.496503
-41.0,50,330.025337
-34.0,50,330.56058
-40.0,50,331.29137
-50.0,50,334.792112
-50.0,50,338.298054
-50.0,50,341.770971
-50.0,50,345.43121
-50.0,50,349.057843
-50.0,50,352.389994
-46.0,50,356.467071
-43.0,50,360.289351
-50.0,50,363.865671
-44.0,50,367.530699
-47.0,50,370.602844
-25.0,50,374.957558
-50.0,50,382.544471
-50.0,50,389.942199
-33.0,50,397.337376
-50.0,50,404.837427
-47.0,50,412.22421
-28.0,50,419.284391
-50.0,50,427.222405
-46.0,50,434.526305
-39.0,50,442.005281
-28.0,50,445.496823
-50.0,50,448.984154
-50.0,50,452.502411
-47.0,50,456.085231
-46.0,50,459.837972
-43.0,50,463.334446
-50.0,50,466.159269
-50.0,50,469.415668
-50.0,50,472.556282
-45.0,50,476.924186
-38.0,50,480.333163
-50.0,50,483.783839
-38.0,50,487.207371
-50.0,50,490.617428
-50.0,50,493.988337
-50.0,50,497.345862
-50.0,50,500.73472
-45.0,50,504.138993
-41.0,50,507.603493
-50.0,50,510.991332
