# {"t_start": 1575548477.994112, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,9.654907
-50.0,50,15.672213
-50.0,50,21.447011
-50.0,50,25.306391
-50.0,50,29.978908
-50.0,50,34.266506
-50.0,50,39.641872
-50.0,50,43.173489
-50.0,50,47.51728
-50.0,50,50.66115
-50.0,50,55.721859
-50.0,50,58.39084
-50.0,50,62.158971
-50.0,50,65.143612
-50.0,50,67.753862
-50.0,50,70.434037
-50.0,50,75.46612
-50.0,50,78.278844
-50.0,50,83.149981
-50.0,50,86.156128
-50.0,50,90.677281
-50.0,50,94.06454
-50.0,50,96.829169
-50.0,50,101.403185
-50.0,50,105.169646
-50.0,50,109.432295
-50.0,50,113.756996
-50.0,50,119.568446
-50.0,50,124.913438
-50.0,50,128.246667
-50.0,50,132.891083
-50.0,50,136.866742
-50.0,50,142.371082
-50.0,50,145.011735
-50.0,50,148.926749
-50.0,50,151.995981
-50.0,50,156.004015
-50.0,50,161.410415
-50.0,50,164.128048
-50.0,50,166.957053
-50.0,50,172.1376
-50.0,50,174.762197
-50.0,50,177.510226
-50.0,50,182.85522
-50.0,50,185.912566
-50.0,50,190.924907
-50.0,50,193.629988
-50.0,50,196.249117
-50.0,50,202.419739
-50.0,50,205.337926
-50.0,50,208.037114
-50.0,50,208.466812
-50.0,50,208.87815
-50.0,50,209.326043
-50.0,50,209.786752
-50.0,50,210.24589
-50.0,50,210.692174
-50.0,50,211.83624
-50.0,50,213.084669
-50.0,50,213.554155
-50.0,50,214.138312
-50.0,50,217.034354
-50.0,50,222.157295
-50.0,50,224.879967
-50.0,50,230.075464
-50.0,50,232.778109
-50.0,50,235.489764
-50.0,50,238.154181
-50.0,50,240.824101
-50.0,50,245.913909
-50.0,50,248.581689
-50.0,50,251.211814
-50.0,50,255.052256
-50.0,50,257.733739
-50.0,50,260.65852
-50.0,50,265.57478
-50.0,50,268.264076
-50.0,50,273.295299
-50.0,50,275.974576
-50.0,50,278.66942
-50.0,50,281.346429
-50.0,50,285.41757
-50.0,50,289.623375
-50.0,50,294.443026
-50.0,50,298.337776
-50.0,50,304.637719
-50.0,50,310.583991
-50.0,50,314.445351
-50.0,50,320.509157
-50.0,50,324.18586
-50.0,50,331.447515
-50.0,50,336.651311
-50.0,50,341.259751
-50.0,50,348.567057
-50.0,50,353.431644
-50.0,50,358.232173
-50.0,50,362.940713
-50.0,50,366.381554
-50.0,50,373.738309
-50.0,50,378.761732
-50.0,50,383.654853
-50.0,50,389.708313
-50.0,50,395.572142
-50.0,50,399.528429
-50.0,50,405.601263
-50.0,50,409.193774
-50.0,50,416.557324
-50.0,50,421.608178
-50.0,50,426.418239
-50.0,50,432.070153
-50.0,50,434.956429
-50.0,50,436.433812
-50.0,50,438.017534
-50.0,50,438.939673
-50.0,50,439.396277
-50.0,50,439.837121
-50.0,50,440.288331
-50.0,50,440.728623
-50.0,50,441.123518
-50.0,50,441.533628
-50.0,50,442.047469
-50.0,50,445.961824
-50.0,50,448.651781
-50.0,50,451.363675
-50.0,50,453.939054
-50.0,50,460.305318
-50.0,50,462.935884
-50.0,50,466.742125
-50.0,50,469.429811
-50.0,50,472.034356
-50.0,50,474.69234
-50.0,50,479.703869
-50.0,50,482.304111
-50.0,50,487.524438
-50.0,50,490.185589
-50.0,50,495.427896
-50.0,50,498.18513
-50.0,50,503.04996
-50.0,50,506.071502
-50.0,50,509.998346
-50.0,50,514.746309
-50.0,50,519.849791
-50.0,50,525.932477
-50.0,50,530.860795
-50.0,50,535.215804
-50.0,50,540.729344
-50.0,50,546.852303
-50.0,50,552.301495
-50.0,50,556.678749
-50.0,50,562.789099
-50.0,50,568.990834
-50.0,50,572.631738
-50.0,50,579.000401
-50.0,50,583.863196
-50.0,50,589.968937
-50.0,50,596.223278
-50.0,50,599.814118
-50.0,50,606.455936
-50.0,50,609.710456
-50.0,50,614.258389
-50.0,50,617.867833
-50.0,50,622.227709
-50.0,50,625.847919
-50.0,50,628.502304
-50.0,50,633.472488
-50.0,50,636.402095
-50.0,50,640.261667
-50.0,50,645.368768
-50.0,50,648.055237
-50.0,50,653.805069
-50.0,50,658.535365
-50.0,50,659.031818
0.0,50,659.48089
-50.0,50,659.985455
-50.0,50,660.448694
-50.0,50,660.928909
-50.0,50,661.414803
-50.0,50,661.903091
-50.0,50,662.321961
-50.0,50,663.789684
-50.0,50,665.829958
-50.0,50,671.614735
-50.0,50,675.609559
-50.0,50,680.922112
-50.0,50,683.673384
-50.0,50,688.84264
-50.0,50,692.732208
-50.0,50,696.694432
-50.0,50,700.174588
-50.0,50,703.541395
-50.0,50,708.364329
-50.0,50,712.820673
-50.0,50,717.90789
-50.0,50,721.043957
-50.0,50,724.561406
-50.0,50,728.514913
-50.0,50,732.474478
-50.0,50,735.119801
-50.0,50,740.191973
-50.0,50,743.03999
-50.0,50,745.733329
-50.0,50,749.33992
-50.0,50,753.645261
-50.0,50,756.290639
-50.0,50,758.943309
-50.0,50,763.975177
-50.0,50,766.599489
-50.0,50,770.448194
-50.0,50,774.60943
-50.0,50,778.37852
-50.0,50,782.283957
-50.0,50,786.326701
-50.0,50,789.021187
-50.0,50,793.550669
-50.0,50,796.960438
-50.0,50,799.655651
-50.0,50,803.325926
-50.0,50,806.361783
-50.0,50,810.312158
-50.0,50,812.936575
-50.0,50,816.602149
-50.0,50,820.893105
-50.0,50,824.209459
-50.0,50,828.747165
-50.0,50,831.404553
-50.0,50,835.308661
-50.0,50,840.373523
-50.0,50,844.529795
-50.0,50,848.757076
-50.0,50,852.731256
-50.0,50,856.91736
-50.0,50,858.378745
-50.0,50,859.238442
-50.0,50,859.69181
-50.0,50,860.178386
-50.0,50,860.679451
-50.0,50,861.182953
-50.0,50,861.703534
-50.0,50,862.501295
-50.0,50,863.874938
-50.0,50,865.59802
-50.0,50,868.630899
-50.0,50,872.656865
-50.0,50,875.406113
-50.0,50,880.663464
-50.0,50,883.780452
-50.0,50,888.739623
-50.0,50,891.528493
-50.0,50,896.699866
-50.0,50,899.592131
-50.0,50,905.051768
-50.0,50,907.78733
-50.0,50,910.689185
-50.0,50,915.812934
-50.0,50,918.722178
-50.0,50,923.828775
-50.0,50,927.855751
-50.0,50,932.089466
-50.0,50,936.396485
-50.0,50,939.290846
-50.0,50,944.638456
-50.0,50,947.456239
-50.0,50,952.724328
-50.0,50,955.490154
-50.0,50,959.411506
-50.0,50,962.333287
-50.0,50,965.517954
-50.0,50,971.522241
