# {"t_start": 1575548475.1092849, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,12.594122
-50.0,50,18.476669
-50.0,50,24.356874
-50.0,50,28.209018
-50.0,50,33.169238
-50.0,50,37.094079
-50.0,50,42.530573
-50.0,50,46.072354
-50.0,50,50.416333
-50.0,50,53.678912
-50.0,50,58.607245
-50.0,50,61.280598
-50.0,50,65.095423
-50.0,50,68.011486
-50.0,50,70.689333
-50.0,50,73.265101
-50.0,50,78.397914
-50.0,50,81.157702
-50.0,50,86.062778
-50.0,50,89.017765
-50.0,50,93.557805
-50.0,50,96.970285
-50.0,50,99.746167
-50.0,50,104.399286
-50.0,50,108.03291
-50.0,50,112.266566
-50.0,50,116.755975
-50.0,50,122.471407
-50.0,50,127.795962
-50.0,50,131.144372
-50.0,50,135.691718
-50.0,50,139.733198
-50.0,50,145.250492
-50.0,50,147.918679
-50.0,50,151.729948
-50.0,50,154.873527
-50.0,50,158.859493
-50.0,50,164.302005
-50.0,50,167.025517
-50.0,50,169.815206
-50.0,50,174.98493
-50.0,50,177.670305
-50.0,50,180.416295
-50.0,50,185.757817
-50.0,50,188.656905
-50.0,50,193.827623
-50.0,50,196.521074
-50.0,50,199.141148
-50.0,50,205.277133
-50.0,50,208.247285
-50.0,50,210.926748
-50.0,50,211.373828
-50.0,50,211.804197
-50.0,50,212.264828
-50.0,50,212.697609
-50.0,50,213.143133
-50.0,50,213.628408
-50.0,50,214.970663
-50.0,50,216.026853
-50.0,50,216.49564
-50.0,50,217.03672
-50.0,50,219.876218
-50.0,50,225.073076
-50.0,50,227.744334
-50.0,50,232.878245
-50.0,50,235.645844
-50.0,50,238.379955
-50.0,50,241.033759
-50.0,50,243.685037
-50.0,50,248.762142
-50.0,50,251.449528
-50.0,50,254.08077
-50.0,50,257.948852
-50.0,50,260.654404
-50.0,50,263.434866
-50.0,50,268.426831
-50.0,50,271.118766
-50.0,50,276.207507
-50.0,50,278.879729
-50.0,50,281.542165
-50.0,50,284.273271
-50.0,50,288.190922
-50.0,50,292.554182
-50.0,50,297.235458
-50.0,50,301.293059
-50.0,50,307.54627
-50.0,50,313.37809
-50.0,50,317.356541
-50.0,50,323.383107
-50.0,50,327.019642
-50.0,50,334.329611
-50.0,50,339.626638
-50.0,50,344.140109
-50.0,50,351.471185
-50.0,50,356.454686
-50.0,50,361.122651
-50.0,50,365.841996
-50.0,50,369.267767
-50.0,50,376.631153
-50.0,50,381.640912
-50.0,50,386.556431
-50.0,50,392.610003
-50.0,50,398.557489
-50.0,50,402.416113
-50.0,50,408.492031
-50.0,50,412.084124
-50.0,50,419.377767
-50.0,50,424.475312
-50.0,50,429.298558
-50.0,50,434.964715
-50.0,50,437.789625
-50.0,50,439.203143
-50.0,50,440.690059
-50.0,50,441.793186
-50.0,50,442.247525
-50.0,50,442.682266
-50.0,50,443.093486
-50.0,50,443.497124
-50.0,50,443.916306
-50.0,50,444.326711
-50.0,50,444.971888
-50.0,50,448.828101
-50.0,50,451.487208
-41.0,50,454.260445
-50.0,50,456.975804
-50.0,50,463.192441
-50.0,50,465.789797
-50.0,50,469.669288
-50.0,50,472.292594
-50.0,50,474.925601
-50.0,50,477.567181
-50.0,50,482.628972
-50.0,50,485.219929
-50.0,50,490.427318
-50.0,50,493.054902
-50.0,50,498.223883
-50.0,50,501.083849
-50.0,50,505.941767
-50.0,50,508.976906
-50.0,50,512.858552
-50.0,50,517.717748
-50.0,50,522.754546
-50.0,50,528.844083
-50.0,50,533.694801
-50.0,50,538.144635
-50.0,50,543.624382
-50.0,50,549.760791
-50.0,50,555.179674
-50.0,50,559.577941
-50.0,50,565.676151
-50.0,50,571.932877
-50.0,50,575.532844
-50.0,50,581.853992
-50.0,50,586.754114
-50.0,50,592.845545
-50.0,50,599.062248
-50.0,50,602.685113
-50.0,50,609.313059
-50.0,50,612.565049
-50.0,50,617.180362
-50.0,50,620.737058
-50.0,50,625.085009
-50.0,50,628.693662
-50.0,50,631.321538
-50.0,50,636.361866
-50.0,50,639.291207
-50.0,50,643.158636
-50.0,50,648.248112
-50.0,50,650.980571
-50.0,50,656.688255
-50.0,50,661.312113
-45.0,50,661.888356
-50.0,50,662.343779
-50.0,50,662.857163
-50.0,50,663.315284
-50.0,50,663.797192
-50.0,50,664.33512
-50.0,50,664.805828
-50.0,50,665.247505
-50.0,50,666.68632
-50.0,50,668.808432
-50.0,50,674.504784
-50.0,50,678.514267
-50.0,50,683.798188
-50.0,50,686.565881
-50.0,50,691.736394
-50.0,50,695.530499
-50.0,50,699.566624
-50.0,50,703.124144
-50.0,50,706.433014
-50.0,50,711.319777
-50.0,50,715.669446
-50.0,50,720.807536
-50.0,50,723.850292
-50.0,50,727.451312
-50.0,50,731.374912
-50.0,50,735.376675
-50.0,50,738.010977
-50.0,50,743.094872
-50.0,50,745.940804
-50.0,50,748.603268
-50.0,50,752.422025
-50.0,50,756.536187
-50.0,50,759.161377
-13.0,50,761.851739
-50.0,50,766.905912
-50.0,50,769.488013
-50.0,50,773.310026
-50.0,50,777.496161
-50.0,50,781.308596
-50.0,50,785.262845
-50.0,50,789.204574
-50.0,50,791.902688
-50.0,50,796.523636
-50.0,50,799.868462
-50.0,50,802.532206
-50.0,50,806.31462
-50.0,50,809.281742
-50.0,50,813.195755
-50.0,50,815.871285
-50.0,50,819.594092
-50.0,50,823.758926
-50.0,50,827.124201
-50.0,50,831.659078
-50.0,50,834.427577
-50.0,50,838.169821
-50.0,50,843.374472
-50.0,50,847.383672
-50.0,50,851.606988
