# {"env_id": "FetchSlide-v1", "t_start": 1575548478.2100294} 
r,l,t
-50.0,50,9.472441
-50.0,50,15.498757
-50.0,50,21.112742
-50.0,50,25.052476
-50.0,50,29.937857
-50.0,50,33.999439
-50.0,50,39.393207
-50.0,50,42.991421
-50.0,50,47.350452
-50.0,50,50.549483
-50.0,50,55.485872
-50.0,50,58.197826
-50.0,50,62.051496
-50.0,50,64.921648
-50.0,50,67.534842
-50.0,50,70.187963
-50.0,50,75.210687
-50.0,50,78.066251
-50.0,50,82.928191
-50.0,50,85.937445
-50.0,50,90.567757
-50.0,50,93.862868
-50.0,50,96.623829
-50.0,50,101.293647
-50.0,50,104.97929
-50.0,50,109.140918
-50.0,50,113.6696
-50.0,50,119.393548
-50.0,50,124.705145
-50.0,50,128.060969
-50.0,50,132.627108
-50.0,50,136.636528
-50.0,50,142.137886
-50.0,50,144.828583
-50.0,50,148.778447
-50.0,50,151.801148
-50.0,50,155.896806
-50.0,50,161.19593
-50.0,50,163.932822
-50.0,50,166.744339
-50.0,50,171.927017
-50.0,50,174.550881
-50.0,50,177.400279
-50.0,50,182.685845
-50.0,50,185.644005
-50.0,50,190.710542
-50.0,50,193.413185
-50.0,50,196.015357
-50.0,50,202.337544
-50.0,50,205.126898
-50.0,50,207.799002
-50.0,50,208.208324
-50.0,50,208.63434
-50.0,50,209.096903
-50.0,50,209.539295
-50.0,50,209.971914
-50.0,50,210.413142
-50.0,50,211.388025
-50.0,50,212.823923
-50.0,50,213.296958
-50.0,50,213.957158
-50.0,50,216.82044
-50.0,50,221.926789
-50.0,50,224.628462
-50.0,50,229.884858
-50.0,50,232.565876
-50.0,50,235.299357
-50.0,50,237.906106
-50.0,50,240.610144
-50.0,50,245.651454
-50.0,50,248.311052
-50.0,50,250.993782
-50.0,50,254.824898
-50.0,50,257.539738
-50.0,50,260.396076
-50.0,50,265.338037
-50.0,50,268.066478
-50.0,50,273.043089
-50.0,50,275.746969
-50.0,50,278.431131
-50.0,50,281.162473
-50.0,50,285.121595
-50.0,50,289.444651
