# {"t_start": 1575548477.6907957, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,10.003143
-50.0,50,16.007053
-50.0,50,21.789003
-50.0,50,25.59967
-50.0,50,30.32349
-50.0,50,34.543169
-50.0,50,39.943857
-50.0,50,43.446304
-50.0,50,47.834589
-50.0,50,51.097243
-50.0,50,56.026401
-50.0,50,58.701599
-50.0,50,62.564338
-50.0,50,65.392699
-50.0,50,68.072846
-50.0,50,70.699809
-50.0,50,75.872117
-50.0,50,78.594289
-50.0,50,83.432893
-50.0,50,86.446031
-50.0,50,91.04423
-50.0,50,94.371438
-50.0,50,97.138344
-50.0,50,101.835417
-50.0,50,105.454531
-50.0,50,109.716388
-50.0,50,114.19222
-50.0,50,119.905771
-50.0,50,125.272709
-50.0,50,128.535131
-50.0,50,133.16901
-50.0,50,137.144906
-50.0,50,142.67874
-50.0,50,145.357891
-50.0,50,149.324731
-50.0,50,152.30103
-50.0,50,156.374719
-50.0,50,161.719738
-50.0,50,164.4096
-50.0,50,167.251835
-50.0,50,172.425941
-50.0,50,175.074993
-50.0,50,177.937661
-50.0,50,183.140827
-50.0,50,186.304889
-50.0,50,191.232197
-50.0,50,193.933428
-50.0,50,196.566428
-50.0,50,202.743295
-50.0,50,205.661366
-50.0,50,208.323997
-50.0,50,208.773765
-50.0,50,209.234449
-50.0,50,209.6917
-50.0,50,210.152819
-50.0,50,210.607158
-50.0,50,211.088572
-50.0,50,212.427083
-50.0,50,213.463357
-50.0,50,213.910944
-50.0,50,214.453948
-50.0,50,217.331077
-50.0,50,222.447575
-50.0,50,225.147407
-50.0,50,230.369931
-50.0,50,233.108646
-50.0,50,235.806819
-50.0,50,238.4308
-50.0,50,241.133734
-50.0,50,246.178142
-50.0,50,248.855508
-50.0,50,251.493654
-50.0,50,255.375785
-50.0,50,258.099194
-50.0,50,260.897471
-50.0,50,265.840715
-50.0,50,268.550563
-50.0,50,273.594863
-50.0,50,276.276089
-50.0,50,278.952505
-50.0,50,281.632367
-50.0,50,285.713541
-50.0,50,289.967671
-50.0,50,294.595289
-50.0,50,298.646188
-50.0,50,304.931261
-50.0,50,310.833692
-50.0,50,314.698482
-50.0,50,320.804365
-50.0,50,324.443836
-50.0,50,331.740709
-50.0,50,336.952777
-50.0,50,341.550955
-50.0,50,348.900884
-50.0,50,353.861777
-50.0,50,358.546681
-50.0,50,363.218544
-50.0,50,366.697985
-50.0,50,374.054679
-50.0,50,379.015144
-50.0,50,383.98118
-50.0,50,389.981154
-50.0,50,395.959677
-50.0,50,399.846986
-50.0,50,405.929191
-50.0,50,409.485226
-50.0,50,416.844823
-50.0,50,421.934117
-50.0,50,426.711367
-50.0,50,432.370653
-50.0,50,435.207576
-50.0,50,436.710305
-50.0,50,438.208617
-50.0,50,439.200181
-50.0,50,439.591243
-50.0,50,440.015785
-50.0,50,440.450868
-50.0,50,440.880622
-50.0,50,441.319165
-50.0,50,441.769712
-50.0,50,442.357065
-50.0,50,446.236351
-50.0,50,448.939871
-50.0,50,451.658638
-50.0,50,454.242117
-50.0,50,460.593504
-50.0,50,463.239744
-50.0,50,467.07817
-50.0,50,469.697565
-50.0,50,472.323569
-50.0,50,474.948111
-50.0,50,480.03008
-50.0,50,482.642897
-50.0,50,487.823338
-50.0,50,490.46815
-50.0,50,495.598447
-50.0,50,498.50285
-50.0,50,503.378715
-50.0,50,506.402809
-50.0,50,510.267773
-50.0,50,515.042104
-50.0,50,520.11619
-50.0,50,526.250171
-50.0,50,531.113515
-50.0,50,535.498708
-50.0,50,541.090111
-50.0,50,547.132655
-50.0,50,552.573987
-50.0,50,556.98863
-50.0,50,563.107848
-50.0,50,569.315562
-46.0,50,572.940983
-50.0,50,579.40308
-50.0,50,584.187302
-50.0,50,590.258484
-50.0,50,596.466287
-50.0,50,600.087965
-50.0,50,606.72707
-50.0,50,610.02819
-50.0,50,614.659945
-50.0,50,618.140622
-50.0,50,622.53505
-50.0,50,626.133918
-50.0,50,628.765792
-50.0,50,633.741949
-50.0,50,636.70518
-50.0,50,640.595318
-50.0,50,645.69938
-50.0,50,648.387519
-50.0,50,654.124212
-50.0,50,658.749833
-50.0,50,659.238196
-50.0,50,659.716333
-50.0,50,660.282419
-50.0,50,660.759647
-50.0,50,661.247642
-50.0,50,661.723445
-47.0,50,662.209833
-50.0,50,662.649901
-50.0,50,664.093517
-50.0,50,666.209226
-50.0,50,671.937694
-50.0,50,675.893693
-50.0,50,681.238991
-50.0,50,683.96455
-50.0,50,689.137177
-50.0,50,692.982613
-50.0,50,697.001703
-50.0,50,700.507928
-50.0,50,703.835483
-50.0,50,708.672895
-50.0,50,712.890518
-50.0,50,718.22581
-50.0,50,721.336495
-50.0,50,724.855159
-50.0,50,728.896608
-50.0,50,732.803209
-50.0,50,735.432352
-50.0,50,740.545066
-50.0,50,743.360365
-50.0,50,746.040927
-50.0,50,749.76201
-50.0,50,753.964738
-50.0,50,756.599185
-50.0,50,759.29771
-50.0,50,764.291405
-50.0,50,766.908178
-50.0,50,770.727167
-50.0,50,774.892855
-50.0,50,778.708354
-47.0,50,782.700199
-50.0,50,786.624313
-50.0,50,789.307349
-50.0,50,793.908244
-50.0,50,797.30442
-50.0,50,799.940853
-50.0,50,803.678435
-50.0,50,806.699671
-50.0,50,810.586657
-50.0,50,813.25933
-50.0,50,817.119243
-50.0,50,821.217583
-50.0,50,824.592922
-50.0,50,829.084534
-50.0,50,831.812766
-50.0,50,835.621639
-50.0,50,840.753989
-50.0,50,844.85213
-50.0,50,849.066598
-50.0,50,853.039791
