epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.74563026,0.12115421,0.16555639,0.06065347,20.0,-3.12196,0.010000000149011612,100.0,0.0019999999552965165
1,0.74376756,0.1217255,0.16547263,0.061627693,40.0,-5.0655246,0.005000000074505806,200.0,0.0
2,0.7437487,0.12266582,0.16562481,0.061565466,60.0,-7.203801,0.0,300.0,0.0029999999329447745
3,0.7448814,0.12993203,0.1660024,0.065939784,80.0,-9.028204,0.005000000074505806,400.0,0.0029999999329447745
4,0.7461526,0.1400096,0.16654032,0.07138975,100.0,-10.3267565,0.005000000074505806,500.0,0.008999999798834323
5,0.7487249,0.15148775,0.1674781,0.07749048,120.0,-11.515886,0.020000000298023225,600.0,0.008999999798834323
6,0.75087065,0.15801007,0.16815165,0.08231315,140.0,-12.544607,0.02500000037252903,700.0,0.02
7,0.75290805,0.1634371,0.1689678,0.086239204,160.0,-13.4317045,0.04500000029802322,800.0,0.021
8,0.75501966,0.16878872,0.16963638,0.089466125,180.0,-13.707079,0.04500000067055225,900.0,0.031
9,0.75964624,0.17376976,0.17071699,0.09247859,200.0,-12.835416,0.12500000596046448,1000.0,0.047
10,0.76452875,0.17706782,0.171768,0.093901135,220.0,-12.26679,0.1549999952316284,1100.0,0.077999994
11,0.76859397,0.17914067,0.17242298,0.09536565,240.0,-13.087581,0.1600000023841858,1200.0,0.073
12,0.77114415,0.18009372,0.17275374,0.095938705,260.0,-13.825847,0.135,1300.0,0.074
13,0.77288246,0.17996047,0.17307976,0.095633805,280.0,-14.300517,0.1250000037252903,1400.0,0.098000005
14,0.7747149,0.17960723,0.17331824,0.095569104,300.0,-13.063556,0.28000003,1500.0,0.10700001
15,0.77653354,0.18038799,0.1736791,0.09590722,320.0,-14.487101,0.275,1600.0,0.107999995
16,0.7786062,0.1814335,0.17411272,0.09659405,340.0,-14.3031845,0.29500002,1700.0,0.116
17,0.7813778,0.18184508,0.17472844,0.097056955,360.0,-11.584232,0.35500002,1800.0,0.13299999
18,0.7838621,0.1822236,0.17540307,0.097275324,380.0,-12.718258,0.28000003,1900.0,0.13800001
19,0.78661126,0.18269862,0.17609683,0.09765098,400.0,-12.180058,0.40500003,2000.0,0.13500002
20,0.78909796,0.18243408,0.17667836,0.0977905,420.0,-11.96447,0.46999997,2100.0,0.134
21,0.79118085,0.1823507,0.17716356,0.09789727,440.0,-13.08845,0.365,2200.0,0.149
22,0.79299134,0.18190873,0.17756741,0.09777281,460.0,-12.298433,0.41,2300.0,0.154
23,0.79478526,0.18166757,0.17790848,0.09773891,480.0,-13.182309,0.41,2400.0,0.18100001
24,0.7962701,0.1811567,0.1782745,0.0976239,500.0,-11.160504,0.51000005,2500.0,0.16300002
25,0.7977202,0.18068427,0.17862743,0.09748661,520.0,-13.815524,0.445,2600.0,0.16399999
26,0.7992198,0.18037337,0.17900687,0.09739829,540.0,-10.931107,0.555,2700.0,0.16600001
27,0.8006241,0.18003863,0.17933221,0.0975011,560.0,-11.893151,0.54499996,2800.0,0.152
28,0.80198354,0.17947781,0.17966071,0.097534,580.0,-12.372647,0.51000005,2900.0,0.15900001
29,0.8031827,0.17889035,0.17989716,0.097531214,600.0,-10.988083,0.58000004,3000.0,0.16699998
