# {"t_start": 1574543340.3151073, "env_id": "FetchSlide-v1"} 
r,l,t
-18.0,50,6.918839
-50.0,50,9.73882
-43.0,50,12.374489
-50.0,50,14.916683
-50.0,50,17.540869
-50.0,50,20.162619
-50.0,50,22.740341
-50.0,50,25.39769
-43.0,50,28.086416
-48.0,50,30.749724
-50.0,50,33.51948
-46.0,50,36.216893
-50.0,50,38.915572
-50.0,50,41.585001
-47.0,50,44.29988
-50.0,50,47.01455
-50.0,50,49.880609
-50.0,50,52.618767
-23.0,50,55.253701
-45.0,50,57.997075
-44.0,50,60.771318
-50.0,50,63.468578
-50.0,50,66.21746
-48.0,50,68.960971
-50.0,50,72.164067
-50.0,50,75.18338
-41.0,50,78.38194
-44.0,50,81.535817
-32.0,50,84.78625
-50.0,50,88.136173
-46.0,50,91.545446
-50.0,50,94.79511
-32.0,50,98.119198
-50.0,50,101.304219
-48.0,50,104.529957
-13.0,50,107.657979
-50.0,50,110.896392
-39.0,50,114.146265
-50.0,50,117.547323
-50.0,50,120.817405
-42.0,50,124.018423
-21.0,50,127.210947
-50.0,50,130.459241
-50.0,50,133.631382
-50.0,50,136.907031
-50.0,50,140.079245
-46.0,50,143.397141
-50.0,50,146.576722
-36.0,50,149.875075
-43.0,50,153.278551
-45.0,50,156.636872
-50.0,50,157.151726
-45.0,50,157.64851
-18.0,50,158.172158
-50.0,50,158.724563
-47.0,50,159.327385
-39.0,50,159.866474
-10.0,50,160.389699
-50.0,50,160.868029
-17.0,50,161.386198
-50.0,50,162.126349
-48.0,50,165.331242
-46.0,50,168.676338
-50.0,50,171.861737
-44.0,50,175.073304
-25.0,50,178.323541
-50.0,50,181.564334
-50.0,50,184.770517
-48.0,50,188.030243
-36.0,50,191.262357
-50.0,50,194.442977
-41.0,50,197.654147
-47.0,50,200.880091
-50.0,50,204.109475
-45.0,50,207.437718
-50.0,50,210.622497
-47.0,50,213.909539
-23.0,50,217.077738
-50.0,50,220.384624
-43.0,50,223.657245
-50.0,50,226.810294
-27.0,50,230.059761
-50.0,50,233.267604
-50.0,50,236.517841
-48.0,50,239.719127
-50.0,50,242.968973
-47.0,50,246.238613
-50.0,50,249.428485
-36.0,50,252.590147
-50.0,50,255.814301
-45.0,50,259.036945
-12.0,50,262.28979
-50.0,50,265.472044
-50.0,50,268.747102
-46.0,50,271.919361
-44.0,50,275.162498
-46.0,50,278.398941
-50.0,50,281.629659
-49.0,50,284.827023
-45.0,50,288.03116
-22.0,50,291.448656
-50.0,50,294.904613
-40.0,50,298.487023
-50.0,50,301.910026
-40.0,50,305.333976
-50.0,50,308.746174
-50.0,50,312.197896
-24.0,50,315.632938
-15.0,50,319.107416
-27.0,50,322.61582
-28.0,50,326.12883
-23.0,50,326.658194
-28.0,50,327.202735
-10.0,50,327.773755
-38.0,50,328.342898
-43.0,50,328.873678
-27.0,50,329.459095
-13.0,50,330.036312
-42.0,50,330.618107
-42.0,50,331.116604
-50.0,50,331.744271
-50.0,50,335.252226
-50.0,50,338.708973
-50.0,50,342.237386
-50.0,50,345.826619
-50.0,50,349.475574
-50.0,50,352.797957
-20.0,50,356.893258
-46.0,50,360.687397
-50.0,50,364.287337
-48.0,50,367.898146
-42.0,50,371.021844
-41.0,50,375.60472
-50.0,50,383.175169
-50.0,50,390.241941
-50.0,50,397.704723
-35.0,50,405.287149
-50.0,50,412.443358
-41.0,50,419.828893
-50.0,50,427.566379
-50.0,50,434.820637
-50.0,50,442.406227
-36.0,50,445.902853
-46.0,50,449.393266
-48.0,50,452.943517
-50.0,50,456.50059
-47.0,50,460.212565
-50.0,50,463.804306
-50.0,50,466.597434
-47.0,50,469.867871
-44.0,50,472.975169
-31.0,50,477.377324
-50.0,50,480.780308
-50.0,50,484.213105
-50.0,50,487.633755
-50.0,50,491.084486
-41.0,50,494.412508
-50.0,50,497.755514
-43.0,50,501.152077
-50.0,50,504.5499
-50.0,50,507.984627
-50.0,50,511.448671
-50.0,50,514.799876
-50.0,50,518.254147
-50.0,50,521.616552
-50.0,50,525.024598
-34.0,50,528.483187
-50.0,50,531.875257
-50.0,50,535.220918
-27.0,50,538.610734
-50.0,50,542.00332
-42.0,50,542.543028
-30.0,50,543.086323
-39.0,50,543.609729
-33.0,50,544.202761
-50.0,50,544.766561
-50.0,50,545.328318
-50.0,50,545.881119
-41.0,50,546.482961
-41.0,50,547.112929
-50.0,50,547.789237
-50.0,50,551.031985
-50.0,50,554.040404
-44.0,50,557.225159
-43.0,50,560.184435
-50.0,50,562.876091
-50.0,50,565.840613
-26.0,50,568.588736
-43.0,50,571.448222
-43.0,50,574.463898
-44.0,50,577.478103
-47.0,50,580.392779
-14.0,50,583.617469
-50.0,50,586.959882
-47.0,50,590.01783
-44.0,50,592.929909
-40.0,50,595.820296
-25.0,50,598.616793
-50.0,50,601.270194
-50.0,50,603.97557
-47.0,50,606.558269
-50.0,50,609.238897
-50.0,50,612.181494
-50.0,50,615.222396
-45.0,50,618.352842
-47.0,50,621.365992
-50.0,50,624.137534
-43.0,50,626.74823
-50.0,50,629.526786
-46.0,50,632.228751
-47.0,50,634.834612
-42.0,50,637.44468
-44.0,50,640.013965
-50.0,50,642.643237
-43.0,50,645.254809
-50.0,50,647.871693
-33.0,50,650.470248
-50.0,50,653.106194
-43.0,50,655.694199
-23.0,50,658.327511
-50.0,50,660.963896
-50.0,50,663.499363
-50.0,50,666.181631
-17.0,50,668.773471
-43.0,50,671.381716
-50.0,50,673.985123
-50.0,50,676.568357
-43.0,50,679.171254
-50.0,50,681.82315
-50.0,50,684.388788
-19.0,50,687.024715
-14.0,50,687.482267
-40.0,50,687.931426
-27.0,50,688.398899
-18.0,50,688.873738
-45.0,50,689.391119
-50.0,50,689.870606
-20.0,50,690.339682
-50.0,50,690.844497
-48.0,50,691.292151
-50.0,50,691.903366
-41.0,50,694.529516
-45.0,50,697.085635
-50.0,50,699.717245
-48.0,50,702.33846
-39.0,50,704.935474
-50.0,50,707.532587
-50.0,50,710.111496
-50.0,50,712.745264
-40.0,50,715.384801
-50.0,50,717.980744
-26.0,50,720.644466
-47.0,50,723.267063
-50.0,50,725.882473
-50.0,50,728.47418
-44.0,50,731.053327
-50.0,50,733.695945
-50.0,50,736.290887
-47.0,50,738.9409
-44.0,50,741.569716
-39.0,50,744.170598
-50.0,50,746.80139
-48.0,50,749.397285
-50.0,50,752.004454
-50.0,50,754.622697
-45.0,50,757.227567
-14.0,50,759.816564
-37.0,50,762.454197
-42.0,50,765.089078
-47.0,50,767.648305
-44.0,50,770.239552
-42.0,50,772.895598
-50.0,50,775.46254
-50.0,50,778.105089
-50.0,50,780.703919
-25.0,50,783.289939
-50.0,50,785.891026
-45.0,50,788.510065
-50.0,50,791.105284
-40.0,50,793.693249
-35.0,50,796.324284
-50.0,50,798.961554
-40.0,50,801.563043
-50.0,50,804.198128
-50.0,50,806.788234
-50.0,50,809.42814
-50.0,50,812.032445
-50.0,50,814.610466
-50.0,50,817.232164
-50.0,50,819.828206
-25.0,50,822.461978
-26.0,50,822.933892
-45.0,50,823.412191
-50.0,50,823.911201
-44.0,50,824.420616
-22.0,50,824.904431
-50.0,50,825.378567
-17.0,50,825.840348
-23.0,50,826.291917
-43.0,50,826.734661
-38.0,50,827.350274
-43.0,50,829.994272
-50.0,50,832.600409
-50.0,50,835.217727
-43.0,50,837.815754
-50.0,50,840.415844
-21.0,50,843.026977
-40.0,50,845.676272
-48.0,50,848.253189
-43.0,50,850.900354
-44.0,50,853.491858
-34.0,50,856.122178
-39.0,50,859.482034
-50.0,50,862.757359
-38.0,50,865.936791
-50.0,50,869.168533
-50.0,50,871.885132
-50.0,50,874.957753
-45.0,50,877.690622
-40.0,50,880.359812
-50.0,50,883.611326
-50.0,50,887.547156
-38.0,50,890.275281
-50.0,50,893.358436
-50.0,50,895.994601
-30.0,50,898.590715
-32.0,50,901.227338
-50.0,50,904.42465
-50.0,50,907.194348
-50.0,50,911.476381
-34.0,50,914.163635
-50.0,50,917.282712
-50.0,50,921.432161
-50.0,50,924.088617
-35.0,50,927.018817
-44.0,50,929.748022
-50.0,50,932.399715
-44.0,50,935.263549
-30.0,50,939.238613
-37.0,50,942.198892
-50.0,50,945.383705
-50.0,50,948.777688
-34.0,50,951.56837
-50.0,50,954.719097
-50.0,50,957.514354
-46.0,50,960.335506
-50.0,50,963.722908
-50.0,50,966.945896
-41.0,50,969.827214
-41.0,50,973.095379
-50.0,50,976.752522
-23.0,50,977.195098
-26.0,50,977.69141
-50.0,50,978.164853
-25.0,50,978.665948
-30.0,50,979.141449
-50.0,50,979.662056
-44.0,50,980.112182
-50.0,50,980.605811
-45.0,50,981.090366
-44.0,50,981.823651
-47.0,50,984.80082
-50.0,50,987.662488
-50.0,50,990.399963
-50.0,50,993.075771
-34.0,50,995.784615
-47.0,50,998.389482
-46.0,50,1001.094664
-50.0,50,1003.826366
-46.0,50,1006.623876
-50.0,50,1009.776379
-46.0,50,1012.843461
-50.0,50,1015.747569
-44.0,50,1019.342235
-49.0,50,1022.133401
-50.0,50,1024.962945
-50.0,50,1028.913609
-31.0,50,1031.902992
-50.0,50,1034.701862
-50.0,50,1037.716638
-50.0,50,1041.188311
-50.0,50,1044.717129
-50.0,50,1048.572065
-50.0,50,1051.394231
-47.0,50,1054.835454
-50.0,50,1057.687939
-50.0,50,1061.700866
-47.0,50,1064.432066
-50.0,50,1067.479081
-50.0,50,1070.881925
-50.0,50,1074.486979
-46.0,50,1077.46235
-50.0,50,1080.71758
-50.0,50,1083.382955
-50.0,50,1086.053904
-27.0,50,1088.989645
-23.0,50,1092.725443
-50.0,50,1095.777784
-50.0,50,1098.585644
-50.0,50,1101.655671
-42.0,50,1104.351129
-47.0,50,1106.978892
-29.0,50,1110.468623
-50.0,50,1113.647318
-50.0,50,1116.511431
-48.0,50,1119.447792
-47.0,50,1122.188241
-25.0,50,1124.896138
-50.0,50,1127.565371
-45.0,50,1130.165895
-33.0,50,1132.93944
-48.0,50,1133.441784
-22.0,50,1133.942201
-26.0,50,1134.418085
-27.0,50,1134.908221
-17.0,50,1135.399956
-50.0,50,1135.938522
-50.0,50,1136.404499
-50.0,50,1136.842998
-23.0,50,1137.325164
-40.0,50,1137.812546
-15.0,50,1140.506313
-50.0,50,1143.266273
-45.0,50,1145.902036
-34.0,50,1148.627728
-50.0,50,1151.225687
-50.0,50,1153.912395
-50.0,50,1156.961458
-50.0,50,1160.325194
-50.0,50,1163.244017
-36.0,50,1167.241819
-44.0,50,1172.961066
-34.0,50,1177.011346
-50.0,50,1179.762805
-50.0,50,1182.817653
-50.0,50,1185.540996
-50.0,50,1188.164663
-50.0,50,1190.811067
-50.0,50,1193.839566
-25.0,50,1197.040658
-37.0,50,1201.07022
-45.0,50,1204.229274
-36.0,50,1208.111221
-50.0,50,1211.299804
-50.0,50,1214.297952
-50.0,50,1217.01996
-50.0,50,1220.078055
-50.0,50,1223.058202
-50.0,50,1226.16236
-50.0,50,1229.668807
-50.0,50,1233.100893
-18.0,50,1236.492183
-50.0,50,1239.888319
-29.0,50,1243.298385
-50.0,50,1246.695323
-50.0,50,1250.058149
-50.0,50,1253.483016
-50.0,50,1256.870025
-42.0,50,1260.213447
-50.0,50,1263.642159
-43.0,50,1267.008475
-47.0,50,1270.383475
-50.0,50,1273.756354
-50.0,50,1277.146497
-44.0,50,1280.52037
-49.0,50,1283.88455
0.0,50,1287.179365
-50.0,50,1290.575721
-46.0,50,1293.901595
-50.0,50,1297.302976
-23.0,50,1300.706718
-49.0,50,1301.281093
-41.0,50,1301.877736
-35.0,50,1302.423528
-44.0,50,1302.966847
-43.0,50,1303.477866
-50.0,50,1303.993013
-12.0,50,1304.479905
-40.0,50,1304.994995
-42.0,50,1305.537731
-50.0,50,1306.247067
-50.0,50,1309.638357
-50.0,50,1313.019475
-46.0,50,1316.363658
-45.0,50,1319.739235
-50.0,50,1323.077424
-18.0,50,1326.457805
-50.0,50,1329.808391
-50.0,50,1333.134829
-39.0,50,1336.510268
-50.0,50,1339.838917
-45.0,50,1343.277752
-50.0,50,1346.588168
-41.0,50,1349.976779
