# {"env_id": "FetchSlide-v1", "t_start": 1574543339.0302372} 
r,l,t
-50.0,50,8.022101
-50.0,50,11.036188
-50.0,50,13.622034
-50.0,50,16.241884
-20.0,50,18.859909
-44.0,50,21.462504
-31.0,50,24.013591
-50.0,50,26.729827
-21.0,50,29.387838
-50.0,50,32.118851
-44.0,50,34.887829
-42.0,50,37.554702
-33.0,50,40.205583
-46.0,50,42.930244
-50.0,50,45.607198
-14.0,50,48.313422
-33.0,50,51.139518
-50.0,50,53.886671
-47.0,50,56.549292
-45.0,50,59.35108
-50.0,50,62.065557
-50.0,50,64.757775
-44.0,50,67.529421
-31.0,50,70.247895
-36.0,50,73.40502
-46.0,50,76.484226
-46.0,50,79.635675
-46.0,50,82.837111
-35.0,50,86.062786
-50.0,50,89.420257
-43.0,50,92.820181
-46.0,50,96.150058
-50.0,50,99.415807
-50.0,50,102.586771
-50.0,50,105.813999
-19.0,50,108.976537
-50.0,50,112.178337
-23.0,50,115.458128
-43.0,50,118.794708
-50.0,50,122.052247
-50.0,50,125.259709
-45.0,50,128.512171
-50.0,50,131.726732
-50.0,50,134.91135
-50.0,50,138.194941
-20.0,50,141.408226
-50.0,50,144.647387
-44.0,50,147.891609
-50.0,50,151.142741
-50.0,50,154.4902
-26.0,50,157.907474
-36.0,50,158.43499
-38.0,50,158.97279
-50.0,50,159.485804
-6.0,50,160.018086
-18.0,50,160.542794
-42.0,50,161.132802
-50.0,50,161.673463
-13.0,50,162.184646
-42.0,50,162.730348
-50.0,50,163.430877
-43.0,50,166.671412
-46.0,50,169.919248
-50.0,50,173.164759
-48.0,50,176.413277
-48.0,50,179.595356
-50.0,50,182.832379
-50.0,50,186.026104
-40.0,50,189.302961
-50.0,50,192.484704
-45.0,50,195.725672
-9.0,50,198.951349
-36.0,50,202.173195
-36.0,50,205.408536
-47.0,50,208.71041
-20.0,50,211.926342
-42.0,50,215.190701
-45.0,50,218.412307
-50.0,50,221.68563
-42.0,50,224.921401
-16.0,50,228.117382
-46.0,50,231.332392
-50.0,50,234.5741
-24.0,50,237.778783
-50.0,50,240.940555
-45.0,50,244.285626
-20.0,50,247.475098
-43.0,50,250.690947
-50.0,50,253.927461
-41.0,50,257.091519
-50.0,50,260.325989
-50.0,50,263.585375
-50.0,50,266.801106
-50.0,50,270.005287
-50.0,50,273.265626
-50.0,50,276.430591
-50.0,50,279.695084
-50.0,50,282.901044
-49.0,50,286.158911
-47.0,50,289.355559
-46.0,50,292.746475
-47.0,50,296.204161
-50.0,50,299.746594
-50.0,50,303.195764
-45.0,50,306.604677
-50.0,50,310.068823
-49.0,50,313.478093
-50.0,50,316.926778
-50.0,50,320.369412
-31.0,50,323.909611
-50.0,50,327.403187
-32.0,50,327.95506
-13.0,50,328.497858
-30.0,50,329.011338
-19.0,50,329.556912
-50.0,50,330.087702
-25.0,50,330.645985
-50.0,50,331.215698
-23.0,50,331.736529
-36.0,50,332.273525
-50.0,50,333.005881
-50.0,50,336.497237
-16.0,50,340.011419
-50.0,50,343.487926
-46.0,50,347.149833
-50.0,50,350.771168
-50.0,50,354.104411
-50.0,50,358.187625
-42.0,50,361.997952
-35.0,50,365.577814
-50.0,50,369.243706
-50.0,50,372.311335
-34.0,50,376.665305
-23.0,50,384.24964
-50.0,50,391.655599
-50.0,50,399.059697
-50.0,50,406.56025
-42.0,50,413.939059
-44.0,50,421.005623
-50.0,50,428.91855
-50.0,50,436.257072
-26.0,50,443.716786
-48.0,50,447.207551
-42.0,50,450.701501
-50.0,50,454.218418
-50.0,50,457.801293
-50.0,50,461.559299
-45.0,50,465.050083
-50.0,50,467.857895
-42.0,50,471.123909
-13.0,50,474.273345
-50.0,50,478.63917
-21.0,50,482.046
-45.0,50,485.496592
-47.0,50,488.919972
-50.0,50,492.331616
-50.0,50,495.703127
-43.0,50,499.067212
-50.0,50,502.447502
-50.0,50,505.846901
-50.0,50,509.319653
-50.0,50,512.697539
-50.0,50,516.093892
-50.0,50,519.548983
-47.0,50,522.917831
-50.0,50,526.3122
-43.0,50,529.759439
-50.0,50,533.157091
-50.0,50,536.558884
-43.0,50,539.876233
-31.0,50,543.299478
-27.0,50,543.876674
-18.0,50,544.421479
-30.0,50,544.960363
-34.0,50,545.494346
-28.0,50,546.003057
-50.0,50,546.579587
-19.0,50,547.130872
-49.0,50,547.745696
-50.0,50,548.336294
-50.0,50,549.06476
-35.0,50,552.331237
-50.0,50,555.319732
