# {"env_id": "FetchSlide-v1", "t_start": 1575548475.5925386} 
r,l,t
-50.0,50,12.102488
-50.0,50,18.114128
-50.0,50,23.869164
-50.0,50,27.698165
-50.0,50,32.438022
-50.0,50,36.644865
-50.0,50,42.041167
-50.0,50,45.543424
-50.0,50,49.937132
-50.0,50,53.202532
-50.0,50,58.126234
-50.0,50,60.801607
-50.0,50,64.663577
-50.0,50,67.497146
-50.0,50,70.171833
-50.0,50,72.807814
-50.0,50,77.969564
-50.0,50,80.693721
-50.0,50,85.529223
-50.0,50,88.546567
-50.0,50,93.138539
-50.0,50,96.472859
-50.0,50,99.234093
-50.0,50,103.942297
-50.0,50,107.553037
-50.0,50,111.814834
-50.0,50,116.292121
-50.0,50,122.005868
-50.0,50,127.374012
-50.0,50,130.646715
-50.0,50,135.300056
-50.0,50,139.248204
-50.0,50,144.780573
-50.0,50,147.459069
-50.0,50,151.408749
-50.0,50,154.399979
-50.0,50,158.470992
-50.0,50,163.811404
-31.0,50,166.50986
-50.0,50,169.350858
-50.0,50,174.526091
-50.0,50,177.167907
-50.0,50,180.024757
-50.0,50,185.239096
-50.0,50,188.403086
-50.0,50,193.326089
-50.0,50,196.032418
-50.0,50,198.665718
-50.0,50,204.846843
-50.0,50,207.759235
-50.0,50,210.420223
-50.0,50,210.873688
-50.0,50,211.329918
-50.0,50,211.789152
-50.0,50,212.251816
-50.0,50,212.710992
-50.0,50,213.189587
-50.0,50,214.528504
-50.0,50,215.567573
-50.0,50,216.009593
-50.0,50,216.549546
-50.0,50,219.425071
-50.0,50,224.549501
-50.0,50,227.245658
-50.0,50,232.469236
-50.0,50,235.206092
-50.0,50,237.906332
-50.0,50,240.52948
-50.0,50,243.233399
-50.0,50,248.27608
-50.0,50,250.956531
-50.0,50,253.594322
-50.0,50,257.471616
-50.0,50,260.197417
-50.0,50,262.988561
-50.0,50,267.934445
-50.0,50,270.653982
-50.0,50,275.69181
-50.0,50,278.372163
-50.0,50,281.047673
-50.0,50,283.726731
-50.0,50,287.809855
-50.0,50,292.068772
-50.0,50,296.700427
-50.0,50,300.748621
-50.0,50,307.032905
-50.0,50,312.937725
-50.0,50,316.796757
-50.0,50,322.905999
-50.0,50,326.543371
-50.0,50,333.839476
-50.0,50,339.048061
-50.0,50,343.651997
-50.0,50,350.998466
-50.0,50,355.966494
-50.0,50,360.645936
-50.0,50,365.31715
-50.0,50,368.79959
-50.0,50,376.15362
-50.0,50,381.116644
-50.0,50,386.079678
-50.0,50,392.082245
-50.0,50,398.070263
-50.0,50,401.946105
-50.0,50,408.037015
-50.0,50,411.581643
-50.0,50,418.942494
-50.0,50,424.03066
-50.0,50,428.804974
-50.0,50,434.470259
-50.0,50,437.287602
-50.0,50,438.795063
-50.0,50,440.297743
-50.0,50,441.298623
-50.0,50,441.690475
-50.0,50,442.114372
-50.0,50,442.548559
-50.0,50,442.97989
-50.0,50,443.416319
-50.0,50,443.864507
-50.0,50,444.460394
-50.0,50,448.337769
-50.0,50,451.040093
-50.0,50,453.754254
-50.0,50,456.339931
-50.0,50,462.689619
-50.0,50,465.338344
-50.0,50,469.175649
-50.0,50,471.793296
-50.0,50,474.421404
-50.0,50,477.04373
-50.0,50,482.126067
-50.0,50,484.742372
-50.0,50,489.920881
-50.0,50,492.562459
-50.0,50,497.686672
-50.0,50,500.595155
-50.0,50,505.492537
-50.0,50,508.502249
-50.0,50,512.367349
-50.0,50,517.150118
-50.0,50,522.214262
-50.0,50,528.34939
-50.0,50,533.21032
-50.0,50,537.593809
-50.0,50,543.187692
-50.0,50,549.230154
-50.0,50,554.682537
-50.0,50,559.084971
-50.0,50,565.207594
-50.0,50,571.412961
-50.0,50,575.038696
-50.0,50,581.485786
-50.0,50,586.28515
-50.0,50,592.361826
-50.0,50,598.552328
-50.0,50,602.187807
-50.0,50,608.812286
-50.0,50,612.130383
-50.0,50,616.765978
-50.0,50,620.241395
-50.0,50,624.649609
-50.0,50,628.233523
-50.0,50,630.861985
-50.0,50,635.849674
-50.0,50,638.798303
-50.0,50,642.694032
-50.0,50,647.793991
-50.0,50,650.485965
-50.0,50,656.222602
-50.0,50,660.848776
-50.0,50,661.335675
-50.0,50,661.813937
-50.0,50,662.383163
-50.0,50,662.856272
-50.0,50,663.345084
-50.0,50,663.82563
-50.0,50,664.310924
-50.0,50,664.759553
-50.0,50,666.195484
-50.0,50,668.320499
-50.0,50,674.021559
-50.0,50,677.989619
-50.0,50,683.338608
-50.0,50,686.067266
-50.0,50,691.240799
-50.0,50,695.093854
-50.0,50,699.100274
-50.0,50,702.610821
-50.0,50,705.930033
-50.0,50,710.753774
-50.0,50,714.993335
-50.0,50,720.324119
-50.0,50,723.432802
-50.0,50,726.95528
-50.0,50,730.995552
-50.0,50,734.902788
-50.0,50,737.530327
-50.0,50,742.645665
-50.0,50,745.464606
-50.0,50,748.139295
-50.0,50,751.87299
-50.0,50,756.06224
-50.0,50,758.698127
-50.0,50,761.392916
-50.0,50,766.390073
-50.0,50,769.008167
-50.0,50,772.818681
