# {"t_start": 1575548479.389158, "env_id": "FetchSlide-v1"} 
r,l,t
-50.0,50,8.232391
-50.0,50,14.289861
-50.0,50,20.08718
-50.0,50,23.875138
-50.0,50,28.741091
-50.0,50,32.851243
-50.0,50,38.248999
-50.0,50,41.782094
-50.0,50,46.126928
-50.0,50,49.499449
-50.0,50,54.309962
-50.0,50,57.031903
-50.0,50,60.891755
-50.0,50,63.688261
-50.0,50,66.384709
-50.0,50,69.001269
-50.0,50,74.08325
-50.0,50,76.868742
-50.0,50,81.752204
-50.0,50,84.713488
-50.0,50,89.278548
-50.0,50,92.672762
-50.0,50,95.454375
-50.0,50,100.116087
-50.0,50,103.737055
-50.0,50,108.02475
-50.0,50,112.635741
-50.0,50,118.213338
-50.0,50,123.445669
-50.0,50,126.897363
-50.0,50,131.48139
-50.0,50,135.448089
-50.0,50,140.96406
-50.0,50,143.611579
-50.0,50,147.581164
-50.0,50,150.600294
-50.0,50,154.656122
-50.0,50,160.040339
-50.0,50,162.727434
-50.0,50,165.573102
-50.0,50,170.751791
-50.0,50,173.377774
-50.0,50,176.230529
-50.0,50,181.491217
-50.0,50,184.50679
-50.0,50,189.496276
-50.0,50,192.23007
-50.0,50,194.875474
-50.0,50,201.007611
-50.0,50,203.941232
-50.0,50,206.677159
-50.0,50,207.091751
-50.0,50,207.515178
-50.0,50,207.963458
-50.0,50,208.408096
-50.0,50,208.851584
-50.0,50,209.303519
-50.0,50,210.426482
-50.0,50,211.664228
-50.0,50,212.146781
-50.0,50,212.752996
-50.0,50,215.63448
-50.0,50,220.761493
-50.0,50,223.443055
-50.0,50,228.664737
-50.0,50,231.397668
-50.0,50,234.110786
-50.0,50,236.752465
-50.0,50,239.440637
-50.0,50,244.500511
-50.0,50,247.178233
-50.0,50,249.786806
-50.0,50,253.656913
-50.0,50,256.379816
-50.0,50,259.247928
-50.0,50,264.135579
-50.0,50,266.842596
-50.0,50,271.865268
-50.0,50,274.550058
-50.0,50,277.266638
-50.0,50,279.940176
-50.0,50,283.925864
-50.0,50,288.286667
-50.0,50,292.923844
-50.0,50,296.981977
-50.0,50,303.236631
-50.0,50,309.201337
-50.0,50,313.015945
-50.0,50,319.122375
-50.0,50,322.710108
-50.0,50,330.047803
-50.0,50,335.338365
-50.0,50,339.878809
-50.0,50,347.207128
-50.0,50,352.188642
-50.0,50,356.837772
-50.0,50,361.568412
-50.0,50,365.020378
-50.0,50,372.304983
-50.0,50,377.35464
-50.0,50,382.251826
-50.0,50,388.318605
-50.0,50,394.180936
-50.0,50,398.136807
-50.0,50,404.214995
-50.0,50,407.826677
-50.0,50,415.108635
-50.0,50,420.320027
-50.0,50,425.051667
-50.0,50,430.70845
-50.0,50,433.655081
-50.0,50,435.123331
-50.0,50,436.526511
-50.0,50,437.539158
-50.0,50,437.971935
-50.0,50,438.384732
-50.0,50,438.830083
-50.0,50,439.273358
-50.0,50,439.718295
-50.0,50,440.127575
-50.0,50,440.713923
-50.0,50,444.530856
-50.0,50,447.220756
-50.0,50,449.973493
-50.0,50,452.738626
-50.0,50,458.906162
-50.0,50,461.481839
-50.0,50,465.359154
-50.0,50,468.013152
-50.0,50,470.656298
-50.0,50,473.276732
-50.0,50,478.342655
-50.0,50,480.921437
-50.0,50,486.116202
-50.0,50,488.790954
-50.0,50,493.761659
-50.0,50,496.836047
-50.0,50,501.713987
-50.0,50,504.683659
-50.0,50,508.56439
-50.0,50,513.320737
-50.0,50,518.397419
-50.0,50,524.552878
-50.0,50,529.404008
-50.0,50,533.645184
-50.0,50,539.348078
-50.0,50,545.423715
-50.0,50,550.956993
-50.0,50,555.301988
-50.0,50,561.388792
-50.0,50,567.641181
-50.0,50,571.253316
-50.0,50,577.566972
-40.0,50,582.494515
-50.0,50,588.583032
-50.0,50,594.828259
-47.0,50,598.405583
-50.0,50,605.029396
-50.0,50,608.321355
-50.0,50,612.906752
-50.0,50,616.429418
-50.0,50,620.94461
-50.0,50,624.410795
-50.0,50,627.083559
-50.0,50,632.119168
-50.0,50,635.022794
-50.0,50,638.872546
-50.0,50,643.999856
-50.0,50,646.699834
-50.0,50,652.426692
-50.0,50,657.060065
-46.0,50,657.620449
-50.0,50,658.099826
-50.0,50,658.564535
-50.0,50,659.008703
-50.0,50,659.531184
-45.0,50,660.107578
-50.0,50,660.569138
-50.0,50,661.256758
-50.0,50,662.801049
-50.0,50,664.488729
-50.0,50,670.202368
-50.0,50,674.214672
-50.0,50,679.536977
-50.0,50,682.25277
-50.0,50,687.449802
-50.0,50,691.409955
-50.0,50,695.280812
-50.0,50,698.895895
-50.0,50,702.130198
-50.0,50,707.003061
-50.0,50,711.300491
-50.0,50,716.510428
-50.0,50,719.527423
-50.0,50,723.13628
-50.0,50,727.126808
0.0,50,731.079056
-50.0,50,733.72362
-50.0,50,738.811953
-50.0,50,741.663313
-50.0,50,744.306281
-50.0,50,748.030913
-50.0,50,752.236822
-50.0,50,754.890282
-50.0,50,757.57136
-50.0,50,762.593379
-50.0,50,765.232883
-50.0,50,769.057429
-50.0,50,773.216478
-50.0,50,777.029333
-50.0,50,780.963656
-50.0,50,784.931334
-50.0,50,787.606225
-50.0,50,792.138174
-50.0,50,795.571203
-50.0,50,798.231255
-50.0,50,801.948362
-50.0,50,804.97865
-50.0,50,808.907524
-50.0,50,811.579329
-50.0,50,815.28067
-50.0,50,819.452372
-50.0,50,822.796786
-50.0,50,827.393272
-50.0,50,830.033081
-50.0,50,833.90117
-50.0,50,838.996429
