# {"env_id": "FetchSlide-v1", "t_start": 1574363451.8993852} 
r,l,t
-50.0,50,9.32008
-50.0,50,12.659767
-50.0,50,15.701002
-50.0,50,18.72793
-50.0,50,21.735227
-50.0,50,24.868024
-50.0,50,28.035306
-50.0,50,30.915183
-50.0,50,33.942487
-50.0,50,36.907343
-50.0,50,39.594764
-50.0,50,42.491373
-50.0,50,45.335321
-42.0,50,48.109494
-50.0,50,50.827932
-50.0,50,53.550391
-50.0,50,56.228435
-50.0,50,58.97338
-50.0,50,61.71208
-50.0,50,64.625067
-50.0,50,67.299647
-50.0,50,70.034213
-50.0,50,72.928863
-50.0,50,75.658
-50.0,50,78.32599
-50.0,50,81.023129
-50.0,50,83.829022
-50.0,50,86.4695
-50.0,50,89.116124
-50.0,50,91.827691
-50.0,50,94.497635
-50.0,50,97.208133
-50.0,50,99.783007
-50.0,50,102.496906
-50.0,50,105.179399
-50.0,50,107.852243
-50.0,50,110.622135
-50.0,50,113.459101
-50.0,50,116.226388
-50.0,50,119.024759
-50.0,50,121.641974
-50.0,50,124.380034
-50.0,50,127.096623
-50.0,50,129.86694
-50.0,50,132.484128
-50.0,50,135.25604
-50.0,50,138.058778
-50.0,50,140.989076
-50.0,50,143.767313
-50.0,50,146.492615
-50.0,50,149.291799
-50.0,50,149.754192
-50.0,50,150.221307
-50.0,50,150.724923
-50.0,50,151.258306
-50.0,50,151.742553
-50.0,50,152.232293
-50.0,50,152.756955
-50.0,50,153.241999
-50.0,50,153.734308
-50.0,50,154.440562
-50.0,50,157.108263
-50.0,50,159.934779
-50.0,50,162.676386
-50.0,50,165.353567
-50.0,50,168.002621
-50.0,50,170.833076
-50.0,50,173.783674
-50.0,50,176.476993
-50.0,50,179.146729
-50.0,50,181.793086
-50.0,50,184.456076
-50.0,50,187.316431
-50.0,50,190.066163
-50.0,50,192.817292
-50.0,50,195.582911
-50.0,50,198.22875
-50.0,50,201.169871
-50.0,50,204.731816
-50.0,50,208.134562
-50.0,50,211.440318
-50.0,50,214.709708
-50.0,50,217.645615
-50.0,50,220.290166
-50.0,50,223.041276
-50.0,50,225.680326
-50.0,50,228.352121
-50.0,50,230.975524
-50.0,50,233.611658
-50.0,50,236.209888
-50.0,50,238.882852
-50.0,50,241.571827
-50.0,50,244.429177
-50.0,50,247.402227
-50.0,50,250.390813
-50.0,50,253.079888
-50.0,50,255.911287
-50.0,50,258.688616
-50.0,50,261.477549
-50.0,50,264.21122
-50.0,50,267.080055
-50.0,50,269.897666
-50.0,50,272.777227
-50.0,50,275.573345
-42.0,50,278.403215
-50.0,50,281.16972
-50.0,50,284.047608
-50.0,50,286.932021
-50.0,50,289.684153
-50.0,50,292.39198
-50.0,50,295.222276
-50.0,50,295.678307
-50.0,50,296.112612
-50.0,50,296.593474
-46.0,50,297.125232
-50.0,50,297.608099
-50.0,50,298.067304
-50.0,50,298.545622
-50.0,50,298.999071
-50.0,50,299.440905
-50.0,50,299.973961
-50.0,50,302.636925
-50.0,50,305.366328
-50.0,50,307.944773
-50.0,50,310.73875
-50.0,50,313.473256
-50.0,50,316.298801
-50.0,50,319.279062
-50.0,50,322.164984
-50.0,50,325.02592
-50.0,50,327.853721
-50.0,50,330.562864
-50.0,50,333.172205
-50.0,50,336.013429
-50.0,50,338.664325
-50.0,50,341.333246
-50.0,50,344.171653
-50.0,50,347.814523
-50.0,50,350.949929
-50.0,50,354.219869
-50.0,50,356.895552
-50.0,50,359.518732
-50.0,50,362.185821
-50.0,50,364.822922
-50.0,50,367.449922
-50.0,50,370.135978
-50.0,50,372.754534
-50.0,50,375.339833
-50.0,50,377.997301
-50.0,50,380.57215
-50.0,50,383.232445
-50.0,50,385.889019
-50.0,50,388.786798
-50.0,50,391.553976
-50.0,50,394.624054
-50.0,50,397.529878
-50.0,50,400.428344
-50.0,50,403.188869
-50.0,50,405.979558
-50.0,50,408.775927
-46.0,50,411.83127
-50.0,50,414.860325
-50.0,50,417.482169
-50.0,50,420.134945
-50.0,50,422.988716
-50.0,50,426.097497
-50.0,50,429.140463
-50.0,50,432.171701
-50.0,50,434.853728
-50.0,50,437.539857
-50.0,50,440.43908
-50.0,50,440.894575
-50.0,50,441.353524
-50.0,50,441.80537
-50.0,50,442.256452
-50.0,50,442.720438
-50.0,50,443.218556
-50.0,50,443.720775
-50.0,50,444.165859
-50.0,50,444.627831
-50.0,50,445.15763
-50.0,50,447.834859
-50.0,50,450.436296
-50.0,50,453.081724
