# {"t_start": 1574543340.0385628, "env_id": "FetchSlide-v1"} 
r,l,t
-42.0,50,7.235761
-31.0,50,10.017145
-50.0,50,12.625466
-50.0,50,15.207232
-32.0,50,17.855315
-50.0,50,20.460078
-41.0,50,23.022347
-50.0,50,25.658485
-44.0,50,28.399576
-28.0,50,31.060791
-50.0,50,33.802978
-50.0,50,36.558362
-50.0,50,39.209076
-43.0,50,41.83616
-43.0,50,44.557487
-32.0,50,47.319825
-50.0,50,50.158808
-50.0,50,52.865112
-50.0,50,55.525239
-42.0,50,58.288433
-50.0,50,61.047575
-50.0,50,63.730075
-50.0,50,66.516815
-43.0,50,69.239417
-34.0,50,72.419334
-50.0,50,75.488769
-50.0,50,78.642133
-44.0,50,81.85093
-50.0,50,85.061398
-50.0,50,88.401529
-50.0,50,91.777285
-50.0,50,95.105119
-50.0,50,98.394243
-50.0,50,101.598924
-50.0,50,104.799086
-24.0,50,107.967321
-29.0,50,111.146886
-50.0,50,114.412705
-50.0,50,117.758034
-47.0,50,121.027442
-47.0,50,124.316891
-37.0,50,127.527588
-45.0,50,130.691339
-50.0,50,133.916019
-50.0,50,137.152306
-50.0,50,140.407736
-24.0,50,143.636633
-50.0,50,146.842004
-50.0,50,150.088906
-50.0,50,153.505899
-31.0,50,156.888456
-39.0,50,157.387517
-21.0,50,157.93077
-22.0,50,158.493216
-25.0,50,159.041818
-30.0,50,159.569446
-50.0,50,160.087175
-11.0,50,160.599238
-24.0,50,161.073784
-30.0,50,161.574371
-41.0,50,162.407384
-50.0,50,165.634002
-48.0,50,168.91273
-50.0,50,172.164399
-43.0,50,175.399865
-32.0,50,178.615301
-27.0,50,181.834188
-50.0,50,185.012794
-50.0,50,188.268154
-46.0,50,191.521345
-46.0,50,194.693619
-46.0,50,198.007594
-50.0,50,201.19986
-21.0,50,204.462504
-50.0,50,207.709728
-43.0,50,210.902568
-42.0,50,214.131644
-37.0,50,217.369776
-50.0,50,220.668354
-50.0,50,223.912227
-50.0,50,227.092211
-50.0,50,230.268816
-50.0,50,233.568292
-50.0,50,236.748556
-50.0,50,239.977072
-50.0,50,243.252787
-50.0,50,246.539148
-44.0,50,249.709376
-50.0,50,252.896931
-50.0,50,256.135229
-46.0,50,259.286882
-29.0,50,262.557063
-50.0,50,265.82246
-47.0,50,269.005133
-38.0,50,272.231394
-50.0,50,275.401324
-37.0,50,278.70561
-46.0,50,281.903373
-29.0,50,285.088406
-35.0,50,288.298558
-44.0,50,291.710721
-50.0,50,295.27579
-50.0,50,298.712511
-50.0,50,302.176437
-50.0,50,305.59531
-50.0,50,309.050742
-50.0,50,312.463111
-48.0,50,315.869929
-50.0,50,319.327387
-50.0,50,322.858727
-22.0,50,326.4198
-42.0,50,326.971761
-30.0,50,327.516817
-35.0,50,328.067583
-50.0,50,328.647989
-44.0,50,329.208234
-30.0,50,329.736617
-29.0,50,330.278876
-45.0,50,330.8415
-37.0,50,331.351586
-19.0,50,332.002743
-50.0,50,335.528014
-33.0,50,339.013756
-26.0,50,342.528511
-42.0,50,346.150811
-33.0,50,349.777989
-50.0,50,353.065969
