epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.8041943,0.17864484,0.18012947,0.09773421,20.0,-12.323911,0.51,100.0,0.15799999
1,0.80512935,0.17834635,0.18031532,0.09782491,40.0,-12.007281,0.52000004,200.0,0.148
2,0.805906,0.17847629,0.1804527,0.098081484,60.0,-12.807146,0.52,300.0,0.158
3,0.8068042,0.1783605,0.18062076,0.09825494,80.0,-13.394542,0.45,400.0,0.149
4,0.8076645,0.17807545,0.18084729,0.09845963,100.0,-12.282246,0.505,500.0,0.147
5,0.808551,0.17790234,0.18107979,0.09860157,120.0,-11.901626,0.54499996,600.0,0.14500001
6,0.8093632,0.17767374,0.18129176,0.09874534,140.0,-12.210093,0.48000002,700.0,0.147
7,0.8099927,0.17756529,0.18153708,0.09885445,160.0,-13.331233,0.475,800.0,0.124
8,0.8107478,0.17736886,0.1817409,0.098959595,180.0,-11.103916,0.555,900.0,0.152
9,0.8113462,0.17712562,0.18193458,0.09923675,200.0,-11.2686,0.54,1000.0,0.13299999
10,0.8120159,0.17707078,0.18217647,0.099533945,220.0,-11.605279,0.475,1100.0,0.13599999
11,0.8125218,0.17704374,0.1823097,0.09989987,240.0,-11.782801,0.58500004,1200.0,0.138
12,0.8130854,0.17687409,0.18249394,0.100113645,260.0,-11.826268,0.46999997,1300.0,0.154
13,0.8135257,0.17693992,0.18269102,0.10032865,280.0,-11.818924,0.49,1400.0,0.124
14,0.8141348,0.17676716,0.18292317,0.100674585,300.0,-11.8379,0.55,1500.0,0.122
15,0.81472415,0.17668633,0.18311602,0.10104881,320.0,-11.140093,0.55499995,1600.0,0.132
16,0.8153459,0.17663006,0.18332893,0.10124898,340.0,-11.05374,0.5,1700.0,0.125
17,0.81581247,0.17648299,0.18353142,0.10145674,360.0,-12.89178,0.39,1800.0,0.119
18,0.8163807,0.17651968,0.18373585,0.101675846,380.0,-12.252074,0.48499998,1900.0,0.103
19,0.8168896,0.17630778,0.18396455,0.10182685,400.0,-11.125601,0.53,2000.0,0.12799999
