# {"env_id": "FetchSlide-v1", "t_start": 1572548195.9271066} 
r,l,t
-50.0,50,1.296379
-50.0,50,2.250796
-50.0,50,3.082819
-50.0,50,3.862381
-50.0,50,4.672176
-50.0,50,5.462961
-50.0,50,6.249923
-50.0,50,7.064409
-50.0,50,7.86057
-50.0,50,8.668349
-50.0,50,9.466486
-50.0,50,10.283062
-50.0,50,11.11712
-50.0,50,11.951098
-50.0,50,12.7685
-50.0,50,13.61805
-50.0,50,14.415715
-50.0,50,15.374182
-50.0,50,16.258377
-50.0,50,17.219262
-50.0,50,18.059419
-50.0,50,18.90064
-50.0,50,19.718792
-50.0,50,20.477251
-50.0,50,21.246807
-50.0,50,22.109586
-50.0,50,22.876605
-50.0,50,23.601952
-50.0,50,24.411063
-50.0,50,25.127596
-50.0,50,25.857001
-50.0,50,26.551032
-50.0,50,27.264967
-50.0,50,27.948633
-50.0,50,28.666717
-50.0,50,29.442372
-50.0,50,30.115087
-50.0,50,30.799848
-50.0,50,31.465872
-50.0,50,32.139973
-50.0,50,32.802394
-50.0,50,33.471278
-50.0,50,34.247435
-50.0,50,34.949027
-50.0,50,35.634057
-50.0,50,36.312319
-50.0,50,37.009839
-50.0,50,37.688047
-50.0,50,38.369558
-50.0,50,39.134076
-50.0,50,39.858124
-50.0,50,39.965669
-50.0,50,40.077642
-50.0,50,40.202145
-50.0,50,40.313295
-50.0,50,40.427321
-50.0,50,40.534605
-50.0,50,40.647585
-50.0,50,40.755168
-50.0,50,40.865642
-50.0,50,41.006847
-50.0,50,41.692911
-50.0,50,42.374049
-50.0,50,43.069803
-50.0,50,43.790544
-50.0,50,44.575573
-50.0,50,45.374399
-50.0,50,46.163394
-50.0,50,46.957019
-50.0,50,47.736337
-50.0,50,48.473422
-50.0,50,49.237209
-50.0,50,50.048637
-50.0,50,50.828395
-50.0,50,51.538281
-50.0,50,52.281515
-50.0,50,53.058779
-50.0,50,53.850602
-50.0,50,54.650004
-50.0,50,55.439095
-50.0,50,56.231835
-50.0,50,57.022761
-50.0,50,57.81734
-50.0,50,58.623204
-50.0,50,59.418257
-50.0,50,60.217738
-50.0,50,61.03633
-50.0,50,61.855029
-50.0,50,62.655716
-50.0,50,63.451925
-50.0,50,64.247784
-50.0,50,65.044895
-50.0,50,65.839211
-50.0,50,66.632973
-50.0,50,67.441637
-50.0,50,68.234215
-50.0,50,69.038969
-50.0,50,69.849824
-50.0,50,70.665977
-50.0,50,71.467201
-50.0,50,72.271444
-50.0,50,73.068641
-50.0,50,73.86826
-50.0,50,74.674936
-50.0,50,75.476279
-50.0,50,76.277561
-50.0,50,77.065803
-50.0,50,77.891958
-50.0,50,78.688734
-50.0,50,79.482437
-50.0,50,80.286439
-50.0,50,80.417177
-50.0,50,80.545049
-50.0,50,80.675298
-50.0,50,80.800901
-50.0,50,80.930576
-50.0,50,81.06086
-50.0,50,81.191234
-50.0,50,81.318454
-50.0,50,81.457641
