# {"t_start": 1576248416.5572298, "env_id": "FetchSlideball-v0"} 
r,l,t
-50.0,50,5.140941
-50.0,50,8.065663
-50.0,50,13.278349
-50.0,50,16.642648
-50.0,50,22.268621
-50.0,50,27.631891
-50.0,50,31.841197
-50.0,50,37.648484
-50.0,50,42.622989
-50.0,50,47.018727
-50.0,50,52.860978
-50.0,50,57.476418
-50.0,50,62.113742
-50.0,50,66.714892
-50.0,50,72.504278
-50.0,50,77.542393
-50.0,50,81.743271
-50.0,50,87.574648
-50.0,50,93.392255
-50.0,50,98.001536
-50.0,50,102.72999
-50.0,50,108.612776
-50.0,50,114.457213
-50.0,50,118.486604
-50.0,50,123.658976
-50.0,50,130.57951
-50.0,50,137.146653
-50.0,50,142.418212
-50.0,50,144.964146
-50.0,50,150.320824
-50.0,50,153.259758
-50.0,50,156.024626
-50.0,50,158.693658
-50.0,50,163.071925
-50.0,50,166.373413
-50.0,50,169.874805
-50.0,50,173.129956
-50.0,50,177.656951
-50.0,50,180.975465
-50.0,50,185.905519
-50.0,50,188.29827
-50.0,50,192.294772
-50.0,50,195.145445
-50.0,50,200.214968
-50.0,50,202.592494
-50.0,50,207.538954
-50.0,50,210.091632
-50.0,50,212.661135
-50.0,50,216.000793
-50.0,50,219.795034
-50.0,50,225.906647
-50.0,50,226.707298
-50.0,50,226.964785
-50.0,50,227.224911
-50.0,50,227.508254
-50.0,50,227.809703
-50.0,50,228.096396
-50.0,50,228.384257
-50.0,50,228.672759
-50.0,50,228.96278
-50.0,50,229.44833
-50.0,50,233.729748
-50.0,50,236.873622
-50.0,50,241.304104
-50.0,50,244.922479
-50.0,50,249.645981
-50.0,50,253.28171
-50.0,50,258.372317
-50.0,50,261.054518
-50.0,50,264.491506
-50.0,50,269.06939
-50.0,50,271.913888
-50.0,50,276.421606
-50.0,50,280.36993
-50.0,50,283.037586
-50.0,50,288.029179
-50.0,50,293.333992
-50.0,50,298.290738
-50.0,50,301.316635
-50.0,50,306.205753
-50.0,50,309.526829
-50.0,50,314.670941
-50.0,50,317.745584
-50.0,50,323.589029
-50.0,50,329.126925
-50.0,50,333.394021
-50.0,50,338.588469
-50.0,50,344.304719
-50.0,50,347.308789
-50.0,50,352.552403
-50.0,50,355.322115
-50.0,50,360.32767
-50.0,50,362.858746
-50.0,50,367.039455
-50.0,50,370.048522
-50.0,50,376.977929
-50.0,50,379.770191
-50.0,50,384.91077
-50.0,50,387.652361
-50.0,50,392.006391
-50.0,50,395.738085
-50.0,50,400.78549
-50.0,50,403.619292
-50.0,50,408.781658
-50.0,50,413.806245
-50.0,50,416.929154
-50.0,50,422.039614
-50.0,50,424.611366
-50.0,50,429.827094
-50.0,50,432.697041
-50.0,50,435.466894
-50.0,50,435.748969
-50.0,50,436.020785
-50.0,50,436.280915
-50.0,50,436.559035
-50.0,50,436.821373
-50.0,50,437.079458
-50.0,50,437.327198
-50.0,50,437.57343
-50.0,50,437.846332
-50.0,50,438.187883
-50.0,50,443.307922
-50.0,50,446.020341
-50.0,50,449.829305
-50.0,50,452.598238
-50.0,50,455.343535
-50.0,50,460.531216
-50.0,50,464.403151
-50.0,50,467.725021
-50.0,50,471.699914
-50.0,50,475.612525
-50.0,50,479.067063
-50.0,50,483.457792
-50.0,50,485.931681
-50.0,50,490.876384
-50.0,50,493.532052
-50.0,50,497.521962
-50.0,50,501.323932
-50.0,50,506.262827
-50.0,50,508.657543
-50.0,50,513.042509
-50.0,50,515.925668
-50.0,50,518.410022
-50.0,50,520.792711
-50.0,50,523.490931
-50.0,50,528.056586
-50.0,50,530.463397
-50.0,50,535.41835
-50.0,50,537.860689
-50.0,50,541.900525
-50.0,50,545.249717
-50.0,50,549.408482
-50.0,50,552.669748
-50.0,50,555.83101
-50.0,50,558.875896
-50.0,50,561.354402
-50.0,50,563.82355
-50.0,50,568.641033
-50.0,50,571.012397
-50.0,50,573.638068
-50.0,50,578.455291
-50.0,50,580.857542
-50.0,50,583.273854
-50.0,50,586.154755
-50.0,50,591.806481
-50.0,50,594.183945
-50.0,50,597.930755
-50.0,50,600.376195
-50.0,50,604.166596
-50.0,50,606.554407
-50.0,50,611.509754
-50.0,50,611.737245
-50.0,50,612.043692
-50.0,50,612.321838
-50.0,50,612.595052
-50.0,50,612.884251
-50.0,50,613.168077
-50.0,50,613.444076
-50.0,50,613.720516
-50.0,50,613.995624
-50.0,50,614.364901
-50.0,50,619.763681
-50.0,50,622.245036
-50.0,50,626.043741
-50.0,50,628.802369
-50.0,50,632.5998
-50.0,50,637.501882
-50.0,50,640.242229
-50.0,50,644.115428
-50.0,50,646.585372
-50.0,50,649.290581
-50.0,50,655.186336
-50.0,50,658.66905
-50.0,50,664.360878
-50.0,50,667.393364
-50.0,50,672.278323
-50.0,50,674.746702
-50.0,50,679.620542
-50.0,50,681.985636
-50.0,50,685.702739
-50.0,50,688.181476
-50.0,50,693.798285
-50.0,50,696.658363
-50.0,50,700.420313
-50.0,50,703.940634
-50.0,50,706.95191
-50.0,50,709.737975
-50.0,50,712.299392
-50.0,50,716.374182
-50.0,50,718.841655
-50.0,50,721.279537
-50.0,50,724.058742
-50.0,50,727.821323
-50.0,50,730.238593
-50.0,50,732.669022
-50.0,50,735.735799
-50.0,50,739.299184
-50.0,50,743.167635
-50.0,50,745.917859
-50.0,50,750.076254
-50.0,50,752.457228
-50.0,50,757.548831
-50.0,50,760.423065
-50.0,50,763.652555
-50.0,50,767.784025
-50.0,50,770.179808
-50.0,50,772.569246
-50.0,50,775.592708
-50.0,50,780.24727
-50.0,50,784.154475
-50.0,50,786.892766
-50.0,50,787.13572
-50.0,50,787.375599
-50.0,50,787.63293
-50.0,50,788.124602
-50.0,50,788.674771
-50.0,50,789.487659
-50.0,50,790.361851
-50.0,50,790.87028
-50.0,50,791.093288
