# {"env_id": "FetchSlideball-v0", "t_start": 1576248416.9322338} 
r,l,t
-50.0,50,4.804538
-50.0,50,7.705654
-50.0,50,12.88121
-50.0,50,16.261234
-50.0,50,21.879167
-50.0,50,27.238014
-50.0,50,31.463353
-50.0,50,37.272211
-50.0,50,42.268457
-50.0,50,46.623352
-50.0,50,52.451322
-50.0,50,57.191901
-50.0,50,61.73308
-50.0,50,66.348757
-50.0,50,72.145128
-50.0,50,77.23249
-50.0,50,81.380787
-50.0,50,87.193833
-50.0,50,93.027225
-50.0,50,97.612014
-50.0,50,102.343481
-50.0,50,108.245511
-50.0,50,114.084756
-50.0,50,118.171536
-50.0,50,123.256263
-50.0,50,130.208864
-50.0,50,136.961536
-50.0,50,142.060992
-50.0,50,144.595163
-50.0,50,149.932509
-50.0,50,152.895365
-50.0,50,155.624514
-50.0,50,158.333546
-50.0,50,162.729997
-50.0,50,165.969795
-50.0,50,169.517845
-50.0,50,172.754196
-50.0,50,177.331096
-50.0,50,180.59499
-50.0,50,185.521481
-50.0,50,187.923167
-50.0,50,191.884717
-50.0,50,194.743891
-50.0,50,199.840198
-50.0,50,202.226526
-50.0,50,207.143156
-50.0,50,209.723817
-50.0,50,212.285201
-50.0,50,215.620254
-50.0,50,219.413556
-50.0,50,225.500586
-50.0,50,226.364659
-50.0,50,226.610112
-50.0,50,226.874529
-50.0,50,227.116276
-50.0,50,227.399265
-50.0,50,227.674707
-50.0,50,227.958998
-50.0,50,228.258924
-50.0,50,228.532579
-50.0,50,229.060813
-50.0,50,233.429763
-50.0,50,236.515879
-50.0,50,240.909848
-50.0,50,244.583827
-50.0,50,249.310788
-50.0,50,252.96453
-50.0,50,257.976654
-50.0,50,260.717034
-50.0,50,264.119677
-50.0,50,268.707187
-50.0,50,271.554808
-50.0,50,276.052954
-50.0,50,279.995471
-50.0,50,282.676324
-50.0,50,287.737713
-50.0,50,292.925247
-50.0,50,298.036987
-50.0,50,300.960653
-50.0,50,305.762188
-50.0,50,309.166023
-50.0,50,314.309536
-50.0,50,317.362151
-50.0,50,323.198763
-50.0,50,328.778321
-50.0,50,333.022013
-50.0,50,338.19982
-50.0,50,343.943151
-50.0,50,346.937578
-50.0,50,352.178531
-50.0,50,354.914287
-50.0,50,359.887267
-50.0,50,362.493816
-50.0,50,366.654045
-50.0,50,369.66097
-50.0,50,376.59059
-50.0,50,379.390942
-50.0,50,384.508355
-50.0,50,387.251546
-50.0,50,391.694238
-50.0,50,395.338948
-50.0,50,400.416982
-50.0,50,403.251144
-50.0,50,408.403087
-50.0,50,413.381985
-50.0,50,416.54432
-50.0,50,421.68328
-50.0,50,424.22571
-50.0,50,429.431453
-50.0,50,432.325656
-50.0,50,435.096744
-50.0,50,435.351714
-50.0,50,435.639516
-50.0,50,435.92156
-50.0,50,436.193716
-50.0,50,436.466691
-50.0,50,436.719394
-50.0,50,436.958489
-50.0,50,437.208277
-50.0,50,437.490387
-50.0,50,437.803723
-50.0,50,442.947033
-50.0,50,445.648335
-50.0,50,449.44531
-50.0,50,452.221228
-50.0,50,454.970894
-50.0,50,460.206406
-50.0,50,464.01869
-50.0,50,467.352897
-50.0,50,471.291595
-50.0,50,475.243557
-50.0,50,478.711032
-50.0,50,483.094382
-50.0,50,485.576683
-50.0,50,490.499887
-50.0,50,493.168651
-50.0,50,497.162079
-50.0,50,500.828452
-50.0,50,505.872398
-50.0,50,508.288195
-50.0,50,512.70489
-50.0,50,515.534827
-50.0,50,518.014826
-50.0,50,520.419742
-50.0,50,523.094939
-50.0,50,527.670394
-50.0,50,530.098488
-50.0,50,535.037038
-50.0,50,537.474997
-50.0,50,541.489157
-50.0,50,544.880701
-50.0,50,549.133801
-50.0,50,552.269332
-50.0,50,555.45555
-50.0,50,558.508679
-50.0,50,560.978017
-50.0,50,563.439835
-50.0,50,568.24644
-50.0,50,570.630244
-50.0,50,573.242011
-50.0,50,578.068516
-50.0,50,580.493026
-50.0,50,582.914978
-50.0,50,585.812319
-50.0,50,591.416078
-50.0,50,593.826564
-50.0,50,597.553262
-50.0,50,599.983399
-50.0,50,603.758343
-50.0,50,606.168998
-50.0,50,611.158239
-50.0,50,611.397796
-50.0,50,611.672602
-50.0,50,611.957764
-50.0,50,612.26753
-50.0,50,612.560289
-50.0,50,612.842319
-50.0,50,613.108814
-50.0,50,613.370812
-50.0,50,613.641073
-50.0,50,613.953154
-50.0,50,619.403615
-50.0,50,621.855343
-50.0,50,625.677538
-50.0,50,628.418259
-50.0,50,632.200575
-50.0,50,637.155442
-50.0,50,639.888977
-50.0,50,643.726481
-50.0,50,646.225132
-50.0,50,648.903685
-50.0,50,654.799494
-50.0,50,658.2894
-50.0,50,664.025466
-50.0,50,667.042704
-50.0,50,671.904723
-50.0,50,674.363469
-50.0,50,679.225963
-50.0,50,681.612807
-50.0,50,685.321214
-50.0,50,687.820744
-50.0,50,693.422318
-50.0,50,696.235661
-50.0,50,700.041185
-50.0,50,703.62119
-50.0,50,706.583915
-50.0,50,709.364181
-50.0,50,711.941805
-50.0,50,716.037452
-50.0,50,718.466156
-50.0,50,720.898241
-50.0,50,723.621113
-50.0,50,727.414999
-50.0,50,729.859296
-50.0,50,732.291562
-50.0,50,735.292523
-50.0,50,738.876727
