# {"t_start": 1576248416.4289937, "env_id": "FetchSlideball-v0"} 
r,l,t
-50.0,50,5.236654
-50.0,50,8.219715
-50.0,50,13.390683
-50.0,50,16.752973
-50.0,50,22.405259
-50.0,50,27.776217
-50.0,50,31.977185
-50.0,50,37.777249
-50.0,50,42.797126
-50.0,50,47.142016
-50.0,50,52.980297
-50.0,50,57.708244
-50.0,50,62.232356
-50.0,50,66.855346
-50.0,50,72.614916
-50.0,50,77.727854
-50.0,50,81.868841
-50.0,50,87.722415
-50.0,50,93.542535
-50.0,50,98.159971
-50.0,50,102.889556
-50.0,50,108.72834
-50.0,50,114.545355
-50.0,50,118.66645
-50.0,50,123.765416
-50.0,50,130.768726
-50.0,50,137.478575
-50.0,50,142.561216
-50.0,50,145.073387
-50.0,50,150.457967
-50.0,50,153.388764
-50.0,50,156.158091
-50.0,50,158.815906
-50.0,50,163.258519
-50.0,50,166.492791
-50.0,50,169.961673
-50.0,50,173.273526
-50.0,50,177.784907
-50.0,50,181.124601
-50.0,50,186.05291
-50.0,50,188.451035
-50.0,50,192.410144
-50.0,50,195.254828
-50.0,50,200.334417
-50.0,50,202.733056
-50.0,50,207.632945
-50.0,50,210.225808
-50.0,50,212.79638
-50.0,50,216.134209
-50.0,50,219.920649
-50.0,50,226.028089
-50.0,50,226.868429
-50.0,50,227.153732
-50.0,50,227.438969
-50.0,50,227.698101
-50.0,50,227.969559
-50.0,50,228.276909
-50.0,50,228.582497
-50.0,50,228.880587
-50.0,50,229.123003
-50.0,50,229.573608
-50.0,50,233.821547
-50.0,50,237.00382
-50.0,50,241.466779
-50.0,50,245.061888
-50.0,50,249.770242
-50.0,50,253.438233
-50.0,50,258.490745
-50.0,50,261.213996
-50.0,50,264.677092
-50.0,50,269.179963
-50.0,50,272.119946
-50.0,50,276.551092
-50.0,50,280.49311
-50.0,50,283.160024
-50.0,50,288.321503
-50.0,50,293.441088
-50.0,50,298.48395
-50.0,50,301.449492
-50.0,50,306.265179
-50.0,50,309.636375
-50.0,50,314.814458
-50.0,50,317.865145
-50.0,50,323.692158
-50.0,50,329.251288
-50.0,50,333.505247
-50.0,50,338.676401
-50.0,50,344.448585
-50.0,50,347.44171
-50.0,50,352.688177
-50.0,50,355.42708
-50.0,50,360.430293
-50.0,50,362.986525
-50.0,50,367.147525
-50.0,50,370.167853
-50.0,50,377.095354
-50.0,50,379.882688
-50.0,50,385.048862
-50.0,50,387.771596
-50.0,50,392.128128
-50.0,50,395.863114
-50.0,50,400.935554
-50.0,50,403.766886
-50.0,50,408.923818
-50.0,50,413.927958
-50.0,50,417.036471
-50.0,50,422.154912
-50.0,50,424.746844
-50.0,50,429.862583
-50.0,50,432.81259
-50.0,50,435.619507
-50.0,50,435.932876
-50.0,50,436.199597
-50.0,50,436.465452
-50.0,50,436.728463
-50.0,50,436.987927
-50.0,50,437.230946
-50.0,50,437.48046
-50.0,50,437.72574
-50.0,50,437.990171
-50.0,50,438.342266
-50.0,50,443.448392
-50.0,50,446.142144
-50.0,50,449.969108
-50.0,50,452.734527
-50.0,50,455.452253
-50.0,50,460.629403
-50.0,50,464.531597
-50.0,50,467.797348
-50.0,50,471.830197
-50.0,50,475.776916
-50.0,50,479.392753
-50.0,50,483.582387
-50.0,50,486.057048
-50.0,50,491.009114
-50.0,50,493.657284
-50.0,50,497.657015
-50.0,50,501.392498
-50.0,50,506.364793
-50.0,50,508.806953
-50.0,50,513.179832
-50.0,50,516.030093
-50.0,50,518.520946
-50.0,50,520.908934
-50.0,50,523.60079
-50.0,50,528.17683
-50.0,50,530.607202
-50.0,50,535.528676
-50.0,50,537.97124
-50.0,50,542.030647
-50.0,50,545.362016
-50.0,50,549.730959
-50.0,50,552.76635
-50.0,50,556.023258
-50.0,50,559.013102
-50.0,50,561.49496
-50.0,50,563.970047
-50.0,50,568.766725
-50.0,50,571.162604
-50.0,50,573.748017
-50.0,50,578.618401
-50.0,50,580.977462
-50.0,50,583.418901
-50.0,50,586.332861
-50.0,50,591.930601
-50.0,50,594.346326
-50.0,50,598.072227
-50.0,50,600.513601
-50.0,50,604.279608
-50.0,50,606.696996
-50.0,50,611.653888
-50.0,50,611.885817
-50.0,50,612.169384
-50.0,50,612.455511
-50.0,50,612.736714
-50.0,50,613.048898
-50.0,50,613.319838
-50.0,50,613.585837
-50.0,50,613.85917
-50.0,50,614.140264
-50.0,50,614.471859
-50.0,50,619.889653
-50.0,50,622.364963
-50.0,50,626.229027
-50.0,50,628.93389
-50.0,50,632.787031
-50.0,50,637.625778
-50.0,50,640.365897
-50.0,50,644.237917
-50.0,50,646.702408
-50.0,50,649.428222
-50.0,50,655.299245
-50.0,50,658.792334
-50.0,50,664.49033
-50.0,50,667.528821
-50.0,50,672.36268
-50.0,50,674.865105
-50.0,50,679.720805
-50.0,50,682.104397
-50.0,50,685.832783
-50.0,50,688.320426
-50.0,50,693.924549
-50.0,50,696.736777
-50.0,50,700.550075
-50.0,50,704.145159
-50.0,50,707.090072
-50.0,50,709.876457
-50.0,50,712.438031
-50.0,50,716.541219
-50.0,50,718.969626
-50.0,50,721.383216
-50.0,50,724.17118
-50.0,50,727.953084
-50.0,50,730.35017
-50.0,50,732.786538
-50.0,50,735.907198
-50.0,50,739.422178
-50.0,50,743.322343
