# {"t_start": 1576248417.901837, "env_id": "FetchSlideball-v0"} 
r,l,t
-50.0,50,3.813449
-50.0,50,6.71485
-50.0,50,11.940575
-50.0,50,15.297015
-50.0,50,20.958862
-50.0,50,26.26892
-50.0,50,30.505269
-50.0,50,36.318056
-50.0,50,41.26902
-50.0,50,45.658169
-50.0,50,51.491268
-50.0,50,56.181625
-50.0,50,60.74846
-50.0,50,65.383718
-50.0,50,71.150597
-50.0,50,76.271685
-50.0,50,80.399116
-50.0,50,86.259958
-50.0,50,92.084344
-50.0,50,96.694519
-50.0,50,101.364835
-50.0,50,107.266731
-50.0,50,113.048436
-50.0,50,117.228444
-50.0,50,122.308403
-50.0,50,129.300533
-50.0,50,135.954896
-50.0,50,141.062956
-50.0,50,143.621722
-50.0,50,148.966394
-50.0,50,151.912325
-50.0,50,154.665582
-50.0,50,157.36383
-50.0,50,161.702649
-50.0,50,165.032138
-50.0,50,168.508303
-50.0,50,171.81542
-50.0,50,176.284006
-50.0,50,179.647695
-50.0,50,184.554855
-50.0,50,186.965327
-50.0,50,190.902765
-50.0,50,193.7975
-50.0,50,198.871763
-50.0,50,201.254123
-50.0,50,206.14898
-50.0,50,208.754287
-50.0,50,211.314081
-50.0,50,214.676226
-50.0,50,218.441647
-50.0,50,224.463524
-50.0,50,225.310364
-50.0,50,225.603992
-50.0,50,225.856328
-50.0,50,226.124561
-50.0,50,226.382419
-50.0,50,226.689376
-50.0,50,226.974832
-50.0,50,227.244366
-50.0,50,227.530421
-50.0,50,228.106815
-50.0,50,232.459838
-50.0,50,235.538904
-50.0,50,239.92556
-50.0,50,243.600397
-50.0,50,248.318859
-50.0,50,251.966743
-50.0,50,257.008093
-50.0,50,259.734608
-50.0,50,263.20574
-50.0,50,267.715974
-50.0,50,270.539536
-50.0,50,275.071146
-50.0,50,279.013308
-50.0,50,281.700833
-50.0,50,287.104614
-50.0,50,291.967702
-50.0,50,297.03714
-50.0,50,299.978024
-50.0,50,304.816987
-50.0,50,308.199244
-50.0,50,313.339067
-50.0,50,316.407758
-50.0,50,322.217768
-50.0,50,327.79518
-50.0,50,332.053029
-50.0,50,337.223145
-50.0,50,342.969056
-50.0,50,345.962073
-50.0,50,351.188845
-50.0,50,353.941433
-50.0,50,359.00036
-50.0,50,361.530381
-50.0,50,365.683761
-50.0,50,368.68889
-50.0,50,375.608564
-50.0,50,378.434678
-50.0,50,383.538715
-50.0,50,386.29232
-50.0,50,390.684943
-50.0,50,394.393064
-50.0,50,399.459766
-50.0,50,402.27142
-50.0,50,407.424633
-50.0,50,412.414653
-50.0,50,415.588056
-50.0,50,420.693659
-50.0,50,423.267526
-50.0,50,428.398016
-50.0,50,431.329347
-50.0,50,434.120622
-50.0,50,434.407461
-50.0,50,434.6904
-50.0,50,434.966616
-50.0,50,435.238146
-50.0,50,435.487077
-50.0,50,435.746252
-50.0,50,436.00649
-50.0,50,436.253087
-50.0,50,436.519387
-50.0,50,436.855327
-50.0,50,441.976624
-50.0,50,444.682408
-50.0,50,448.478964
-50.0,50,451.268607
-50.0,50,453.989643
-50.0,50,459.174203
-50.0,50,463.055088
-50.0,50,466.422348
-50.0,50,470.338956
-50.0,50,474.287985
-50.0,50,477.815603
-50.0,50,482.117658
-50.0,50,484.612968
-50.0,50,489.541322
-50.0,50,492.184275
-50.0,50,496.191546
-50.0,50,499.901665
-50.0,50,504.89936
-50.0,50,507.300843
-50.0,50,511.686222
-50.0,50,514.594716
-50.0,50,517.053188
-50.0,50,519.442886
-50.0,50,522.179979
-50.0,50,526.715741
-50.0,50,529.134015
-50.0,50,534.082145
-50.0,50,536.492301
-50.0,50,540.553416
-50.0,50,543.892998
-50.0,50,548.159002
-50.0,50,551.318602
-50.0,50,554.424587
-50.0,50,557.550045
-50.0,50,560.012512
-50.0,50,562.489086
-50.0,50,567.294092
-50.0,50,569.663749
-50.0,50,572.278636
-50.0,50,577.147024
-50.0,50,579.500836
-50.0,50,581.913298
-50.0,50,584.918929
-50.0,50,590.435571
-50.0,50,592.863077
-50.0,50,596.592183
-50.0,50,599.032155
-50.0,50,602.806905
-50.0,50,605.215404
-50.0,50,610.155257
-50.0,50,610.410598
-50.0,50,610.693991
-50.0,50,610.977431
-50.0,50,611.260257
-50.0,50,611.570146
-50.0,50,611.841538
-50.0,50,612.11129
-50.0,50,612.398585
-50.0,50,612.661379
-50.0,50,612.987473
-50.0,50,618.433847
-50.0,50,620.900358
-50.0,50,624.754955
-50.0,50,627.45524
-50.0,50,631.353872
-50.0,50,636.158219
-50.0,50,638.905406
-50.0,50,642.757439
-50.0,50,645.244332
-50.0,50,647.947124
-50.0,50,653.849153
-50.0,50,657.340468
-50.0,50,663.057222
-50.0,50,666.06281
-50.0,50,670.895657
-50.0,50,673.439411
-50.0,50,678.22211
-50.0,50,680.636331
-50.0,50,684.361854
-50.0,50,686.859297
-50.0,50,692.444767
-50.0,50,695.270508
-50.0,50,699.069713
-50.0,50,702.7589
-50.0,50,705.612916
-50.0,50,708.389413
-50.0,50,710.992768
-50.0,50,715.019386
-50.0,50,717.482877
-50.0,50,719.956889
-50.0,50,722.681829
-50.0,50,726.455335
-50.0,50,728.863747
-50.0,50,731.30796
-50.0,50,734.511281
-50.0,50,737.930171
-50.0,50,741.678901
-50.0,50,744.58268
-50.0,50,748.718214
-50.0,50,751.099895
-50.0,50,756.234672
-50.0,50,759.119133
-50.0,50,762.311708
-50.0,50,766.411909
-50.0,50,768.858393
-50.0,50,771.222622
-50.0,50,774.282437
-50.0,50,778.894602
-50.0,50,782.919581
-50.0,50,785.547114
-50.0,50,785.771419
-50.0,50,786.025666
-50.0,50,786.278508
-50.0,50,786.72031
-50.0,50,787.228505
-50.0,50,787.991539
-50.0,50,788.823081
-50.0,50,789.467951
-50.0,50,789.703858
