# {"env_id": "FetchSlideball-v1", "t_start": 1576824210.2686048} 
r,l,t
-50.0,50,5.592029
-50.0,50,8.099832
-50.0,50,10.44407
-50.0,50,12.850622
-50.0,50,15.596662
-50.0,50,17.976099
-50.0,50,20.260575
-50.0,50,22.567079
-50.0,50,24.882792
-50.0,50,27.188179
-50.0,50,29.474354
-50.0,50,31.788286
-50.0,50,34.067069
-50.0,50,36.393748
-50.0,50,38.702104
-50.0,50,41.049872
-50.0,50,43.342695
-50.0,50,45.753772
-50.0,50,48.103816
-50.0,50,50.477037
-50.0,50,52.800648
-50.0,50,55.186618
-50.0,50,57.642015
-50.0,50,60.056544
-50.0,50,62.357
-50.0,50,64.660034
-50.0,50,67.003215
-50.0,50,69.329811
-50.0,50,72.716501
-50.0,50,76.268947
-50.0,50,78.931131
-50.0,50,81.608173
-50.0,50,84.270496
-50.0,50,86.887538
-50.0,50,89.554303
-50.0,50,92.207347
-50.0,50,94.891036
-50.0,50,97.573435
-50.0,50,100.214267
-50.0,50,102.907648
-50.0,50,105.579957
-50.0,50,108.271706
-50.0,50,110.947474
-50.0,50,113.637912
-50.0,50,116.311785
-50.0,50,118.979294
-50.0,50,121.650585
-50.0,50,124.333206
-50.0,50,126.938986
-50.0,50,129.665358
-50.0,50,132.405801
-50.0,50,132.82966
-50.0,50,133.25508
-50.0,50,133.664748
-50.0,50,134.09128
-50.0,50,134.559425
-50.0,50,135.01251
-50.0,50,135.43525
-50.0,50,135.869376
-50.0,50,136.30701
-50.0,50,136.952352
-50.0,50,139.611159
-50.0,50,142.342353
-50.0,50,145.107772
-50.0,50,147.815663
-50.0,50,150.496447
-50.0,50,153.208089
-50.0,50,155.908382
-50.0,50,158.594539
-50.0,50,161.313112
-50.0,50,163.931787
-50.0,50,166.601535
-50.0,50,169.338455
-50.0,50,172.055562
-50.0,50,174.627867
-50.0,50,177.378292
-50.0,50,180.053127
-50.0,50,182.790076
-50.0,50,185.430392
-50.0,50,188.115275
-50.0,50,190.771073
-50.0,50,193.476172
-50.0,50,196.149621
-50.0,50,198.958605
-50.0,50,201.646463
-50.0,50,204.317208
-50.0,50,206.944584
-50.0,50,209.517652
-50.0,50,212.217268
-50.0,50,214.848312
-50.0,50,217.469831
-50.0,50,220.22624
-50.0,50,222.892219
-50.0,50,225.57111
-50.0,50,228.185948
-50.0,50,230.917758
-50.0,50,233.614165
-50.0,50,236.276975
-50.0,50,238.952257
-50.0,50,241.547002
-50.0,50,244.221239
-50.0,50,246.872997
-50.0,50,249.535187
-50.0,50,252.241328
-50.0,50,254.857562
-50.0,50,257.528123
-50.0,50,260.211715
-50.0,50,262.907176
-50.0,50,265.592541
-50.0,50,268.290274
-50.0,50,270.958298
-50.0,50,271.379011
-50.0,50,271.788452
-50.0,50,272.198978
-50.0,50,272.670703
-50.0,50,273.107586
-50.0,50,273.557076
-50.0,50,273.962691
-50.0,50,274.392285
-50.0,50,274.79689
-50.0,50,275.270582
-50.0,50,277.96618
-50.0,50,280.575138
-50.0,50,283.255389
-50.0,50,285.938707
-50.0,50,288.622749
-50.0,50,291.315967
-50.0,50,293.96625
-50.0,50,296.645072
-50.0,50,299.26688
-50.0,50,301.940582
-50.0,50,304.626702
-50.0,50,307.305148
-50.0,50,310.042664
-50.0,50,312.846257
-50.0,50,315.57691
-50.0,50,318.333039
-50.0,50,321.034029
-50.0,50,323.707726
-50.0,50,326.524449
-50.0,50,329.247921
-50.0,50,331.963442
-50.0,50,334.648787
-50.0,50,337.466957
-50.0,50,340.206706
-50.0,50,342.882326
-50.0,50,345.565953
-50.0,50,348.392094
-50.0,50,351.092125
-50.0,50,353.794911
-50.0,50,356.432705
-50.0,50,359.178071
-50.0,50,361.842178
-50.0,50,364.515441
-50.0,50,367.181508
-50.0,50,369.870951
-50.0,50,372.503358
-50.0,50,375.179205
-50.0,50,377.894396
-44.0,50,380.58304
-50.0,50,383.239541
-50.0,50,385.940991
-50.0,50,388.605294
-50.0,50,391.296875
-50.0,50,393.95981
-50.0,50,396.625062
-50.0,50,399.281565
-50.0,50,401.938955
-50.0,50,404.641258
-50.0,50,407.248835
-50.0,50,409.942938
-50.0,50,410.367167
-50.0,50,410.774674
-50.0,50,411.192135
-50.0,50,411.63549
-50.0,50,412.073336
-50.0,50,412.528376
-50.0,50,412.967909
-50.0,50,413.369413
-50.0,50,413.776337
-50.0,50,414.25897
-50.0,50,416.97789
-50.0,50,419.660885
-50.0,50,422.297485
-50.0,50,424.965113
-50.0,50,427.616641
-50.0,50,430.259876
