# {"t_start": 1576824212.0152335, "env_id": "FetchSlideball-v1"} 
r,l,t
-50.0,50,3.861901
-50.0,50,6.39613
-50.0,50,8.681273
-50.0,50,11.147398
-50.0,50,13.795718
-50.0,50,16.238887
-50.0,50,18.51253
-50.0,50,20.833274
-50.0,50,23.121598
-50.0,50,25.435206
-50.0,50,27.760258
-50.0,50,30.034255
-50.0,50,32.322405
-50.0,50,34.66491
-50.0,50,36.963562
-50.0,50,39.295938
-50.0,50,41.633852
-50.0,50,43.921265
-50.0,50,46.327582
-50.0,50,48.725514
-50.0,50,51.06928
-50.0,50,53.471188
-50.0,50,55.890442
-50.0,50,58.300487
-50.0,50,60.594763
-50.0,50,62.940601
-50.0,50,65.27811
-50.0,50,67.550249
-50.0,50,71.011753
-50.0,50,74.49992
-50.0,50,77.199997
-50.0,50,79.881037
-50.0,50,82.514045
-50.0,50,85.170124
-50.0,50,87.817698
-50.0,50,90.45517
-50.0,50,93.144285
-50.0,50,95.834066
-50.0,50,98.469985
-50.0,50,101.163591
-50.0,50,103.863247
-50.0,50,106.516312
-50.0,50,109.167584
-50.0,50,111.857926
-50.0,50,114.555464
-50.0,50,117.245361
-50.0,50,119.910476
-50.0,50,122.588997
-50.0,50,125.234997
-50.0,50,127.928331
-50.0,50,130.67605
-50.0,50,131.115267
-50.0,50,131.529261
-50.0,50,131.948742
-50.0,50,132.38655
-50.0,50,132.848842
-50.0,50,133.296217
-50.0,50,133.693545
-50.0,50,134.157474
-50.0,50,134.582972
-50.0,50,135.173154
-50.0,50,137.916937
-50.0,50,140.571743
-50.0,50,143.312218
-50.0,50,146.050729
-50.0,50,148.731824
-22.0,50,151.516937
-50.0,50,154.160608
-50.0,50,156.847807
-50.0,50,159.554661
-50.0,50,162.198245
-50.0,50,164.912186
-50.0,50,167.576577
-50.0,50,170.28873
-50.0,50,172.921673
-50.0,50,175.631878
-50.0,50,178.321815
-50.0,50,181.027206
-50.0,50,183.727161
-50.0,50,186.367411
