# {"t_start": 1580485714.2294257, "env_id": "FetchSlideball-v3"} 
r,l,t
-50.0,50,11.768904
-50.0,50,17.088294
-50.0,50,19.690374
-50.0,50,22.317112
-50.0,50,24.842618
-50.0,50,27.418967
-50.0,50,30.071811
-50.0,50,32.644159
-50.0,50,35.31463
-50.0,50,37.818523
-50.0,50,40.483021
-50.0,50,43.06402
-50.0,50,45.666468
-50.0,50,48.293615
-50.0,50,50.826155
-50.0,50,53.508528
-50.0,50,56.235876
-50.0,50,58.960907
-50.0,50,61.647208
-50.0,50,64.237421
-50.0,50,69.100867
-50.0,50,71.969854
-50.0,50,74.491061
-50.0,50,77.142957
-50.0,50,79.682233
-50.0,50,83.624655
-50.0,50,87.470998
-50.0,50,90.07878
-50.0,50,94.004346
-50.0,50,96.602627
-50.0,50,99.195348
-50.0,50,101.777312
-50.0,50,104.398556
-50.0,50,107.045953
-50.0,50,109.629705
-50.0,50,112.313399
-50.0,50,114.894058
-50.0,50,117.491559
-50.0,50,121.94036
-50.0,50,125.245828
-50.0,50,127.870655
-50.0,50,130.439593
-50.0,50,133.107975
-50.0,50,135.694097
-50.0,50,138.316061
-50.0,50,143.386516
-50.0,50,147.296613
-50.0,50,150.256305
-50.0,50,154.919067
-50.0,50,157.493086
-50.0,50,161.274266
-50.0,50,161.719973
-50.0,50,162.150066
-50.0,50,162.565118
-50.0,50,163.00635
-50.0,50,163.450764
-50.0,50,163.90743
-50.0,50,164.331055
-50.0,50,164.768704
-50.0,50,166.049363
-50.0,50,167.848835
-50.0,50,171.078212
-50.0,50,173.740138
-50.0,50,176.33654
-50.0,50,179.018944
-50.0,50,181.603554
-50.0,50,184.24911
-50.0,50,186.876798
-50.0,50,189.489374
-50.0,50,192.073312
-50.0,50,197.025035
-50.0,50,199.660371
-50.0,50,202.250046
-50.0,50,204.84448
-50.0,50,207.505014
-50.0,50,210.120771
-50.0,50,212.756779
-50.0,50,215.343802
-50.0,50,217.968378
-50.0,50,220.543431
-50.0,50,223.175848
-50.0,50,225.785691
-50.0,50,228.393458
-50.0,50,231.496055
-50.0,50,236.086446
-50.0,50,238.779309
-50.0,50,241.435826
-50.0,50,244.140685
-50.0,50,246.801274
-50.0,50,249.451133
-50.0,50,252.091007
-50.0,50,257.0911
-50.0,50,259.778111
-50.0,50,262.416453
-50.0,50,266.433461
-50.0,50,269.144173
-50.0,50,272.53291
-50.0,50,277.189101
-50.0,50,280.077139
-50.0,50,284.073826
-50.0,50,286.94621
-50.0,50,290.186915
-50.0,50,293.508037
-50.0,50,296.659139
-50.0,50,301.976913
-50.0,50,304.668718
-50.0,50,307.954521
-50.0,50,311.195711
-50.0,50,316.091431
-50.0,50,321.985914
-50.0,50,328.505892
-50.0,50,329.115318
-50.0,50,329.750721
-50.0,50,330.276838
-50.0,50,330.929889
-50.0,50,331.585368
-50.0,50,332.22788
-50.0,50,333.952688
-50.0,50,336.005759
-50.0,50,336.930003
-50.0,50,337.746997
-50.0,50,344.175229
-50.0,50,348.26002
-50.0,50,352.497735
-50.0,50,358.133113
-50.0,50,362.696002
