# {"env_id": "FetchSlideball-v3", "t_start": 1580485718.6906185} 
r,l,t
-50.0,50,7.256512
-50.0,50,12.633907
-50.0,50,15.231144
-50.0,50,17.819943
-50.0,50,20.400975
-50.0,50,22.957705
-50.0,50,25.529278
-50.0,50,28.224934
-50.0,50,30.823955
-50.0,50,33.384089
-50.0,50,36.041771
-50.0,50,38.632488
-50.0,50,41.183789
-50.0,50,43.806957
-50.0,50,46.333473
-50.0,50,49.054974
-50.0,50,51.812758
-50.0,50,54.475248
-50.0,50,57.172364
-50.0,50,59.777274
-50.0,50,64.653122
-50.0,50,67.505552
-50.0,50,70.021583
-50.0,50,72.672446
-50.0,50,75.249751
-50.0,50,79.104013
-50.0,50,82.995013
-50.0,50,85.62318
-50.0,50,89.526388
-50.0,50,92.129423
-50.0,50,94.72948
-50.0,50,97.302572
-50.0,50,99.945163
-50.0,50,102.560284
-50.0,50,105.177499
-50.0,50,107.839201
-50.0,50,110.446326
-50.0,50,113.024332
-50.0,50,117.280968
-50.0,50,120.77914
-50.0,50,123.395924
-50.0,50,125.996485
-50.0,50,128.620725
-50.0,50,131.281332
-50.0,50,133.860868
-50.0,50,138.861999
-50.0,50,142.837031
-50.0,50,145.992369
-50.0,50,150.465102
-50.0,50,153.000529
-50.0,50,156.825038
-50.0,50,157.25823
-50.0,50,157.679161
-50.0,50,158.124908
-50.0,50,158.563079
-50.0,50,158.984838
-50.0,50,159.433379
-50.0,50,159.895583
-50.0,50,160.314879
-50.0,50,161.643356
-50.0,50,163.274967
-50.0,50,166.631186
-50.0,50,169.285955
-50.0,50,171.875331
-50.0,50,174.546654
-50.0,50,177.168839
-50.0,50,179.757753
-50.0,50,182.418205
-50.0,50,184.999887
-50.0,50,187.630376
-50.0,50,192.538625
-50.0,50,195.178045
-50.0,50,197.81127
-50.0,50,200.40629
-50.0,50,203.053627
-50.0,50,205.675014
-50.0,50,208.286253
-50.0,50,210.861845
-50.0,50,213.493095
-50.0,50,216.082543
-50.0,50,218.697595
-50.0,50,221.297404
-50.0,50,223.912846
-50.0,50,226.925908
-50.0,50,231.6157
-50.0,50,234.32098
-50.0,50,237.011268
-50.0,50,239.689086
-50.0,50,242.360415
-50.0,50,244.982822
-50.0,50,247.645535
-50.0,50,252.63527
-50.0,50,255.303223
-50.0,50,257.95068
-50.0,50,261.935434
-50.0,50,264.66669
-50.0,50,268.087037
-50.0,50,272.723662
-50.0,50,275.610725
-50.0,50,279.643734
-50.0,50,282.450491
-50.0,50,285.697638
-50.0,50,289.05662
-50.0,50,292.201841
-50.0,50,297.512293
-50.0,50,300.212758
-50.0,50,303.359975
-50.0,50,306.783545
-50.0,50,311.726856
-50.0,50,317.458868
-50.0,50,324.067325
-50.0,50,324.663814
-50.0,50,325.319982
-50.0,50,325.908842
-50.0,50,326.541133
-50.0,50,327.181509
-50.0,50,327.771666
-50.0,50,329.484684
-50.0,50,331.560731
-50.0,50,332.495657
-50.0,50,333.319717
-50.0,50,339.673741
-50.0,50,344.160204
-50.0,50,348.026699
-50.0,50,353.658802
-50.0,50,358.123732
-50.0,50,362.864815
-50.0,50,367.443784
-50.0,50,370.98399
-50.0,50,376.753265
-50.0,50,379.815417
-50.0,50,385.430476
-50.0,50,388.172237
-50.0,50,391.112265
-50.0,50,397.611405
-50.0,50,400.388601
-50.0,50,403.04201
-50.0,50,406.461854
-50.0,50,409.76847
-50.0,50,413.800467
-50.0,50,417.30173
-50.0,50,423.111432
-50.0,50,425.858026
-50.0,50,428.635393
-50.0,50,433.871921
-50.0,50,436.91512
-50.0,50,439.944746
-50.0,50,445.229402
-50.0,50,447.912268
-50.0,50,450.847593
-50.0,50,454.814237
-50.0,50,457.429386
-50.0,50,460.06247
-50.0,50,462.738362
-50.0,50,465.390914
-50.0,50,469.957985
-50.0,50,474.198453
-50.0,50,478.300837
-50.0,50,481.170586
-50.0,50,486.041313
-50.0,50,489.269419
-50.0,50,492.522175
-50.0,50,497.269125
-50.0,50,499.957
-50.0,50,502.694302
-50.0,50,505.337059
-50.0,50,508.037335
-50.0,50,513.577258
-50.0,50,516.537147
-50.0,50,520.28863
-50.0,50,523.052344
-50.0,50,523.506524
-50.0,50,524.012023
-50.0,50,524.484478
-50.0,50,525.003361
-50.0,50,525.486316
-50.0,50,526.962551
-50.0,50,528.615763
-50.0,50,529.808512
-50.0,50,530.235104
-50.0,50,530.715043
-50.0,50,533.409925
-50.0,50,536.168649
-50.0,50,539.070949
-50.0,50,541.811036
-50.0,50,544.619778
-50.0,50,548.740225
-50.0,50,552.856517
-50.0,50,557.112564
-50.0,50,561.076127
-50.0,50,563.770317
-50.0,50,566.352094
-50.0,50,570.200149
-50.0,50,574.334204
-50.0,50,578.007384
-50.0,50,581.016119
-50.0,50,583.789719
-50.0,50,586.412482
-50.0,50,589.033545
-50.0,50,591.619484
-50.0,50,596.579744
-50.0,50,599.245629
-50.0,50,601.86908
-50.0,50,604.473031
-50.0,50,608.91527
-50.0,50,612.270924
-50.0,50,614.912294
-50.0,50,617.551224
-50.0,50,621.492707
-50.0,50,624.135674
-50.0,50,627.985143
-50.0,50,630.613208
-50.0,50,633.267855
-50.0,50,635.880225
-50.0,50,638.517422
-50.0,50,641.987109
-50.0,50,646.286865
-50.0,50,648.973508
-50.0,50,651.608795
-50.0,50,654.272604
-50.0,50,656.827337
-50.0,50,659.42431
-50.0,50,662.059026
-50.0,50,667.119314
-50.0,50,669.805772
-50.0,50,674.783875
-50.0,50,677.407992
-50.0,50,681.17713
-50.0,50,685.20441
-50.0,50,687.835771
-50.0,50,690.388577
-50.0,50,690.791121
-50.0,50,691.234332
-50.0,50,691.716718
-50.0,50,693.214959
-50.0,50,694.584125
-50.0,50,695.872717
-50.0,50,696.309564
-50.0,50,696.74194
-50.0,50,697.173693
-50.0,50,697.784475
-50.0,50,702.98033
-50.0,50,705.544936
-50.0,50,708.232886
-50.0,50,710.865534
-50.0,50,713.450209
-50.0,50,716.032597
-50.0,50,722.411971
-50.0,50,724.994691
