# {"env_id": "FetchSlideball-v4", "t_start": 1580668952.4502745} 
r,l,t
-100.0,100,6.805837
-100.0,100,10.328283
-100.0,100,13.552905
-100.0,100,16.845077
-100.0,100,20.435334
-100.0,100,24.093737
-100.0,100,27.638113
-100.0,100,31.16217
-100.0,100,34.760737
-100.0,100,38.363239
-100.0,100,41.996657
-100.0,100,45.526993
-100.0,100,49.112388
-100.0,100,52.644882
-100.0,100,56.202858
-100.0,100,59.788728
-100.0,100,63.356871
-100.0,100,66.856771
-100.0,100,70.388007
-100.0,100,74.039282
-100.0,100,77.609023
-100.0,100,81.155756
-100.0,100,84.734941
-100.0,100,88.268598
-100.0,100,92.291434
-100.0,100,96.287894
-100.0,100,100.566854
-100.0,100,104.903981
-100.0,100,109.330039
-100.0,100,113.666675
-100.0,100,117.904357
-100.0,100,122.217325
-100.0,100,126.445861
-100.0,100,130.842558
-100.0,100,135.182697
-100.0,100,139.435746
-100.0,100,143.649889
-100.0,100,148.11664
-100.0,100,152.411349
-100.0,100,156.634738
-100.0,100,160.950749
-100.0,100,165.387967
-100.0,100,169.597473
-100.0,100,173.865511
-100.0,100,178.199323
-100.0,100,182.546869
-100.0,100,186.867152
-100.0,100,191.202447
-100.0,100,195.438506
-100.0,100,199.725254
-100.0,100,204.151596
-100.0,100,205.240649
-100.0,100,206.275704
-100.0,100,207.451899
-100.0,100,208.569459
-100.0,100,209.762137
-100.0,100,210.915285
-100.0,100,212.029129
-100.0,100,213.1337
-100.0,100,214.229134
-100.0,100,215.743028
-100.0,100,219.403949
-100.0,100,223.237109
-100.0,100,226.845412
-100.0,100,230.113504
-100.0,100,233.253904
-100.0,100,236.458902
-100.0,100,240.485508
-100.0,100,244.084513
-100.0,100,247.523209
-100.0,100,250.665653
-100.0,100,253.826518
-100.0,100,256.960398
-100.0,100,260.222527
-100.0,100,263.702299
-100.0,100,267.318766
-100.0,100,271.240234
-100.0,100,274.781543
-100.0,100,278.64283
-100.0,100,282.093873
-100.0,100,285.944814
-100.0,100,289.611261
-100.0,100,293.638541
-100.0,100,297.98958
-100.0,100,301.297532
-100.0,100,304.955496
-100.0,100,308.189198
-100.0,100,311.774166
-100.0,100,316.833563
-100.0,100,321.80039
-100.0,100,324.982401
-100.0,100,328.730975
-100.0,100,331.927877
-100.0,100,335.956346
-100.0,100,339.737304
-100.0,100,343.246854
-100.0,100,347.05588
-100.0,100,350.594486
-100.0,100,353.994073
-100.0,100,358.178403
-100.0,100,361.547462
-100.0,100,365.509828
-100.0,100,369.246429
-100.0,100,372.713658
-100.0,100,376.305753
-100.0,100,380.071755
-100.0,100,383.585343
-100.0,100,387.2398
-100.0,100,390.814751
-100.0,100,395.262288
-100.0,100,398.714303
-100.0,100,399.726389
-100.0,100,400.787483
-100.0,100,401.77674
-100.0,100,402.768957
-100.0,100,403.79342
-100.0,100,404.787151
-100.0,100,405.82525
-100.0,100,406.804995
-100.0,100,407.834442
-100.0,100,409.000815
-100.0,100,412.603319
-100.0,100,416.435464
-100.0,100,420.069234
-100.0,100,423.970634
-100.0,100,427.632256
-100.0,100,431.473431
-100.0,100,435.261946
-100.0,100,439.054976
-100.0,100,442.877212
-100.0,100,446.509152
-100.0,100,450.017922
-100.0,100,453.577888
-100.0,100,457.128614
-100.0,100,460.670629
-100.0,100,464.244934
-100.0,100,467.818434
-100.0,100,471.263054
-100.0,100,474.743454
-100.0,100,478.345846
-100.0,100,482.10644
-100.0,100,485.763025
-100.0,100,489.490406
-100.0,100,493.049409
-100.0,100,496.569956
-100.0,100,500.115384
-100.0,100,503.634827
-100.0,100,507.14874
-100.0,100,510.695917
-100.0,100,514.106522
-100.0,100,517.824516
-100.0,100,521.372413
-100.0,100,524.816784
-100.0,100,528.638957
-100.0,100,532.150074
-100.0,100,535.628747
-100.0,100,539.209355
-100.0,100,542.627386
-100.0,100,546.285572
-100.0,100,549.763795
-100.0,100,553.246433
-100.0,100,556.943372
-100.0,100,560.509748
-100.0,100,564.177674
-100.0,100,567.610928
-100.0,100,571.127006
-100.0,100,574.763403
-100.0,100,578.247101
-100.0,100,581.762658
-100.0,100,585.250223
-100.0,100,588.933889
-100.0,100,589.959794
-100.0,100,590.971431
-100.0,100,592.023444
-100.0,100,593.145655
-100.0,100,594.170834
-100.0,100,595.26112
-100.0,100,596.316179
-100.0,100,597.394568
-100.0,100,598.443343
-100.0,100,599.484123
-100.0,100,603.02627
-100.0,100,606.545259
-100.0,100,610.141942
-100.0,100,613.539463
-100.0,100,617.052572
-100.0,100,620.617258
-100.0,100,624.263242
-100.0,100,627.714275
-100.0,100,631.253257
-100.0,100,634.814864
-100.0,100,638.345322
-100.0,100,641.781851
-100.0,100,645.321866
-100.0,100,648.885446
-100.0,100,652.344923
-100.0,100,655.867998
-100.0,100,659.357108
-100.0,100,662.907817
-100.0,100,666.435003
-100.0,100,669.928996
-100.0,100,673.486621
-100.0,100,677.010197
-100.0,100,680.47981
-100.0,100,684.079996
-100.0,100,687.616812
-100.0,100,691.140317
-100.0,100,694.656194
-100.0,100,698.166406
-100.0,100,701.761143
-100.0,100,705.252908
-100.0,100,708.816927
-100.0,100,712.301351
-100.0,100,715.933247
-100.0,100,719.467408
-100.0,100,722.968712
-100.0,100,726.471111
-100.0,100,730.021733
-100.0,100,733.532172
-100.0,100,737.086388
-100.0,100,740.644563
-100.0,100,744.17696
-100.0,100,747.69195
-100.0,100,751.11155
-100.0,100,754.619428
-100.0,100,758.128433
-100.0,100,761.684686
-100.0,100,765.233037
-100.0,100,768.751893
-100.0,100,772.285742
-100.0,100,775.802637
-100.0,100,776.827053
-100.0,100,777.835295
-100.0,100,778.905035
-100.0,100,779.878032
-100.0,100,780.886503
-100.0,100,782.002546
-100.0,100,783.024841
-100.0,100,784.06374
-100.0,100,785.160311
-100.0,100,786.226742
-100.0,100,789.692666
-100.0,100,793.200568
-100.0,100,796.700721
-100.0,100,800.308746
-100.0,100,803.778221
-100.0,100,807.339138
-100.0,100,811.060581
-100.0,100,814.689415
-100.0,100,818.304623
-100.0,100,821.858932
-100.0,100,825.431115
-100.0,100,828.932029
-100.0,100,832.51298
-100.0,100,835.968461
-100.0,100,839.564123
-100.0,100,843.102016
-100.0,100,846.637617
-100.0,100,850.373032
-100.0,100,854.111327
-100.0,100,857.600853
-100.0,100,861.204043
-100.0,100,864.700792
-100.0,100,868.356576
-100.0,100,871.808533
-100.0,100,875.351632
-100.0,100,878.900304
-100.0,100,882.356993
-100.0,100,885.856327
-100.0,100,889.466427
-100.0,100,892.983387
-100.0,100,896.501111
-100.0,100,900.044488
-100.0,100,903.510026
-100.0,100,907.09443
-100.0,100,910.696217
-100.0,100,914.748814
-100.0,100,918.387883
-100.0,100,921.925868
-100.0,100,925.52046
-100.0,100,929.058783
-100.0,100,932.553875
-100.0,100,936.098015
-100.0,100,939.540401
-100.0,100,943.108171
-100.0,100,946.611951
-100.0,100,950.116768
-100.0,100,953.691024
-100.0,100,957.198303
-100.0,100,960.731937
-100.0,100,964.274075
-100.0,100,965.259967
-100.0,100,966.261848
-100.0,100,967.320319
-100.0,100,968.32541
-100.0,100,969.2691
-100.0,100,970.272872
-100.0,100,971.260689
-100.0,100,972.255658
-100.0,100,973.224612
-100.0,100,974.628174
-100.0,100,978.174104
-100.0,100,981.704738
-100.0,100,985.245088
-100.0,100,988.824689
-100.0,100,992.328146
-100.0,100,995.746799
-100.0,100,999.313736
-100.0,100,1002.877682
-100.0,100,1007.094432
-100.0,100,1010.790162
-100.0,100,1014.660269
-100.0,100,1018.215045
-100.0,100,1021.975912
-100.0,100,1025.671973
-100.0,100,1029.26484
-100.0,100,1032.958647
-100.0,100,1036.576947
-100.0,100,1040.285549
-100.0,100,1043.911412
-100.0,100,1047.573426
-100.0,100,1051.212775
-100.0,100,1054.794324
-100.0,100,1058.557904
-100.0,100,1062.125956
-100.0,100,1065.88912
-100.0,100,1069.500127
-100.0,100,1073.231168
-100.0,100,1076.782889
-100.0,100,1080.468776
-100.0,100,1084.089702
-100.0,100,1087.757201
-100.0,100,1091.369614
-100.0,100,1094.942025
-100.0,100,1098.620791
-100.0,100,1102.299614
-100.0,100,1105.951075
-100.0,100,1109.552224
-100.0,100,1113.498081
-100.0,100,1117.557647
-100.0,100,1121.068741
-100.0,100,1124.698652
-100.0,100,1128.43362
-100.0,100,1132.032485
-100.0,100,1135.635965
-100.0,100,1139.276389
-100.0,100,1142.9075
-100.0,100,1146.561623
-100.0,100,1150.231095
-100.0,100,1153.838508
-100.0,100,1157.463199
-100.0,100,1158.497292
-100.0,100,1159.591147
-100.0,100,1160.545138
-100.0,100,1161.597183
-100.0,100,1162.626285
-100.0,100,1163.683132
-100.0,100,1164.759878
-100.0,100,1165.770538
-100.0,100,1166.814698
-100.0,100,1167.999988
-100.0,100,1171.635719
-100.0,100,1175.218378
-100.0,100,1178.907313
-100.0,100,1182.573445
-100.0,100,1186.434147
-100.0,100,1190.185016
-100.0,100,1193.750799
-100.0,100,1197.463394
-100.0,100,1201.060345
-100.0,100,1204.679041
-100.0,100,1208.327462
-100.0,100,1211.946742
-100.0,100,1215.565474
-100.0,100,1219.189468
-100.0,100,1222.795731
-100.0,100,1226.378043
-100.0,100,1230.022296
-100.0,100,1233.596954
-100.0,100,1237.258663
-100.0,100,1240.921611
-100.0,100,1244.600388
-100.0,100,1248.251808
-100.0,100,1251.8948
-100.0,100,1255.67935
-100.0,100,1259.290652
-100.0,100,1263.042999
-100.0,100,1266.739282
-100.0,100,1270.345309
-100.0,100,1273.968748
-100.0,100,1277.569017
-100.0,100,1281.256547
-100.0,100,1284.911109
-100.0,100,1288.595394
-100.0,100,1292.165022
-100.0,100,1295.854661
-100.0,100,1299.459943
-100.0,100,1303.177319
-100.0,100,1306.723071
-100.0,100,1310.359797
-100.0,100,1313.953955
-100.0,100,1317.640065
-100.0,100,1321.193898
-100.0,100,1324.878754
-100.0,100,1328.535339
-100.0,100,1332.074761
-100.0,100,1335.82665
-100.0,100,1339.432278
-100.0,100,1343.033034
-100.0,100,1346.757511
-100.0,100,1350.37079
-100.0,100,1351.467737
-100.0,100,1352.518729
-100.0,100,1353.567656
-100.0,100,1354.665217
-100.0,100,1355.737697
-100.0,100,1356.771199
-100.0,100,1357.812805
-100.0,100,1358.804217
-100.0,100,1359.856259
-100.0,100,1360.928236
-100.0,100,1364.567375
-100.0,100,1368.120485
-100.0,100,1371.77593
-100.0,100,1375.489628
-100.0,100,1379.102308
-100.0,100,1382.685338
-100.0,100,1386.341788
-100.0,100,1390.02078
-100.0,100,1393.601302
-100.0,100,1397.256685
-100.0,100,1400.963408
-100.0,100,1404.524099
-100.0,100,1408.106323
-100.0,100,1411.739791
-100.0,100,1415.436138
-100.0,100,1419.123239
-100.0,100,1422.669046
-100.0,100,1426.353441
-100.0,100,1429.985564
-100.0,100,1433.551481
-100.0,100,1437.23444
-100.0,100,1440.849716
-100.0,100,1444.533718
-100.0,100,1448.099198
-100.0,100,1451.749261
-100.0,100,1455.440035
-100.0,100,1459.00089
-100.0,100,1462.715644
-100.0,100,1466.362793
-100.0,100,1469.971783
-100.0,100,1473.655727
-100.0,100,1477.323676
-100.0,100,1480.840161
-100.0,100,1484.500732
-100.0,100,1488.140451
-100.0,100,1491.904017
-100.0,100,1495.550165
-100.0,100,1499.310256
-100.0,100,1503.175386
-100.0,100,1507.362018
-100.0,100,1511.170623
-100.0,100,1514.967703
-100.0,100,1518.768492
-100.0,100,1522.744232
-100.0,100,1526.306613
-100.0,100,1530.442301
-100.0,100,1535.904332
-100.0,100,1539.989097
-100.0,100,1543.957868
-100.0,100,1548.041529
-100.0,100,1549.091655
-100.0,100,1550.202253
-100.0,100,1551.267525
-100.0,100,1552.474116
-100.0,100,1553.593204
-100.0,100,1554.725261
-100.0,100,1555.776356
-100.0,100,1556.784767
-100.0,100,1557.796275
-100.0,100,1559.133767
-100.0,100,1562.890075
-100.0,100,1566.680142
-100.0,100,1570.453105
-100.0,100,1574.163491
-100.0,100,1578.081521
-100.0,100,1581.682543
-100.0,100,1585.230621
-100.0,100,1589.052244
-100.0,100,1593.096189
-100.0,100,1596.885354
-100.0,100,1600.567781
-100.0,100,1604.159162
-100.0,100,1607.85172
-100.0,100,1611.477094
-100.0,100,1615.122062
-100.0,100,1618.830421
-100.0,100,1622.408362
-100.0,100,1626.137768
-100.0,100,1629.635626
-100.0,100,1633.363809
-100.0,100,1636.911801
-100.0,100,1640.666152
-100.0,100,1644.200798
-100.0,100,1647.888412
-100.0,100,1651.514495
-100.0,100,1655.194723
-100.0,100,1658.90945
-100.0,100,1662.584032
-100.0,100,1666.26625
-100.0,100,1669.876738
-100.0,100,1673.469102
-100.0,100,1677.177941
-100.0,100,1680.868311
-100.0,100,1684.441523
-100.0,100,1688.164206
-100.0,100,1691.822392
-100.0,100,1695.397751
-100.0,100,1699.022812
-100.0,100,1702.766622
-100.0,100,1706.390153
-100.0,100,1709.982327
-100.0,100,1713.654767
-100.0,100,1717.279779
-100.0,100,1720.904119
-100.0,100,1724.483824
-100.0,100,1728.161386
-100.0,100,1731.890098
-100.0,100,1735.493113
-100.0,100,1739.164296
-100.0,100,1742.78398
-100.0,100,1743.80901
-100.0,100,1744.848593
-100.0,100,1745.868746
-100.0,100,1746.945744
-100.0,100,1748.024344
-100.0,100,1749.087302
-100.0,100,1750.169113
-100.0,100,1751.27007
-100.0,100,1752.40329
-100.0,100,1753.691581
-100.0,100,1757.394129
-100.0,100,1761.022303
-100.0,100,1764.694216
-100.0,100,1768.485665
-100.0,100,1772.033577
-100.0,100,1775.680679
-100.0,100,1779.276098
-100.0,100,1782.867508
-100.0,100,1786.576409
-100.0,100,1790.189232
-100.0,100,1793.835888
-100.0,100,1797.503743
-100.0,100,1801.121378
-100.0,100,1804.770498
-100.0,100,1808.457095
-100.0,100,1812.001375
-100.0,100,1815.681303
-100.0,100,1819.34531
-100.0,100,1822.930418
-100.0,100,1826.569551
-100.0,100,1830.18548
-100.0,100,1833.837346
-100.0,100,1837.504482
-100.0,100,1841.044779
-100.0,100,1844.750946
-100.0,100,1848.447176
-100.0,100,1852.161247
-100.0,100,1855.740412
-100.0,100,1859.403412
-100.0,100,1863.098721
-100.0,100,1866.83214
-100.0,100,1870.499895
-100.0,100,1874.172019
-100.0,100,1877.962394
-100.0,100,1881.529502
-100.0,100,1885.108352
-100.0,100,1888.798193
-100.0,100,1892.442484
-100.0,100,1896.061956
-100.0,100,1899.722467
-100.0,100,1903.332905
-100.0,100,1907.068662
-100.0,100,1910.646305
-100.0,100,1914.281837
-100.0,100,1917.923147
-100.0,100,1921.622051
-100.0,100,1925.228718
-100.0,100,1928.816939
-100.0,100,1932.570295
-100.0,100,1936.164913
-100.0,100,1937.230012
-100.0,100,1938.305922
-100.0,100,1939.33576
-100.0,100,1940.405845
-100.0,100,1941.499327
-100.0,100,1942.553875
-100.0,100,1943.571139
-100.0,100,1944.654929
-100.0,100,1945.699201
-100.0,100,1946.812105
-100.0,100,1950.44784
-100.0,100,1954.128206
-100.0,100,1957.74555
-100.0,100,1961.460336
-100.0,100,1965.133525
-100.0,100,1968.715149
-100.0,100,1972.360427
-100.0,100,1976.005373
-100.0,100,1979.640951
-100.0,100,1983.294201
-100.0,100,1986.934093
-100.0,100,1990.54258
-100.0,100,1994.195216
-100.0,100,1997.833007
-100.0,100,2001.49642
-100.0,100,2005.100936
-100.0,100,2008.86254
-100.0,100,2012.562418
-100.0,100,2016.239323
-100.0,100,2019.924876
-100.0,100,2023.676643
-100.0,100,2027.50433
-100.0,100,2031.141708
-100.0,100,2034.870106
-100.0,100,2038.967838
-100.0,100,2043.934787
-100.0,100,2048.968128
-100.0,100,2054.534218
-100.0,100,2058.546471
-100.0,100,2062.078361
-100.0,100,2065.282928
-100.0,100,2068.471236
-100.0,100,2071.63238
-100.0,100,2074.827975
-100.0,100,2077.937318
-100.0,100,2081.246903
-100.0,100,2084.392643
-100.0,100,2087.575981
-100.0,100,2090.713472
-100.0,100,2093.864614
-100.0,100,2097.264825
-100.0,100,2100.532064
-100.0,100,2103.902325
-100.0,100,2107.18227
-100.0,100,2110.404581
-100.0,100,2113.724771
-100.0,100,2117.123036
-100.0,100,2120.345561
-100.0,100,2123.555595
-100.0,100,2127.051261
-100.0,100,2128.006227
-100.0,100,2129.015004
-100.0,100,2130.01616
-100.0,100,2131.08304
-100.0,100,2132.062038
-100.0,100,2133.073541
-100.0,100,2134.166494
-100.0,100,2135.15647
-100.0,100,2136.185683
-100.0,100,2137.375832
-100.0,100,2140.636425
-100.0,100,2143.900277
-100.0,100,2147.400045
-100.0,100,2150.801099
-100.0,100,2154.083137
-100.0,100,2157.454221
-100.0,100,2160.715087
-100.0,100,2164.012372
-100.0,100,2167.380011
-100.0,100,2170.807731
-100.0,100,2174.274841
-100.0,100,2177.608295
-100.0,100,2181.041278
-100.0,100,2184.355881
-100.0,100,2187.610152
-100.0,100,2190.986245
-100.0,100,2194.259014
-100.0,100,2197.921191
-100.0,100,2201.323423
-100.0,100,2204.691987
-100.0,100,2208.221666
-100.0,100,2211.442512
-100.0,100,2214.884824
-100.0,100,2218.22583
-100.0,100,2221.7371
-100.0,100,2225.109152
-100.0,100,2228.51008
-100.0,100,2232.152233
-100.0,100,2236.078412
-100.0,100,2240.269637
-100.0,100,2244.368973
-100.0,100,2248.338702
-100.0,100,2252.464219
-100.0,100,2256.610637
-100.0,100,2260.69043
-100.0,100,2264.754888
-100.0,100,2268.819122
-100.0,100,2272.978827
-100.0,100,2276.979178
-100.0,100,2281.133574
-100.0,100,2285.267114
-100.0,100,2289.269036
-100.0,100,2293.472483
-100.0,100,2297.545268
-100.0,100,2301.626964
-100.0,100,2305.817043
-100.0,100,2309.936407
-100.0,100,2314.022181
-100.0,100,2318.07911
-100.0,100,2322.210401
-100.0,100,2323.305642
-100.0,100,2324.458777
-100.0,100,2325.56901
-100.0,100,2326.672485
-100.0,100,2327.780179
-100.0,100,2328.910352
-100.0,100,2329.964839
-100.0,100,2331.099273
-100.0,100,2332.222884
-100.0,100,2333.476875
-100.0,100,2337.459384
-100.0,100,2341.622188
-100.0,100,2345.706455
-100.0,100,2349.870821
-100.0,100,2353.880868
-100.0,100,2357.812594
-100.0,100,2361.946935
-100.0,100,2366.130548
-100.0,100,2369.834706
-100.0,100,2373.464754
-100.0,100,2377.19185
-100.0,100,2381.069814
-100.0,100,2384.869115
-100.0,100,2388.713004
-100.0,100,2392.378856
-100.0,100,2396.140322
-100.0,100,2399.784267
-100.0,100,2403.382183
-100.0,100,2406.989682
-100.0,100,2410.564354
-100.0,100,2414.310282
-100.0,100,2417.91828
-100.0,100,2421.603211
-100.0,100,2425.342072
-100.0,100,2428.979641
-100.0,100,2432.544125
-100.0,100,2436.277206
-100.0,100,2439.893294
-100.0,100,2443.535086
-100.0,100,2447.172248
-100.0,100,2451.027356
-100.0,100,2454.74547
-100.0,100,2459.194653
