# {"t_start": 1580668951.7148201, "env_id": "FetchSlideball-v4"} 
r,l,t
-100.0,100,7.465803
-100.0,100,11.043373
-100.0,100,14.314222
-100.0,100,17.594986
-100.0,100,21.130689
-100.0,100,24.76689
-100.0,100,28.40138
-100.0,100,31.894189
-100.0,100,35.503679
-100.0,100,39.08002
-100.0,100,42.640768
-100.0,100,46.301799
-100.0,100,49.808302
-100.0,100,53.348706
-100.0,100,56.957082
-100.0,100,60.546637
-100.0,100,64.092762
-100.0,100,67.586509
-100.0,100,71.181233
-100.0,100,74.722938
-100.0,100,78.387331
-100.0,100,81.893705
-100.0,100,85.454359
-100.0,100,89.013476
-100.0,100,93.032955
-100.0,100,97.174306
-100.0,100,101.348246
-100.0,100,105.741369
-100.0,100,110.010483
-100.0,100,114.384136
-100.0,100,118.665439
-100.0,100,122.984339
-100.0,100,127.209698
-100.0,100,131.569847
-100.0,100,135.877447
-100.0,100,140.183136
-100.0,100,144.436136
-100.0,100,148.812264
-100.0,100,153.110238
-100.0,100,157.400445
-100.0,100,161.66894
-100.0,100,166.083912
-100.0,100,170.408056
-100.0,100,174.611973
-100.0,100,178.942027
-100.0,100,183.332224
-100.0,100,187.592305
-100.0,100,191.878392
-100.0,100,196.202322
-100.0,100,200.451086
-100.0,100,204.916909
-100.0,100,206.078464
-100.0,100,207.208157
-100.0,100,208.308034
-100.0,100,209.399526
-100.0,100,210.544481
-100.0,100,211.668815
-100.0,100,212.861338
-100.0,100,214.036882
-100.0,100,215.203428
-100.0,100,216.438471
-100.0,100,220.256198
-100.0,100,224.011803
-100.0,100,227.611382
-100.0,100,230.855356
-100.0,100,234.029238
-100.0,100,237.187886
-100.0,100,241.180656
-100.0,100,244.727064
-100.0,100,248.244241
-100.0,100,251.414599
-100.0,100,254.600281
-100.0,100,257.706509
-100.0,100,260.898679
-100.0,100,264.491024
-100.0,100,268.080114
-100.0,100,271.97356
-100.0,100,275.476374
-100.0,100,279.40165
-100.0,100,282.766811
-100.0,100,286.63689
-100.0,100,290.320879
-100.0,100,294.43459
-100.0,100,298.728245
-100.0,100,301.996877
-100.0,100,305.720367
-100.0,100,308.933168
-100.0,100,312.519894
-100.0,100,317.676768
-100.0,100,322.446611
-100.0,100,325.752867
-100.0,100,329.459347
-100.0,100,332.716177
-100.0,100,336.73157
-100.0,100,340.461574
-100.0,100,343.944645
-100.0,100,347.783682
-100.0,100,351.375476
-100.0,100,354.776086
-100.0,100,358.820438
-100.0,100,362.308534
-100.0,100,366.258825
-100.0,100,369.910904
-100.0,100,373.506921
-100.0,100,377.095922
-100.0,100,380.78982
-100.0,100,384.368021
-100.0,100,387.922419
-100.0,100,391.481202
-100.0,100,395.934728
-100.0,100,399.542129
-100.0,100,400.512506
-100.0,100,401.465168
-100.0,100,402.470524
-100.0,100,403.508236
-100.0,100,404.513469
-100.0,100,405.514835
-100.0,100,406.581035
-100.0,100,407.571069
-100.0,100,408.626535
-100.0,100,409.794771
-100.0,100,413.431039
-100.0,100,417.212772
-100.0,100,420.811326
-100.0,100,424.641929
-100.0,100,428.518045
-100.0,100,432.118618
-100.0,100,435.982343
-100.0,100,439.853278
-100.0,100,443.582595
-100.0,100,447.261213
-100.0,100,450.770663
-100.0,100,454.355062
-100.0,100,457.92577
-100.0,100,461.524465
-100.0,100,464.946042
-100.0,100,468.522114
-100.0,100,472.050594
-100.0,100,475.508997
-100.0,100,479.101567
-100.0,100,482.725713
-100.0,100,486.566476
-100.0,100,490.197261
-100.0,100,493.741481
-100.0,100,497.331725
-100.0,100,500.850768
-100.0,100,504.366491
-100.0,100,507.894011
-100.0,100,511.480758
-100.0,100,514.946821
