# {"env_id": "FetchSlideball-v4", "t_start": 1580668951.065491} 
r,l,t
-100.0,100,8.187817
-100.0,100,11.710469
-100.0,100,14.944915
-100.0,100,18.232311
-100.0,100,21.819997
-100.0,100,25.476941
-100.0,100,29.020266
-100.0,100,32.547424
-100.0,100,36.151816
-100.0,100,39.747485
-100.0,100,43.382237
-100.0,100,46.918008
-100.0,100,50.495812
-100.0,100,54.030142
-100.0,100,57.594861
-100.0,100,61.175621
-100.0,100,64.739057
-100.0,100,68.245152
-100.0,100,71.770409
-100.0,100,75.420207
-100.0,100,78.992817
-100.0,100,82.541776
-100.0,100,86.11741
-100.0,100,89.650757
-100.0,100,93.669452
-100.0,100,97.66912
-100.0,100,101.952016
-100.0,100,106.290445
-100.0,100,110.70944
-100.0,100,115.054236
-100.0,100,119.286171
-100.0,100,123.609273
-100.0,100,127.822299
-100.0,100,132.226682
-100.0,100,136.562472
-100.0,100,140.81655
-100.0,100,145.035117
-100.0,100,149.50313
-100.0,100,153.791461
-100.0,100,158.017303
-100.0,100,162.333151
-100.0,100,166.771177
-100.0,100,170.986194
-100.0,100,175.244322
-100.0,100,179.584615
-100.0,100,183.930044
-100.0,100,188.254751
-100.0,100,192.587552
-100.0,100,196.833179
-100.0,100,201.110334
-100.0,100,205.536625
-100.0,100,206.619216
-100.0,100,207.66266
-100.0,100,208.833276
-100.0,100,209.95255
-100.0,100,211.149366
-100.0,100,212.300596
-100.0,100,213.416421
-100.0,100,214.516085
-100.0,100,215.618032
-100.0,100,217.129391
-100.0,100,220.794363
-100.0,100,224.622556
-100.0,100,228.229742
-100.0,100,231.505117
-100.0,100,234.644109
-100.0,100,237.846409
-100.0,100,241.882728
-100.0,100,245.46985
-100.0,100,248.915073
-100.0,100,252.056021
-100.0,100,255.210339
-100.0,100,258.349168
-100.0,100,261.607199
-100.0,100,265.086106
-100.0,100,268.700413
-100.0,100,272.625276
-100.0,100,276.16024
-100.0,100,280.031209
-100.0,100,283.47927
-100.0,100,287.33386
-100.0,100,290.995981
-100.0,100,295.023801
-100.0,100,299.373893
-100.0,100,302.682068
-100.0,100,306.338729
-100.0,100,309.575408
-100.0,100,313.163913
-100.0,100,318.21694
-100.0,100,323.18517
-100.0,100,326.368102
-100.0,100,330.113729
-100.0,100,333.312693
-100.0,100,337.342298
-100.0,100,341.120265
-100.0,100,344.630587
-100.0,100,348.432923
-100.0,100,351.986383
-100.0,100,355.37747
-100.0,100,359.563388
-100.0,100,362.926281
-100.0,100,366.884858
-100.0,100,370.630379
-100.0,100,374.10373
-100.0,100,377.694472
-100.0,100,381.455913
-100.0,100,384.967193
-100.0,100,388.631122
-100.0,100,392.199368
-100.0,100,396.646388
-100.0,100,400.114488
-100.0,100,401.113821
-100.0,100,402.174792
-100.0,100,403.167661
-100.0,100,404.159035
-100.0,100,405.17851
-100.0,100,406.171755
-100.0,100,407.215341
-100.0,100,408.189573
-100.0,100,409.215269
-100.0,100,410.383823
-100.0,100,413.988192
-100.0,100,417.813361
-100.0,100,421.452945
-100.0,100,425.355703
-100.0,100,429.019564
-100.0,100,432.860334
-100.0,100,436.647853
-100.0,100,440.441737
-100.0,100,444.254726
-100.0,100,447.893352
-100.0,100,451.395947
-100.0,100,454.95828
-100.0,100,458.519117
-100.0,100,462.061026
-100.0,100,465.630571
-100.0,100,469.200992
-100.0,100,472.652071
-100.0,100,476.127775
-100.0,100,479.73025
-100.0,100,483.493767
-100.0,100,487.149509
-100.0,100,490.875714
-100.0,100,494.43574
-100.0,100,497.958491
-100.0,100,501.50683
-100.0,100,505.021788
-100.0,100,508.531701
-100.0,100,512.083486
-100.0,100,515.489692
-100.0,100,519.207202
-100.0,100,522.760191
-100.0,100,526.195631
-100.0,100,530.026876
-100.0,100,533.530204
-100.0,100,537.015449
-100.0,100,540.587077
-100.0,100,544.014762
-100.0,100,547.667049
-100.0,100,551.153145
-100.0,100,554.631134
-100.0,100,558.33116
