# {"t_start": 1580668950.8629093, "env_id": "FetchSlideball-v4"} 
r,l,t
-100.0,100,8.395452
-100.0,100,11.927773
-100.0,100,15.108597
-100.0,100,18.398405
-100.0,100,22.022165
-100.0,100,25.627759
-100.0,100,29.158461
-100.0,100,32.761664
-100.0,100,36.299529
-100.0,100,40.010808
-100.0,100,43.55723
-100.0,100,47.109117
-100.0,100,50.666293
-100.0,100,54.255929
-100.0,100,57.782263
-100.0,100,61.448522
-100.0,100,64.972909
-100.0,100,68.427827
-100.0,100,72.045781
-100.0,100,75.647557
-100.0,100,79.168505
-100.0,100,82.740135
-100.0,100,86.240086
-100.0,100,89.843007
-100.0,100,93.865396
-100.0,100,97.920087
-100.0,100,102.144817
-100.0,100,106.496088
-100.0,100,110.849702
-100.0,100,115.271835
-100.0,100,119.614465
-100.0,100,123.792438
-100.0,100,128.161973
-100.0,100,132.440171
-100.0,100,136.728147
-100.0,100,141.012705
-100.0,100,145.312588
-100.0,100,149.692121
-100.0,100,153.910179
-100.0,100,158.301922
-100.0,100,162.477553
-100.0,100,167.014639
-100.0,100,171.240905
-100.0,100,175.439605
-100.0,100,179.815966
-100.0,100,184.100008
-100.0,100,188.504587
-100.0,100,192.804101
-100.0,100,196.972734
-100.0,100,201.362227
-100.0,100,205.717703
-100.0,100,206.882089
-100.0,100,208.005378
-100.0,100,209.174685
-100.0,100,210.269231
-100.0,100,211.40109
-100.0,100,212.559902
-100.0,100,213.747736
-100.0,100,214.878002
-100.0,100,215.934664
-100.0,100,217.2081
-100.0,100,221.067204
-100.0,100,224.771366
-100.0,100,228.501243
-100.0,100,231.709578
-100.0,100,234.901519
-100.0,100,238.149585
-100.0,100,241.94413
-100.0,100,245.565833
-100.0,100,249.195955
-100.0,100,252.260701
-100.0,100,255.438701
-100.0,100,258.547272
-100.0,100,261.703208
-100.0,100,265.348656
-100.0,100,268.902845
-100.0,100,272.809767
-100.0,100,276.296081
-100.0,100,280.281286
-100.0,100,283.68532
-100.0,100,287.47841
-100.0,100,291.151692
-100.0,100,295.291065
-100.0,100,299.594518
-100.0,100,302.891513
-100.0,100,306.586141
-100.0,100,309.783284
-100.0,100,313.38581
-100.0,100,318.321814
-100.0,100,323.316689
-100.0,100,326.589444
-100.0,100,330.318202
-100.0,100,333.476213
-100.0,100,337.573418
-100.0,100,341.37563
-100.0,100,344.805075
-100.0,100,348.637299
-100.0,100,352.159284
-100.0,100,355.68025
-100.0,100,359.764841
-100.0,100,363.128554
-100.0,100,367.138913
-100.0,100,370.880735
-100.0,100,374.327466
-100.0,100,377.930774
-100.0,100,381.656696
-100.0,100,385.189876
-100.0,100,388.820086
-100.0,100,392.347004
-100.0,100,396.761174
-100.0,100,400.433607
-100.0,100,401.441487
-100.0,100,402.42666
-100.0,100,403.417086
-100.0,100,404.399667
-100.0,100,405.442502
-100.0,100,406.410726
-100.0,100,407.388124
-100.0,100,408.423248
-100.0,100,409.495119
-100.0,100,410.602569
-100.0,100,414.238331
-100.0,100,418.035264
-100.0,100,421.621765
-100.0,100,425.447736
-100.0,100,429.245716
-100.0,100,433.051188
-100.0,100,436.894402
-100.0,100,440.628997
-100.0,100,444.390872
-100.0,100,448.087606
-100.0,100,451.625117
-100.0,100,455.23234
-100.0,100,458.712292
-100.0,100,462.232975
-100.0,100,465.884962
-100.0,100,469.421719
-100.0,100,472.872324
-100.0,100,476.416745
-100.0,100,479.899557
-100.0,100,483.62797
-100.0,100,487.374868
-100.0,100,491.044156
-100.0,100,494.651525
-100.0,100,498.156628
-100.0,100,501.668555
-100.0,100,505.239335
-100.0,100,508.753402
-100.0,100,512.222915
-100.0,100,515.8213
-100.0,100,519.403604
-100.0,100,522.891342
-100.0,100,526.521379
-100.0,100,530.19971
-100.0,100,533.753399
-100.0,100,537.300477
-100.0,100,540.85913
-100.0,100,544.321722
-100.0,100,547.788247
-100.0,100,551.332299
-100.0,100,554.893643
-100.0,100,558.439072
-100.0,100,562.134312
-100.0,100,565.71444
-100.0,100,569.30395
-100.0,100,572.759096
-100.0,100,576.318814
-100.0,100,579.852837
-100.0,100,583.317312
-100.0,100,586.890902
-100.0,100,590.471802
-100.0,100,591.522775
-100.0,100,592.555031
-100.0,100,593.601593
-100.0,100,594.66
-100.0,100,595.784581
-100.0,100,596.808627
-100.0,100,597.86717
-100.0,100,598.916755
-100.0,100,599.908177
-100.0,100,601.096591
-100.0,100,604.604388
-100.0,100,608.176625
-100.0,100,611.662721
-100.0,100,615.199065
-100.0,100,618.741386
-100.0,100,622.248834
-100.0,100,625.794555
-100.0,100,629.390764
-100.0,100,632.927635
-100.0,100,636.420382
-100.0,100,639.849941
-100.0,100,643.380051
-100.0,100,646.903257
-100.0,100,650.443758
-100.0,100,653.977037
-100.0,100,657.493323
-100.0,100,661.025642
-100.0,100,664.472689
-100.0,100,668.012327
-100.0,100,671.556126
-100.0,100,675.00681
-100.0,100,678.587513
-100.0,100,682.135599
-100.0,100,685.622899
-100.0,100,689.164169
-100.0,100,692.737248
-100.0,100,696.240224
-100.0,100,699.79959
-100.0,100,703.312506
-100.0,100,706.878872
-100.0,100,710.406451
-100.0,100,713.878303
-100.0,100,717.458259
-100.0,100,721.055987
-100.0,100,724.513707
-100.0,100,728.05319
-100.0,100,731.628326
-100.0,100,735.128806
-100.0,100,738.669387
-100.0,100,742.209291
-100.0,100,745.781986
-100.0,100,749.271077
-100.0,100,752.752596
-100.0,100,756.220585
-100.0,100,759.760206
-100.0,100,763.293951
-100.0,100,766.848754
-100.0,100,770.31364
-100.0,100,773.861169
-100.0,100,777.444657
-100.0,100,778.471246
-100.0,100,779.489298
-100.0,100,780.57179
-100.0,100,781.641401
-100.0,100,782.630235
-100.0,100,783.619252
-100.0,100,784.616883
-100.0,100,785.621823
-100.0,100,786.64742
-100.0,100,787.758485
-100.0,100,791.282922
-100.0,100,794.759221
-100.0,100,798.301114
-100.0,100,801.901176
-100.0,100,805.381036
-100.0,100,808.875676
-100.0,100,812.594224
-100.0,100,816.34751
-100.0,100,819.944701
-100.0,100,823.510864
-100.0,100,826.936557
-100.0,100,830.532807
-100.0,100,834.100109
-100.0,100,837.597909
-100.0,100,841.189659
-100.0,100,844.683808
-100.0,100,848.18028
-100.0,100,851.944773
-100.0,100,855.683303
-100.0,100,859.18458
-100.0,100,862.758375
-100.0,100,866.354025
-100.0,100,869.888268
-100.0,100,873.452714
-100.0,100,876.91588
-100.0,100,880.486406
-100.0,100,883.987629
-100.0,100,887.521571
-100.0,100,890.97848
-100.0,100,894.534794
-100.0,100,898.082788
-100.0,100,901.613844
-100.0,100,905.078133
-100.0,100,908.673437
-100.0,100,912.223905
-100.0,100,916.319742
-100.0,100,919.966448
-100.0,100,923.533816
-100.0,100,927.005729
-100.0,100,930.554306
-100.0,100,934.150413
-100.0,100,937.636047
-100.0,100,941.179972
-100.0,100,944.712977
-100.0,100,948.217753
-100.0,100,951.755551
-100.0,100,955.170317
-100.0,100,958.805028
-100.0,100,962.310996
-100.0,100,965.84741
-100.0,100,966.879251
-100.0,100,967.849196
-100.0,100,968.9484
-100.0,100,969.995596
-100.0,100,971.043943
-100.0,100,972.051044
-100.0,100,973.115686
-100.0,100,974.17356
-100.0,100,975.174196
-100.0,100,976.229786
-100.0,100,979.797928
-100.0,100,983.301203
-100.0,100,986.877119
-100.0,100,990.347747
-100.0,100,993.860291
-100.0,100,997.381681
-100.0,100,1000.866711
-100.0,100,1004.440501
-100.0,100,1008.678252
-100.0,100,1012.500025
-100.0,100,1016.239469
-100.0,100,1019.880921
-100.0,100,1023.530467
-100.0,100,1027.297988
-100.0,100,1030.83804
-100.0,100,1034.556689
-100.0,100,1038.193047
-100.0,100,1041.848156
-100.0,100,1045.55312
-100.0,100,1049.125625
-100.0,100,1052.767747
-100.0,100,1056.339911
-100.0,100,1060.106558
-100.0,100,1063.777999
-100.0,100,1067.43205
-100.0,100,1071.091454
-100.0,100,1074.725061
-100.0,100,1078.435513
-100.0,100,1082.006814
-100.0,100,1085.661889
-100.0,100,1089.328436
-100.0,100,1092.977848
-100.0,100,1096.559916
-100.0,100,1100.213573
-100.0,100,1103.859682
-100.0,100,1107.557686
-100.0,100,1111.130848
-100.0,100,1115.086238
-100.0,100,1119.076747
-100.0,100,1122.725738
-100.0,100,1126.274393
-100.0,100,1130.01902
-100.0,100,1133.61261
-100.0,100,1137.275495
-100.0,100,1140.819211
-100.0,100,1144.516166
-100.0,100,1148.207617
-100.0,100,1151.874273
-100.0,100,1155.422393
-100.0,100,1159.052851
-100.0,100,1160.089005
-100.0,100,1161.166492
-100.0,100,1162.249671
-100.0,100,1163.285945
-100.0,100,1164.30449
-100.0,100,1165.353105
-100.0,100,1166.394262
-100.0,100,1167.407516
-100.0,100,1168.436883
-100.0,100,1169.547908
-100.0,100,1173.226331
-100.0,100,1176.792478
-100.0,100,1180.452873
-100.0,100,1184.211295
-100.0,100,1188.007862
-100.0,100,1191.740463
-100.0,100,1195.348782
-100.0,100,1198.984677
-100.0,100,1202.606481
-100.0,100,1206.257743
-100.0,100,1209.911359
-100.0,100,1213.481282
-100.0,100,1217.093479
-100.0,100,1220.754511
-100.0,100,1224.411793
-100.0,100,1227.982383
-100.0,100,1231.547071
-100.0,100,1235.173158
-100.0,100,1238.870128
-100.0,100,1242.521411
-100.0,100,1246.237025
-100.0,100,1249.926965
-100.0,100,1253.510619
-100.0,100,1257.208326
-100.0,100,1260.851663
-100.0,100,1264.662894
-100.0,100,1268.354063
-100.0,100,1271.998038
-100.0,100,1275.590288
-100.0,100,1279.215943
-100.0,100,1282.851643
-100.0,100,1286.497776
-100.0,100,1290.171611
-100.0,100,1293.786347
-100.0,100,1297.429888
-100.0,100,1301.088969
-100.0,100,1304.753197
-100.0,100,1308.345752
-100.0,100,1311.921085
-100.0,100,1315.521897
-100.0,100,1319.18129
-100.0,100,1322.828039
-100.0,100,1326.443371
-100.0,100,1330.092827
-100.0,100,1333.69994
-100.0,100,1337.358333
-100.0,100,1341.021297
-100.0,100,1344.64334
-100.0,100,1348.284495
-100.0,100,1351.976857
-100.0,100,1352.976213
-100.0,100,1354.028289
-100.0,100,1355.018069
-100.0,100,1356.126677
-100.0,100,1357.172183
-100.0,100,1358.182018
-100.0,100,1359.245744
-100.0,100,1360.278737
-100.0,100,1361.353463
-100.0,100,1362.430178
-100.0,100,1366.126875
-100.0,100,1369.747848
-100.0,100,1373.319599
-100.0,100,1377.073874
-100.0,100,1380.696762
-100.0,100,1384.263675
-100.0,100,1387.940575
-100.0,100,1391.599621
-100.0,100,1395.259986
-100.0,100,1398.850358
-100.0,100,1402.507381
-100.0,100,1406.126364
-100.0,100,1409.751492
-100.0,100,1413.31379
-100.0,100,1417.039348
-100.0,100,1420.602397
-100.0,100,1424.273664
-100.0,100,1427.82258
-100.0,100,1431.607873
-100.0,100,1435.232091
-100.0,100,1438.902275
-100.0,100,1442.45486
-100.0,100,1446.124449
-100.0,100,1449.730175
-100.0,100,1453.366862
-100.0,100,1456.923371
-100.0,100,1460.610757
-100.0,100,1464.29754
-100.0,100,1467.936432
-100.0,100,1471.571624
-100.0,100,1475.212034
-100.0,100,1478.9125
-100.0,100,1482.469454
-100.0,100,1486.046985
-100.0,100,1489.746704
-100.0,100,1493.420823
-100.0,100,1497.176679
-100.0,100,1500.858733
-100.0,100,1504.723187
-100.0,100,1509.005904
-100.0,100,1512.756352
-100.0,100,1516.528909
-100.0,100,1520.354028
-100.0,100,1524.243426
-100.0,100,1527.836807
-100.0,100,1531.936993
-100.0,100,1537.519252
-100.0,100,1541.615078
-100.0,100,1545.546854
-100.0,100,1549.651238
-100.0,100,1550.763231
-100.0,100,1551.906848
-100.0,100,1553.032509
-100.0,100,1554.110855
-100.0,100,1555.254173
-100.0,100,1556.438533
-100.0,100,1557.500762
-100.0,100,1558.581942
-100.0,100,1559.675526
-100.0,100,1560.66966
-100.0,100,1564.553007
-100.0,100,1568.299624
-100.0,100,1571.992012
-100.0,100,1575.744662
-100.0,100,1579.58448
-100.0,100,1583.281832
-100.0,100,1586.927551
-100.0,100,1590.669513
-100.0,100,1594.691237
-100.0,100,1598.521124
-100.0,100,1602.093943
-100.0,100,1605.778157
-100.0,100,1609.498123
-100.0,100,1613.108556
-100.0,100,1616.746927
-100.0,100,1620.408056
-100.0,100,1624.076398
-100.0,100,1627.625064
-100.0,100,1631.288763
-100.0,100,1634.957944
-100.0,100,1638.581976
-100.0,100,1642.200941
-100.0,100,1645.852043
-100.0,100,1649.493347
-100.0,100,1653.120273
-100.0,100,1656.82472
-100.0,100,1660.453017
-100.0,100,1664.139163
-100.0,100,1667.894988
-100.0,100,1671.502367
-100.0,100,1675.124511
-100.0,100,1678.762964
-100.0,100,1682.451884
-100.0,100,1686.104109
-100.0,100,1689.709337
-100.0,100,1693.385486
-100.0,100,1697.019357
-100.0,100,1700.658518
-100.0,100,1704.295632
-100.0,100,1707.989478
-100.0,100,1711.567771
-100.0,100,1715.229314
-100.0,100,1718.859228
-100.0,100,1722.563886
-100.0,100,1726.200238
-100.0,100,1729.786455
-100.0,100,1733.446918
-100.0,100,1737.01405
-100.0,100,1740.775919
-100.0,100,1744.430007
-100.0,100,1745.485505
-100.0,100,1746.537056
-100.0,100,1747.65888
-100.0,100,1748.742441
-100.0,100,1749.800471
-100.0,100,1750.889065
-100.0,100,1751.967742
-100.0,100,1753.032748
-100.0,100,1754.097565
-100.0,100,1755.304424
-100.0,100,1758.93187
-100.0,100,1762.547162
-100.0,100,1766.312177
-100.0,100,1770.021803
-100.0,100,1773.671417
-100.0,100,1777.213586
-100.0,100,1780.903913
-100.0,100,1784.454003
-100.0,100,1788.115513
-100.0,100,1791.770527
-100.0,100,1795.39638
-100.0,100,1799.049504
-100.0,100,1802.710462
-100.0,100,1806.3373
-100.0,100,1810.008223
-100.0,100,1813.649046
-100.0,100,1817.287971
-100.0,100,1820.911596
-100.0,100,1824.554249
-100.0,100,1828.154641
-100.0,100,1831.833057
-100.0,100,1835.432007
-100.0,100,1838.99479
-100.0,100,1842.698091
-100.0,100,1846.307679
-100.0,100,1850.057108
-100.0,100,1853.660105
-100.0,100,1857.305388
-100.0,100,1861.06783
-100.0,100,1864.682385
-100.0,100,1868.441846
-100.0,100,1872.157458
-100.0,100,1875.864769
-100.0,100,1879.554467
-100.0,100,1883.144659
-100.0,100,1886.793047
-100.0,100,1890.420663
-100.0,100,1894.02939
-100.0,100,1897.659896
-100.0,100,1901.385101
-100.0,100,1904.963947
-100.0,100,1908.664921
-100.0,100,1912.276885
-100.0,100,1915.932814
-100.0,100,1919.483835
-100.0,100,1923.140116
-100.0,100,1926.806061
-100.0,100,1930.420489
-100.0,100,1934.079594
-100.0,100,1937.715844
-100.0,100,1938.78226
-100.0,100,1939.836566
-100.0,100,1940.857341
-100.0,100,1941.877517
-100.0,100,1942.935042
-100.0,100,1943.973154
-100.0,100,1945.056036
-100.0,100,1946.057857
-100.0,100,1947.185381
-100.0,100,1948.38038
-100.0,100,1952.01512
-100.0,100,1955.647976
-100.0,100,1959.420346
-100.0,100,1963.037851
-100.0,100,1966.675344
-100.0,100,1970.286002
-100.0,100,1973.892317
-100.0,100,1977.549452
-100.0,100,1981.212473
-100.0,100,1984.839616
-100.0,100,1988.467973
-100.0,100,1992.181153
-100.0,100,1995.834376
-100.0,100,1999.385367
-100.0,100,2003.055719
-100.0,100,2006.740077
-100.0,100,2010.409227
-100.0,100,2014.136956
-100.0,100,2017.778786
-100.0,100,2021.454871
-100.0,100,2025.277453
-100.0,100,2029.14432
-100.0,100,2032.819322
-100.0,100,2036.43381
-100.0,100,2040.527249
-100.0,100,2045.504455
-100.0,100,2050.185845
-100.0,100,2056.163823
-100.0,100,2060.145057
-100.0,100,2063.696445
-100.0,100,2066.884604
-100.0,100,2070.00384
-100.0,100,2073.253322
-100.0,100,2076.36469
-100.0,100,2079.628057
-100.0,100,2082.782447
-100.0,100,2085.949742
-100.0,100,2089.122963
-100.0,100,2092.221637
-100.0,100,2095.476387
-100.0,100,2098.926607
-100.0,100,2102.198585
-100.0,100,2105.489442
-100.0,100,2108.90392
-100.0,100,2112.009086
-100.0,100,2115.382241
-100.0,100,2118.722473
-100.0,100,2121.924436
-100.0,100,2125.250887
-100.0,100,2128.618572
-100.0,100,2129.657363
-100.0,100,2130.663078
-100.0,100,2131.65149
-100.0,100,2132.611372
-100.0,100,2133.624596
-100.0,100,2134.631012
-100.0,100,2135.721845
-100.0,100,2136.707888
-100.0,100,2137.686239
-100.0,100,2139.004914
-100.0,100,2142.242482
-100.0,100,2145.609317
-100.0,100,2148.957231
-100.0,100,2152.345626
-100.0,100,2155.6806
-100.0,100,2158.992822
-100.0,100,2162.324686
-100.0,100,2165.608648
-100.0,100,2168.890709
-100.0,100,2172.417161
-100.0,100,2175.850535
-100.0,100,2179.217483
-100.0,100,2182.608552
-100.0,100,2185.930699
-100.0,100,2189.221815
-100.0,100,2192.609023
-100.0,100,2195.927157
-100.0,100,2199.474387
-100.0,100,2202.910441
-100.0,100,2206.261308
-100.0,100,2209.757224
-100.0,100,2213.036793
-100.0,100,2216.455461
-100.0,100,2219.77625
-100.0,100,2223.389188
-100.0,100,2226.692175
-100.0,100,2230.040326
-100.0,100,2233.753724
-100.0,100,2237.646127
-100.0,100,2241.810869
-100.0,100,2246.010481
-100.0,100,2249.875578
-100.0,100,2254.034767
-100.0,100,2258.223543
-100.0,100,2262.266196
-100.0,100,2266.269789
-100.0,100,2270.393429
-100.0,100,2274.463567
-100.0,100,2278.594519
-100.0,100,2282.695606
-100.0,100,2286.842048
-100.0,100,2290.865517
-100.0,100,2295.018803
-100.0,100,2299.066509
-100.0,100,2303.224957
-100.0,100,2307.398023
-100.0,100,2311.564111
-100.0,100,2315.559
-100.0,100,2319.742942
-100.0,100,2323.781543
-100.0,100,2324.88008
-100.0,100,2325.920396
-100.0,100,2326.941753
-100.0,100,2328.009762
-100.0,100,2329.116508
-100.0,100,2330.259094
-100.0,100,2331.359043
-100.0,100,2332.591642
-100.0,100,2333.68472
-100.0,100,2335.092254
-100.0,100,2339.108198
-100.0,100,2343.243433
-100.0,100,2347.266165
-100.0,100,2351.375521
-100.0,100,2355.380303
-100.0,100,2359.459205
-100.0,100,2363.602233
-100.0,100,2367.70029
-100.0,100,2371.413375
-100.0,100,2375.04274
-100.0,100,2378.751914
-100.0,100,2382.652308
-100.0,100,2386.473332
-100.0,100,2390.323658
-100.0,100,2394.019204
-100.0,100,2397.684643
-100.0,100,2401.369113
-100.0,100,2404.994636
-100.0,100,2408.603772
-100.0,100,2412.298915
-100.0,100,2415.897227
-100.0,100,2419.572196
-100.0,100,2423.246149
-100.0,100,2426.92011
-100.0,100,2430.486875
-100.0,100,2434.193028
-100.0,100,2437.843157
-100.0,100,2441.451118
-100.0,100,2445.096994
-100.0,100,2448.784281
-100.0,100,2452.551232
-100.0,100,2456.373847
-100.0,100,2460.750192
-100.0,100,2465.474752
-100.0,100,2470.935303
-100.0,100,2475.060552
-100.0,100,2479.029525
-100.0,100,2482.763103
-100.0,100,2487.251057
-100.0,100,2491.337853
-100.0,100,2494.728641
-100.0,100,2497.88578
-100.0,100,2500.972077
-100.0,100,2504.160987
-100.0,100,2507.303264
-100.0,100,2510.543038
-100.0,100,2513.708967
-100.0,100,2516.887455
-100.0,100,2520.00123
-100.0,100,2523.262061
-100.0,100,2524.274609
-100.0,100,2525.271264
-100.0,100,2526.329114
-100.0,100,2527.445103
-100.0,100,2528.494509
-100.0,100,2529.615273
-100.0,100,2530.696679
-100.0,100,2531.795085
-100.0,100,2533.009234
-100.0,100,2534.070382
-100.0,100,2537.759835
-100.0,100,2541.36714
-100.0,100,2544.712474
-100.0,100,2548.344643
-100.0,100,2551.798239
-100.0,100,2555.04156
-100.0,100,2558.540109
-100.0,100,2561.871195
-100.0,100,2565.57382
-100.0,100,2568.977112
-100.0,100,2572.376535
-100.0,100,2575.687306
-100.0,100,2578.980128
-100.0,100,2582.411482
-100.0,100,2585.741109
-100.0,100,2589.066395
-100.0,100,2592.483225
-100.0,100,2595.423509
-100.0,100,2598.244245
-100.0,100,2601.139299
-100.0,100,2604.052396
-100.0,100,2606.912674
-100.0,100,2609.844332
-100.0,100,2613.535472
-100.0,100,2617.012023
-100.0,100,2620.278877
-100.0,100,2623.418513
-100.0,100,2626.381043
-100.0,100,2629.327849
-100.0,100,2632.288856
-100.0,100,2635.14472
-100.0,100,2638.078714
-100.0,100,2641.021754
-100.0,100,2644.416956
-100.0,100,2647.890736
-100.0,100,2651.116852
-100.0,100,2654.108749
-100.0,100,2656.996757
-100.0,100,2659.928968
-100.0,100,2662.795103
-100.0,100,2665.662468
-100.0,100,2668.560876
-100.0,100,2671.438191
-100.0,100,2674.372676
-100.0,100,2677.208707
-100.0,100,2680.070591
-100.0,100,2682.952897
-100.0,100,2685.694769
-100.0,100,2688.535388
-100.0,100,2691.454019
-100.0,100,2692.375618
-100.0,100,2693.264177
-100.0,100,2694.153441
-100.0,100,2695.02725
-100.0,100,2695.905591
-100.0,100,2696.773951
-100.0,100,2697.672296
-100.0,100,2698.551067
-100.0,100,2699.461088
-100.0,100,2700.456343
-100.0,100,2703.313005
-100.0,100,2706.127647
-100.0,100,2709.058626
-100.0,100,2711.899767
-100.0,100,2714.831411
-100.0,100,2717.646023
-100.0,100,2720.530574
-100.0,100,2723.414053
-100.0,100,2726.221197
-100.0,100,2729.128253
-100.0,100,2731.920933
-100.0,100,2734.711055
-100.0,100,2737.49928
-100.0,100,2740.318211
-100.0,100,2743.215085
-100.0,100,2745.978949
-100.0,100,2748.83506
-100.0,100,2751.663136
-100.0,100,2754.510669
-100.0,100,2757.38847
-100.0,100,2760.252945
-100.0,100,2763.070821
-100.0,100,2765.916379
-100.0,100,2768.771492
-100.0,100,2771.604908
-100.0,100,2774.404114
-100.0,100,2777.188894
-100.0,100,2779.99172
-100.0,100,2782.815703
-100.0,100,2785.64962
-100.0,100,2788.406436
-100.0,100,2791.252581
-100.0,100,2794.036778
-100.0,100,2796.989481
-100.0,100,2800.534418
-100.0,100,2803.654143
-100.0,100,2807.091069
-100.0,100,2810.00587
-100.0,100,2812.974234
-100.0,100,2815.850313
-100.0,100,2818.831549
-100.0,100,2821.713885
-100.0,100,2824.530202
-100.0,100,2827.424142
-100.0,100,2830.388688
