# {"env_id": "FetchSlideball-v6", "t_start": 1580854073.188357} 
r,l,t
-75.0,75,8.576972
-75.0,75,14.589557
-75.0,75,20.080347
-75.0,75,23.057944
-75.0,75,27.190173
-75.0,75,30.430761
-75.0,75,35.894992
-75.0,75,40.994929
-75.0,75,46.286688
-75.0,75,50.666013
-75.0,75,56.120361
-75.0,75,61.786873
-75.0,75,66.735099
-75.0,75,70.729133
-75.0,75,76.67133
-75.0,75,80.585497
-75.0,75,86.017432
-75.0,75,90.556207
-75.0,75,93.587022
-75.0,75,98.273078
-75.0,75,104.248249
-75.0,75,107.634473
-75.0,75,112.779865
-75.0,75,118.640397
-75.0,75,122.07225
-75.0,75,127.493108
-75.0,75,130.802385
-75.0,75,135.618068
-75.0,75,139.147972
-75.0,75,146.246438
-75.0,75,149.336014
-75.0,75,155.724114
-75.0,75,160.507954
-75.0,75,164.455312
-75.0,75,168.224798
-75.0,75,173.796468
-75.0,75,179.043383
-75.0,75,187.898624
-75.0,75,192.543794
-75.0,75,198.1326
-75.0,75,201.388323
-75.0,75,205.786666
-75.0,75,210.262945
-75.0,75,216.367675
-75.0,75,219.718837
-75.0,75,224.149371
-75.0,75,231.63603
-75.0,75,235.015934
-75.0,75,241.135523
-75.0,75,244.628926
-75.0,75,250.514528
-75.0,75,251.292817
-75.0,75,252.113909
-75.0,75,252.917143
-75.0,75,255.451332
-75.0,75,257.311118
-75.0,75,257.987546
-75.0,75,258.695946
-75.0,75,259.495723
-75.0,75,260.220202
-75.0,75,261.053077
-75.0,75,265.55696
-75.0,75,269.900235
-75.0,75,275.947981
-75.0,75,279.561754
-75.0,75,284.548154
-75.0,75,289.982562
-75.0,75,293.703014
-75.0,75,299.204594
-75.0,75,303.804782
-75.0,75,308.228452
-75.0,75,312.166905
-75.0,75,317.740732
-75.0,75,323.674158
-75.0,75,327.130734
-75.0,75,331.51126
-75.0,75,338.02764
-75.0,75,341.518722
-75.0,75,347.115643
-75.0,75,350.025422
-75.0,75,355.621331
-75.0,75,359.426887
-75.0,75,364.162072
-75.0,75,368.605543
-75.0,75,371.545248
-75.0,75,377.01247
-75.0,75,380.128897
-75.0,75,385.443008
-75.0,75,388.333489
-75.0,75,392.500508
-75.0,75,398.269792
-75.0,75,401.401102
-75.0,75,406.889508
-75.0,75,410.154714
-75.0,75,415.485973
-75.0,75,418.484261
-75.0,75,424.299506
-75.0,75,430.677149
-75.0,75,434.638385
-75.0,75,439.693725
-75.0,75,447.441839
-75.0,75,454.211861
-75.0,75,458.277365
-75.0,75,464.788777
-75.0,75,471.937217
-75.0,75,477.167163
-75.0,75,484.049315
-75.0,75,490.839943
-75.0,75,495.001093
-75.0,75,501.921915
-75.0,75,508.325642
-75.0,75,510.862043
-75.0,75,513.022812
-75.0,75,513.879712
-75.0,75,514.714793
-75.0,75,515.5898
-75.0,75,516.440569
-75.0,75,518.782403
-75.0,75,521.136048
-75.0,75,522.010345
-75.0,75,522.992059
-75.0,75,529.539678
-75.0,75,533.797318
-75.0,75,540.369719
-75.0,75,545.641514
-75.0,75,553.683697
-75.0,75,558.116388
-75.0,75,564.429446
-75.0,75,571.486728
-75.0,75,577.237512
-75.0,75,582.957532
-75.0,75,588.789568
-75.0,75,594.646354
-75.0,75,600.523215
-75.0,75,607.400413
-75.0,75,614.372999
-75.0,75,620.360786
-75.0,75,626.574952
-75.0,75,632.610224
-75.0,75,639.840847
-75.0,75,645.979871
-75.0,75,652.069237
-75.0,75,657.754599
-75.0,75,663.642473
-75.0,75,669.736031
-75.0,75,676.943229
-75.0,75,683.191342
-75.0,75,686.354644
-75.0,75,691.106321
-75.0,75,694.242536
-75.0,75,697.112004
-75.0,75,699.94507
-75.0,75,702.954325
-75.0,75,705.908327
-75.0,75,708.784602
-75.0,75,711.638001
-75.0,75,714.526521
-75.0,75,717.342978
-75.0,75,720.323254
-75.0,75,723.201281
-75.0,75,726.086064
-75.0,75,729.025939
-75.0,75,732.102995
-75.0,75,735.155226
-75.0,75,738.126321
-75.0,75,741.130158
-75.0,75,744.077378
-75.0,75,747.243642
-75.0,75,750.254509
-75.0,75,753.277924
-75.0,75,756.344241
-75.0,75,757.16718
-75.0,75,757.929203
-75.0,75,758.696675
-75.0,75,759.483529
-75.0,75,760.236362
-75.0,75,761.060943
-75.0,75,761.849868
-75.0,75,762.593575
-75.0,75,763.342721
-75.0,75,764.071089
-75.0,75,767.025476
-75.0,75,769.990444
-75.0,75,773.003483
-75.0,75,775.930715
-75.0,75,778.999523
-75.0,75,781.898772
-75.0,75,785.137657
-75.0,75,788.114216
-75.0,75,791.055569
-75.0,75,794.400932
-75.0,75,798.150392
-75.0,75,801.20577
-75.0,75,804.157904
-75.0,75,807.078342
-75.0,75,810.78727
-75.0,75,814.309336
-75.0,75,817.867162
-75.0,75,821.135685
-75.0,75,824.536426
-75.0,75,828.259968
-75.0,75,832.155136
-75.0,75,835.595062
-75.0,75,839.646847
-75.0,75,843.669961
-75.0,75,847.735098
-75.0,75,851.81823
-75.0,75,855.842262
-75.0,75,859.784443
-75.0,75,863.755738
-75.0,75,867.825144
-75.0,75,871.83971
-75.0,75,875.850654
-75.0,75,879.827485
-75.0,75,883.85966
-75.0,75,887.883206
-75.0,75,891.895059
-75.0,75,895.998268
-75.0,75,899.947939
-75.0,75,904.182501
-75.0,75,908.08157
-75.0,75,912.112244
-75.0,75,916.23025
-75.0,75,920.179181
-75.0,75,924.245996
-75.0,75,928.263283
-75.0,75,932.299083
-75.0,75,936.392264
-75.0,75,940.470091
-75.0,75,944.586753
-75.0,75,948.763989
-75.0,75,949.772319
-75.0,75,950.680135
-75.0,75,951.54773
-75.0,75,952.495539
-75.0,75,953.458846
-75.0,75,954.408082
-75.0,75,955.343797
-75.0,75,956.338347
-75.0,75,957.228034
-75.0,75,958.362044
-75.0,75,962.394923
-75.0,75,966.527011
-75.0,75,970.528076
-75.0,75,974.535453
-75.0,75,978.543215
-75.0,75,982.622641
-75.0,75,986.71586
-75.0,75,990.72263
-75.0,75,994.639541
-75.0,75,998.64246
-75.0,75,1002.674862
-75.0,75,1006.751283
-75.0,75,1010.904159
-75.0,75,1014.925334
-75.0,75,1018.980889
-75.0,75,1023.104761
-75.0,75,1027.164178
-75.0,75,1031.174753
-75.0,75,1035.454442
-75.0,75,1039.24805
-75.0,75,1043.171916
-75.0,75,1047.153183
-75.0,75,1051.334045
-75.0,75,1055.313439
-75.0,75,1059.289452
-75.0,75,1063.265925
-75.0,75,1067.229042
-75.0,75,1071.21717
-75.0,75,1075.238825
-75.0,75,1079.234639
-75.0,75,1083.382058
-75.0,75,1087.319127
-75.0,75,1091.329435
-75.0,75,1095.32451
-75.0,75,1099.271291
-75.0,75,1103.30705
-75.0,75,1107.384668
-75.0,75,1111.536745
-75.0,75,1115.566152
-75.0,75,1119.677744
-75.0,75,1123.815273
-75.0,75,1127.798459
-75.0,75,1131.884799
-75.0,75,1136.047298
-75.0,75,1140.054453
-75.0,75,1144.268738
-75.0,75,1148.316822
-75.0,75,1152.498144
-75.0,75,1156.659581
-75.0,75,1160.913193
-75.0,75,1161.819351
-75.0,75,1162.709677
-75.0,75,1163.611588
-75.0,75,1164.542402
-75.0,75,1165.461692
-75.0,75,1166.438591
-75.0,75,1167.330294
-75.0,75,1168.23314
-75.0,75,1169.143964
-75.0,75,1170.199022
-75.0,75,1174.233752
-75.0,75,1178.324175
-75.0,75,1182.397872
-75.0,75,1186.427399
-75.0,75,1190.543846
-75.0,75,1195.069319
-75.0,75,1199.372753
-75.0,75,1203.549486
-75.0,75,1207.699714
-75.0,75,1211.803654
-75.0,75,1216.019922
-75.0,75,1220.278809
-75.0,75,1224.428652
-75.0,75,1228.579969
-75.0,75,1232.651488
-75.0,75,1236.720925
-75.0,75,1240.811107
-75.0,75,1245.051612
-75.0,75,1249.322053
-75.0,75,1253.529644
-75.0,75,1257.714743
-75.0,75,1261.919596
-75.0,75,1266.146469
-75.0,75,1270.289711
-75.0,75,1274.479488
-75.0,75,1278.694269
-75.0,75,1282.778059
-75.0,75,1287.105624
-75.0,75,1291.421827
-75.0,75,1295.710746
-75.0,75,1299.905004
-75.0,75,1304.10463
-75.0,75,1308.374058
-75.0,75,1312.662965
-75.0,75,1316.867962
-75.0,75,1321.077405
-75.0,75,1325.240667
-75.0,75,1329.511578
-75.0,75,1333.689033
-75.0,75,1337.857646
-75.0,75,1342.028307
-75.0,75,1346.242455
-75.0,75,1350.445613
-75.0,75,1354.73804
-75.0,75,1358.921494
-75.0,75,1363.187517
-75.0,75,1367.289377
-75.0,75,1371.477446
-75.0,75,1375.542625
-75.0,75,1379.823105
-75.0,75,1380.79363
-75.0,75,1381.776913
-75.0,75,1382.630672
-75.0,75,1383.576407
-75.0,75,1384.57744
-75.0,75,1385.602896
-75.0,75,1386.728395
-75.0,75,1387.642602
-75.0,75,1388.499386
-75.0,75,1389.397066
-75.0,75,1393.380854
-75.0,75,1397.685373
-75.0,75,1402.001219
-75.0,75,1406.29057
-75.0,75,1410.575964
-75.0,75,1414.732928
-75.0,75,1419.013915
-75.0,75,1423.258471
-75.0,75,1427.574994
-75.0,75,1431.761361
-75.0,75,1435.909883
-75.0,75,1440.208001
-75.0,75,1444.452415
-75.0,75,1448.734823
-75.0,75,1452.98091
-75.0,75,1457.262701
-75.0,75,1461.500343
-75.0,75,1465.675963
-75.0,75,1469.959264
-75.0,75,1474.104886
-75.0,75,1478.417307
-75.0,75,1482.509951
-75.0,75,1486.784381
-75.0,75,1491.079377
-75.0,75,1495.351123
-75.0,75,1499.696693
-75.0,75,1503.935267
-75.0,75,1508.117056
-75.0,75,1512.460384
-75.0,75,1516.772067
-75.0,75,1521.013929
-75.0,75,1525.278423
-75.0,75,1529.669408
-75.0,75,1533.382564
-75.0,75,1537.656181
-75.0,75,1542.017918
-75.0,75,1546.231415
-75.0,75,1550.427917
-75.0,75,1554.66419
-75.0,75,1558.923813
-75.0,75,1563.111473
-75.0,75,1567.313524
-75.0,75,1571.601532
-75.0,75,1575.811055
-75.0,75,1580.212577
-75.0,75,1584.429001
-75.0,75,1588.761331
-75.0,75,1593.122957
-75.0,75,1597.305405
-75.0,75,1601.646073
-75.0,75,1602.648107
-75.0,75,1603.653862
-75.0,75,1604.584511
-75.0,75,1605.610405
-75.0,75,1606.621427
-75.0,75,1607.584326
-75.0,75,1608.650698
-75.0,75,1609.642141
-75.0,75,1610.566864
-75.0,75,1611.6656
-75.0,75,1616.024196
-75.0,75,1620.211795
-75.0,75,1624.460539
-75.0,75,1628.93504
-75.0,75,1633.263215
-75.0,75,1637.73727
-75.0,75,1641.626603
-75.0,75,1645.892129
-75.0,75,1650.145883
-75.0,75,1654.442577
-75.0,75,1658.765425
-75.0,75,1663.1423
-75.0,75,1667.338487
-75.0,75,1671.559727
-75.0,75,1675.724679
-75.0,75,1680.039781
-75.0,75,1684.284088
-75.0,75,1688.457608
-75.0,75,1692.650116
-75.0,75,1696.908742
-75.0,75,1701.098687
-75.0,75,1705.329121
-75.0,75,1709.587774
-75.0,75,1713.707518
-75.0,75,1717.969677
-75.0,75,1722.223236
-75.0,75,1726.424075
-75.0,75,1730.635693
-75.0,75,1734.8199
-75.0,75,1739.05739
-75.0,75,1743.413496
-75.0,75,1747.706002
-75.0,75,1751.992802
-75.0,75,1756.241795
-75.0,75,1760.455845
-75.0,75,1764.793055
-75.0,75,1769.019242
-75.0,75,1773.331929
-75.0,75,1777.623115
-75.0,75,1781.85766
-75.0,75,1786.041726
-75.0,75,1790.268183
-75.0,75,1794.481926
-75.0,75,1798.752478
-75.0,75,1802.987479
-75.0,75,1807.255182
-75.0,75,1811.416483
-75.0,75,1815.732768
-75.0,75,1819.952595
-75.0,75,1824.260855
-75.0,75,1825.199551
-75.0,75,1826.126418
-75.0,75,1827.059314
-75.0,75,1828.040214
