# {"t_start": 1580854071.0197282, "env_id": "FetchSlideball-v6"} 
r,l,t
-75.0,75,10.781141
-75.0,75,16.733388
-75.0,75,22.271505
-75.0,75,25.274275
-75.0,75,29.423111
-75.0,75,32.530382
-75.0,75,38.278152
-75.0,75,43.143437
-75.0,75,48.439869
-75.0,75,52.855774
-75.0,75,58.336465
-75.0,75,64.004913
-75.0,75,68.78869
-75.0,75,72.904507
-75.0,75,78.671047
-75.0,75,82.709778
-75.0,75,88.20426
-75.0,75,92.746328
-75.0,75,95.741423
-75.0,75,100.187854
-75.0,75,106.425843
-75.0,75,109.869433
-75.0,75,114.925377
-75.0,75,120.844267
-75.0,75,124.228893
-75.0,75,129.601559
-75.0,75,132.93285
-75.0,75,137.724568
-75.0,75,141.302354
-75.0,75,148.377325
-75.0,75,151.497055
-75.0,75,157.841042
-75.0,75,162.785447
-75.0,75,166.64026
-75.0,75,170.523172
-75.0,75,175.899069
-75.0,75,181.161722
-75.0,75,189.735145
-75.0,75,194.731456
-75.0,75,200.325518
-75.0,75,203.565187
-75.0,75,207.79218
-75.0,75,212.437688
-75.0,75,218.505089
-75.0,75,221.927392
-75.0,75,226.275319
-75.0,75,233.766227
-75.0,75,237.230191
-75.0,75,243.216575
-75.0,75,246.796162
-75.0,75,252.647653
-75.0,75,253.404611
-75.0,75,254.141321
-75.0,75,254.961343
-75.0,75,257.265451
-75.0,75,259.461718
-75.0,75,260.177236
-75.0,75,260.882081
-75.0,75,261.545632
-75.0,75,262.280897
-75.0,75,263.194927
-75.0,75,267.67383
-75.0,75,272.10619
-75.0,75,278.030472
-75.0,75,281.894856
-75.0,75,286.758619
-75.0,75,292.251112
-75.0,75,295.883274
-75.0,75,301.37326
-75.0,75,306.020959
-75.0,75,310.419241
-75.0,75,314.527872
-75.0,75,319.906929
-75.0,75,325.875874
-75.0,75,329.328709
-75.0,75,333.709881
-75.0,75,340.021468
-75.0,75,343.633046
-75.0,75,349.301308
-75.0,75,352.191868
-75.0,75,357.747008
-75.0,75,361.63259
-75.0,75,366.363214
-75.0,75,370.808582
-75.0,75,373.754982
-75.0,75,379.179683
-75.0,75,382.505036
-75.0,75,387.611728
-75.0,75,390.519797
-75.0,75,394.669343
-75.0,75,400.507977
-75.0,75,403.609759
-75.0,75,409.031166
-75.0,75,412.283493
-75.0,75,417.655641
-75.0,75,420.712082
-75.0,75,426.465588
-75.0,75,432.996568
-75.0,75,436.776234
-75.0,75,441.878535
-75.0,75,449.675568
-75.0,75,456.325435
-75.0,75,460.429651
-75.0,75,466.953059
-75.0,75,474.059633
-75.0,75,479.377655
-75.0,75,486.172251
-75.0,75,493.242841
-75.0,75,497.238177
-75.0,75,504.186511
-75.0,75,510.499895
-75.0,75,513.114587
-75.0,75,515.218154
-75.0,75,516.126458
-75.0,75,516.990996
-75.0,75,517.808924
-75.0,75,518.624489
-75.0,75,520.831762
-75.0,75,523.327693
-75.0,75,524.155326
-75.0,75,525.106937
-75.0,75,531.803456
-75.0,75,535.957608
-75.0,75,542.510756
-75.0,75,547.77279
-75.0,75,555.893578
-75.0,75,560.218449
-75.0,75,566.59475
-75.0,75,573.691231
-75.0,75,579.393227
-75.0,75,585.212116
-75.0,75,591.008141
-75.0,75,596.812144
-75.0,75,602.698251
-75.0,75,609.572041
-75.0,75,616.532449
-75.0,75,622.661256
-75.0,75,628.716563
-75.0,75,634.797441
-75.0,75,642.0611
-75.0,75,648.128788
-75.0,75,654.209637
-75.0,75,659.924231
-75.0,75,665.843079
-75.0,75,671.917948
-75.0,75,678.848494
-75.0,75,685.415427
-75.0,75,688.559667
-75.0,75,693.28234
-75.0,75,696.380454
-75.0,75,699.251162
-75.0,75,702.141432
-75.0,75,705.119996
-75.0,75,708.017937
-75.0,75,710.927895
-75.0,75,713.762874
-75.0,75,716.674084
-75.0,75,719.580832
-75.0,75,722.501904
-75.0,75,725.378039
-75.0,75,728.204443
-75.0,75,731.121808
-75.0,75,734.241599
-75.0,75,737.323601
-75.0,75,740.304756
-75.0,75,743.350774
-75.0,75,746.281927
-75.0,75,749.426677
-75.0,75,752.376875
-75.0,75,755.387039
-75.0,75,758.505748
-75.0,75,759.305857
-75.0,75,760.060694
-75.0,75,760.812961
-75.0,75,761.619275
-75.0,75,762.334066
-75.0,75,763.042948
-75.0,75,763.843452
-75.0,75,764.605867
-75.0,75,765.345507
-75.0,75,766.231125
-75.0,75,769.187738
-75.0,75,772.094198
-75.0,75,775.163872
-75.0,75,778.085408
-75.0,75,781.123261
-75.0,75,784.029257
-75.0,75,787.302927
-75.0,75,790.296687
-75.0,75,793.284764
-75.0,75,796.5171
-75.0,75,800.265978
-75.0,75,803.370138
-75.0,75,806.308179
-75.0,75,809.235958
-75.0,75,812.932738
-75.0,75,816.486902
-75.0,75,819.990952
-75.0,75,823.290539
-75.0,75,826.638203
-75.0,75,830.379336
-75.0,75,834.31794
-75.0,75,837.752891
-75.0,75,841.835998
-75.0,75,845.885714
-75.0,75,849.905591
-75.0,75,853.907383
-75.0,75,857.951047
-75.0,75,861.941799
-75.0,75,865.921044
-75.0,75,869.90039
-75.0,75,874.016444
-75.0,75,878.028795
-75.0,75,882.030752
-75.0,75,886.03246
-75.0,75,890.084687
-75.0,75,894.120793
-75.0,75,898.078393
-75.0,75,902.115719
-75.0,75,906.318001
-75.0,75,910.208764
-75.0,75,914.281863
-75.0,75,918.36505
-75.0,75,922.347513
-75.0,75,926.382514
-75.0,75,930.407816
-75.0,75,934.507686
-75.0,75,938.56493
-75.0,75,942.691347
-75.0,75,946.766166
-75.0,75,950.902823
-75.0,75,951.852881
-75.0,75,952.812921
-75.0,75,953.804621
-75.0,75,954.713844
-75.0,75,955.638387
-75.0,75,956.558616
-75.0,75,957.523003
-75.0,75,958.436224
-75.0,75,959.35138
-75.0,75,960.564163
-75.0,75,964.458393
-75.0,75,968.602278
-75.0,75,972.756356
-75.0,75,976.735554
-75.0,75,980.709108
-75.0,75,984.802036
-75.0,75,988.836737
-75.0,75,992.883743
-75.0,75,996.845246
-75.0,75,1000.881954
-75.0,75,1004.91661
-75.0,75,1008.951817
-75.0,75,1013.004474
-75.0,75,1017.137753
-75.0,75,1021.182084
-75.0,75,1025.271992
-75.0,75,1029.373018
-75.0,75,1033.331764
-75.0,75,1037.515906
-75.0,75,1041.495704
-75.0,75,1045.306413
-75.0,75,1049.413616
-75.0,75,1053.460751
-75.0,75,1057.46311
-75.0,75,1061.454238
-75.0,75,1065.449907
-75.0,75,1069.414599
-75.0,75,1073.354892
-75.0,75,1077.380747
-75.0,75,1081.411402
-75.0,75,1085.488478
-75.0,75,1089.481166
-75.0,75,1093.536351
-75.0,75,1097.48074
-75.0,75,1101.419677
-75.0,75,1105.549006
-75.0,75,1109.518558
-75.0,75,1113.697861
-75.0,75,1117.716418
-75.0,75,1121.849981
-75.0,75,1125.951707
-75.0,75,1129.996461
-75.0,75,1134.031695
-75.0,75,1138.182249
-75.0,75,1142.289075
-75.0,75,1146.428024
-75.0,75,1150.556591
-75.0,75,1154.681419
-75.0,75,1158.840172
-75.0,75,1163.160344
-75.0,75,1164.074745
-75.0,75,1165.02397
-75.0,75,1165.901603
